me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,-21687,-21687,-21687,-21687,-21687,-21687,-21687,-21499,-21499,-21499,-21499,-21499,-21499,-21499,-21499,-21499,-21499,-21499,-21499,-22270,-22270,-22270,-22270,-22270,-22270,-22270,-22270,-22270,-22270,-22270,-22270,-9366,-9366,-9366,-9366,-9366,-9366,-9366,-9366,-9366,-9366,-9366,-9366,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,1648,65593,65593,65593,65593,65593,65593,65593,65593,65593,65593,65593,65593,76476,76476,76476,76476,76476,76476,76476,76476,76476,76476,76476,76476,101066,101066,101066,101066,101066,101066,101066,101066,101066,101066,101066,101066,95301,95301,95301,95301,95301,95301,95301,95301,95301,95301,95301,95301,116302,116302,116302,116302,116302,116302,116302,116302,116302,116302,116302,116302,135760,135760,135760,135760,135760,135760,135760,135760,135760,135760,135760,135760,170632,170632,170632,170632,170632,170632,170632,170632,170632,170632,170632,170632,208284,208284,208284,208284,208284,208284,208284,208284,208284,208284,208284,208284,,,,,,
Excess return,Consumer Goods,,-0.198719314,-0.053661233,-0.22190219,-0.039447823,-0.148659019,-0.183875019,-0.09665266,-0.15087559,0.028052999,-0.174156962,-0.088282012,-0.123030201,-0.169708914,-0.164981321,-0.093358743,-0.129667081,-0.080024641,-0.153244089,-0.09690221,-0.058397263,-0.045552602,-0.1290612,-0.087272378,-0.092668203,-0.18203072,-0.206801084,0.014269522,-0.093098542,-0.101932182,-0.050777086,-0.019874682,-0.064651776,-0.093889182,-0.02697685,-0.126457336,-0.081763183,-0.065938588,-0.100274607,-0.030260434,-0.180074651,-0.100292309,-0.092740647,-0.181852513,0.047086643,-0.148835762,-0.084513833,-0.088010038,-0.105234427,-0.116920437,-0.041928369,-0.142936094,-0.139083024,-0.147472208,-0.04301416,-0.049899636,-0.070714513,-0.06605673,-0.103947712,-0.154162912,-0.002824382,-0.094171619,-0.056363588,-0.147811604,-0.097826052,-0.166661095,-0.131334726,-0.065336711,-0.09307157,-0.137838615,-0.091978466,-0.004394317,-0.031398461,-0.04287148,-0.111735974,-0.058802407,-0.027239302,-0.146418899,-0.157868395,-0.23365575,-0.185085768,-0.074121152,-0.092006994,-0.105847645,-0.1297901,-0.255106164,-0.212737577,-0.250120674,-0.149306626,-0.168491494,-0.261760507,-0.210950843,0.010431453,-0.00416144,-0.178875062,-0.156672719,0.085154034,-0.088446026,-0.174670111,0.099879284,-0.162019203,-0.043589636,-0.186247416,-0.035884081,-0.094770324,-0.051249424,-0.08276515,-0.151930532,-0.1099973,-0.136284967,-0.006823927,-0.044481592,-0.120775744,-0.16156954,-0.131385211,-0.138032498,-0.138545486,-0.046122767,-0.032737896,-0.043786355,-0.151538973,-0.198387736,-0.164813088,-0.132249435,-0.10119534,-0.099264732,-0.1203512,-0.113315749,-0.15217857,-0.155110417,-0.050213444,-0.025361747,-0.053168493,-0.129202688,-0.117197384,-0.011415294,-0.104543109,-0.086880783,-0.029818226,-0.14149023,0.01464773,0.065163409,-0.073715563,0.041462998,-0.181323127,0.084685759,-0.135436696,0.058150562,-0.068633892,-0.130926009,-0.182457213,-0.001184691,-0.0292632,-0.133686138,-0.075771182,-0.17617049,-0.000333773
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.4942,0.4698,0.5101,0.549,0.5482,0.5576,0.5089,0.4981,0.3543,0.3235,0.3499,0.435,0.4383,0.4479,0.4517,0.348,0.3469,0.3598,0.3369,0.3198,0.2916,0.2941,0.2724,0.2769,0.3086,0.3451,0.1829,0.1875,0.2089,0.2,0.2274,0.2498,0.3791,0.4146,0.4146,0.4324,0.4371,0.4565,0.4461,0.4638,0.4595,0.4834,0.4726,0.5918,0.5682,0.5629,0.5649,0.5651,0.5198,0.452,0.6353,0.6542,0.7411,0.7441,0.7373,0.7587,0.7454,0.7267,0.7207,0.7685,0.7213,0.708,0.6514,0.6079,0.652,0.6921,0.5353,0.5359,0.5549,0.5591,0.5559,0.5635,0.5493,0.5388,0.5159,0.5254,0.5445,0.5939,0.6251,0.6615,0.6495,0.6499,0.6079,0.4717,0.6927,0.5081,0.6915,0.6672,0.6615,0.7538,0.7841,0.7489,0.5,0.5262,0.4935,0.4762,0.4608,0.4742,0.5712,0.5656,0.6097,0.6256,0.6558,0.6619,0.6646,0.6699,0.6686,0.6735,0.6339,0.7593,0.7226,0.7372,0.7274,0.7317,0.6541,0.803,0.8061,0.8104,0.7952,0.7643,0.826,0.7161,0.7266,0.7219,0.6512,0.6538,0.6024,0.6116,0.646,0.6306,0.637,0.6081,0.5814,0.5528,0.5179,0.5143,0.4767,0.4719,0.4957,0.5187,0.4384,0.4093,0.4575,0.4568,0.4746,0.5631,0.5278,0.5284,0.3872,0.5071,0.5164,0.5219,0.381,0.3817,0.4494,0.5487,
VO monthly avg,Consumer Goods,18.2,41.05,39.84,135.13,282.92,103.27,697.94,64.67,34.28,73.61,44.41,39.02,111.95,33.33,88.27,265.91,266.58,127.29,323.71,137.89,105.54,58.1,34.7,150.09,259.15,69.53,222.88,49.44,135.76,232.56,109,51.46,36.69,89.58,157.99,301.82,52.1,153.28,23.19,346.88,97.14,39.54,273.29,94.57,140.75,166.8,77.38,105.68,329.74,142.63,82.17,126.59,43.09,43.7,27.2,23.21,133.12,107.49,58.17,54.87,88.81,40.25,120.59,66.6,95.16,120.33,84.48,214.94,94.48,101.24,113.69,37.99,96.76,36.38,61.9,45.55,19.59,115.45,78.39,40.04,67.52,143.87,125.76,132.3,38.84,43.54,111.43,66.57,43.98,36.76,276.59,238.73,79.91,169.87,239.06,61.43,78.23,9.61,123.61,114.32,73.78,35.18,50.07,11.56,167.21,51.56,56.76,18.07,419.07,113.89,85.31,54.46,49.93,128.72,41.54,84.57,53.49,28.76,218.39,90.63,192.95,45.15,68.45,48.48,39.91,31.76,57.25,54.64,32.82,127.31,46.42,381.43,55.7,119.35,24.46,40.96,26.31,27.44,123.09,41.1,80.86,114.06,115.75,126.26,27.52,84.75,29.71,79.1,77.67,97.78,150.63,57.39,58.54,70.85,123.55,111.1,76.94
Total assets,Consumer Goods,70620,70620,70620,70620,70620,70620,70620,102368,102368,102368,102368,102368,102368,102368,102368,102368,102368,102368,102368,105914,105914,105914,105914,105914,105914,105914,105914,105914,105914,105914,105914,129241,129241,129241,129241,129241,129241,129241,129241,129241,129241,129241,129241,130597,130597,130597,130597,130597,130597,130597,130597,130597,130597,130597,130597,428233,428233,428233,428233,428233,428233,428233,428233,428233,428233,428233,428233,480112,480112,480112,480112,480112,480112,480112,480112,480112,480112,480112,480112,538168,538168,538168,538168,538168,538168,538168,538168,538168,538168,538168,538168,529621,529621,529621,529621,529621,529621,529621,529621,529621,529621,529621,529621,519597,519597,519597,519597,519597,519597,519597,519597,519597,519597,519597,519597,543996,543996,543996,543996,543996,543996,543996,543996,543996,543996,543996,543996,596238,596238,596238,596238,596238,596238,596238,596238,596238,596238,596238,596238,679142,679142,679142,679142,679142,679142,679142,679142,679142,679142,679142,679142,,,,,,
Net sales,Consumer Goods,127536,127536,127536,127536,127536,127536,127536,138024,138024,138024,138024,138024,138024,138024,138024,138024,138024,138024,138024,156139,156139,156139,156139,156139,156139,156139,156139,156139,156139,156139,156139,181044,181044,181044,181044,181044,181044,181044,181044,181044,181044,181044,181044,200632,200632,200632,200632,200632,200632,200632,200632,200632,200632,200632,200632,182692,182692,182692,182692,182692,182692,182692,182692,182692,182692,182692,182692,215411,215411,215411,215411,215411,215411,215411,215411,215411,215411,215411,215411,295838,295838,295838,295838,295838,295838,295838,295838,295838,295838,295838,295838,326774,326774,326774,326774,326774,326774,326774,326774,326774,326774,326774,326774,348024,348024,348024,348024,348024,348024,348024,348024,348024,348024,348024,348024,403396,403396,403396,403396,403396,403396,403396,403396,403396,403396,403396,403396,503444,503444,503444,503444,503444,503444,503444,503444,503444,503444,503444,503444,653027,653027,653027,653027,653027,653027,653027,653027,653027,653027,653027,653027,,,,,,
common equity,Consumer Goods,92307,92307,92307,92307,92307,92307,92307,123867,123867,123867,123867,123867,123867,123867,123867,123867,123867,123867,123867,128184,128184,128184,128184,128184,128184,128184,128184,128184,128184,128184,128184,138607,138607,138607,138607,138607,138607,138607,138607,138607,138607,138607,138607,124825,124825,124825,124825,124825,124825,124825,124825,124825,124825,124825,124825,362878,362878,362878,362878,362878,362878,362878,362878,362878,362878,362878,362878,402907,402907,402907,402907,402907,402907,402907,402907,402907,402907,402907,402907,432787,432787,432787,432787,432787,432787,432787,432787,432787,432787,432787,432787,430019,430019,430019,430019,430019,430019,430019,430019,430019,430019,430019,430019,398983,398983,398983,398983,398983,398983,398983,398983,398983,398983,398983,398983,407303,407303,407303,407303,407303,407303,407303,407303,407303,407303,407303,407303,430366,430366,430366,430366,430366,430366,430366,430366,430366,430366,430366,430366,476741,476741,476741,476741,476741,476741,476741,476741,476741,476741,476741,476741,,,,,,
Turnover ratio,Consumer Goods,0.02%,0.05%,0.04%,0.15%,0.31%,0.11%,0.77%,0.07%,0.04%,0.08%,0.05%,0.04%,0.11%,0.03%,0.09%,0.27%,0.27%,0.13%,0.33%,0.14%,0.11%,0.06%,0.04%,0.15%,0.27%,0.07%,0.23%,0.05%,0.14%,0.24%,0.11%,0.05%,0.04%,0.09%,0.16%,0.31%,0.05%,0.16%,0.02%,0.36%,0.1%,0.04%,0.28%,0.1%,0.14%,0.17%,0.08%,0.11%,0.34%,0.15%,0.08%,0.13%,0.04%,0.04%,0.03%,0.02%,0.14%,0.11%,0.06%,0.06%,0.09%,0.04%,0.12%,0.07%,0.1%,0.12%,0.09%,0.22%,0.1%,0.1%,0.12%,0.04%,0.1%,0.04%,0.06%,0.05%,0.02%,0.12%,0.08%,0.04%,0.07%,0.15%,0.13%,0.14%,0.04%,0.04%,0.11%,0.07%,0.05%,0.04%,0.28%,0.24%,0.08%,0.17%,0.24%,0.06%,0.08%,0.01%,0.13%,0.12%,0.08%,0.04%,0.05%,0.01%,0.17%,0.05%,0.06%,0.02%,0.43%,0.12%,0.09%,0.06%,0.05%,0.13%,0.04%,0.09%,0.05%,0.03%,0.22%,0.09%,0.2%,0.05%,0.07%,0.05%,0.04%,0.03%,0.06%,0.06%,0.03%,0.13%,0.05%,0.39%,0.06%,0.12%,0.03%,0.04%,0.03%,0.03%,0.13%,0.04%,0.08%,0.12%,0.12%,0.13%,0.03%,0.09%,0.03%,0.08%,0.08%,0.1%,0.15%,0.06%,0.06%,0.07%,0.13%,0.11%,0.08%
Return monthly,Consumer Goods,,-0.045521914,0.095275067,-0.06521519,0.115588777,0.004369781,-0.043314319,0.04072764,-0.02165469,0.155533499,-0.046813262,0.041722988,0.019982699,-0.019591214,-0.012024221,0.060765257,0.009987619,0.058842759,-0.014819389,0.03384519,0.072673537,0.084775698,0,0.034972322,0.031273597,-0.06058942,-0.096778384,0.124982022,0.017962158,0.006467818,0.057649114,0.090962718,0.055531524,0.026330618,0.08974295,-0.006916136,0.036574117,0.058820912,0.022229693,0.095658966,-0.051026151,0.032261891,0.041633153,-0.039969113,0.187483243,-0.008773062,0.055674867,0.034491262,0.008312973,-0.008244437,0.074995531,-0.015521494,-0.009093724,-0.016393908,0.08333574,0.076898464,0.057145687,0.06082537,0.022056388,-0.028147412,0.117117518,0.024732381,0.057474612,-0.034813904,0.017349948,-0.045458795,-0.011910826,0.054224989,0.02856713,-0.022215315,0.023393234,0.109706183,0.081357439,0.06762292,-0.000884274,0.051047793,0.086964198,-0.024003199,-0.032787095,-0.10593125,-0.061617268,0.047472548,0.031840706,0.009619455,0,-0.133345864,-0.076923077,-0.113587074,-0.006932126,-0.014002094,-0.120562207,-0.072570143,0.130431453,0.11998916,-0.064284562,-0.053422119,0.193534434,0.027028574,-0.052634511,0.220412084,-0.035308103,0.085373164,-0.056182016,0.092865619,0.034849476,0.080704276,0.05000665,-0.019050032,0.0203884,-0.000949067,0.123799873,0.086662008,0.012000456,-0.02767244,-0.008126911,-0.008193498,-0.008261186,0.083332433,0.100109704,0.085714545,-0.013150973,-0.066673436,-0.032137288,-0.002369735,0.02273026,0.025924668,0,0.003615051,-0.02878057,-0.037032617,0.068867556,0.092248553,0.060809707,-0.015926288,-0.005819684,0.097735606,0.003038991,0.015148917,0.068060874,-0.04136213,0.10786693,0.157899309,0.021806937,0.134091398,-0.086173327,0.184211059,-0.037035296,0.151539762,0.027559708,-0.023178709,-0.071524013,0.113545009,0.0704898,-0.033689038,0.032591018,-0.06250239,-0.000333773
