me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,1445935,1445935,1445935,1445935,2126862,2126862,2126862,2126862,2126862,2126862,2126862,2126862,2126862,2126862,2126862,2126862,2268455,2268455,2268455,2268455,2268455,2268455,2268455,2268455,2268455,2268455,2268455,2268455,2954418,2954418,2954418,2954418,2954418,2954418,2954418,2954418,2954418,2954418,2954418,2954418,4140211,4140211,4140211,4140211,4140211,4140211,4140211,4140211,4140211,4140211,4140211,4140211,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,5972061,6904108,6904108,6904108,6904108,6904108,6904108,6904108,6904108,6904108,6904108,6904108,6904108,8286781,8286781,8286781,8286781,8286781,8286781,8286781,8286781,8286781,8286781,8286781,8286781,7409906,7409906,7409906,7409906,7409906,7409906,7409906,7409906,7409906,7409906,7409906,7409906,4793340,4793340,4793340,4793340,4793340,4793340,4793340,4793340,4793340,4793340,4793340,4793340,4428745,4428745,4428745,4428745,4428745,4428745,4428745,4428745,4428745,4428745,4428745,4428745,4281687,4281687,4281687,4281687,4281687,4281687,4281687,4281687,4281687,4281687,4281687,4281687,5958120,5958120,5958120,5958120,5958120,5958120,5958120,5958120,5958120,5958120,5958120,5958120,,,,,,
Excess return,Industrials,,0.213425385,-0.307224284,-0.152833397,-0.223336612,-0.13620028,-0.043909077,-0.204992281,-0.12672541,-0.253645637,-0.164665439,-0.125935637,-0.194334733,-0.320104454,-0.389950548,-0.257554629,0.00400345,-0.014931775,-0.196840088,-0.166419182,-0.234916827,-0.216475059,-0.095937621,-0.112615221,-0.112418818,-0.053196538,-0.158362819,-0.253674601,-0.17118226,0.018604829,-0.036013466,0.063566888,-0.096779599,-0.157437588,-0.003111482,-0.185110096,-0.052994927,-0.08732591,-0.140368488,-0.082379892,-0.126608464,-0.195440869,-0.151714365,-0.171288859,-0.072523958,-0.090179763,-0.074237067,-0.178338238,-0.114118622,-0.213607593,-0.154543168,-0.226356038,-0.045365096,-0.112107573,-0.173532281,0.004753142,-0.06718266,-0.140547038,-0.162363622,-0.107255658,-0.115221507,0.102747491,-0.14743892,-0.086701323,-0.184569105,-0.203685085,-0.027617448,-0.194462876,-0.154306231,-0.05251424,-0.066920063,-0.082904433,-0.198482957,-0.082262422,-0.078849233,-0.072781844,-0.055764131,-0.07991221,-0.15432156,-0.327642728,-0.169119892,-0.068143751,-0.168976256,-0.233288217,-0.176503558,-0.439524447,-0.148639422,-0.31030548,-0.204322841,-0.423528327,-0.199769171,-0.518076671,-0.049763119,-0.248121905,-0.267369636,-0.17907699,-0.540493124,-0.234688856,-0.792598457,-0.07228043,-0.1574236,-0.221688525,-0.057341195,-0.020059053,-0.050355191,-0.124333978,0.34289423,-0.323360051,0.070681845,-0.238991378,-0.110050129,-0.114440711,-0.126970684,-0.345399563,-0.097537529,-0.316064662,-0.05260495,-0.213085558,-0.148468335,0.017225041,0.042139156,-0.23549898,-0.114866059,-0.138953704,-0.074545289,-0.107316384,-0.179114533,-0.12385174,-0.067050739,-0.135216764,-0.076888261,-0.068146833,0.095474129,-0.031533053,0.157231147,-0.148276069,-0.023648475,-0.083197193,-0.069163827,-0.03645655,-0.13487471,-0.155753485,-0.107933996,-0.10997391,-0.013717941,-0.021644113,0.085939642,0.056372423,-0.103465091,-0.09266457,-0.156075398,-0.099270692,-0.154982365,0.007983873,-0.092222586,-0.05361548,0.006155048
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,1.6918,1.7051,1.476,1.525,1.5265,1.4623,1.3954,1.3904,1.2956,1.4023,1.299,0.8065,0.8285,0.7041,0.7091,0.667,0.664,0.6247,0.6118,0.6468,0.6271,0.6207,0.6099,0.3617,0.3339,0.3406,0.4692,0.4726,0.568,0.5694,0.6141,0.6067,0.597,0.6526,0.6756,0.7815,0.7721,0.8864,0.89,0.8838,0.8658,0.9044,0.8976,0.9102,0.9104,0.9049,0.8408,0.8409,0.9098,0.8775,0.8289,0.7064,0.6036,0.599,0.5732,0.5472,0.4724,0.4145,0.34,0.3251,0.4994,0.572,0.5733,0.5975,0.6374,0.6675,0.6799,0.6666,0.6341,0.738,0.7365,0.7297,0.7037,0.7091,0.6693,0.9529,0.9297,0.9113,0.9751,0.9716,1.1829,1.1545,1.1894,0.9326,1.2985,1.1048,1.1802,1.1846,1.1012,0.9941,1.2913,1.2885,1.0435,0.9925,0.9759,0.9239,0.9138,1.2259,1.1792,1.192,1.0972,1.0735,1.1435,1.1686,1.1461,1.3327,1.3197,1.3927,1.3357,1.4428,1.4199,1.4341,1.5423,1.515,1.2697,1.3541,1.2738,1.3697,1.3123,1.3453,0.6433,0.6422,0.6585,0.6542,0.94,0.9728,0.9545,0.9223,0.9421,0.5335,0.5341,0.3704,0.3432,0.3332,0.3746,0.3888,0.2042,0.2162,0.5783,0.56,0.787,0.8317,0.8096,0.6809,0.569,0.4607,0.4236,0.4723,0.3785,0.4586,0.4198,0.3999,0.3528,0.3632,0.3562,0.4924,
VO monthly avg,Industrials,0.8,143.26,118.94,147.7,65.95,68.85,104.64,162.59,161.48,38.5,78.85,146.5,135.72,45.45,67.91,73.99,99.97,111.87,198.52,151.1,37.5,72.55,69.55,128.29,94.69,111.86,76.82,77.19,29.36,60.51,40.59,87.09,74.86,63.42,55.74,135.13,108.82,91.81,141.88,94.16,34.71,90.65,135.16,140.81,87.09,158.86,249.58,178.87,114.96,105.76,176.26,136.19,119.67,114.8,214.18,255.85,136.24,147.59,124.9,170.6,116.16,166.76,150.78,131.36,56.02,100.1,179.23,156.26,113.91,214.13,134.78,233.31,227.5,160.88,216.18,236.31,111.19,251.17,848.84,366.76,221.2,911.97,178.54,255.42,124.73,206.28,168.06,149.59,156.92,239.48,151.97,125.16,66.94,175.35,68.34,82.56,86.69,301.72,181.52,172.29,359.37,400.44,161.58,135.23,506.1,453.99,817.85,1642.06,645.21,504.78,899.07,470.37,199.93,471.81,463.35,654.76,325.87,314.48,286.4,433.6,313.18,397.58,416.32,1225.85,566.91,657.81,436.98,470.68,845.63,394.48,432,471.5,634.17,430.32,1168.9,1190.64,928.38,1020.5,980.65,611.47,770.63,600.22,386.14,381.94,329.34,315.15,603.59,632.66,587.52,334.81,405.64,424.09,605.46,343.46,188.75,424.25,249.95
Total assets,Industrials,2687341,2687341,2687341,2687341,3419959,3419959,3419959,3419959,3419959,3419959,3419959,3419959,3419959,3419959,3419959,3419959,3479090,3479090,3479090,3479090,3479090,3479090,3479090,3479090,3479090,3479090,3479090,3479090,4381889,4381889,4381889,4381889,4381889,4381889,4381889,4381889,4381889,4381889,4381889,4381889,6111895,6111895,6111895,6111895,6111895,6111895,6111895,6111895,6111895,6111895,6111895,6111895,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,7869737,9174171,9174171,9174171,9174171,9174171,9174171,9174171,9174171,9174171,9174171,9174171,9174171,10551719,10551719,10551719,10551719,10551719,10551719,10551719,10551719,10551719,10551719,10551719,10551719,8598149,8598149,8598149,8598149,8598149,8598149,8598149,8598149,8598149,8598149,8598149,8598149,7344195,7344195,7344195,7344195,7344195,7344195,7344195,7344195,7344195,7344195,7344195,7344195,7260030,7260030,7260030,7260030,7260030,7260030,7260030,7260030,7260030,7260030,7260030,7260030,7682332,7682332,7682332,7682332,7682332,7682332,7682332,7682332,7682332,7682332,7682332,7682332,10242433,10242433,10242433,10242433,10242433,10242433,10242433,10242433,10242433,10242433,10242433,10242433,,,,,,
Net sales,Industrials,4505319,4505319,4505319,4505319,5536447,5536447,5536447,5536447,5536447,5536447,5536447,5536447,5536447,5536447,5536447,5536447,6013946,6013946,6013946,6013946,6013946,6013946,6013946,6013946,6013946,6013946,6013946,6013946,7072796,7072796,7072796,7072796,7072796,7072796,7072796,7072796,7072796,7072796,7072796,7072796,8386248,8386248,8386248,8386248,8386248,8386248,8386248,8386248,8386248,8386248,8386248,8386248,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,9890522,11575046,11575046,11575046,11575046,11575046,11575046,11575046,11575046,11575046,11575046,11575046,11575046,12413979,12413979,12413979,12413979,12413979,12413979,12413979,12413979,12413979,12413979,12413979,12413979,7138572,7138572,7138572,7138572,7138572,7138572,7138572,7138572,7138572,7138572,7138572,7138572,6991748,6991748,6991748,6991748,6991748,6991748,6991748,6991748,6991748,6991748,6991748,6991748,7834829,7834829,7834829,7834829,7834829,7834829,7834829,7834829,7834829,7834829,7834829,7834829,10204811,10204811,10204811,10204811,10204811,10204811,10204811,10204811,10204811,10204811,10204811,10204811,11717972,11717972,11717972,11717972,11717972,11717972,11717972,11717972,11717972,11717972,11717972,11717972,,,,,,
common equity,Industrials,1174826,1174826,1174826,1174826,1176551,1176551,1176551,1176551,1176551,1176551,1176551,1176551,1176551,1176551,1176551,1176551,1059510,1059510,1059510,1059510,1059510,1059510,1059510,1059510,1059510,1059510,1059510,1059510,1239054,1239054,1239054,1239054,1239054,1239054,1239054,1239054,1239054,1239054,1239054,1239054,1859769,1859769,1859769,1859769,1859769,1859769,1859769,1859769,1859769,1859769,1859769,1859769,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,1754857,2175869,2175869,2175869,2175869,2175869,2175869,2175869,2175869,2175869,2175869,2175869,2175869,2007161,2007161,2007161,2007161,2007161,2007161,2007161,2007161,2007161,2007161,2007161,2007161,994047,994047,994047,994047,994047,994047,994047,994047,994047,994047,994047,994047,2362644,2362644,2362644,2362644,2362644,2362644,2362644,2362644,2362644,2362644,2362644,2362644,2572777,2572777,2572777,2572777,2572777,2572777,2572777,2572777,2572777,2572777,2572777,2572777,3020123,3020123,3020123,3020123,3020123,3020123,3020123,3020123,3020123,3020123,3020123,3020123,3532396,3532396,3532396,3532396,3532396,3532396,3532396,3532396,3532396,3532396,3532396,3532396,,,,,,
Turnover ratio,Industrials,0%,0.04%,0.04%,0.04%,0.02%,0.02%,0.03%,0.05%,0.05%,0.01%,0.02%,0.04%,0.04%,0.01%,0.02%,0.02%,0.03%,0.03%,0.06%,0.04%,0.01%,0.02%,0.02%,0.04%,0.03%,0.03%,0.02%,0.02%,0.01%,0.02%,0.01%,0.03%,0.02%,0.02%,0.02%,0.04%,0.03%,0.03%,0.04%,0.03%,0.01%,0.03%,0.04%,0.04%,0.02%,0.04%,0.06%,0.04%,0.03%,0.03%,0.04%,0.03%,0.03%,0.03%,0.05%,0.06%,0.03%,0.04%,0.03%,0.04%,0.03%,0.04%,0.04%,0.03%,0.01%,0.02%,0.04%,0.04%,0.03%,0.05%,0.03%,0.06%,0.06%,0.04%,0.05%,0.06%,0.03%,0.06%,0.21%,0.09%,0.05%,0.23%,0.04%,0.06%,0.03%,0.05%,0.04%,0.04%,0.04%,0.06%,0.04%,0.03%,0.02%,0.03%,0.01%,0.02%,0.02%,0.06%,0.03%,0.03%,0.07%,0.07%,0.03%,0.02%,0.09%,0.08%,0.03%,0.05%,0.02%,0.02%,0.03%,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.04%,0.02%,0.02%,0.01%,0.01%,0.03%,0.01%,0.01%,0.01%,0.19%,0.13%,0.36%,0.38%,0.29%,0.32%,0.31%,0.19%,0.24%,0.19%,0.12%,0.12%,0.1%,0.1%,0.19%,0.2%,0.19%,0.11%,0.13%,0.13%,0.19%,0.11%,0.06%,0.13%,0.08%
Return monthly,Industrials,,0.444446685,-0.097436284,0.065341603,-0.006667112,0.07382462,0.152501123,-0.011397081,0.06179739,-0.058200737,0.022471561,0.027473863,-0.026739233,-0.153846154,-0.220777248,-0.083333629,0.16363545,0.140624325,-0.041096688,-0.015070782,-0.082709527,-0.065570959,0.054386079,0.014971879,0.013116882,0.067961262,-0.030303219,-0.125000801,-0.03749826,0.150277029,0.096774834,0.196888988,0.037131401,-0.022223788,0.130051318,-0.043575596,0.086447373,0.06451729,0.010101512,0.069999508,0.028036936,-0.036363669,0.009434435,-0.009346259,0.089431242,0.071428937,0.083333333,-0.038461538,0.023998778,-0.078125093,-0.025422468,-0.095652838,0.075961704,0.009829427,-0.057520681,0.118226742,0.04347854,-0.033333538,-0.060343622,-0.009174358,-0.009259307,0.213083491,-0.03852102,0.025641177,-0.070312905,-0.084032585,0.100916252,-0.066667076,-0.027677931,0.07437976,0.059829437,0.041666667,-0.075999857,0.038960878,0.041666667,0.064000856,0.082706969,0.06249969,-0.00719026,-0.180381928,-0.012047192,0.085239749,-0.008494056,-0.088784417,-0.008548058,-0.280172047,0.017963178,-0.14117568,-0.034247241,-0.253900027,-0.026617271,-0.345701171,0.104477381,-0.094594405,-0.122387936,-0.04762129,-0.403573724,-0.071857156,-0.632258857,0.08771557,0,-0.064508025,0.103449305,0.140612747,0.109599109,0.049376122,0.51668533,-0.145169951,0.245280945,-0.060594978,0.064503571,0.060607589,0.057144216,-0.162154563,0.064503571,-0.151506362,0.10714445,-0.048394458,0.016956565,0.183328941,0.169017056,-0.10844038,0.013519441,-0.013339104,0.067574711,0.037970016,-0.036581033,0.01265316,0.075001561,-0.023256264,0.035710039,0.034488367,0.194445729,0.067908547,0.259580947,-0.047031669,0.066766125,0.002723407,0.033919073,0.06627345,-0.01969371,-0.036406385,0.009770804,-0.00322721,0.087379059,0.071429987,0.177776442,0.146227323,-0.007819591,0.01202723,-0.051227998,0.007773008,-0.057005965,0.106815473,0.010268014,0.05650572,0.006155048
