me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Industrials,84280,84280,84280,84280,84280,84280,84280,69226,69226,69226,69226,69226,69226,69226,69226,69226,69226,69226,69226,68472,68472,68472,68472,68472,68472,68472,68472,68472,68472,68472,68472,75502,75502,75502,75502,75502,75502,75502,75502,75502,75502,75502,75502,113533,113533,113533,113533,113533,113533,113533,113533,113533,113533,113533,113533,115102,115102,115102,115102,115102,115102,115102,115102,115102,115102,115102,115102,229986,229986,229986,229986,229986,229986,229986,229986,229986,229986,229986,229986,259147,259147,259147,259147,259147,259147,259147,259147,259147,259147,259147,259147,218744,218744,218744,218744,218744,218744,218744,218744,218744,218744,218744,218744,204898,204898,204898,204898,204898,204898,204898,204898,204898,204898,204898,204898,208285,208285,208285,208285,208285,208285,208285,208285,208285,208285,208285,208285,241343,241343,241343,241343,241343,241343,241343,241343,241343,241343,241343,241343,231572,231572,231572,231572,231572,231572,231572,231572,231572,231572,231572,231572,,,,,,
Excess return,Industrials,,-0.250117618,-0.207137789,-0.2122845,-0.207062,-0.402115307,-0.317118652,-0.211963016,-0.459665592,-0.486089907,-0.096181781,-0.06712924,-0.333030171,0.245413504,0.019728613,-0.34657549,-0.1675448,-0.176369899,-0.1578602,-0.1622096,0.979368603,-0.127247118,0.133475649,-0.225443731,-0.131778501,-0.064970457,-0.167231349,0.100045144,-0.145276,-0.041202484,-0.301601995,-0.122860556,0.175152116,-0.116558258,-0.081186523,0.123903361,-0.1431656,-0.17150698,-0.122838301,-0.246326362,-0.125292576,-0.133440434,-0.093273204,-0.074061172,-0.15059791,0.045746359,0.020845262,-0.06599858,-0.13119498,-0.129592088,-0.090530753,-0.095687908,-0.151800122,-0.070719549,-0.053118422,-0.204718671,-0.0984518,-0.03641645,-0.053904622,-0.187982957,-0.113910081,-0.183037577,-0.013681009,-0.095354529,-0.030534605,-0.112707529,-0.237516634,-0.089437041,0.054139638,-0.051011776,-0.0163772,0.016672911,-0.059470467,-0.026378971,-0.0946733,0.009553791,-0.070099793,-0.057393133,-0.088376929,-0.020278232,0.247438806,-0.244320143,-0.188307542,-0.173618883,-0.037372346,-0.0963461,-0.18349189,-0.226822946,-0.080086412,-0.258997255,0.04782218,-0.0985521,-0.209344541,-0.322019271,-0.15995506,-0.1040192,0.134595284,-0.085772173,-0.125957413,-0.076348146,-0.120691623,-0.054799682,-0.008696648,-0.052641961,0.144102824,-0.094295724,-0.101527593,-0.233515489,-0.034551572,-0.032848281,-0.1309514,0.11853491,-0.072847501,-0.248224613,-0.126107612,-0.084879581,-0.093415511,-0.084830384,-0.144160076,-0.132923936,0.022380188,-0.033449651,-0.087757791,-0.140935652,-0.141797132,-0.085061692,-0.167153225,-0.012151525,-0.1309769,-0.165356971,-0.0911096,-0.114222518,0.041987322,-0.065234434,-0.102643045,-0.122874519,-0.103462996,-0.15465887,-0.037154591,-0.170934809,-0.1002815,-0.097214503,-0.091089377,-0.050989629,-0.057715226,-0.136525053,-0.072523216,-0.048374999,-0.084068311,-0.105670026,-0.12433699,-0.093516582,-0.02790041,-0.108601886,-0.090559458,-0.163878666,0.005916549
Risk premium,Industrials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Industrials,1.8609,1.4493,1.318,1.4315,1.374,1.4768,1.4355,1.3548,1.4223,1.4805,1.4426,0.88,0.8089,0.8363,0.8407,0.7883,0.7896,0.7316,0.6454,0.8192,0.8062,0.7743,0.7134,0.8039,0.7743,0.7854,0.7057,0.7117,0.752,0.7207,0.6963,0.8547,0.6684,0.6125,0.6442,0.8514,0.8312,0.8017,0.8584,0.8671,0.8917,0.8878,0.8784,0.3089,0.3522,0.3812,0.3729,0.3737,0.4059,0.3511,0.6614,0.6869,0.5204,0.5209,0.4177,0.2615,0.2786,0.2365,0.3555,0.3216,0.2325,0.1139,0.0968,0.0984,0.1439,0.1763,0.198,0.2467,0.1924,0.2582,0.2544,0.2514,0.2326,0.2277,0.2591,0.0731,0.068,0.0909,0.1705,0.0142,-0.1784,-0.2607,-0.0496,0.1416,0.2235,0.1047,0.2962,0.2526,0.2019,0.1085,0.1797,0.1167,0.487,0.5019,0.4753,0.4884,0.4755,0.4696,0.4218,0.4216,0.4531,0.429,0.4609,0.4947,0.5933,0.5895,0.5598,0.5891,0.5711,0.6811,0.7278,0.7325,0.8584,0.8578,0.8505,0.6584,0.6112,0.5507,0.5634,0.6002,0.5628,0.6404,0.6627,0.6593,0.7585,0.7897,0.7784,0.7121,0.7663,0.7622,0.7599,0.6638,0.715,0.5372,0.5576,0.5619,0.4929,0.4956,0.4823,0.4768,0.5505,0.5602,0.5657,0.4041,0.4473,0.4206,0.4039,0.426,0.3793,0.3829,0.4539,0.4653,0.3415,0.2916,0.3373,0.4757,
VO monthly avg,Industrials,0,2.56,16.41,0.58,0,0.25,2.43,0.25,5.5,2.05,2.92,2.1,3.67,2.82,0.02,0.06,0.12,1.36,0,0,4.38,150.33,20.3,7.01,5.63,13.29,4.46,1.21,22.22,76.97,2.16,9.44,13.15,10.93,6.58,5.96,1.01,1.18,31.38,0.4,0.57,0.42,0.34,0.96,1.2,3.98,3.71,1.89,1.47,1.84,2.77,3.85,5.24,2.85,76.51,5.96,190,22.43,16.94,72.42,2.26,12.22,8.79,20.02,4.81,10.11,6.63,9.6,1.93,1.05,3.94,5.63,10.71,33.56,86.73,18.89,5.76,6.37,11.68,1.16,2.43,5.64,0.17,1.62,1.52,0,0.18,2.13,0.25,1.12,1.12,0,9.62,12.52,2.6,9.38,0.05,1.61,0.25,12.99,4.48,0.15,1.66,0.87,5.6,48.22,1.26,5.89,1.68,0.44,1.43,3.55,2.94,3.19,0.38,0.98,19.94,16.7,7.13,35.81,32.17,10.22,27.53,19.92,6.97,7.62,3.59,3.62,14.64,9.47,8.53,6,9.04,2.46,5.55,1.6,22.56,4.77,11.31,8.34,6.34,8.82,1.79,1.71,1.74,2.57,2.73,7.75,15.95,7.47,3.05,9.53,7.33,2.94,20.44,10.02,8.36
Total assets,Industrials,146554,146554,146554,146554,146554,146554,146554,141822,141822,141822,141822,141822,141822,141822,141822,141822,141822,141822,141822,153563,153563,153563,153563,153563,153563,153563,153563,153563,153563,153563,153563,172249,172249,172249,172249,172249,172249,172249,172249,172249,172249,172249,172249,249017,249017,249017,249017,249017,249017,249017,249017,249017,249017,249017,249017,228723,228723,228723,228723,228723,228723,228723,228723,228723,228723,228723,228723,361279,361279,361279,361279,361279,361279,361279,361279,361279,361279,361279,361279,409847,409847,409847,409847,409847,409847,409847,409847,409847,409847,409847,409847,407010,407010,407010,407010,407010,407010,407010,407010,407010,407010,407010,407010,431891,431891,431891,431891,431891,431891,431891,431891,431891,431891,431891,431891,482765,482765,482765,482765,482765,482765,482765,482765,482765,482765,482765,482765,561866,561866,561866,561866,561866,561866,561866,561866,561866,561866,561866,561866,592507,592507,592507,592507,592507,592507,592507,592507,592507,592507,592507,592507,,,,,,
Net sales,Industrials,250675,250675,250675,250675,250675,250675,250675,280190,280190,280190,280190,280190,280190,280190,280190,280190,280190,280190,280190,319607,319607,319607,319607,319607,319607,319607,319607,319607,319607,319607,319607,300796,300796,300796,300796,300796,300796,300796,300796,300796,300796,300796,300796,331522,331522,331522,331522,331522,331522,331522,331522,331522,331522,331522,331522,340619,340619,340619,340619,340619,340619,340619,340619,340619,340619,340619,340619,542588,542588,542588,542588,542588,542588,542588,542588,542588,542588,542588,542588,720179,720179,720179,720179,720179,720179,720179,720179,720179,720179,720179,720179,802987,802987,802987,802987,802987,802987,802987,802987,802987,802987,802987,802987,786340,786340,786340,786340,786340,786340,786340,786340,786340,786340,786340,786340,955840,955840,955840,955840,955840,955840,955840,955840,955840,955840,955840,955840,1044221,1044221,1044221,1044221,1044221,1044221,1044221,1044221,1044221,1044221,1044221,1044221,1123204,1123204,1123204,1123204,1123204,1123204,1123204,1123204,1123204,1123204,1123204,1123204,,,,,,
common equity,Industrials,62274,62274,62274,62274,62274,62274,62274,72596,72596,72596,72596,72596,72596,72596,72596,72596,72596,72596,72596,85091,85091,85091,85091,85091,85091,85091,85091,85091,85091,85091,85091,96747,96747,96747,96747,96747,96747,96747,96747,96747,96747,96747,96747,126211,126211,126211,126211,126211,126211,126211,126211,126211,126211,126211,126211,104348,104348,104348,104348,104348,104348,104348,104348,104348,104348,104348,104348,122020,122020,122020,122020,122020,122020,122020,122020,122020,122020,122020,122020,141427,141427,141427,141427,141427,141427,141427,141427,141427,141427,141427,141427,178993,178993,178993,178993,178993,178993,178993,178993,178993,178993,178993,178993,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,217720,274480,274480,274480,274480,274480,274480,274480,274480,274480,274480,274480,274480,320523,320523,320523,320523,320523,320523,320523,320523,320523,320523,320523,320523,360935,360935,360935,360935,360935,360935,360935,360935,360935,360935,360935,360935,,,,,,
Turnover ratio,Industrials,0%,0.01%,0.05%,0%,0%,0%,0.01%,0%,0.02%,0.01%,0.01%,0.01%,0.01%,0.01%,0%,0%,0%,0%,0%,0%,0.01%,0.46%,0.06%,0.02%,0.02%,0.04%,0.01%,0%,0.07%,0.24%,0.01%,0.03%,0.04%,0.04%,0.02%,0.02%,0%,0%,0.1%,0%,0%,0%,0%,0%,0%,0.01%,0.01%,0.01%,0%,0.01%,0.01%,0.01%,0.02%,0.01%,0.23%,0.02%,0.62%,0.07%,0.06%,0.24%,0.01%,0.04%,0.03%,0.07%,0.02%,0.03%,0.02%,0.03%,0.01%,0%,0.01%,0.02%,0.04%,0.11%,0.28%,0.06%,0.02%,0.02%,0.04%,0%,0.01%,0.02%,0%,0.01%,0%,0%,0%,0.01%,0%,0%,0%,0%,0.03%,0.04%,0.01%,0.03%,0%,0.01%,0%,0.04%,0.01%,0%,0.01%,0%,0.02%,0.16%,0%,0.02%,0.01%,0%,0%,0.01%,0.01%,0.01%,0%,0%,0.07%,0.06%,0.02%,0.12%,0.11%,0.03%,0.08%,0.06%,0.02%,0.02%,0.01%,0.01%,0.04%,0.03%,0.03%,0.02%,0.03%,0.01%,0.02%,0%,0.07%,0.01%,0.03%,0.03%,0.02%,0.03%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.05%,0.02%,0.01%,0.03%,0.02%,0.01%,0.06%,0.03%,0.03%
Return monthly,Industrials,,-0.035211718,-0.007303789,0,0,-0.191176907,-0.118182152,-0.020610616,-0.263160692,-0.285718407,0.100002019,0.09091076,-0.166669471,0.420000404,0.197192713,-0.16471259,0,-0.014079099,0,0,1.142859203,0.033333782,0.290319849,-0.069998031,0.021502399,0.084209743,-0.024272249,0.243782244,0,0.100001616,-0.163635095,0.026085544,0.313561316,0.016129242,0.049998077,0.269841561,0,-0.02499988,0.025640899,-0.094999062,0.030984524,0.024590966,0.066665996,0.049999528,-0.02380931,0.174361959,0.148937962,0.04444452,-0.02482328,-0.027272788,0.028037447,0.033786792,-0.035714922,0.046297151,0.053096678,-0.109244171,0,0.05958305,0.049091878,-0.090122157,-0.024762581,-0.101561877,0.065217391,-0.014455329,0.052631095,-0.024000629,-0.139342634,0.011905059,0.152940838,0.045654824,0.08,0.111111111,0.033333333,0.064516129,0,0.090909091,0.014084207,0.033333567,0.008064571,0.066666368,0.318749606,-0.180094243,-0.105882342,-0.078948083,0.062858154,0,-0.07258129,-0.116409146,0.033333288,-0.145161755,0.15094328,0,-0.090163541,-0.199399571,-0.04651116,0,0.243901784,0.029412627,-0.013334013,0.035112654,-0.003846323,0.061777318,0.109090052,0.065574139,0.269230724,0.032592776,0.024389807,-0.105952189,0.091877728,0.097561019,0,0.24938241,0.068181699,-0.106383213,0.009523888,0.035849619,0.024590089,0.028263716,-0.025915876,-0.013761336,0.144186588,0.093495549,0.040892309,-0.014999752,-0.011111632,0.048689408,-0.035714025,0.111110775,0,-0.038988371,0.0357141,0.006896882,0.164382322,0.047059166,0.011235755,-0.010724819,0.005139704,-0.05113607,0.059880309,-0.073446409,0,0.005028097,0.011249723,0.038318671,0.035714674,-0.045977253,0.018072484,0.038563001,0.011627589,-0.005747326,-0.01734129,0.017647318,0.06936409,-0.014281086,0.010740442,-0.054809566,0.005916549
