me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,437617,437617,437617,437617,437617,437617,437617,362700,362700,362700,362700,362700,362700,362700,362700,362700,362700,362700,362700,505200,505200,505200,505200,505200,505200,505200,505200,505200,505200,505200,505200,587300,587300,587300,587300,587300,587300,587300,587300,587300,587300,587300,587300,767300,767300,767300,767300,767300,767300,767300,767300,767300,767300,767300,767300,726000,726000,726000,726000,726000,726000,726000,726000,726000,726000,726000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,920000,920000,920000,920000,920000,920000,920000,920000,920000,920000,920000,920000,907000,907000,907000,907000,907000,907000,907000,907000,907000,907000,907000,907000,1005000,1005000,1005000,1005000,1005000,1005000,1005000,1005000,1005000,1005000,1005000,1005000,1139000,1139000,1139000,1139000,1139000,1139000,1139000,1139000,1139000,1139000,1139000,1139000,878000,878000,878000,878000,878000,878000,878000,878000,878000,878000,878000,878000,878000,963000,963000,963000,963000,963000,963000,963000,963000,963000,963000,963000,963000,,,,,,
Excess return,Consumer Goods,,0.075097178,-0.257638012,-0.121455958,-0.160374148,-0.124395735,-0.135295986,0.000953783,-0.26528073,-0.162841214,-0.109473858,-0.092434968,-0.30732277,-0.203506785,-0.096547449,-0.169622339,-0.133802168,0.053638307,-0.052107128,-0.144316498,-0.146313803,-0.119881065,-0.164669839,0.025218997,-0.078213383,-0.158296536,-0.137264431,-0.11624123,-0.074689746,-0.053931576,-0.027790882,-0.024720161,-0.1148233,-0.145628266,-0.013461265,-0.089846993,-0.06150151,-0.177087621,-0.074976531,-0.023937704,-0.167608593,-0.186876703,-0.085564431,-0.130189226,-0.114287663,0.089511547,-0.058627927,0.063375733,-0.104914548,-0.128671656,-0.097477394,-0.17732561,-0.15037275,-0.092356741,-0.092152333,-0.048074009,-0.118440658,-0.042599776,-0.195687221,-0.082561672,0.06773604,-0.069148672,-0.111036199,-0.024432569,-0.119330052,-0.313752961,-0.264467376,-0.107458246,-0.132755052,-0.106624045,-0.037420797,0.016316756,-0.070557512,-0.068051879,-0.151695823,-0.085383752,-0.045422354,-0.105706237,-0.284452548,-0.166405386,-0.271344448,-0.181853122,-0.143793103,-0.291043099,-0.217532786,-0.192220608,-0.13486912,-0.159924548,-0.149304417,-0.263557323,-0.113318473,0.152876713,-0.042925776,-0.151080256,0.036553745,-0.130281106,-0.017136461,-0.071211614,-0.220229949,-0.03871418,-0.051197303,-0.042735374,-0.093155117,-0.029926798,-0.128248212,-0.011583875,-0.05491434,-0.187964726,-0.064239336,-0.1373553,0.058814725,-0.029030885,-0.094306971,-0.091160902,-0.130930289,-0.024438445,-0.112683954,0.087841256,-0.145122787,-0.084531642,-0.136477932,-0.244739309,-0.134084246,-0.004126163,-0.05649686,-0.181845488,-0.122691586,-0.143468246,-0.069186228,-0.216201907,-0.00415483,-0.155773582,-0.210555232,-0.08648151,-0.111985802,-0.144252914,-0.098749507,-0.15302421,-0.05676651,0.009714618,-0.210046275,-0.131334799,-0.129511325,-0.134130354,0.007781216,-0.203592325,-0.225008336,-0.142704488,-0.141159388,-0.155597521,-0.133332786,-0.174004426,-0.147138233,-0.002475558,-0.064148357,-0.27874659,-0.052463412
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,1.1753,1.1771,1.0228,1.095,1.048,0.9494,0.872,0.8295,0.7658,0.7949,0.7739,0.4889,0.4955,0.4492,0.4501,0.4327,0.4284,0.3696,0.3794,0.3763,0.3203,0.3266,0.3182,0.1729,0.201,0.2141,0.2414,0.2382,0.2878,0.3421,0.3693,0.405,0.3939,0.4395,0.4358,0.6385,0.5971,0.5954,0.592,0.6053,0.5787,0.6314,0.6287,0.626,0.6964,0.6713,0.7456,0.7458,0.7147,0.6764,0.7001,0.728,0.8215,0.8213,0.8105,0.7861,0.7649,0.7999,0.8106,0.9139,0.917,0.9435,0.9485,0.9241,1.025,1.0938,1.0958,1.0818,1.0278,1.0189,1.0142,1.0219,1.0098,1.0295,0.9842,1.1469,1.134,1.2343,1.2424,1.2972,1.3551,1.3287,1.4215,1.3109,1.1976,1.0385,0.9878,0.8733,0.8336,0.8172,0.3693,0.3586,0.4289,0.2905,0.2479,0.2159,0.2086,0.3071,0.2792,0.2906,0.335,0.3306,0.3762,0.376,0.3887,0.4023,0.3665,0.3521,0.3431,0.3546,0.351,0.3594,0.3898,0.3995,0.5628,0.5151,0.592,0.774,0.7656,0.7382,0.7186,0.7688,0.7416,0.7435,0.8125,0.8072,0.8347,0.8357,0.9193,1.0008,0.9968,1.0297,1.0291,1.0646,1.0593,1.0577,1.1147,1.1341,1.2503,1.2185,1.0559,1.0745,1.0646,1.25,1.0867,1.1706,1.2131,1.1511,0.9284,0.8769,0.8628,0.8567,0.8276,0.7018,0.8058,0.6905,
VO monthly avg,Consumer Goods,95.1,442.06,727.45,415.07,383.6,292.9,450.85,363.34,246.67,572.23,464.72,879.85,1092.69,710.18,972.65,635.5,1163.03,630.15,768.06,839.44,734.17,739.26,1191.17,1324.88,837.8,570.27,759.44,955.71,594.59,723.28,780.25,474.67,569.86,706.96,662.11,845.69,708.54,1308.25,706.29,887.84,742.05,651.06,1180.49,564.73,695.23,679.63,923.87,1404.51,889.62,1001.4,741.81,730.36,876.05,524.47,1133.99,1222.55,688.82,1006.88,780.71,819.9,804.53,1617.34,1455.55,2305.31,2041.35,2087.45,3351.92,1644.79,1721.06,2381.06,1960.58,2298.88,1811.16,1489.72,1731.93,1607.28,1198.64,2239.37,2769.81,1558.57,2482.87,2225.64,2898.51,2145.97,2053.7,2174.1,2322.25,2717.82,1521.37,2034.37,1738.95,1830.47,1890.61,1936.97,2864.52,2421.39,1726.63,1740.53,1932.06,2651.89,1934.44,2175.85,1477.56,3075.8,2340.35,1844.3,3320.65,1574.35,1606.08,1867.12,1829.91,2094.85,1210.24,1769.19,1858.46,1446.23,1568.99,1705.89,1218.81,1829.81,1109.36,1657.94,2516.45,1643.66,1202.77,1004.14,1725.09,1181.63,1489.5,1712.8,1340.09,1359.96,999.36,1821.98,995.2,991.19,573.06,815.37,1356.96,1141.6,857.79,933.75,1067.25,1289.76,791.11,1348.96,1382.71,2163.31,1600.31,1862.96,2884.52,1217.78,1319.84,1478.15,1354.73,1376.95,1252.77
Total assets,Consumer Goods,1323087,1323087,1323087,1323087,1323087,1323087,1323087,1420300,1420300,1420300,1420300,1420300,1420300,1420300,1420300,1420300,1420300,1420300,1420300,1841000,1841000,1841000,1841000,1841000,1841000,1841000,1841000,1841000,1841000,1841000,1841000,2087700,2087700,2087700,2087700,2087700,2087700,2087700,2087700,2087700,2087700,2087700,2087700,2584000,2584000,2584000,2584000,2584000,2584000,2584000,2584000,2584000,2584000,2584000,2584000,2634000,2634000,2634000,2634000,2634000,2634000,2634000,2634000,2634000,2634000,2634000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3319000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,3840000,4458000,4458000,4458000,4458000,4458000,4458000,4458000,4458000,4458000,4458000,4458000,4458000,5376000,5376000,5376000,5376000,5376000,5376000,5376000,5376000,5376000,5376000,5376000,5376000,6185000,6185000,6185000,6185000,6185000,6185000,6185000,6185000,6185000,6185000,6185000,6185000,6859000,6859000,6859000,6859000,6859000,6859000,6859000,6859000,6859000,6859000,6859000,6859000,6859000,7182000,7182000,7182000,7182000,7182000,7182000,7182000,7182000,7182000,7182000,7182000,7182000,,,,,,
Net sales,Consumer Goods,1594970,1594970,1594970,1594970,1594970,1594970,1594970,1984000,1984000,1984000,1984000,1984000,1984000,1984000,1984000,1984000,1984000,1984000,1984000,2306000,2306000,2306000,2306000,2306000,2306000,2306000,2306000,2306000,2306000,2306000,2306000,2718700,2718700,2718700,2718700,2718700,2718700,2718700,2718700,2718700,2718700,2718700,2718700,3286000,3286000,3286000,3286000,3286000,3286000,3286000,3286000,3286000,3286000,3286000,3286000,3816000,3816000,3816000,3816000,3816000,3816000,3816000,3816000,3816000,3816000,3816000,4858000,4858000,4858000,4858000,4858000,4858000,4858000,4858000,4858000,4858000,4858000,4858000,5651000,5651000,5651000,5651000,5651000,5651000,5651000,5651000,5651000,5651000,5651000,5651000,6247000,6247000,6247000,6247000,6247000,6247000,6247000,6247000,6247000,6247000,6247000,6247000,6937000,6937000,6937000,6937000,6937000,6937000,6937000,6937000,6937000,6937000,6937000,6937000,7858000,7858000,7858000,7858000,7858000,7858000,7858000,7858000,7858000,7858000,7858000,7858000,8830000,8830000,8830000,8830000,8830000,8830000,8830000,8830000,8830000,8830000,8830000,8830000,8830000,9765000,9765000,9765000,9765000,9765000,9765000,9765000,9765000,9765000,9765000,9765000,9765000,,,,,,
common equity,Consumer Goods,885470,885470,885470,885470,885470,885470,885470,1057600,1057600,1057600,1057600,1057600,1057600,1057600,1057600,1057600,1057600,1057600,1057600,1335800,1335800,1335800,1335800,1335800,1335800,1335800,1335800,1335800,1335800,1335800,1335800,1488300,1488300,1488300,1488300,1488300,1488300,1488300,1488300,1488300,1488300,1488300,1488300,1803500,1803500,1803500,1803500,1803500,1803500,1803500,1803500,1803500,1803500,1803500,1803500,1908000,1908000,1908000,1908000,1908000,1908000,1908000,1908000,1908000,1908000,1908000,2394000,2394000,2394000,2394000,2394000,2394000,2394000,2394000,2394000,2394000,2394000,2394000,2920000,2920000,2920000,2920000,2920000,2920000,2920000,2920000,2920000,2920000,2920000,2920000,3551000,3551000,3551000,3551000,3551000,3551000,3551000,3551000,3551000,3551000,3551000,3551000,4371000,4371000,4371000,4371000,4371000,4371000,4371000,4371000,4371000,4371000,4371000,4371000,5046000,5046000,5046000,5046000,5046000,5046000,5046000,5046000,5046000,5046000,5046000,5046000,5981000,5981000,5981000,5981000,5981000,5981000,5981000,5981000,5981000,5981000,5981000,5981000,5981000,6219000,6219000,6219000,6219000,6219000,6219000,6219000,6219000,6219000,6219000,6219000,6219000,,,,,,
Turnover ratio,Consumer Goods,0.02%,0.1%,0.16%,0.09%,0.08%,0.06%,0.1%,0.08%,0.05%,0.12%,0.1%,0.19%,0.24%,0.15%,0.21%,0.14%,0.25%,0.14%,0.17%,0.18%,0.16%,0.16%,0.25%,0.28%,0.18%,0.12%,0.16%,0.2%,0.13%,0.15%,0.16%,0.1%,0.12%,0.15%,0.14%,0.18%,0.15%,0.27%,0.15%,0.18%,0.15%,0.14%,0.25%,0.12%,0.14%,0.14%,0.19%,0.29%,0.18%,0.21%,0.15%,0.15%,0.18%,0.11%,0.23%,0.25%,0.14%,0.21%,0.16%,0.17%,0.16%,0.33%,0.3%,0.47%,0.42%,0.43%,0.69%,0.34%,0.36%,0.49%,0.41%,0.48%,0.37%,0.31%,0.36%,0.33%,0.25%,0.46%,0.61%,0.35%,0.55%,0.49%,0.64%,0.48%,0.45%,0.48%,0.51%,0.6%,0.34%,0.45%,0.38%,0.4%,0.42%,0.43%,0.63%,0.53%,0.38%,0.38%,0.43%,0.58%,0.43%,0.48%,0.32%,0.68%,0.51%,0.41%,0.73%,0.35%,0.35%,0.41%,0.4%,0.46%,0.27%,0.39%,0.41%,0.32%,0.34%,0.37%,0.27%,0.4%,0.24%,0.36%,0.55%,0.36%,0.26%,0.22%,0.38%,0.26%,0.32%,0.37%,0.29%,0.3%,0.22%,0.4%,0.22%,0.22%,0.12%,0.18%,0.29%,0.25%,0.19%,0.2%,0.23%,0.28%,0.17%,0.29%,0.3%,0.47%,0.35%,0.4%,0.62%,0.26%,0.28%,0.32%,0.29%,0.3%,0.27%
Return monthly,Consumer Goods,,0.272854478,-0.076401612,0.069629042,0.026149852,0.053316465,0.028140014,0.159212283,-0.11013533,-0.005662514,0.044581842,0.040965732,-0.16070627,-0.053307185,0.056308851,-0.010162239,0.010987032,0.193123107,0.088995072,-0.010009598,-0.013434903,0.012494735,-0.032723239,0.140911697,0.038949617,-0.045108236,-0.023556231,-0.00233463,0.041341654,0.063420724,0.089575018,0.095894839,0.0062924,-0.023839766,0.104594135,0.042678507,0.06691579,-0.043577421,0.056719469,0.110896196,-0.031050493,-0.044998503,0.058643669,0.013848774,0.034185537,0.236403447,0.092944873,0.197261133,0.020911552,-0.005858456,0.023528906,-0.04526161,-0.01531825,0.043585159,0.038809167,0.080450291,0.010648042,0.088893924,-0.064019421,0.052614028,0.20000704,0.064591828,0.021519301,0.108485731,0.019344948,-0.167243561,-0.109731976,0.046495154,0.018676348,0.037966655,0.106823803,0.159296456,0.071209888,0.073356621,-0.011341223,0.063620948,0.105919646,0.057054663,-0.120481348,0.001368214,-0.103423148,-0.017495022,0.031311397,-0.122706399,-0.055933986,-0.037045108,0.01961228,-0.010406648,0.003912383,-0.105073723,0.001747427,0.266668513,0.072594924,-0.041778756,0.135671445,-0.043429406,0.075355339,0.033735686,-0.116590349,0.06449362,0.058207697,0.067642426,0.019295483,0.080811202,-0.016010112,0.103511025,0.05882516,-0.075332426,0.047825964,-0.0275155,0.166027725,0.078311315,0.017200429,0.021807598,-0.013423889,0.087262855,0.004112046,0.215003256,-0.014139987,0.043324958,-0.004856132,-0.109704909,-0.000463446,0.127114337,0.07759064,-0.046991888,0.012294514,-0.012419146,0.071429672,-0.074801507,0.13759357,-0.011602482,-0.068371932,0.05903829,0.033500098,-0.000867814,0.049026593,-0.00927591,0.08865239,0.153930118,-0.077924575,0.003308701,0.004258475,0.008469646,0.141493316,-0.065794525,-0.083433036,-0.010085188,-0.010870188,-0.024552821,-0.000576386,-0.038182326,-0.019249433,0.117687842,0.066667043,-0.15614509,-0.052463412
