me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,896,896,896,896,896,896,896,896,896,896,896,896,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,3278,765,765,765,765,765,765,765,765,765,765,765,765,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,2219,11955,11955,11955,11955,11955,11955,11955,11955,11955,11955,11955,11955,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,12208,6839,6839,6839,6839,6839,6839,6839,6839,6839,6839,6839,6839,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6549,6482,6482,6482,6482,6482,6482,6482,6482,6482,6482,6482,6482,,,,,,,,,,,,
Excess return,Basic Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.222748815,-0.164109749,-0.138746373,-0.295325192,-0.229165456,-0.251730942,-0.0289642,0.067559035,-0.068569495,-0.22830706,0.011760976,-0.17499078,-0.278702,-0.157988252,-0.215664002,-0.322784278,0.209000612,-0.008772979,-0.43115599,-0.324397698,-0.038485549,-0.312552476,-0.161136805,-0.215926367,-0.286644555,-0.270949794,0.061695676,-0.259512323,-0.78361766,-0.394891867,0.473321552,-0.259333842,-0.282517105,0.071601416,-0.128118848,-0.037384024,0.298189658,-0.201148847,-0.254601691,-0.3011061,0.118298053,0.132345462,-0.160972113,-0.300843698,-0.311581735,-0.2544438,-0.146603337,-0.084351932,-0.2604261,-0.146737937,-0.288611767,0.183350502,-0.1741844,-0.186628398,-0.036104772,-0.176121044,-0.119209365,-0.206292358,-0.075083498,-0.0384998,-0.183735218,-0.258163723,0.008730352,0.001626569,-0.0741383,-0.170360434,-0.114605613,-0.068981048,-0.046510615,-0.0557991,-0.042736101,-0.073181656,-0.3058885,-0.0772592,-0.178681334,-0.0795419,-0.381022861,-0.148609456,0.296825705,-0.25683045,-0.1107141,-0.398372895,-0.50433302,-0.064434928,-0.058742744,-0.1193311,-0.267747203,-0.191464786,-0.080171379,-0.111728215,-0.222181038,0.296786389
Risk premium,Basic Materials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7514,3.9842,1.26,1.1853,0.8731,1.0781,1.6534,1.6561,1.6727,2.0946,2.0799,2.1441,1.854,1.8576,1.9331,2.6147,2.8221,2.896,2.6816,1.9676,0.9782,0.9668,0.9204,0.8629,0.7941,0.4623,0.5731,1.4616,1.4788,1.5232,1.428,1.4464,1.1891,1.0285,1.048,1.3043,1.3142,1.1491,1.1165,0.9447,1.0272,0.9952,0.9424,1.021,1.2598,1.2226,1.2512,1.2822,1.2747,1.2954,0.6777,0.5905,0.2988,0.3268,0.2918,0.4782,0.4861,0.4774,0.4877,-0.1254,-0.0065,0.0074,0.0264,0.1019,-0.2354,-0.2368,-0.1962,-0.2711,-0.3675,-0.3643,-0.3418,-0.265,-0.2605,0.1684,0.178,0.2213,0.2833,0.4661,0.4463,0.4989,0.7407,0.8316,0.6398,0.7634,0.5633,0.6497,0.6478,0.8133,1.0681,1.0562,1.2861,
VO monthly avg,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.27,31.36,30.13,5.49,4.66,6.2,10.69,10.13,13.56,12.18,9.79,9.31,4.63,2.7,3.21,2.83,5.29,16.09,8.03,4.35,0.49,13.9,2.84,6.58,4.64,2.36,24.05,4.38,10.18,0.91,1.8,3.1,9.16,18.93,0.76,3.51,0.66,14.18,6.45,2.31,2.46,14.3,8.17,7.79,0.55,3.03,3.28,2.9,6.03,5.02,2.75,0.51,0.36,2.69,3.21,6.62,8.2,4.24,4.79,2.26,1.52,11.41,5.33,5.17,1.27,1.7,1.43,0.44,0.21,10.4,4.26,1.36,5.26,6.88,3.25,1.69,0.42,4.57,1.37,18.16,5.77,2.81,0.12,5.34,4.6,0.83,7.67,3.66,13.3,7.3,3.19,0.53,25.61
Total assets,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,48133,48133,48133,48133,48133,48133,48133,48133,48133,48133,48133,48133,44678,44678,44678,44678,44678,44678,44678,44678,44678,44678,44678,44678,86345,86345,86345,86345,86345,86345,86345,86345,86345,86345,86345,86345,202536,202536,202536,202536,202536,202536,202536,202536,202536,202536,202536,202536,205207,205207,205207,205207,205207,205207,205207,205207,205207,205207,205207,205207,193884,193884,193884,193884,193884,193884,193884,193884,193884,193884,193884,193884,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,558530,541316,541316,541316,541316,541316,541316,541316,541316,541316,541316,541316,541316,,,,,,,,,,,,
Net sales,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
common equity,Basic Materials,,,,,,,,,,,,,,,,,,,,,,,,,,,,-896,-896,-896,-896,-896,-896,-896,-896,-896,-896,-896,-896,44855,44855,44855,44855,44855,44855,44855,44855,44855,44855,44855,44855,43913,43913,43913,43913,43913,43913,43913,43913,43913,43913,43913,43913,84126,84126,84126,84126,84126,84126,84126,84126,84126,84126,84126,84126,190581,190581,190581,190581,190581,190581,190581,190581,190581,190581,190581,190581,192999,192999,192999,192999,192999,192999,192999,192999,192999,192999,192999,192999,187046,187046,187046,187046,187046,187046,187046,187046,187046,187046,187046,187046,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,551981,534834,534834,534834,534834,534834,534834,534834,534834,534834,534834,534834,534834,,,,,,,,,,,,
Turnover ratio,Basic Materials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07%,0.13%,0.12%,0.02%,0.02%,0.02%,0.04%,0.04%,0.05%,0.05%,0.04%,0.04%,0.02%,0.01%,0.01%,0.01%,0.02%,0.06%,0.03%,0.02%,0%,0.05%,0.01%,0.02%,0.02%,0.01%,0.09%,0.02%,0.04%,0%,0.01%,0.01%,0.03%,0.07%,0%,0.01%,0%,0.05%,0.02%,0.01%,0.01%,0.05%,0.03%,0.03%,0%,0.01%,0.01%,0.01%,0.02%,0.02%,0.01%,0%,0%,0.01%,0.01%,0.02%,0.02%,0.01%,0.01%,0.01%,0%,0.03%,0.02%,0.01%,0%,0%,0%,0%,0%,0.03%,0.01%,0%,0.02%,0.02%,0.01%,0%,0%,0.01%,0%,0.05%,0.02%,0.01%,0%,0.02%,0.01%,0%,0.02%,0.01%,0.04%,0.02%,0.01%,0%,0.07%
Return monthly,Basic Materials,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,-0.222748815,0.172594851,0.026433627,-0.133971292,-0.093760156,-0.103460642,0.1538,0.250043335,0.113360605,-0.01799726,0.219544676,0.03998752,-0.0769,0.044740548,-0.007828702,-0.075508178,0.467442912,0.259225021,-0.17646519,-0.114288898,0.112891051,-0.159394076,-0.008651605,-0.060863667,-0.129616255,-0.150024894,0.189000976,-0.078931523,-0.59945326,-0.215430267,0.636535552,-0.088860642,-0.122003805,0.222446916,0.022805152,0.133086876,0.470534258,-0.040005547,-0.097212191,-0.15384,0.272761653,0.285693062,-0.011150913,-0.146070698,-0.144714335,-0.09232,0.016922263,0.083376668,-0.09232,0.016922263,-0.166666667,0.300052002,-0.07696,-0.083289998,0.063628628,-0.059644444,-0.001985065,-0.089316158,0.040041602,0.0365,-0.100144718,-0.175297523,0.088793552,0.090746269,-0.0106185,-0.106328834,-0.047666213,-0.008710348,0.008786885,0,0.012480499,-0.012326656,-0.25,0,-0.100017334,0,-0.296224961,-0.052545156,0.388792605,-0.16014975,0,-0.280832095,-0.40392562,0.055459272,0.052545156,0,-0.145085803,-0.064476886,0.063068921,0.034862385,-0.062056738,0.296786389
