me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Consumer Goods,1394700,1394700,1394700,1394700,1394700,1394700,1394700,1673200,1673200,1673200,1673200,1673200,1673200,1673200,1673200,1673200,1673200,1673200,1673200,2341800,2341800,2341800,2341800,2341800,2341800,2341800,2341800,2341800,2341800,2341800,2341800,2808100,2808100,2808100,2808100,2808100,2808100,2808100,2808100,2808100,2808100,2808100,2808100,4720300,4720300,4720300,4720300,4720300,4720300,4720300,4720300,4720300,4720300,4720300,4720300,5878200,5878200,5878200,5878200,5878200,5878200,5878200,5878200,5878200,5878200,5878200,5878200,6809800,6809800,6809800,6809800,6809800,6809800,6809800,6809800,6809800,6809800,6809800,6809800,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,5003200,5003200,5003200,5003200,5003200,5003200,5003200,5003200,5003200,5003200,5003200,5003200,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,5230000,4507000,4507000,4507000,4507000,4507000,4507000,4507000,4507000,4507000,4507000,4507000,4507000,4830000,4830000,4830000,4830000,4830000,4830000,4830000,4830000,4830000,4830000,4830000,4830000,5566000,5566000,5566000,5566000,5566000,5566000,5566000,5566000,5566000,5566000,5566000,5566000,5566000,,,,,,
Excess return,Consumer Goods,,0.116623171,-0.302169615,-0.174345794,-0.0794861,-0.193356777,-0.108147141,-0.122927975,-0.11987111,-0.18943555,-0.165478717,-0.067194884,-0.224032687,-0.210910233,-0.13399065,-0.197875365,-0.098734132,-0.088672071,-0.195814782,-0.222925303,-0.129610641,-0.016232212,-0.186989705,0.014507267,-0.152142052,-0.211658102,-0.050384911,-0.121288858,-0.11257266,-0.073722821,-0.087804638,-0.008242901,-0.118696065,-0.195414073,-0.050348652,0.038933331,-0.160584119,-0.126605406,-0.194877449,-0.047816009,-0.156675329,-0.128545574,-0.152339788,-0.062439749,-0.105496032,0.016856455,-0.061068066,-0.059510623,0.004622217,-0.14269341,-0.164776082,-0.144818444,-0.152958508,-0.044913754,-0.110943094,-0.006896379,-0.12999471,0.040504946,-0.176225018,-0.109112023,-0.025491145,-0.01984949,-0.134530472,-0.073657102,-0.106823453,-0.234963439,-0.250990023,-0.189955905,-0.14261242,-0.07938277,0.005654537,-0.094367484,-0.065109338,-0.030651258,-0.135191515,-0.062816191,-0.069385908,-0.234664669,-0.204577678,-0.251665204,-0.151921699,-0.213787912,-0.131157966,-0.334584625,-0.143671686,-0.437194916,-0.114501275,-0.172185863,-0.18911124,-0.239117429,-0.240243764,0.012567578,-0.065817292,-0.165497295,-0.159422235,-0.027994951,0.004134149,-0.067176699,-0.233431903,-0.129883751,-0.070549483,-0.082671933,-0.094253599,0.073777178,-0.119284866,-0.07419237,-0.049581415,-0.181630557,-0.055866473,-0.101832333,0.003390867,-0.013210009,-0.086191387,-0.140561813,-0.093636336,-0.040426939,-0.180004695,0.002560924,-0.115988572,-0.166166361,-0.115016051,-0.272176103,-0.008083316,-0.075343379,-0.077915463,-0.157427977,-0.138106322,-0.071604933,0.016167963,-0.155496058,0.014307739,-0.140132716,-0.176378126,-0.065765439,-0.0666842,-0.071287608,-0.114467538,-0.133352487,-0.099754999,-0.061358222,-0.016678687,-0.098659806,-0.058597413,-0.053092834,-0.12132031,-0.223229175,-0.103506356,-0.008234219,-0.128886958,-0.094706363,-0.25236304,-0.098837527,-0.122811097,-0.019751848,-0.117116872,-0.149077639,0.008648827
Risk premium,Consumer Goods,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Consumer Goods,0.8989,0.7842,0.734,0.7994,0.8617,0.968,0.9268,0.9292,0.8853,0.8605,0.8708,0.9382,0.9398,1.0026,0.9954,0.9349,0.9334,0.902,0.8611,0.7341,0.6553,0.6606,0.6795,0.5772,0.6035,0.5743,0.5377,0.537,0.5446,0.565,0.5928,0.5855,0.6006,0.5912,0.559,0.619,0.5993,0.5957,0.5942,0.6023,0.5934,0.5302,0.5373,0.5599,0.5959,0.5738,0.558,0.557,0.4961,0.504,0.518,0.5566,0.6273,0.6261,0.6297,0.5791,0.6568,0.7192,0.8514,0.8797,0.8897,0.9242,0.9094,0.9024,0.9649,0.9717,1.0292,1.0158,0.9848,1.069,1.0678,1.104,1.0803,1.1232,1.1076,1.237,1.2681,1.2788,1.2943,1.2864,1.1902,1.2009,1.3817,1.1203,1.4356,1.299,1.2583,1.2169,1.1941,1.2336,0.8111,0.8113,0.7046,0.6645,0.6624,0.6161,0.5886,0.6313,0.5105,0.5233,0.5541,0.5522,0.6586,0.6584,0.684,0.7018,0.6652,0.6851,0.5949,0.6098,0.6187,0.6337,0.6362,0.6344,0.7325,0.7357,0.7464,0.7523,0.7682,0.7507,0.7674,0.9188,0.9104,0.9116,1.0566,1.0542,0.8896,0.858,0.89,0.9681,0.9642,0.9813,1.0104,1.0197,0.9876,0.9792,0.9822,1.0148,1.0107,1.028,1.0527,1.065,1.0751,1.1617,0.9146,0.8723,0.8684,0.8662,0.7577,0.897,0.9765,0.972,0.9712,0.8496,0.8686,0.7975,
VO monthly avg,Consumer Goods,315.8,1179.88,1770.98,731.29,1184.36,1603,1547.65,611.14,717.43,711.94,1234.6,1458.71,1896.49,2275.47,1577.93,704.97,1039.2,1054.5,1583.75,1247.97,1222.1,1696.61,2625.31,1724.54,1327.88,1466.07,1324.49,1936.95,848.34,1380.01,1998.45,856.58,944.95,904.24,1213.07,964.39,962.16,2112.09,1776.62,2048.42,1312.18,2459.36,1452.72,1645.3,2027.2,1378.2,1462.41,1949.24,1429.56,1442.01,2210.06,2701.24,1885.75,2923.13,2502.97,1677.16,2188.7,4211.86,1886.59,1782.57,1489.54,2395.1,2498.05,1736.18,1806.11,2570.61,5044.91,2412.75,2291.7,3811.91,2577.5,2166.27,1616,2685.05,2375.07,3811.97,2215.11,2995.03,4084.4,3984.47,2548.71,6681.55,5394.9,3878.89,5548.55,4317.71,4789.61,3098.76,5418.59,3238.48,4290.96,7041.05,4538,6995.84,6998.06,4225.62,4488.79,4151.1,2434.05,3743.47,2277.93,3673.09,4265.27,5255.25,4076.52,3226.54,4507.13,4589.92,2852.51,4383.95,9707.15,7025.43,3090.04,3450.79,4477.74,3275.25,3345.27,3569.26,1793.35,3109.04,2491.68,3669.91,5692.22,2368.01,1493.35,2260.56,2640.74,2583.85,3047.49,6160.14,4466.51,3265.62,2458.34,2356.51,2727.03,3328.96,2426.01,4049.56,2802.29,2396.22,2153.18,2664.52,2975.26,2366.43,1664.92,3860.71,3384.77,2415.17,2079.65,2817.84,4061.62,3186.07,4011.3,3733.72,2531.34,3057.95,1903.49
Total assets,Consumer Goods,3697700,3697700,3697700,3697700,3697700,3697700,3697700,3976300,3976300,3976300,3976300,3976300,3976300,3976300,3976300,3976300,3976300,3976300,3976300,4707700,4707700,4707700,4707700,4707700,4707700,4707700,4707700,4707700,4707700,4707700,4707700,5681300,5681300,5681300,5681300,5681300,5681300,5681300,5681300,5681300,5681300,5681300,5681300,6836700,6836700,6836700,6836700,6836700,6836700,6836700,6836700,6836700,6836700,6836700,6836700,8512400,8512400,8512400,8512400,8512400,8512400,8512400,8512400,8512400,8512400,8512400,8512400,10099200,10099200,10099200,10099200,10099200,10099200,10099200,10099200,10099200,10099200,10099200,10099200,10838900,10838900,10838900,10838900,10838900,10838900,10838900,10838900,10838900,10838900,10838900,10838900,8075100,8075100,8075100,8075100,8075100,8075100,8075100,8075100,8075100,8075100,8075100,8075100,8683000,8683000,8683000,8683000,8683000,8683000,8683000,8683000,8683000,8683000,8683000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,8600000,9402000,9402000,9402000,9402000,9402000,9402000,9402000,9402000,9402000,9402000,9402000,9402000,11470000,11470000,11470000,11470000,11470000,11470000,11470000,11470000,11470000,11470000,11470000,11470000,11470000,,,,,,
Net sales,Consumer Goods,7026600,7026600,7026600,7026600,7026600,7026600,7026600,8421400,8421400,8421400,8421400,8421400,8421400,8421400,8421400,8421400,8421400,8421400,8421400,9500300,9500300,9500300,9500300,9500300,9500300,9500300,9500300,9500300,9500300,9500300,9500300,10648800,10648800,10648800,10648800,10648800,10648800,10648800,10648800,10648800,10648800,10648800,10648800,12220700,12220700,12220700,12220700,12220700,12220700,12220700,12220700,12220700,12220700,12220700,12220700,14208000,14208000,14208000,14208000,14208000,14208000,14208000,14208000,14208000,14208000,14208000,14208000,17376900,17376900,17376900,17376900,17376900,17376900,17376900,17376900,17376900,17376900,17376900,17376900,20064900,20064900,20064900,20064900,20064900,20064900,20064900,20064900,20064900,20064900,20064900,20064900,21175000,21175000,21175000,21175000,21175000,21175000,21175000,21175000,21175000,21175000,21175000,21175000,23393000,23393000,23393000,23393000,23393000,23393000,23393000,23393000,23393000,23393000,23393000,25582000,25582000,25582000,25582000,25582000,25582000,25582000,25582000,25582000,25582000,25582000,25582000,28604000,28604000,28604000,28604000,28604000,28604000,28604000,28604000,28604000,28604000,28604000,28604000,35227000,35227000,35227000,35227000,35227000,35227000,35227000,35227000,35227000,35227000,35227000,35227000,35227000,,,,,,
common equity,Consumer Goods,2271300,2271300,2271300,2271300,2271300,2271300,2271300,2277500,2277500,2277500,2277500,2277500,2277500,2277500,2277500,2277500,2277500,2277500,2277500,2343700,2343700,2343700,2343700,2343700,2343700,2343700,2343700,2343700,2343700,2343700,2343700,2850800,2850800,2850800,2850800,2850800,2850800,2850800,2850800,2850800,2850800,2850800,2850800,2090200,2090200,2090200,2090200,2090200,2090200,2090200,2090200,2090200,2090200,2090200,2090200,2606300,2606300,2606300,2606300,2606300,2606300,2606300,2606300,2606300,2606300,2606300,2606300,3246900,3246900,3246900,3246900,3246900,3246900,3246900,3246900,3246900,3246900,3246900,3246900,3401800,3401800,3401800,3401800,3401800,3401800,3401800,3401800,3401800,3401800,3401800,3401800,3024700,3024700,3024700,3024700,3024700,3024700,3024700,3024700,3024700,3024700,3024700,3024700,3396000,3396000,3396000,3396000,3396000,3396000,3396000,3396000,3396000,3396000,3396000,4008000,4008000,4008000,4008000,4008000,4008000,4008000,4008000,4008000,4008000,4008000,4008000,4465000,4465000,4465000,4465000,4465000,4465000,4465000,4465000,4465000,4465000,4465000,4465000,5619000,5619000,5619000,5619000,5619000,5619000,5619000,5619000,5619000,5619000,5619000,5619000,5619000,,,,,,
Turnover ratio,Consumer Goods,0.04%,0.13%,0.2%,0.08%,0.13%,0.18%,0.17%,0.07%,0.08%,0.08%,0.13%,0.16%,0.21%,0.25%,0.17%,0.08%,0.11%,0.11%,0.17%,0.14%,0.13%,0.18%,0.28%,0.19%,0.14%,0.16%,0.14%,0.21%,0.09%,0.15%,0.21%,0.09%,0.1%,0.1%,0.13%,0.1%,0.1%,0.23%,0.19%,0.22%,0.14%,0.26%,0.15%,0.17%,0.21%,0.14%,0.15%,0.2%,0.15%,0.15%,0.23%,0.31%,0.22%,0.34%,0.29%,0.19%,0.25%,0.48%,0.21%,0.2%,0.17%,0.27%,0.28%,0.2%,0.2%,0.29%,0.57%,0.27%,0.26%,0.43%,0.29%,0.24%,0.18%,0.3%,0.27%,0.43%,0.25%,0.33%,0.46%,0.44%,0.28%,0.74%,0.6%,0.43%,0.62%,0.48%,0.53%,0.34%,0.6%,0.36%,0.48%,0.8%,0.51%,0.79%,0.79%,0.48%,0.56%,0.52%,0.3%,0.47%,0.28%,0.46%,0.53%,0.66%,0.51%,0.4%,0.54%,0.55%,0.34%,0.53%,1.17%,0.83%,0.36%,0.41%,0.53%,0.39%,0.39%,0.42%,0.21%,0.37%,0.29%,0.43%,0.67%,0.28%,0.18%,0.27%,0.31%,0.3%,0.36%,0.74%,0.53%,0.39%,0.29%,0.28%,0.33%,0.4%,0.29%,0.48%,0.34%,0.29%,0.26%,0.32%,0.35%,0.28%,0.2%,0.46%,0.4%,0.29%,0.25%,0.33%,0.48%,0.38%,0.48%,0.44%,0.3%,0.36%,0.22%
Return monthly,Consumer Goods,,0.289627771,-0.139127615,-0.001883594,0.095301,-0.014472777,0.058741259,0.041611625,0.04280279,-0.02812405,-0.005318317,0.094511716,-0.049425287,-0.025846433,0.05321955,-0.006776665,0.077870068,0.084353929,-0.024365482,-0.066077003,0.024373259,0.137185588,-0.032281205,0.155670867,-0.009621552,-0.075777202,0.081990189,0.011442142,0.01963714,0.057672179,0.043641762,0.123743599,0.015441735,-0.064068473,0.075468348,0.170230331,-0.032028219,0.006923694,-0.063042849,0.086828891,-0.019191129,0.006957026,-0.013889888,0.077433951,0.036645668,0.157605855,0.078685934,0.062480377,0.116676517,-0.03074141,-0.055242082,-0.023552644,-0.030138608,0.078730546,0.008628006,0.108586921,-0.00771631,0.166914546,-0.041986818,0.023909077,0.105059955,0.11267511,-0.004438272,0.057894098,0.028065247,-0.096146339,-0.100450423,-0.040160505,0.00610998,0.06836423,0.153275937,0.053784516,0.081099562,0.116660342,0.012937285,0.091864809,0.090404392,-0.069100269,-0.037336778,-0.084572004,0.005610901,-0.057481212,0.041439134,-0.178255725,0.032921114,-0.265607916,0.057021625,-0.001021163,-0.01318294,-0.054400629,-0.097344464,0.154879478,0.067072508,-0.032633795,-0.034191035,0.084069349,0.120565949,0.058195201,-0.115220403,-0.012015851,0.052658817,0.041666667,0.035988201,0.202306378,0.011557134,0.05977103,0.082976185,-0.048019257,0.072062227,0.024085067,0.127468967,0.111413091,0.040839213,-0.012794613,0.034561164,0.085172161,-0.053481495,0.128355824,0.015158028,-0.037522261,0.019680149,-0.127691703,0.136171884,0.066487421,0.071550337,-0.007013377,0.000338478,0.060849067,0.154937963,-0.016155758,0.154002339,0.000989184,-0.035372926,0.076925661,0.0742846,0.067151992,0.024961062,0.002879913,0.030569101,0.070855778,0.115241413,0.035385194,0.075833887,0.083944266,0.00154949,-0.104224275,0.016352844,0.106436381,-0.009351858,0.037604637,-0.11244354,0.044248473,0.014124503,0.109722952,0.017654928,-0.019735139,0.008648827
