me,,12/31/2000,01/31/2001,02/28/2001,03/30/2001,04/30/2001,05/31/2001,06/29/2001,07/31/2001,08/31/2001,09/28/2001,10/31/2001,11/30/2001,12/31/2001,01/31/2002,02/28/2002,03/29/2002,04/30/2002,05/31/2002,06/28/2002,07/31/2002,08/30/2002,09/30/2002,10/31/2002,11/29/2002,12/31/2002,01/31/2003,02/28/2003,03/31/2003,04/30/2003,05/30/2003,06/30/2003,07/31/2003,08/29/2003,09/30/2003,10/31/2003,11/28/2003,12/31/2003,01/30/2004,02/27/2004,03/31/2004,04/30/2004,05/31/2004,06/30/2004,07/30/2004,08/31/2004,09/30/2004,10/29/2004,11/30/2004,12/31/2004,01/31/2005,02/28/2005,03/31/2005,04/29/2005,05/31/2005,06/30/2005,07/29/2005,08/31/2005,09/30/2005,10/31/2005,11/30/2005,12/30/2005,01/31/2006,02/28/2006,03/31/2006,04/28/2006,05/31/2006,06/30/2006,07/31/2006,08/31/2006,09/29/2006,10/31/2006,11/30/2006,12/29/2006,01/31/2007,02/28/2007,03/30/2007,04/30/2007,05/31/2007,06/29/2007,07/31/2007,08/31/2007,09/28/2007,10/31/2007,11/30/2007,12/31/2007,01/31/2008,02/29/2008,03/31/2008,04/30/2008,05/30/2008,06/30/2008,07/31/2008,08/29/2008,09/30/2008,10/31/2008,11/28/2008,12/31/2008,01/30/2009,02/27/2009,03/31/2009,04/30/2009,05/29/2009,06/30/2009,07/31/2009,08/31/2009,09/30/2009,10/30/2009,11/30/2009,12/31/2009,01/29/2010,02/26/2010,03/31/2010,04/30/2010,05/31/2010,06/30/2010,07/30/2010,08/31/2010,09/30/2010,10/29/2010,11/30/2010,12/31/2010,01/31/2011,02/28/2011,03/31/2011,04/29/2011,05/31/2011,06/30/2011,07/29/2011,08/31/2011,09/30/2011,10/31/2011,11/30/2011,12/30/2011,01/31/2012,02/29/2012,03/30/2012,04/30/2012,05/31/2012,06/29/2012,07/31/2012,08/31/2012,09/28/2012,10/31/2012,11/30/2012,12/31/2012,01/31/2013,02/28/2013,03/29/2013,04/30/2013,05/31/2013,06/28/2013,07/31/2013,08/30/2013,09/30/2013,10/31/2013,11/29/2013,12/31/2013
total liabilities,Fincials,993473,1229072,1229072,1229072,1229072,1229072,1229072,1229072,1229072,1229072,1229072,1229072,1229072,1235121,1235121,1235121,1235121,1235121,1235121,1235121,1235121,1235121,1235121,1235121,1235121,1267035,1267035,1267035,1267035,1267035,1267035,1267035,1267035,1267035,1267035,1267035,1267035,1461705,1461705,1461705,1461705,1461705,1461705,1461705,1461705,1461705,1461705,1461705,1461705,1813092,1813092,1813092,1813092,1813092,1813092,1813092,1813092,1813092,1813092,1813092,1813092,2228339,2228339,2228339,2228339,2228339,2228339,2228339,2228339,2228339,2228339,2228339,2228339,2367976,2367976,2367976,2367976,2367976,2367976,2367976,2367976,2367976,2367976,2367976,2367976,3069339,3069339,3069339,3069339,3069339,3069339,3069339,3069339,3069339,3069339,3069339,3069339,2581395,2581395,2581395,2581395,2581395,2581395,2581395,2581395,2581395,2581395,2581395,2581395,2659346,2659346,2659346,2659346,2659346,2659346,2659346,2659346,2659346,2659346,2659346,2659346,2298918,2298918,2298918,2298918,2298918,2298918,2298918,2298918,2298918,2298918,2298918,2298918,2123387,2123387,2123387,2123387,2123387,2123387,2123387,2123387,2123387,2123387,2123387,2123387,3492004,3492004,3492004,3492004,3492004,3492004,3492004,3492004,3492004,3492004,3492004,3492004
Excess return,Fincials,,-0.1602597,-0.07859199,-0.148760087,-0.163447016,-0.081563748,-0.057631063,-0.138829043,-0.014144011,-0.15037786,-0.032177347,-0.199885136,-0.190245953,-0.21152416,-0.16575531,-0.173003946,-0.14463839,-0.036601453,-0.187251734,-0.144274614,-0.199914255,-0.170604948,-0.125796994,-0.122707975,-0.08595328,-0.100624123,-0.174664624,-0.133269402,-0.227788679,-0.193711105,-0.098425306,-0.084924493,-0.027526126,-0.048810267,-0.236019152,-0.05239187,-0.00335431,-0.018662032,-0.058084611,-0.010966782,-0.099625999,-0.202756774,-0.067019266,-0.0235315,-0.04968908,-0.132809951,-0.102478199,0.058664118,-0.032383148,-0.080263048,0.210047725,-0.125804043,-0.118455118,-0.178390263,-0.185580041,-0.049012715,-0.155218407,-0.174130184,-0.133102728,0.326136257,-0.169073613,-0.080531154,-0.1054718,-0.078567273,-0.207389651,-0.298986433,-0.1228196,-0.071193555,-0.00878421,-0.132996589,-0.116071,-0.146566379,-0.105233412,-0.051134564,-0.072226266,-0.049751624,-0.1077649,-0.1074658,-0.013492628,-0.112838377,-0.155802358,-0.029258135,-0.090854646,-0.135423512,-0.134516773,-0.102937831,-0.1244493,-0.097546726,-0.157724954,-0.114561789,-0.113713504,-0.1146297,-0.1182486,-0.170782016,-0.129252701,-0.094647868,-0.129822996,-0.089249768,-0.147577064,-0.165775557,-0.108376864,-0.116405593,-0.078157328,-0.094930783,-0.1107198,-0.1124615,-0.12710335,-0.088324916,-0.1138734,-0.1110683,-0.1087565,-0.1088479,-0.1108585,-0.111577067,-0.10626633,-0.0996179,-0.0999624,-0.0978607,-0.07444583,-0.1015163,-0.076823932,-0.107768,-0.1061213,0.001705512,-0.1043263,-0.1057287,-0.101741,-0.050494399,-0.098387661,-0.0988565,-0.0994061,-0.1002349,-0.0964012,-0.120543194,-0.08938747,-0.105771466,-0.0882474,0.091933678,-0.053416658,-0.0740209,-0.067139721,-0.0707867,-0.0703162,-0.0630688,-0.082187184,-0.0630546,-0.058309127,-0.071331894,-0.094234684,-0.046953721,-0.0914284,-0.0936562,-0.186859383,0.082073982,-0.133492675,-0.0970424,0.019231728
Risk premium,Fincials,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3,6.3
Beta adj,Fincials,0.5487,0.5819,0.584,0.5978,0.5855,0.5266,0.5138,0.5378,0.529,0.5959,0.5182,0.44,0.4463,0.4889,0.4895,0.4806,0.4781,0.5002,0.4786,0.4502,0.4702,0.468,0.426,0.358,0.3497,0.3656,0.3463,0.3631,0.2729,0.2843,0.2987,0.292,0.2311,0.1692,0.1849,0.2849,0.3161,0.321,0.3054,0.31,0.2905,0.2241,0.2389,0.3005,0.2828,0.2802,0.3804,0.3798,0.3817,0.43,0.4578,0.4192,0.521,0.5147,0.533,0.5429,0.4238,0.6381,0.6055,0.4928,0.459,0.5279,0.5186,0.4791,0.5904,0.6365,0.5892,0.6185,0.6468,0.5655,0.567,0.5828,0.5835,0.4587,0.3838,0.4398,0.4423,0.3566,0.3051,0.3421,0.5331,0.507,0.5726,0.7095,0.609,0.53,0.5111,0.3941,0.3944,0.4042,0.4276,0.3719,0.4722,0.4699,0.4806,0.4687,0.4598,0.4722,0.4029,0.4019,0.393,0.3888,0.3954,0.3972,0.3646,0.3605,0.3646,0.364,0.3718,0.3741,0.3755,0.3833,0.3795,0.3783,0.3835,0.3233,0.3248,0.3089,0.3091,0.3201,0.2778,0.336,0.3051,0.3041,0.3401,0.3449,0.307,0.3129,0.3212,0.3255,0.3247,0.3323,0.3024,0.3074,0.3165,0.313,0.1698,0.1504,0.1074,0.1043,0.0867,0.0609,0.0574,-0.0124,-0.0424,-0.0158,0.0184,0.0513,0.1641,0.19,0.2068,0.1874,0.2697,0.2522,0.2604,0.2848,
VO monthly avg,Fincials,0,0.04,0.29,0.81,0.11,0.31,0.09,0.16,0.24,0.16,0.04,0.15,0.03,0.34,0.31,0.27,1.07,0.06,0.07,0.1,0.09,0.13,0.16,0.07,0.39,0.07,0.04,0.04,0.19,0.28,1.47,0.02,0.03,0.02,0.55,0.36,0.19,0.11,0.5,0.2,0.07,0.33,0.32,0.53,0.79,0.33,1.25,0.59,0.23,0.15,2.02,0.2,0.03,0.08,0.09,0.74,0.08,0.1,0.04,1.61,0.07,0.13,0,0.17,0.03,0.14,0.18,0.09,0.16,0.06,0.05,0.22,0.01,0.47,0.34,0.46,0.02,0.06,0.23,0.05,62.57,2.57,2.65,5.53,0.21,1.6,0.56,0.45,2.08,0.2,0.19,3.05,0.46,1.42,0.3,0.07,0.38,5.92,2.39,6.33,0.18,0.14,1.31,1.27,0.41,0.08,10.93,1.07,4.82,0.04,0.87,0.04,0.15,0.13,1.73,0.02,2.74,12.31,0.06,0.15,0.05,0,0.19,0.37,0.04,0,2.13,0.03,8.17,4.43,0.13,0.87,0,1.91,0.06,0.04,0.01,0.78,0.15,0.02,0.14,0.37,0.13,0.12,0.03,0.08,0.2,0.1,1.39,1.07,0.19,1.1,0.2,0.01,0.06,1.97,0.03
Total assets,Fincials,1991900,2298341,2298341,2298341,2298341,2298341,2298341,2298341,2298341,2298341,2298341,2298341,2298341,2266116,2266116,2266116,2266116,2266116,2266116,2266116,2266116,2266116,2266116,2266116,2266116,2519687,2519687,2519687,2519687,2519687,2519687,2519687,2519687,2519687,2519687,2519687,2519687,3024913,3024913,3024913,3024913,3024913,3024913,3024913,3024913,3024913,3024913,3024913,3024913,3328188,3328188,3328188,3328188,3328188,3328188,3328188,3328188,3328188,3328188,3328188,3328188,4000315,4000315,4000315,4000315,4000315,4000315,4000315,4000315,4000315,4000315,4000315,4000315,4270196,4270196,4270196,4270196,4270196,4270196,4270196,4270196,4270196,4270196,4270196,4270196,4926163,4926163,4926163,4926163,4926163,4926163,4926163,4926163,4926163,4926163,4926163,4926163,4243574,4243574,4243574,4243574,4243574,4243574,4243574,4243574,4243574,4243574,4243574,4243574,4543173,4543173,4543173,4543173,4543173,4543173,4543173,4543173,4543173,4543173,4543173,4543173,4313863,4313863,4313863,4313863,4313863,4313863,4313863,4313863,4313863,4313863,4313863,4313863,4143120,4143120,4143120,4143120,4143120,4143120,4143120,4143120,4143120,4143120,4143120,4143120,4955125,4955125,4955125,4955125,4955125,4955125,4955125,4955125,4955125,4955125,4955125,4955125
Net sales,Fincials,1867318,2170397,2170397,2170397,2170397,2170397,2170397,2170397,2170397,2170397,2170397,2170397,2170397,2473655,2473655,2473655,2473655,2473655,2473655,2473655,2473655,2473655,2473655,2473655,2473655,2780229,2780229,2780229,2780229,2780229,2780229,2780229,2780229,2780229,2780229,2780229,2780229,2868951,2868951,2868951,2868951,2868951,2868951,2868951,2868951,2868951,2868951,2868951,2868951,3274473,3274473,3274473,3274473,3274473,3274473,3274473,3274473,3274473,3274473,3274473,3274473,3756237,3756237,3756237,3756237,3756237,3756237,3756237,3756237,3756237,3756237,3756237,3756237,4010001,4010001,4010001,4010001,4010001,4010001,4010001,4010001,4010001,4010001,4010001,4010001,4617966,4617966,4617966,4617966,4617966,4617966,4617966,4617966,4617966,4617966,4617966,4617966,4793123,4793123,4793123,4793123,4793123,4793123,4793123,4793123,4793123,4793123,4793123,4793123,4236156,4236156,4236156,4236156,4236156,4236156,4236156,4236156,4236156,4236156,4236156,4236156,3408856,3408856,3408856,3408856,3408856,3408856,3408856,3408856,3408856,3408856,3408856,3408856,3388308,3388308,3388308,3388308,3388308,3388308,3388308,3388308,3388308,3388308,3388308,3388308,3690137,3690137,3690137,3690137,3690137,3690137,3690137,3690137,3690137,3690137,3690137,3690137
common equity,Fincials,978251,1013513,1013513,1013513,1013513,1013513,1013513,1013513,1013513,1013513,1013513,1013513,1013513,974650,974650,974650,974650,974650,974650,974650,974650,974650,974650,974650,974650,1197872,1197872,1197872,1197872,1197872,1197872,1197872,1197872,1197872,1197872,1197872,1197872,1513203,1513203,1513203,1513203,1513203,1513203,1513203,1513203,1513203,1513203,1513203,1513203,1511949,1511949,1511949,1511949,1511949,1511949,1511949,1511949,1511949,1511949,1511949,1511949,1758933,1758933,1758933,1758933,1758933,1758933,1758933,1758933,1758933,1758933,1758933,1758933,1900130,1900130,1900130,1900130,1900130,1900130,1900130,1900130,1900130,1900130,1900130,1900130,1853462,1853462,1853462,1853462,1853462,1853462,1853462,1853462,1853462,1853462,1853462,1853462,1659320,1659320,1659320,1659320,1659320,1659320,1659320,1659320,1659320,1659320,1659320,1659320,1883827,1883827,1883827,1883827,1883827,1883827,1883827,1883827,1883827,1883827,1883827,1883827,2014945,2014945,2014945,2014945,2014945,2014945,2014945,2014945,2014945,2014945,2014945,2014945,2019733,2019733,2019733,2019733,2019733,2019733,2019733,2019733,2019733,2019733,2019733,2019733,1463121,1463121,1463121,1463121,1463121,1463121,1463121,1463121,1463121,1463121,1463121,1463121
Turnover ratio,Fincials,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0%,0.01%,0%,0%,0%,0.02%,0%,0%,0%,0%,0.01%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.51%,0.02%,0.02%,0.05%,0%,0.01%,0%,0%,0.02%,0%,0%,0.03%,0%,0.01%,0%,0%,0%,0.05%,0.02%,0.05%,0%,0%,0.01%,0.01%,0%,0%,0.09%,0.01%,0.04%,0%,0.01%,0%,0%,0%,0.01%,0%,0.02%,0.1%,0%,0%,0%,0%,0%,0%,0%,0%,0.02%,0%,0.07%,0.04%,0%,0.01%,0%,0.02%,0%,0%,0%,0.01%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.01%,0.01%,0%,0.01%,0%,0%,0%,0.02%,0%
Return monthly,Fincials,,0,0.07500001,0.011001313,-0.006060516,0.069512052,0.083238337,0.001052357,0.126082989,-0.00573616,0.105769253,-0.069565136,-0.046729053,-0.05882346,-0.01041681,-0.010526146,0.00328191,0.111111147,-0.039899934,-0.005312014,-0.057591655,-0.029320948,0.012941006,0.004646025,0.04057782,0.022108677,-0.054347724,-0.011494102,-0.112695979,-0.080000205,0.014492794,0.028571507,0.083333174,0.055949333,-0.133770452,0.05785683,0.10735999,0.097560968,0.055555589,0.105263218,0.018775501,-0.086538474,0.052631434,0.1,0.07272732,-0.010557351,0.026087001,0.169491518,0.072463952,0.027026952,0.315789125,-0.013194443,-0.002332118,-0.061764163,-0.072101041,0.064189985,-0.047619007,-0.052829884,-0.014356228,0.434782657,-0.065656613,0.027026546,0,0.026316027,-0.096094451,-0.181286933,0,0.053571945,0.11864419,-0.016970089,0,-0.031249979,0.009677088,0.054313536,0.030303134,0.054705776,0,0,0.091428672,-0.005236077,-0.039667058,0.083332865,0.030769154,-0.004975012,-0.009999773,0.020202169,0,0.021781574,-0.032177754,0.017902811,0.005025296,0,0,-0.050178316,-0.015474901,0.008130232,-0.021505596,0.026098832,-0.036144364,-0.055555857,0.004682136,-0.002361193,0.035502872,0.017142817,0,0,-0.01348355,0.025057084,0,0,0,0,0,0.0000558334,-0.0000558302,0,0,0,0.02777747,0,0.027027468,0,0,0.105263812,0,0,0,0.047618301,0.004547939,0,0,0,0,-0.022726994,0.00930203,-0.009302466,0,0.173708878,0.019999542,0,0.003922379,0,0,0,-0.019608384,0,0.008000073,-0.007999994,-0.012096384,0.040816279,0,0,-0.094118283,0.173912582,-0.037037475,0,0.019231728
