Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0,0,0,0,0,0,0
AECI,Basic Materials,1.66028954523611,0.4438,1.42436526722779,-0.193417266,1814141.4,0.301904043934099,-0.059457866
Adcorp,Industrials,0.404933375082629,0.934,0.306071043384476,-0.196533613,574860,0.596672558729473,-0.031691613
Advtech,Consumer Goods,3.29628589758324,1.3488,1.68463515791954,-0.09757188,137481.4,0.248056149467284,0.09340252
Afgem,Basic Materials,1.0663863572698,1.5552,0.138438106304458,-0.4577776,125442.34,3.04915751093826,-0.2538
Afgri,Consumer Goods,0.400555938250671,0.4604,0.684339453511375,-0.147350452,2717568,0.648690763543035,-0.012345252
Afnrainbowmin,Basic Materials,,,,,,,
Afribrand,Consumer Goods,,,,,,,
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0,0,0,0,0,0,0
adaptit_holdings,Technology,0,0,0,0,0,0,0
adcock_ingram_holdings,Health Care,,,,,,,
admiral_leiswld,Consumer Goods,,,,,,,
adrenna_property_group,Financials,,,,,,,
african_&_osents,Consumer Goods,,,,,,,
african_bank_invs,Financials,,,,,,,
african_harvest,Financials,,,,,,,
african_life_asr,Fincials,0.946795345071474,1.3274,4.25651767919243,-0.261027551,1514266,0.532086861801188,-0.071401351
african_oxygen,Basic Materials,,,,,,,
afrocentric_inv,Health Care,6.59742441209407,0.7915,7.71500559910414,-0.1558645,1786,0.10227923491009,0
ag_industries,Industrials,,,,,,,
alacrity_finlsvs,Fincials,0.255348432185764,1.0319,1.56088161000309,-0.246063696,50918.66,0.419764226770978,-0.075053996
alex_white,Industrials,,,,,,,
alexander_forbes,Fincials,0.0643654257224715,0,7.37529594231811,-0.047625873,5499847.1,1.79148114006515,-0.047625873
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,2.10030498996337,0.8148,3.774411954188,-0.196143042,793478.57,0.0884232674812005,-0.038810642
allied_technologies,Telecommunications,0.274326472794753,0.785,0.377866749197613,-0.294330365,2440296.75,0.661174550259547,-0.138875365
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,2.13799025129205,1.2214,2.79663202708482,-0.3339663,91889.1,0.127662758064964,-0.1510181
amalbeverages_ind,Consumer Goods,0.288151336473063,0.8144,0.120716793134388,-0.1058076,8540651,2.27205400372439,0.0514996
amalgamated_elt,Industrials,0,0,0,0,0,0,0
amb,Fincials,,,,,,,
amb_priveqptns,Fincials,,,,,,,
ambit_properties,Fincials,,,,,,,
amlac,Consumer Goods,1.94776334776335,-1.2629,4.28542568542569,1.331305797,6930,0.163934426229508,1.357743097
andulela_investment_hdg,Fincials,,,,,,,
anglo_american_(jse),Basic Materials,0.0788650546805414,1.4066,0.0389723616862798,-0.291605843,148533467.04,9.55998371886465,-0.096990043
anglo_american_platinum,Basic Materials,0.177262074189853,1.1854,0.148407123964635,-0.434162092,56098519.92,5.7233009810364,-0.253481892
anglogold_ashanti,Basic Materials,0.738591183549804,0.7002,1.19239116464579,-0.1501126,14898634.38,0.971354438649107,0
annuity_properties,Fincials,0,0,0,0,0,0,0
apexhi_properties_'a',Fincials,,,,,,,
apexhi_properties_'b',Fincials,,,,,,,
apl,Fincials,,,,,,,
aps_technologies,Health Care,6.01850443599493,0.1754,1.10950570342205,-0.6170502,3945,0.113610183158622,-0.5
aquarius_platinum_(jse),Basic Materials,,,,,,,
aquila_growth,Fincials,5.75592503463866,0.4974,0.103715452490338,-0.144557316,54852,0.441535860903163,-0.007221116
arb_holdings,Industrials,,,,,,,
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,,,,,,,
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,1.7968088171006,0.7309,1.24903231016391,-0.109517638,64393.05,0.227359729681062,0.042529062
arrowhead_propsa_shares,Fincials,0,0,0,0,0,0,0
aspen_phmcrhdg,Health Care,,,,,,,
assmang,Basic Materials,,,,,,,
assore,Basic Materials,,,,,,,
astral_foods,Consumer Goods,,,,,,,
astrapak,Industrials,0.754524225611134,0.3759,0.985381523551401,0.147458635,245398.35,0.351866957835903,0.277140335
atlas_properties,Fincials,,,,,,,
atlatsa_resources_(jse),Basic Materials,0,0,0,0,0,0,0
austro_group,Industrials,,,,,,,
aveng,Industrials,,,,,,,
avgold,Basic Materials,,,,,,,
avi,Consumer Goods,,,,,,,
avis_sthnafrica,Industrials,0.791718655445969,1.2411,1.380186853992,-0.222630473,1029404.82,0.831687702487618,-0.038441173
avusa,Consumer Goods,0,0,0,0,0,0,0
awethu_breweries,Consumer Goods,,,,,,,
barclays_africa_group,Fincials,0.539984192672433,0.8754,7.21174231960652,-0.130757866,25293333,0.874173394622244,0.030392334
barloworld,Industrials,,,,,,,
barnard_jacmellet,Fincials,1.35398857019056,1.2458,5.0295723032349,-0.254320295,250355.88,0.987402405837113,-0.069834895
barnato_exploration,Basic Materials,0,0,0,0,0,0,0
barplats_invs,Basic Materials,,,,,,,
basil_read,Industrials,2.84480306077402,0.2463,16.0004414577917,-0.232523041,20387,0.0247102571747863,-0.111006141
bauba_platinum,Basic Materials,,,,,,,
bearing_man,Consumer Goods,0.615532006197089,0.7038,1.01190983298782,-0.12906345,253538.4,0.36242966927405,0.02127595
bell_equipment,Industrials,0.638158619141662,1.1009,0.518709691013636,-0.111252376,778315.9,0.541058124847498,0.064104324
bhp_billiton_(jse),Basic Materials,,,,,,,
bidvest_group,Industrials,,,,,,,
blue_label_telecoms,Telecommunications,,,,,,,
bonatla_pr,Fincials,,,,,,,
bowler_metcalf,Industrials,0.476014514847786,0.6122,0.0954732644778031,-0.045278157,134634.55,1.46403964724177,0.099290443
braemore_resources_(jse),Fincials,0,0,0,0,0,0,0
brait_sa_(jse),Fincials,1.16547477639721,1.0096,2.04976485373171,-0.160875411,1033484.4,0.48786083836858,0.008729389
brandcorp,Consumer Goods,,,,,,,
bridgestone_fireston,Consumer Goods,1.24975254559531,0.8132,1.25756328462647,-0.133340305,204078,0.20031665418438,0.023891295
brimstone_inv,Fincials,30.5017394665636,0.6154,13.9632779281021,-0.230695345,5174,0.0302357382452286,-0.085925145
britamertobacco_(jse),Consumer Goods,0,0,0,0,0,0,0
bryant_technology,Technology,,,,,,,
buildmax,Basic Materials,0,0,0,0,0,0,0
burlington_inds,Consumer Goods,0,0,0,0,0,0,0
business_connexion_group,Technology,,,,,,,
bytes_techgp,Technology,0.880945363824224,0.6435,1.07979527283818,-0.294172812,513573.28,0.672858368783827,-0.147632312
cadiz,Fincials,0.618972658910526,1.4012,1.74103109406058,-0.366793531,287772,1.61903422356999,-0.172517931
cafca,Industrials,0,0,0,0,0,0,0
canadian_ospack,Basic Materials,,,,,,,
cape_empowerment,Fincials,3.51649762485556,-0.3978,0.400065619605997,-0.0809386,14020.2,#DIV/0!,0
cape_empwmtrust,Fincials,0,0,0,0,0,0,0
capevin_holdings,Consumer Goods,,,,,,,
capevin_investments,Consumer Goods,,,,,,,
capital_&_cnts_(jse)_props,Fincials,0,0,0,0,0,0,0
