Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0,0,0,0,0,0,0
AECI,Basic Materials,0.493423851088085,0.7093,0.613515381805995,-0.072805412,5054478,0.659939678809244,0.048780488
Adcorp,Industrials,0.237668017613725,0.5874,0.239997532159052,-0.090651012,816908.4,0.489977957516487,0.023255188
Advtech,Consumer Goods,0.42294447690295,0.5121,0.251588041227948,-0.101224327,503891.2,1.03727417947071,0.007937973
Afgem,Basic Materials,2.35248983527819,1.7041,0.349564435295808,-0.295413998,69023.04,0.712466478803456,-0.111155698
Afgri,Consumer Goods,0.79934889133045,0.8798,0.794735616038274,-0.298999543,1725672,0.291797297267592,-0.166672143
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.607599844012609,0.4264,0.642270999760853,-0.050464439,960077.6,6.95768907441227,0.053298761
adaptit_holdings,Technology,0.359224852050892,0.4813,0.0729463032268372,-0.209763747,29418.9,0.969225447237505,-0.102541847
adcock_ingram_holdings,Health Care,0,0,0,0,0,0,0
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,0,0,0,0,0,0,0
african_&_osents,Consumer Goods,0,0,0,0,0,0,0
african_bank_invs,Financials,0.42535748367494,0.8189,0.750467851768075,-0.092775291,6207799.56,1.94467751394023,0.035715409
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0.62401946708544,0.9534,4.74456029169669,0.017287641,2584054,0.911579355840124,0.154251841
african_oxygen,Basic Materials,0.807514630762802,0.7296,0.426296574085553,-0.120746308,8207900.82,2.11271578378378,0.002118492
afrocentric_inv,Health Care,8.11564223798266,0.3473,7.55141843971631,-0.0987799,5076,0.0987913820283762,0
ag_industries,Industrials,0.933709383445415,0.2475,0.832860743311024,0.010955776,328403.04,0.360743713956171,0.103448276
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,1.44934252873563,0.3908,2.38304367816092,-0.139980872,27187.5,0.206504071215896,-0.038460472
alexander_forbes,Fincials,0.169478633136561,0,12.8648527521969,0.040176703,5475616.5,1.23435899458972,0.040176703
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,1.63792770842266,0.3212,1.58763174646706,-0.163199899,1511055.7,0.150428641114983,-0.066064299
allied_technologies,Telecommunications,0.340274964405735,0.6066,0.14234436371361,-0.159069595,4587466.5,1.10728131788559,-0.043953795
aludie,Industrials,-5.74422834124932,0,6.2627758071304,-0.0769,2661.28,0.287612666162326,0
amalappc,Consumer Goods,0.276209495838447,0.6223,0.376894008887867,-0.140871814,1169166.9,0.778533715552803,-0.024766914
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,0,0,0,0,0,0,0
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0.908609692651984,0.9735,0.854525558401955,-0.074920554,372068.45,5.7284483687703,0.063309946
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.0609851841043322,1.6991,0.0754387714114373,-0.129595458,203700295.12,12.6518779111078,0.054347842
anglo_american_platinum,Basic Materials,0.227799924784663,1.4246,0.229700945803754,-0.099413887,48605459.42,4.27542421078465,0.067235913
anglogold_ashanti,Basic Materials,0.210848380270244,1.014,0.411335660772909,-0.068767678,51500324.48,3.36187039451137,0.072014322
annuity_properties,Fincials,0,0,0,0,0,0,0
apexhi_properties_'a',Fincials,1.11730823582052,0.5919,0.566535925310649,-0.109780097,1875902.22,2.73557618524724,0.004409603
apexhi_properties_'b',Fincials,1.13318875896924,0.452,0.574588212573947,-0.048607166,1849613.3,2.69723978225079,0.056768834
apl,Fincials,0,0,0,0,0,0,0
aps_technologies,Health Care,0.0212927756653992,0.0352,0.278200253485425,-0.0791176,7890,2.7141382868937,0
aquarius_platinum_(jse),Basic Materials,0.877560848163157,-5.4366,0.932380782531991,0.216336981,366600.22,1.5011249012149,-0.049268819
aquila_growth,Fincials,17.4287974741126,0,1.4855891808407,0,13739.33,0.239879356100286,0
arb_holdings,Industrials,0,0,0,0,0,0,0
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,0.450976324670596,1.1378,0.194160693038946,-0.04417025,28728780.85,1.56560113623978,0.10441115
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,0.347112938106184,0.599,0.248661787125438,-0.018501368,764826,1.26492998301466,0.096135632
arrowhead_propsa_shares,Fincials,0,0,0,0,0,0,0
aspen_phmcrhdg,Health Care,0.134422337436283,0.4378,0.115791687156407,-0.151356051,7933807.88,3.6034574226253,-0.046874651
assmang,Basic Materials,0,0,0,0,0,0,0
assore,Basic Materials,2.3051681547619,0.5876,1.43756696428571,0.314652629,672000,0.301603480288731,0.428571429
