Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0,0,0,0,0,0,0
AECI,Basic Materials,0.369663548592804,0.5925,0.433840349468558,-0.053558666,7728649.5,0.8814609375,0.062368834
Adcorp,Industrials,0.209782325612655,0.6288,0.235759592039049,-0.039781805,1190310,0.504443028039728,0.078432595
Advtech,Consumer Goods,0.241780024470891,0.38,0.12836887539744,0.008571111,1180995,1.7865846740339,0.111111111
Afgem,Basic Materials,0.839154324493309,0.759,0.66904821195992,-0.126417,66981.72,9.45935884762039,0
Afgri,Consumer Goods,0.43510730323793,0.3703,0.723417959221118,-0.146968603,2695054.74,0.496220102195329,-0.045039703
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.633293001911791,0.5965,0.4726491279318,-0.027106537,2159441.2,10.1360801708559,0.089072963
adaptit_holdings,Technology,0.274853277366996,0.6264,0.0809213737610134,-0.099905164,48676.88,1.41510785510786,0.018158036
adcock_ingram_holdings,Health Care,0,0,0,0,0,0,0
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,0.63067162671488,0,1.18329663632276,0.500230521,73507.35,0.335167909171739,0.500230521
african_&_osents,Consumer Goods,0,0,0,0,0,0,0
african_bank_invs,Financials,0.210054523599029,1.1139,0.428659434861519,-0.120402015,10525838.54,2.97424089855892,0.028373685
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0,0,0,0,0,0,0
african_oxygen,Basic Materials,0.972550246552304,0.6044,0.398033978954821,-0.120243216,10539301.22,2.28024691042839,-0.003566016
afrocentric_inv,Health Care,0.000669092945128779,0.2507,0.000921052631578947,-0.189634617,357200,#DIV/0!,-0.095240517
ag_industries,Industrials,0.746906030104088,0.8337,0.932363845129067,-0.153587706,463469.28,0.42673742905653,-0.022464606
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,0,0,0,0,0,0,0
alexander_forbes,Fincials,0.207156896630676,0,17.7791787538566,0.016580867,7269852.1,1.35404211212516,0.016580867
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,0.91958503403751,0.8465,1.06641744479478,-0.073522894,3187307.2,0.22817003364593,0.058406606
allied_technologies,Telecommunications,0.272624266430295,0.5473,0.190723460631783,-0.100035364,6165995.5,1.02069119351101,0.013044536
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,0.409496641863306,1.0436,0.333978466262795,-0.0703409,1262530.5,0.587012982786173,0.0740059
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,0.506260867282108,1.5451,0.0517419565702552,-0.2071913,132542.34,3.92648240312833,-0.03125
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0.639841024030129,0.5198,0.478190900426369,0.006277518,708635.4,7.12568779663744,0.117624918
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.0442019040835795,1.0424,0.031847359696016,-0.151734068,470604161.32,20.5163554503444,-0.007462868
anglo_american_platinum,Basic Materials,0.0775228719083939,1.0987,0.0795558258928797,-0.099842214,176350277.84,10.8643805754176,0.047975886
