Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0.701780151312862,1.4443,2.22854472630174,-0.377838498,224700,0.179607549112313,-0.207347598
AECI,Basic Materials,0.485617435000532,0.756,0.69395064498679,-0.136589448,8107204.8,0.757045923989168,-0.009461448
Adcorp,Industrials,0.514857023557471,0.4,0.350503895231547,-0.045136123,1762668,0.349018426020492,0.059563877
Advtech,Consumer Goods,0.267244071039593,0.6918,0.130163710535201,-0.148722763,2284776.6,1.66045173063604,-0.025639363
Afgem,Basic Materials,0,0,0,0,0,0,0
Afgri,Consumer Goods,0.616708295117408,1.0451,3.08360908319398,-0.223913597,2410971.3,0.274584681454631,-0.078572297
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.647682187564703,0.6806,0.58655480177561,-0.116482357,5699327.65,10.3220453281802,0.005895443
adaptit_holdings,Technology,0.952004297057283,1.0695,1.51032730264185,-0.22688138,44830.68,0.30039319217368,-0.08000288
adcock_ingram_holdings,Health Care,0.218253668974433,0.5867,0.0988383833238078,-0.135074709,10541188.2,2.63190649645594,-0.018612609
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,0,0,0,0,0,0,0
african_&_osents,Consumer Goods,10.0463655913979,0.2737,3.8018064516129,-0.0967431,11625,0.0236750620643025,0
african_bank_invs,Financials,0.625041121970891,0.8601,1.0833738060381,-0.166521889,19477118.5,1.5693432036097,-0.032835589
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0,0,0,0,0,0,0
african_oxygen,Basic Materials,2.24294376890387,0.592,1.2105701832786,-0.166570678,7199913,0.71328640776699,-0.049774678
afrocentric_inv,Health Care,1.58322863002242,0.2966,2.61788574418276,-0.034342477,392776.5,0.755532665085493,0.063843323
ag_industries,Industrials,0.242297272950011,0.3934,1.35992680655077,0.495042399,345451.68,0.306071590900029,0.599326599
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,0,0,0,0,0,0,0
alexander_forbes,Fincials,0,0,0,0,0,0,0
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,1.77487633189133,1.0148,2.23383803035932,-0.1434324,2673425.7,0.119691336855301,0
allied_technologies,Telecommunications,0.325033750205712,0.5297,0.364092942619687,-0.127268573,6528552.8,0.709625304347826,-0.014397473
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,1.13590919189675,0.9606,0.23073608610156,-0.134476511,386185.8,0.369805629449178,0.005541289
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,1.02742835160608,0.2811,0.280259024171315,-0.1440843,116977.5,0.846828487867029,-0.046875
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0,0,0,0,0,0,0
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.0919276586134333,1.5086,0.123535121046641,-0.265435559,349600985,9.52928789489465,-0.090893759
anglo_american_platinum,Basic Materials,0.100795916435403,1.4634,0.107857534561691,-0.303273725,160671390,12.0361035034519,-0.131579525
anglogold_ashanti,Basic Materials,0.187801964380147,0.5918,0.433807988881078,-0.041281727,114785806.8,3.73347883558302,0.075501673
annuity_properties,Fincials,0,0,0,0,0,0,0
apexhi_properties_'a',Fincials,0,0,0,0,0,0,0
apexhi_properties_'b',Fincials,0,0,0,0,0,0,0
apl,Fincials,0,0,0,0,0,0,0
aps_technologies,Health Care,0,0,0,0,0,0,0
aquarius_platinum_(jse),Basic Materials,0.0942384177453666,1.4647,0.0478548964261981,-0.165378549,7995921.6,19.8346474701646,0.006397551
aquila_growth,Fincials,0,0,0,0,0,0,0
arb_holdings,Industrials,0.6985273556231,1.0225,0.190408814589666,-0.023778738,658000,0.554497964453141,0.120138762
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,0.663248633614037,1.0674,0.267991774010798,-0.160337789,33056984.8,1.29138935854364,-0.013591589
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,1.40089208590303,0.8232,0.80032469800067,-0.187788595,887717.2,0.606159670165941,-0.056426995
arrowhead_propsa_shares,Fincials,0,0,0,0,0,0,0
aspen_phmcrhdg,Health Care,0.115164318928582,0.824,0.216228908548825,-0.099510084,36298569.2,4.29553615847958,0.031901916
assmang,Basic Materials,0,0,0,0,0,0,0
assore,Basic Materials,1.69410362577428,1.3115,1.13190085329782,-0.252654784,3897771.6,0.441991618903336,-0.090530284
astral_foods,Consumer Goods,0.297164883588469,0.6695,0.398826612386911,-0.174541603,4529620,0.512769484101567,-0.052863103
astrapak,Industrials,0.7453188314476,1.0911,0.924732296808283,-0.357994173,1094561.1,0.418890585533869,-0.209754873
atlas_properties,Fincials,0,0,0,0,0,0,0
atlatsa_resources_(jse),Basic Materials,-0.0258223757576959,1.9059,0.586526095993231,-0.426827444,1371988.4,21.9069489685125,-0.227255744
austro_group,Industrials,2.33001357897919,0.6745,0.603932761517257,-0.157526495,232963.02,0.401301283851175,-0.035532995
aveng,Industrials,0.722016742659918,0.8967,0.745394851473253,-0.081022581,15048266,0.445588051534273,0.054969519
avgold,Basic Materials,0,0,0,0,0,0,0
avi,Consumer Goods,0.311620405144957,0.5771,0.32491950087632,-0.1158573,8587050,1.15070888722127,0
avis_sthnafrica,Industrials,0,0,0,0,0,0,0
avusa,Consumer Goods,0.686533511955008,0.8364,0.570092957010129,-0.098230936,2147018.28,0.455649040747029,0.033962264
awethu_breweries,Consumer Goods,-0.400912993601949,0.1364,2.20994910730829,0.915478229,5073.42,0.286714891212207,1.003571429
