Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0,0,0,0,0,0,0
AECI,Basic Materials,0.488695864777913,0.7703,0.668412351264868,-0.124372693,10227219.75,0.763396264088975,-0.009193793
Adcorp,Industrials,0.678690733946684,0.3452,0.632893529821513,-0.090972205,2119911.07,0.330038220651949,-0.002574605
Advtech,Consumer Goods,0.312829586082981,0.6683,0.156331505079275,-0.117432927,2401307.4,1.49558258594918,-0.008680027
Afgem,Basic Materials,0,0,0,0,0,0,0
Afgri,Consumer Goods,0.721329383882774,0.6464,2.87934854635829,-0.09867142,2177923.2,0.298754897119341,0.00870178
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.604392885704593,0.3899,0.482122731017453,-0.002630055,7631339,12.2238722533149,0.088583645
adaptit_holdings,Technology,0.355572044026778,0.6004,0.346969256369127,0.004610899,135421.22,0.78037733457037,0.109086099
adcock_ingram_holdings,Health Care,0.281037720175927,0.6216,0.191433870819548,-0.036978171,10490855.1,2.35560733677073,0.068832629
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,0,0,0,0,0,0,0
african_&_osents,Consumer Goods,0,0,0,0,0,0,0
african_bank_invs,Financials,0.606686525047317,1.0164,1.64715895366727,-0.107612902,21833351.25,1.39760281974139,0.023070298
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0,0,0,0,0,0,0
african_oxygen,Basic Materials,3.38129656509605,0.5348,1.61529349073242,-0.148334222,6257067.25,0.420134778083663,-0.047991822
afrocentric_inv,Health Care,0.890297812829355,0.4071,0.524734731782231,-0.124048096,816225.75,0.604050570803121,-0.031750796
ag_industries,Industrials,0,0,0,0,0,0,0
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,0,0,0,0,0,0,0
alexander_forbes,Fincials,0,0,0,0,0,0,0
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,2.05851989827135,0.5073,2.60370056291447,-0.059869762,2430387,0.103144209141451,0.038740138
allied_technologies,Telecommunications,0.310997220732519,0.3012,0.508674829160626,-0.024550189,5144740.51,0.515918623144805,0.061075411
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,0.929352010873514,0.3459,0.228859762420698,-0.0884417,532596.9,0.644460403449565,0
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,0.772085799975779,0.4535,0.123983957028773,-0.0952205,175466.25,1.24681131512378,0
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0,0,0,0,0,0,0
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.149443854989432,0.9007,0.0809688619958889,-0.0710271,377144982,7.37807347849052,0.052367
anglo_american_platinum,Basic Materials,0.192560916494067,1.3829,0.141484887047454,-0.135563004,130739136.78,6.87935868736297,0.018209696
anglogold_ashanti,Basic Materials,0.378578985784734,0.5735,0.418439754563286,-0.198404504,106796736,2.23195335325712,-0.095624004
annuity_properties,Fincials,0,5.3968,0,0.036258931,480701,#DIV/0!,0.036258931
apexhi_properties_'a',Fincials,0,0,0,0,0,0,0
apexhi_properties_'b',Fincials,0,0,0,0,0,0,0
apl,Fincials,0,0,0,0,0,0,0
aps_technologies,Health Care,0,0,0,0,0,0,0
aquarius_platinum_(jse),Basic Materials,0.51333510430197,1.5275,0.365408339680195,-0.544297311,1547326.48,2.31946467197817,-0.381414811
aquila_growth,Fincials,0,0,0,0,0,0,0
arb_holdings,Industrials,0.575370430987452,0.6631,0.171914893617021,-0.095453232,916500,0.729505782716324,0.012972068
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,0.970527342147189,1.0008,0.417554950282833,-0.132553754,23357404.8,0.742612939942136,-0.002853354
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,1.90464933128107,0.061,1.09684799499836,-0.087422053,673507.18,0.383793860161482,-0.016929053
arrowhead_propsa_shares,Fincials,0.317540320220513,0.8657,4.08691539088578,-0.10463404,555258.62,2.226020766517,0.01655506
aspen_phmcrhdg,Health Care,0.222439786673149,0.6744,0.217199992245777,-0.038710949,59448897.15,4.85558726742572,0.070426251
assmang,Basic Materials,0,0,0,0,0,0,0
assore,Basic Materials,0.257989519559498,1.0843,0.0980434674909474,-0.067460473,41728532.3,3.95613384432744,0.067500427
astral_foods,Consumer Goods,0.330516034875852,0.4202,0.377818514469422,-0.134352168,4762837,0.55343831397608,-0.041229568
astrapak,Industrials,0.898281928603486,0.6115,1.23345342014524,-0.067000187,918890.8,0.364964488190665,0.038174313
atlas_properties,Fincials,0,0,0,0,0,0,0
