Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0,0,0,0,0,0,0
AECI,Basic Materials,0.357870080717373,0.604,0.455425763360773,-0.096273233,12054654,1.04197890915377,0.018528767
Adcorp,Industrials,0.477245043582953,0.3393,0.344619650038017,-0.144038806,2122368.82,0.394157824418904,-0.045912906
Advtech,Consumer Goods,0.238583004216914,0.5642,0.0986293269129232,-0.086460516,2840940,1.93248078362016,0.025834084
Afgem,Basic Materials,0,0,0,0,0,0,0
Afgri,Consumer Goods,0.658852035672455,0.8146,2.62995615257923,-0.01507494,2384450.4,0.327085102880658,0.11299486
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.638547766223525,0.4676,0.509367995915245,-0.097529825,7223151.1,11.570037225812,0.008678975
adaptit_holdings,Technology,0.433797893712669,0.676,0.423302492770335,-0.129262446,111001,0.639653552926533,-0.009924446
adcock_ingram_holdings,Health Care,0.287570243555208,0.6031,0.195883615985187,-0.166398905,10252542,2.30209672381711,-0.051653605
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,7.34555426391249,0,9.82014367045217,-0.210526316,16774.5,0.246437386143269,-0.210526316
african_&_osents,Consumer Goods,7.43913650793651,-0.1551,2.73132698412698,-0.0669787,19687.5,0.0387489716145946,0
african_bank_invs,Financials,0.552736213256197,1.0906,1.50068340912975,-0.130950278,23964415,1.53401709128153,0.014507522
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0,0,0,0,0,0,0
african_oxygen,Basic Materials,3.26500858798957,0.5085,1.55974106909347,-0.124406363,6479921.7,0.435098482508561,-0.015620863
afrocentric_inv,Health Care,0.987421210592557,0.5642,0.581978520703929,-0.093773245,735941.25,0.544635760560191,0.018521355
ag_industries,Industrials,0,0,0,0,0,0,0
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,0,0,0,0,0,0,0
alexander_forbes,Fincials,0,0,0,0,0,0,0
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,2.00113877611535,0.6045,2.32762998924314,-0.107697707,2536056,0.111181762384919,0.007135793
allied_technologies,Telecommunications,0.376477867215005,0.3785,0.395680528668649,-0.081353851,5676296.5,0.588156305046109,0.019241649
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,0.711180959540403,0.3377,0.175133537706083,0.133776445,695983.2,0.842163395742858,0.231801545
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,0.729913046195589,0.3065,0.117211724081824,-0.065447255,185604.3,1.31884930221982,0.030612245
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0,0,0,0,0,0,0
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.144151175594372,0.8789,0.0760494022349207,-0.240734693,378477662.6,8.22330608582292,-0.108613993
anglo_american_platinum,Basic Materials,0.152162567831659,1.3436,0.125751103109455,-0.256175529,144010188,7.92396764608782,-0.094778729
anglogold_ashanti,Basic Materials,0.242682320994716,0.3874,0.328505946399342,-0.228605192,107988912.8,2.78085424252569,-0.127448992
annuity_properties,Fincials,0,0,0,0,0,0,0
apexhi_properties_'a',Fincials,0,0,0,0,0,0,0
apexhi_properties_'b',Fincials,0,0,0,0,0,0,0
apl,Fincials,0,0,0,0,0,0,0
aps_technologies,Health Care,0,0,0,0,0,0,0
aquarius_platinum_(jse),Basic Materials,0.170938511452781,0.8476,0.121679497727514,-0.066330569,4646682.56,6.9654440605302,0.063818231
aquila_growth,Fincials,0,0,0,0,0,0,0
arb_holdings,Industrials,0.547303580695382,0.5658,0.163528801245459,-0.087423091,963500,0.766916335676136,0.024972309
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,0.904255334843489,1.0336,0.367298606926585,-0.283584016,24944281.92,0.825313721545792,-0.141717216
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,1.71762950030257,0.136,0.989147158280175,0.10179515,746840.34,0.425582303388234,0.18711315
arrowhead_propsa_shares,Fincials,0.307427118856551,0.4435,3.95675302827054,-0.056713514,573524.55,2.29924851667736,0.047976986
aspen_phmcrhdg,Health Care,0.255388579086244,0.644,0.249372642488188,-0.026479716,51779136.12,4.22914681542709,0.090842284
assmang,Basic Materials,0,0,0,0,0,0,0
assore,Basic Materials,0.319374890852491,1.2908,0.121371681230251,-0.200847003,33708110.15,3.19574612483392,-0.042776603
astral_foods,Consumer Goods,0.29878649552777,0.4722,0.341547937080358,-0.099246725,5268625,0.612210524309823,0.007251875
astrapak,Industrials,0.963190951903998,1.0088,1.12679923367974,-0.102704231,932403.9,0.344648416838023,0.037600169
atlas_properties,Fincials,0,0,0,0,0,0,0
atlatsa_resources_(jse),Basic Materials,-0.125623779198086,1.3894,1.4526614978171,-0.33670308,668249.28,4.50645896133849,-0.17242088
austro_group,Industrials,2.7833380367302,0.3794,0.298615016030931,-0.121727337,185787.71,0.47994510490775,-0.021075137
aveng,Industrials,0.822928930192671,0.8495,0.676407779559763,-0.050429752,15698074.92,0.457355141069119,0.079838748
avgold,Basic Materials,0,0,0,0,0,0,0
avi,Consumer Goods,0.183901235214427,0.8693,0.152342727311139,-0.074073329,15872106.55,2.06498660603932,0.057442571
avis_sthnafrica,Industrials,0,0,0,0,0,0,0
avusa,Consumer Goods,0.865245023685093,0.6113,0.74193615174923,-0.135478301,2400476.1,0.452067062146893,-0.020216401
awethu_breweries,Consumer Goods,-0.737794792692672,-0.5712,1.86687255764919,0.359663866,5918.99,7.27148648648649,0.400428266
barclays_africa_group,Fincials,0.502406445654242,1.0876,5.83615284294751,-0.142469867,112040760,1.47826630778974,0.002798933
barloworld,Industrials,0.536537629609288,1.1731,0.763617609593264,-0.028076528,23088781.32,0.463416119462899,0.122578772
barnard_jacmellet,Fincials,0,0,0,0,0,0,0
barnato_exploration,Basic Materials,0,0,0,0,0,0,0
barplats_invs,Basic Materials,0,0,0,0,0,0,0
basil_read,Industrials,1.05603428658078,0.455,1.59611383386963,-0.119808621,1618209.77,0.30023731443778,-0.014393621
bauba_platinum,Basic Materials,0.00433779095433963,0.4649,0.153974500961914,-0.14644274,234220.6,#DIV/0!,-0.04040404
bearing_man,Consumer Goods,0,0,0,0,0,0,0
bell_equipment,Industrials,0.580754174497786,0.6247,0.445718210197367,0.070492894,2421429,0.709952616639854,0.186598994
bhp_billiton_(jse),Basic Materials,0.0713537806576165,1.4369,0.0517196116697142,-0.228877828,493210586.4,10.9128081889442,-0.061603128
bidvest_group,Industrials,0.304887549005004,0.862,0.500093937143878,-0.103998312,57953380.05,0.489129319650417,0.027057688
blue_label_telecoms,Telecommunications,0.634701591755515,1.0133,0.456567595043306,-0.046622046,4633876.83,0.256517388289078,0.093965854
bonatla_pr,Fincials,0,0,0,0,0,0,0
bowler_metcalf,Industrials,0.524956162407968,0.7261,0.104905552939048,-0.150171687,751638,1.27148224396136,-0.027677387
braemore_resources_(jse),Fincials,0,0,0,0,0,0,0
brait_sa_(jse),Fincials,0.142656919011485,0.5086,0.0250740198986791,-0.118798871,10453050.65,35.7491472298222,-0.010007071
brandcorp,Consumer Goods,0,0,0,0,0,0,0
bridgestone_fireston,Consumer Goods,0,0,0,0,0,0,0
brimstone_inv,Fincials,3.05222486759633,0.5344,3.03410718623974,-0.263611036,514525,0.286339726551891,-0.153193836
britamertobacco_(jse),Consumer Goods,0.0121088311862966,0.3744,0.0235455341153481,-0.047646266,760271562,51.0832199153396,0.052690934
bryant_technology,Technology,0,0,0,0,0,0,0
buildmax,Basic Materials,0.0608376661211832,0.7589,0.0597106263437074,-0.191320088,9162941.9,7.05088465578337,-0.066759388
burlington_inds,Consumer Goods,0,0,0,0,0,0,0
business_connexion_group,Technology,1.16130456755858,0.5224,0.778028123581773,-0.107465041,1846672.32,0.428047019816739,0.002196159
bytes_techgp,Technology,0,0,0,0,0,0,0
cadiz,Fincials,1.0636315183406,0.3735,3.86797527931801,-0.046345132,642797.8,1.97139141822286,0.053935368
cafca,Industrials,0,0,0,0,0,0,0
canadian_ospack,Basic Materials,0,0,0,0,0,0,0
cape_empowerment,Fincials,0,0,0,0.086770624,148818,#DIV/0!,0.086770624
cape_empwmtrust,Fincials,0,0,0,0,0,0,0
capevin_holdings,Consumer Goods,0,0,0,0,0,0,0
capevin_investments,Consumer Goods,0,0,0,0,0,0,0
capital_&_cnts_(jse)_props,Fincials,0.0546616395720921,0.3224,0.0488514426558374,-0.057006651,16161242.27,141.269600262238,0.040054549
capital_all,Fincials,0,0,0,0,0,0,0
capital_property_fd,Fincials,0.360316250047547,0.6531,0.125140966642376,-0.079303711,14703921.9,18.5147592527069,0.038591589
capitec_bank,Fincials,0.175067380730985,0.5421,0.555068456194095,0.013873759,19709462.64,3.95135444134525,0.124776059
cargo_carriers,Industrials,1.81808791208791,0.127,1.54556043956044,-0.081442774,182000,0.338102686615964,0.003308226
cashbuild,Consumer Goods,0.24677687668954,0.4952,0.405751841559702,0.025145575,3173940,0.56002529513044,0.133093175
caxton_&_ctp_pb&prt,Consumer Goods,0.690115355539744,0.8214,0.147875923746776,-0.080494103,7289421.92,1.67942700502394,0.048004097
cbd_property_fund,Fincials,0,0,0,0,0,0,0
cbs_property_prtf,Fincials,0,0,0,0,0,0,0
ccn_holdings,Industrials,0,0,0,0,0,0,0
cementation_coof_af,Industrials,0,0,0,0,0,0,0
central_rand_gold_(jse),Basic Materials,0,0,0,0,0,0,0
ceramic_industries,Industrials,0,0,0,0,0,0,0
chariot_land,Fincials,0,0,0,0,0,0,0
chester_inv,Consumer Goods,0,0,0,0,0,0,0
cic_holdings,Industrials,0,0,0,0,0,0,0
cipla_medpro,Health Care,0.593141870951341,0.6571,0.228783617260514,-0.065504914,2996578.2,2.07092031052282,0.052642386
city_lodge_hotels,Consumer Goods,0.0689853678907966,0.5489,0.292196220665806,-0.079397669,3403866.75,4.30761245915581,0.031933031
clicks_group,Consumer Goods,0.0780886909557981,0.7095,0.261990508529444,-0.102540222,12350981.79,0.875774851291424,0.018908278
clientele,Fincials,0,0,0,0,0,0,0
clientele_lfasr,Fincials,0,0,0,0,0,0,0
clover_industries,Consumer Goods,0.566836557057932,0.1606,0.747584536325807,0.100328517,2631155.28,0.402174592166908,0.187196317
coal_of_africa_(jse),Basic Materials,0.078593867153289,1.3234,0.0286298157718449,-0.246763255,5167375.2,22.2975809722714,-0.086639055
comair,Consumer Goods,1.09097884333382,0.5899,1.77591160100523,-0.164633666,733764,0.204519038930763,-0.050719966
combined_motor,Consumer Goods,0.523049765140727,0.4578,1.36453077555814,-0.065591353,1125269.6,0.152843705923645,0.040000047
command,Industrials,0,0,0,0,0,0,0
commerical_finco,Fincials,0,0,0,0,0,0,0
compu_clearoutsc,Technology,0.343581831585946,0.1474,0.0496416904946781,-0.010172056,130434.72,2.35004810550781,0.075864144
conafex_holdings_(jse),Consumer Goods,0,0,0,0,0,0,0
concor,Industrials,0,0,0,0,0,0,0
conduit_capital,Fincials,1.41748603047488,0.7615,2.82026786010064,-0.1247245,187157.4,0.469872839335702,0
congella_fedn,Fincials,0,0,0,0,0,0,0
connection_gp,Consumer Goods,0,0,0,0,0,0,0
consol,Industrials,0,0,0,0,0,0,0
consolidated_infrgp,Industrials,0.675127442067393,0.901,0.476946849561036,-0.081341355,1401676.1,0.969644967057658,0.052171645
consproperty_&_fin,Fincials,0,0,0,0,0,0,0
control_instruments_gp,Consumer Goods,4.18815665856265,-0.2011,3.31173218012436,0.047023126,69718.5,0.0769415410490629,0.111103826
convergenet_holdings,Technology,0.190399824058644,-0.0765,0.0895232734042832,-0.031761367,2395343.6,6.80818342793314,0.040169133
core,Fincials,0,0,0,0,0,0,0
coronation,Fincials,0,0,0,0,0,0,0
corpcapital,Fincials,0,0,0,0,0,0,0
corvus_cap(sa),Fincials,0,0,0,0,0,0,0
corwil_investments,Fincials,0,0,0,0,0,0,0
country_bird_holdings,Consumer Goods,0.449396630799611,0.6205,0.885369252647287,-0.165920397,996200.17,0.351435629470776,-0.050078897
crookes_brothers,Consumer Goods,0.754385452546406,0.1587,0.275262628952319,-0.182902538,582095,1.95135483049115,-0.096154438
crux_techs,Technology,0,0,0,0,0,0,0
cs_computer_svs,Technology,0,0,0,0,0,0,0
cullinan,Consumer Goods,0,0,0,0,0,0,0
curro_holdings,Consumer Goods,0.0383518243962732,0.7391,0.122362038908666,-0.031408278,1504126.62,20.3180729173702,0.091905022
cycad_finlhdg,Fincials,0,0,0,0,0,0,0
daewoo_eltnof_sa,Consumer Goods,0,0,0,0,0,0,0
datacentrix,Technology,0.414815410248166,0.4383,0.299886285762539,-0.060881566,985276.8,1.17851847421743,0.043481334
datatec,Technology,0.616278147776465,1.0055,1.00828739225758,-0.162318557,8222852,0.265395593727708,-0.022222057
delrand_resources_(jse),Basic Materials,0,0,0,0,0,0,0
delta_emd,Basic Materials,1.35628214094975,-0.2991,0.393300904244082,-0.128650559,381036.5,1.03877872043445,-0.070743859
delta_property_fund,Fincials,0,0,0,0,0,0,0
diamond_core_res,Basic Materials,0,0,0,0,0,0,0
diamondcorp_(jse),Basic Materials,0,0,0,0,0,0,0
digicore,Industrials,0.840370386997802,0.5944,0.174050736864927,-0.162604757,730608.8,1.02577866136514,-0.048407557
dimension_data_hdg(jse),Technology,0,0,0,0,0,0,0
dipula_income_fund_'a',Fincials,0.509497657832995,0.3758,1.88127803778318,-0.087802126,929957.17,8.44103411968667,0.012623274
discovery,Fincials,0.295445622806457,0.6933,0.417105622116064,-0.0803786,29812592.64,1.78796885210507,0.0400493
distell_group,Consumer Goods,0.373909490989525,0.6586,0.178461629477711,-0.163987149,15212850,1.23402937072399,-0.045745349
distribution,Industrials,0.7754377528731,0.4651,0.876466413734929,-0.038255501,1513530.9,0.399071488895176,0.067795799
diversified_prfd,Fincials,0,0,0,0,0,0,0
dna_supply_chninv,Industrials,0,0,0,0,0,0,0
don_group,Consumer Goods,9.04799904918757,1.0369,10.1049629013362,-0.209056237,14724.25,0.163575515191912,-0.066981537
dorbyl,Consumer Goods,1.97412652086991,0.1679,1.35656703826565,0.081791973,54171.3,0.426683417481234,0.169119673
drd_gold,Basic Materials,0.579758757768726,1.111,0.465142824171573,-0.228985756,2150442.72,0.83827497476922,-0.082242756
dunlop_africa,Industrials,0,0,0,0,0,0,0
dynamic_techhdg,Technology,0,0,0,0,0,0,0
eastern_platinum_(jse),Basic Materials,0.358259248647764,1.3334,0.0297280570385004,-0.431211898,2877382.8,17.9268368357766,-0.270457698
edgars_consstores,Consumer Goods,0,0,0,0,0,0,0
eersteling_gdmng,Basic Materials,0,0,0,0,0,0,0
efficient_group,Fincials,0,0,0,0,0,0,0
eland_platinum,Basic Materials,0,0,0,0,0,0,0
elb_group,Industrials,0.470105932818839,0.7687,0.984367888993251,-0.175760494,826184,0.631251126983108,-0.050582394
elementone,Consumer Goods,0,0,0,0,0,0,0
ellerine,Consumer Goods,0,0,0,0,0,0,0
ellies_holdings,Industrials,0.562420512279823,0.8602,0.339623316460677,0.01660224,1062271,0.807163074491568,0.14754484
eltmedia_network_&_supersport,Consumer Goods,0,0,0,0,0,0,0
emergent_properties_susp,Fincials,0,0,0,0,0,0,0
emira_property_fund,Fincials,0.929287454636639,0.5996,0.44521442257118,-0.07573035,6280178.4,5.1310323866793,0.03879445
energy_africa,Oil & Gas,0,0,0,0,0,0,0
enterrsman,Fincials,0,0,0,0,0,0,0
enviroserv,Industrials,0,0,0,0,0,0,0
eoh,Technology,0.142575751200105,0.6725,0.19694313795532,0.027141919,3255757,3.59690152857629,0.146259419
eqstra_holdings,Industrials,0.824670686346624,0.4178,2.44002413266365,-0.165223534,3236443.4,0.426633720010546,-0.062152134
eureka_industrial,Fincials,0,0,0,0,0,0,0
evraz_highveld_stlvnm,Basic Materials,0.935520289049679,1.0946,0.558703152703374,-0.441022168,2682999,0.523512,-0.295312368
excellerate_hdg,Industrials,0.907937739277839,0.8298,1.33678827188427,0.070994085,278442,0.351545100574205,0.200021485
