Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0,0,0,0,0,0,0
AECI,Basic Materials,0.410398828890313,0.597,0.452305196830744,-0.10296552,6347484,0.802361774744027,0.00934548
Adcorp,Industrials,0.187482740398548,0.6095,0.202959275863832,0.057115122,1173260,0.584974813764454,0.170213622
Advtech,Consumer Goods,0.25316828283818,0.3879,0.125548896521678,-0.003433996,992035.8,1.74092068918317,0.095703704
Afgem,Basic Materials,0.352355877726869,1.3997,0.113702972811911,-0.242128534,81888.8,2.12213123250752,-0.079247434
Afgri,Consumer Goods,0.402313522829101,0.5449,0.914338608202073,-0.124661277,2354902.2,0.376972234961905,-0.015632577
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.508446303771913,0.6353,0.514135026796442,-0.056363977,1865620.8,12.257853585461,0.058359923
adaptit_holdings,Technology,0.183799374906447,0.2675,0.0601251441954766,-0.0915525,55783.65,1.75128402348287,0
adcock_ingram_holdings,Health Care,0,0,0,0,0,0,0
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,1.48773482440116,0,3.53044060673298,0.08,18901.89,0.256175238869689,0.08
african_&_osents,Consumer Goods,0,0,0,0,0,0,0
african_bank_invs,Financials,0.197001806079769,0.7877,0.402022681606476,-0.086062884,11223247.36,3.1713047075445,0.038262216
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0,0,0,0,0,0,0
african_oxygen,Basic Materials,0.635138666788433,0.7491,0.36346593034153,-0.094401836,10251304.7,1.86897077484047,0.027491464
afrocentric_inv,Health Care,1.31010353851405,0.6859,1.31835248606212,0.156118105,17578,0.383154957822002,0.297264205
ag_industries,Industrials,0.76746946336199,0.7516,0.759323597997142,0.099442227,386208.2,0.41774276591326,0.221493027
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,0,0,0,0,0,0,0
alexander_forbes,Fincials,0.353265183816275,0,12.5738383406094,-0.04778459,7076836.65,1.53410722956861,-0.04778459
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,0.953177943433195,0.7914,1.13053034791579,-0.018676054,2740306.8,0.224504899229887,0.105882146
allied_technologies,Telecommunications,0.241554068626573,0.6332,0.192944630365868,-0.00779203,6027636,1.08566930835735,0.10679957
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,0.327679212502193,0.8107,0.30087273139144,-0.081919883,1262530.5,0.702118093132255,0.043854217
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,0,0,0,0,0,0,0
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0.695630961832764,0.616,0.519886008415126,-0.139504906,651802.5,6.55420420722388,-0.025996906
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.0541898301317484,1.0627,0.0439399492852262,-0.077586864,181201130.0,17.2135068178751,0.064063236
anglo_american_platinum,Basic Materials,0.109575992692526,1.2586,0.0990120218793019,-0.00183657,118857768.75,8.76811038657721,0.15215523
anglogold_ashanti,Basic Materials,0.22474420026472,1.4893,0.341257608787452,-0.137111195,81406518.96,5.34510661583225,0.031414705
annuity_properties,Fincials,0,0,0,0,0,0,0
apexhi_properties_'a',Fincials,0.768289038036045,0.4372,0.387826934145839,-0.047427406,3787460,4.95929083028898,0.054816194
apexhi_properties_'b',Fincials,0.716441311542815,0.4839,0.361654564356856,-0.086430937,4061552.5,5.31818687721779,0.018754763
apl,Fincials,0,0,0,0,0,0,0
aps_technologies,Health Care,0.168314321926489,0.0982,0.407604562737643,-0.0808866,3945,0.951749095295537,0
aquarius_platinum_(jse),Basic Materials,0.252630337239648,0.5178,0.301164770856728,0.106953693,1224120.6,4.40560940058664,0.214275093
aquila_growth,Fincials,0,0,0,0,0,0,0
arb_holdings,Industrials,0,0,0,0,0,0,0
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,0.565342560081071,1.4134,0.270758201156034,-0.101226311,28372178.45,1.23073693011756,0.062517889
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,0.334713224897841,0.5696,0.221459823842569,-0.055836511,1162675.9,1.54640357620721,0.054748289
arrowhead_propsa_shares,Fincials,0,0,0,0,0,0,0
