Company name,Industry,BV_MV,Beta,Debt equity ratio,Excess return,Market value,Price Sales,Return monthly
1time_holdings,Consumer Goods,0.637654320987654,0.8384,1.51302469135802,-0.198772281,226800,0.216091787559287,-0.060853081
AECI,Basic Materials,0.539779568149441,0.7961,0.931722312727318,-0.128532103,7136246.4,0.554228518173346,0.006722197
Adcorp,Industrials,0.50175446484607,0.5451,0.472677621221687,-0.076971219,1601343,0.331052776619491,0.042470081
Advtech,Consumer Goods,0.215182666889138,0.688,0.114812434052355,0.012764215,2364944.2,1.97441811732077,0.141208215
Afgem,Basic Materials,0,0,0,0,0,0,0
Afgri,Consumer Goods,0.679960427949962,1.0036,3.39987668147029,-0.165126464,2186694.9,0.249041920389083,-0.016799664
Afnrainbowmin,Basic Materials,0,0,0,0,0,0,0
Afribrand,Consumer Goods,0,0,0,0,0,0,0
abacus_tech,Consumer Goods,0,0,0,0,0,0,0
acucap_properties,Fincials,0.629890899744649,0.4959,0.639857538664917,-0.080285334,4999880.14,8.95503059111783,0.036056366
adaptit_holdings,Technology,0,0,0,0,0,0,0
adcock_ingram_holdings,Health Care,0.242929254265762,0.5616,0.110012971907926,-0.104629871,9470465,2.36457009257824,0.015850929
admiral_leiswld,Consumer Goods,0,0,0,0,0,0,0
adrenna_property_group,Financials,4.35570224285238,0,5.6407046409729,0,30753.25,0.0795949240628203,0
african_&_osents,Consumer Goods,0,0,0,0,0,0,0
african_bank_invs,Financials,0.653930711625701,0.6125,1.13344767093921,-0.080575614,18616651.25,1.5000121867698,0.043111886
african_harvest,Financials,0,0,0,0,0,0,0
african_life_asr,Fincials,0,0,0,0,0,0,0
african_oxygen,Basic Materials,2.26451053591256,0.5251,1.22221028119474,-0.191266112,7131342.4,0.706493203883495,-0.073084812
afrocentric_inv,Health Care,1.43470240471585,0.043,2.37229601665123,-0.12780119,433438.32,0.833748477976098,-0.03999219
ag_industries,Industrials,6.78432364260032,0.8169,9.79124816475,-0.289903529,15491.16,0.0639655452345,-0.153338829
alacrity_finlsvs,Fincials,0,0,0,0,0,0,0
alex_white,Industrials,0,0,0,0,0,0,0
alexander_forbes,Fincials,0,0,0,0,0,0,0
alliance_pharmaceuticals,Health Care,0,0,0,0,0,0,0
allied_electronics,Industrials,1.77368080442776,0.971,2.56643204433001,-0.237182713,2747394,0.110925145348837,-0.090909713
allied_technologies,Telecommunications,0.279262867866416,0.584,0.298509530613991,-0.133080168,8053344.21,0.878802292666957,-0.011188168
aludie,Industrials,0,0,0,0,0,0,0
amalappc,Consumer Goods,1.33377724467876,0.9002,0.270928823680542,-0.202450109,328894.5,0.314944354750674,-0.060637509
amalbeverages_ind,Consumer Goods,0,0,0,0,0,0,0
amalgamated_elt,Industrials,1.09480455643179,0.4022,0.444743647282597,-0.1104386,93582,0.677639391745112,0
amb,Fincials,0,0,0,0,0,0,0
amb_priveqptns,Fincials,0,0,0,0,0,0,0
ambit_properties,Fincials,0,0,0,0,0,0,0
amlac,Consumer Goods,0,0,0,0,0,0,0
andulela_investment_hdg,Fincials,0,0,0,0,0,0,0
anglo_american_(jse),Basic Materials,0.0797642232745028,1.6432,0.107612335254308,-0.215030057,364010314.5,7.17049767556387,-0.026408457
anglo_american_platinum,Basic Materials,0.0843240580664272,1.5615,0.115612491263223,-0.199301318,165462743.61,11.6457940848568,-0.015826818
anglogold_ashanti,Basic Materials,0.228736400816832,0.8261,0.517967625827041,-0.144170613,100355692.92,3.37058147779942,-0.007026313
annuity_properties,Fincials,0,0,0,0,0,0,0
apexhi_properties_'a',Fincials,0,0,0,0,0,0,0
apexhi_properties_'b',Fincials,0,0,0,0,0,0,0
apl,Fincials,0,0,0,0,0,0,0
aps_technologies,Health Care,0,0,0,0,0,0,0
aquarius_platinum_(jse),Basic Materials,0.0690522925453131,1.8634,0.035065214238595,-0.260117764,10912353.12,27.0691344954097,-0.057012464
aquila_growth,Fincials,0,0,0,0,0,0,0
arb_holdings,Industrials,0.832287913082843,0.9748,0.2268700769579,0.028521831,552250,0.465382220166029,0.175034231
arcay_gp,Fincials,0,0,0,0,0,0,0
arcelormittal_sa,Basic Materials,0.598115762206341,1.0632,0.201686472413926,-0.045155424,46805320.59,1.17265422132585,0.106926176
ardor,Fincials,0,0,0,0,0,0,0
argent_industrial,Industrials,1.58203431585051,0.9248,0.882460666747385,-0.195382568,791226.2,0.405888575168978,-0.052020168
arrowhead_propsa_shares,Fincials,0,0,0,0,0,0,0
aspen_phmcrhdg,Health Care,0.136635178549424,0.6018,0.256541920292496,-0.069600855,30594610,3.62053536560832,0.053412545
assmang,Basic Materials,0,0,0,0,0,0,0
assore,Basic Materials,1.64233934832006,1.3371,1.0973149938915,-0.133365444,4020624,0.455922586834387,0.035971856
astral_foods,Consumer Goods,0.297164883588469,0.6486,0.398826612386911,-0.045019595,4529620,0.512769484101567,0.080942205
astrapak,Industrials,0.511069896164565,0.8178,0.863350715561599,-0.051762801,1364823.1,0.496340640729719,0.084858599
atlas_properties,Fincials,0,0,0,0,0,0,0
atlatsa_resources_(jse),Basic Materials,-0.00070080735749644,1.8634,0.00870182318540726,-0.144602336,1896384.2,#DIV/0!,0.068186064
austro_group,Industrials,2.73523333184513,0.5378,0.708964546128954,-0.1189814,198449.98,0.341849241799149,0
aveng,Industrials,0.733599898959275,0.7663,0.757353057646621,-0.07984745,14810661.8,0.438552450720574,0.05352945
avgold,Basic Materials,0,0,0,0,0,0,0
avi,Consumer Goods,0.357423342483811,0.4307,0.372677180710819,-0.079136518,7486640.3,1.00324832493568,0.033097582
avis_sthnafrica,Industrials,0,0,0,0,0,0,0
avusa,Consumer Goods,0.717327748822746,0.6715,0.743181964504697,-0.06604965,1972599,0.404635692307692,0.06135485
awethu_breweries,Consumer Goods,-0.000700807357496,1.0834,1.65746183048121,-0.1533542,15491.16,0.382286521616276,0
barclays_africa_group,Fincials,0.495710302537617,0.4529,7.55464388289293,-0.124433854,95378288,0.976206339621097,-0.010801154
barloworld,Industrials,1.28802768055383,1.0004,1.88759304619807,-0.252514826,9201665.6,0.217883727978784,-0.104389626
barnard_jacmellet,Fincials,1.16528333333333,0.8671,9.79124816475,-0.2022273,300000,0.592899436350269,-0.0625
barnato_exploration,Basic Materials,0,0,0,0,0,0,0
barplats_invs,Basic Materials,0,0,0,0,0,0,0
basil_read,Industrials,0.619735154021201,0.8384,1.30517517612957,-0.082600441,1274015.19,0.36664090714052,0.055318759
bauba_platinum,Basic Materials,0,0,0,0,0,0,0
bearing_man,Consumer Goods,0,0,0,0,0,0,0
bell_equipment,Industrials,1.77840466311422,1.3253,2.11151549591965,-0.079585857,987563.2,0.180929609053999,0.089008043
