Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
AECI;Basic Materials;;0,012072938;-0,188671535;-0,124048678;0,003111301;-0,123578123;-0,086395749;-0,193417266;-0,160056525;-0,200548596;-0,243770358;0,002429302;-0,121418585;-0,138860544;-0,158596413;-0,079584716;-0,121750789;-0,078611062;-0,195245936;-0,057446164;-0,122963689;-0,18473076;-0,06364529;-0,147179501;-0,107963659;-0,193135838;-0,065714733;-0,238950023;-0,183562154;-0,021337425;-0,125673358;-0,035089694;-0,106368825;-0,072399393;-0,107373929;-0,078413338;0,006483437;-0,215384822;0,038969835;-0,110361761;-0,157216244;-0,23486249;-0,211100682;-0,170570383;-0,049767597;-0,182993659;-0,04616097;-0,089487504;-0,072691846;-0,078549349;-0,072805412;-0,140239507;-0,121018835;-0,093124554;-0,062856549;-0,047179171;-0,019176971;-0,165584209;-0,113321288;-0,027190376;-0,1099816;-0,032661039;-0,176372307;-0,10296552;0,014756884;-0,127969591;-0,117062418;-0,170986376;-0,108836532;-0,052009839;-0,068045639;-0,053558666;-0,077643473;-0,040489784;-0,148111071;-0,084325553;0,010252689;-0,027385661;-0,206436817;-0,127646024;-0,163254557;-0,093455257;-0,059391411;-0,249624461;-0,208711407;-0,350301307;-0,096584691;-0,245191124;-0,125487568;-0,151864565;-0,220652561;-0,207753103;-0,052093317;-0,223373897;-0,285360923;-0,237056833;-0,066442066;-0,148612828;-0,280303082;-0,142840352;0,00165962;-0,196592907;-0,131626118;-0,001551481;-0,084141748;-0,08729799;-0,113857951;-0,151092663;-0,106653567;-0,177825681;-0,128532103;-0,055498424;-0,082018048;-0,113184935;-0,143433646;-0,115890941;-0,136589448;-0,037422793;-0,057087281;-0,103192102;-0,082325238;-0,153788351;-0,073815912;-0,13547761;-0,080620795;-0,116760727;-0,165320776;-0,17747326;-0,213053953;-0,100076517;-0,100026514;-0,070113113;-0,085734671;-0,089405951;-0,032020277;-0,096273233;-0,158642125;-0,211699048;-0,124372693;-0,138095347;-0,0493475;-0,111045553;-0,205338646;-0,0476308;-0,083589317;-0,029181206;0,017125787;-0,019202059;-0,110717202;-0,00559073;-0,077133552;-0,092118615;-0,103714295;-0,077105393;-0,090585092;-0,144408076;0,052720061
AFGEM   ;Basic Materials;;-0,4584011;-0,2297653;-0,348507201;-0,343735746;-0,161737789;-0,327699165;-0,4577776;0,098520657;-0,228114531;-0,1812339;-0,139492048;-0,063957586;-0,062779362;-0,2007678;-0,519756788;-0,102477514;0,185996557;-0,1679276;0,051769912;-0,184986598;-0,1832262;0,059966797;-0,227339547;-0,182334187;-0,114719997;-0,1366465;-0,167659332;-0,272648314;-0,234789667;-0,214957734;-0,1107051;-0,097685692;-0,314455429;0,077574751;-0,19858279;0,129511871;0,206614533;-0,027742696;-0,152330847;-0,058085409;-0,904903015;-0,6724006;0,224118469;-0,086130889;-0,254854734;-0,245412644;0,193324045;0,274263248;-0,339843833;-0,295413998;-0,333183028;-0,296106186;-0,38967737;0,024112596;0,434466042;0,088974855;-0,01634103;-0,183098592;-0,08178603;-0,089070775;-0,204498193;-0,175549456;-0,242128534;0,003552656;-0,138359443;-0,3382146;-0,334634529;0,212654018;-0,29855707;-0,19316263;-0,126417;-0,276265467;-0,038178284;-0,542649409;-0,14795743;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,0835;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFLEASE GOLD   ;Basic Materials;;-0,250064744;0,22612838;-0,636796271;0,286889752;-0,2264868;0,119976008;-0,144033844;-0,322738738;-0,280372474;-0,112565138;-0,657377815;-0,206813;-0,2068933;-0,2084097;0,052752376;0,517362115;-0,006912793;-0,337491079;-0,302593238;-0,256173474;-0,1927298;-0,687376867;1,424581373;0,689097179;0,039563816;-0,134710891;-0,192850126;-0,567053837;0,364180004;0,002032547;-0,1342545;-0,103396765;-0,152879545;-0,178053635;-0,375122301;-0,162368;-0,023853456;0,095735694;0,414114461;0,498623634;0,013336425;-0,317239898;-0,44535312;0,064186018;-0,296975445;-0,17936247;-0,1339106;-0,121491427;-0,216718196;-0,1199983;0,04219791;-0,025814136;0,035700329;0,042849873;-0,07077505;0,386080992;0,298271107;-0,304838681;0,005853784;0,045819503;0,180148658;-0,253499768;-0,193890659;0,02862607;-0,185588702;-0,207065581;-0,187926952;-0,088811752;-0,131361508;-0,189141135;0,009938018;-0,161121991;-0,139453328;-0,107137232;-0,183422942;-0,150271985;-0,261108367;-0,333964164;-0,260654546;-0,349492167;0,001076699;-0,127914918;-0,306082803;-0,109152856;-0,218123417;-0,25285242;-0,201250256;-0,166561033;-0,149491741;0,201152624;-0,375106067;-0,169861478;-0,273647981;-0,609131429;-0,009237873;-0,162018733;0,302677533;-0,051780649;-0,190568638;-0,211806566;0,545578186;-0,099180856;-0,045865612;0,009617563;-0,047612473;0,149996376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AFN.RAINBOW MRLS.;Basic Materials;;0,191300714;0,222632658;0;0,104476341;-0,027026149;0,097221064;-0,075950715;0,082193359;-0,135443794;0,007321513;0,040698106;0,00698406;-0,112344573;0,040625073;0,199700566;-0,061326287;0,0666664;-0,074753444;-0,147751798;-0,208111433;-0,211346158;-0,1757442;-0,1670944;-0,097948097;-0,102874005;-0,231374665;-0,272335185;-0,284766136;0,06392189;-0,17223459;-0,1893593;-0,033896514;-0,155834653;0,031952856;-0,059633122;0,02682875;0,0807589;-0,054944982;0,041861943;-0,162945433;-0,039468046;-0,056081546;-0,102940202;0,147538724;0,028574861;-0,180555787;0;-0,101696641;0;0,181130964;0,006390543;-0,122222487;0,211576792;0,014626777;-0,014415919;0;0,164175826;-0,038458428;0,079997277;0,036789298;0,1193155;-0,085106859;0,116278907;0,041668492;-0,020002343;-0,015304887;0,061140903;0,17285131;0,141547841;0,079357882;0,027841653;0,328073013;-0,098217312;0,064998574;0,061855207;0,155339197;0,02731164;0,010142626;0,04453843;-0,089077409;0,132239855;0,14068396;-0,001667384;0,015025573;-0,009868765;0,353821209;0,104343024;0,142127456;0,165298287;-0,065014703;-0,114286138;0,048387599;-0,384091877;-0,368622046;0,018180644;0,101191266;0,081081116;-0,058333222;0,225574605;-0,166004458;0,089610931;0,032180242;0,012085897;0,224614762;-0,058320868;0,019333823;0,039241466;0,093580323;-0,033204518;0,095238136;0,041792976;0,042047273;-0,124255376;-0,077345405;0,059790186;-0,098041672;0,101664537;0,063749378;0,044541687;0,125515574;0,001904359;0,003325449;0,055870809;-0,042152449;-0,043071227;-0,077788865;0,002706192;0,004972902;-0,064502926;0,057175674;-0,018700173;-0,049947455;0,077894696;0,036241214;-0,049057668;-0,003468062;-0,070718207;-0,012960943;-0,061799673;-0,056240951;0,140148651;0,113633597;-0,018181318;0,065656241;0,06108451;-0,051314799;-0,0096256;-0,065708889;0,017639201;-0,168000288;0,085069457;0,15889277;0,073726075;-0,024059414;-0,025172944;0,008376634
AFN.RAINBOW MRLS.GD.   ;Basic Materials;;-0,1936812;-0,182005;-0,1776408;-0,1716938;-0,1575396;-0,1540301;-0,1525948;-0,1575016;-0,1593396;-0,1561473;-0,1485333;-0,1622594;-0,1656913;-0,1682157;-0,1789019;-0,1644074;-0,1631665;-0,2103789;-0,199085939;0,03636329;0,023600075;-0,204884448;-0,133702287;0,03928924;-0,07915107;-0,276856362;-0,253363878;-0,26892734;0,201932613;-0,238244862;-0,179575993;-0,008918864;-0,037899363;-0,1401999;-0,1454153;-0,1438019;-0,149298;-0,14606;-0,1505839;-0,1534043;-0,1685713;-0,1699562;-0,1749899;-0,1742591;-0,1765145;-0,1774154;-0,1597784;-0,16081;-0,1654705;-0,1663348;-0,1743181;-0,1747697;-0,1757075;-0,1693348;-0,1678111;-0,1732391;-0,1766836;-0,1782248;-0,1715078;-0,1671667;-0,1708349;-0,1706453;-0,1690299;-0,1651602;-0,1700462;-0,1698932;-0,1723494;-0,1730278;-0,1656138;-0,1655953;-0,1647399;-0,1649262;-0,1606487;-0,1622408;-0,1489984;-0,1524634;-0,1572736;-0,1645319;-0,1689139;-0,1658801;-0,1638982;-0,1666688;-0,176911;-0,1710677;-0,1866062;-0,1833039;-0,1869714;-0,1942928;-0,2053556;-0,191466;-0,1898832;-0,204672;-0,2155321;-0,2088322;-0,1968623;-0,2000265;-0,2002096;-0,2008297;-0,196977;-0,1933588;-0,1940355;-0,1850203;-0,1852607;-0,1852677;-0,1846658;-0,1857359;-0,1869156;-0,1882953;-0,1795745;-0,1764437;-0,1748152;-0,1763785;-0,1774805;-0,1708989;-0,1566329;-0,156297;-0,1383697;-0,1423291;-0,1423592;-0,1552216;-0,1478234;-0,1470398;-0,1435381;-0,1472356;-0,1506477;-0,1586048;-0,1504342;-0,1558997;-0,1495589;-0,1499825;-0,1495009;-0,1498378;-0,1538547;-0,1545264;-0,1527973;-0,1511655;-0,1444602;-0,1367312;-0,1363468;-0,1335392;-0,1390409;-0,1377703;-0,1301827;-0,1356399;-0,1358574;-0,1385387;-0,1349755;-0,138454;-0,1487477;-0,1563184;-0,1615513;-0,1546953;-0,1598282;-0,1635061;-0,1615229;0
AFRICAN OXYGEN;Basic Materials;;-0,130485506;-0,253377397;-0,1845456;-0,105711809;-0,141078198;-0,138900229;-0,097797833;-0,149294779;-0,218371806;-0,180616026;-0,016849616;-0,184507376;-0,198548324;-0,203281881;-0,149851484;-0,070432297;-0,106283721;-0,205924927;-0,129321796;-0,172351702;-0,140702107;-0,077013855;-0,121567924;-0,11485984;-0,098826115;-0,197605342;-0,164703378;-0,083103295;-0,073262462;-0,083663228;-0,050877584;-0,098233375;-0,1331222;0,05391253;-0,104887007;-0,122609088;-0,141203713;-0,15054163;-0,117743671;-0,170057474;-0,168450511;-0,157410691;-0,13560074;-0,033445028;-0,167097764;-0,090584173;-0,01818971;-0,039629342;-0,170606273;-0,120746308;-0,165692586;-0,127132025;-0,034340056;-0,174856355;0,007889746;-0,179747533;-0,08970434;-0,054089157;-0,102120872;-0,111880886;0,017324605;-0,117752604;-0,094401836;-0,141875205;-0,018366242;-0,200016966;-0,091411692;-0,086401276;-0,168978458;-0,071759632;-0,120243216;-0,132929935;-0,107725176;-0,086032353;-0,123366175;-0,026987047;-0,009235047;-0,180997407;-0,067219147;-0,160452746;-0,061820946;-0,085260454;-0,154170826;-0,194358766;-0,291848887;-0,081164929;-0,20838146;-0,228649208;-0,123838943;-0,170931367;-0,169312285;-0,028937959;-0,106560068;-0,173668572;-0,299665071;0,03472411;-0,156955047;-0,366278788;-0,23939309;-0,044957608;-0,120251783;-0,011416364;-0,101725245;-0,089339967;-0,11100829;0,002291094;-0,149831435;-0,147158218;-0,100333911;-0,191266112;-0,079274961;-0,039649592;-0,151885846;-0,107654087;-0,141834795;-0,166570678;-0,122067959;-0,11020937;-0,169106547;-0,062228329;-0,125281067;-0,207706541;-0,138406946;-0,08498606;-0,105184676;-0,060608524;-0,034370014;-0,260502149;-0,170582206;-0,109793313;-0,113963506;-0,125260008;-0,010944562;-0,030299264;-0,124406363;-0,08500034;-0,099806847;-0,148334222;-0,04328236;-0,120252555;-0,101165285;-0,058360943;-0,054144335;0,032770499;-0,066239237;-0,220482661;-0,082556825;-0,210695577;-0,080703587;-0,165705622;-0,191897375;-0,10818556;-0,047591479;-0,154277925;-0,211509396;0,096705285
ANGLO AMERICAN (JSE);Basic Materials;;0,003828884;-0,122961057;-0,282326589;-0,080351507;-0,180035218;-0,272178196;-0,291605843;-0,067762933;-0,2979639;-0,058927565;0,068560794;-0,027605152;-0,211085456;-0,148550879;-0,266957667;-0,329236421;-0,154627132;-0,263970243;-0,476548633;-0,164390847;-0,198693761;-0,235880651;-0,227205956;-0,235156571;-0,271105871;-0,209117194;-0,203720223;-0,270235737;-0,003447184;-0,266881182;-0,077073931;-0,123082017;-0,289748971;-0,066256135;-0,220391318;-0,141491603;-0,08212099;-0,151315951;-0,27628749;-0,28188844;-0,214116328;-0,288249967;-0,163939452;-0,066070327;-0,187915762;-0,333846813;-0,151285737;-0,223232614;-0,153547908;-0,129595458;-0,148097732;-0,257488466;0,034270557;-0,188994504;-0,101521295;-0,178653329;0,018853666;-0,129047228;-0,126767666;-0,090025088;-0,047508351;-0,1720968;-0,077586864;-0,044912761;-0,108919922;-0,049472814;-0,158382816;-0,058045742;-0,109859391;-0,108886681;-0,151734068;-0,115143091;-0,157452019;-0,120886825;-0,008817575;-0,157982541;-0,019957147;-0,202428526;-0,087404085;-0,156239739;-0,046463763;-0,195758904;-0,156276657;-0,246405998;-0,202667487;0,089777342;-0,190804872;-0,14384817;-0,132682358;-0,110622317;-0,400135304;-0,198487805;-0,511196754;-0,325155732;-0,212758819;-0,271657857;-0,303711531;-0,429123181;-0,056497232;-0,010574979;0,022990104;-0,212060087;-0,065959332;-0,185366073;-0,231911632;0,036064915;-0,096245302;-0,190771987;-0,304089541;-0,215030057;-0,035413465;-0,195798232;-0,275107867;-0,252198659;-0,085223654;-0,265435559;-0,084647176;-0,016057739;-0,199593366;-0,052198619;-0,137543184;-0,066026274;-0,207485444;-0,155660968;-0,151156073;-0,166718483;-0,182108719;-0,223533788;-0,192281582;-0,054064449;-0,089673115;-0,178090393;-0,033302954;-0,137961906;-0,240734693;-0,081874945;-0,269843161;-0,0710271;-0,21640037;-0,150340779;-0,075316007;-0,018149444;-0,18166108;-0,07285684;-0,078652298;-0,150437129;-0,181251642;-0,211726811;-0,04865052;-0,323099426;-0,031624157;-0,023559595;-0,096611444;-0,180151257;-0,194082433;0,011439707
ANGLO AMERICAN PLATINUM;Basic Materials;;-0,178451995;-0,178449313;-0,427491505;0,157263796;-0,02265027;-0,327265434;-0,434162092;0,072128312;-0,260763377;-0,159331266;-0,020572793;0,03975345;-0,213906177;-0,1449991;-0,122828485;-0,18242681;-0,26395689;-0,353291211;-0,42272288;-0,041633144;-0,202714328;-0,182185536;-0,269944434;-0,244009307;-0,149163218;-0,307554852;-0,351869962;-0,308623333;0,151122818;-0,311453714;-0,183045444;-0,014571142;-0,236811554;-0,02431874;-0,241827087;-0,10684055;-0,050543684;-0,275744071;-0,227134774;-0,3176135;-0,15708058;-0,212182854;-0,161764429;0,066390931;-0,262592764;-0,321720386;-0,254083277;-0,187189676;-0,120112948;-0,099413887;-0,141626315;-0,155248247;0,044465609;-0,149539213;-0,188222534;-0,093807128;0,038675375;-0,130286817;-0,066927049;-0,092226467;-0,052813467;-0,175671607;-0,00183657;-0,110729674;-0,123505165;0,107388835;-0,21722927;-0,000690461;-0,176698958;-0,146972034;-0,099842214;-0,114053396;-0,086007851;-0,016294657;-0,005400069;-0,13804457;-0,103196492;-0,173171754;-0,300640469;-0,140940384;-0,045738293;-0,070722365;-0,278137628;-0,10829748;-0,11231375;-0,007940938;-0,198783343;-0,163421259;-0,086582932;-0,189289265;-0,437237432;-0,133326263;-0,41685787;-0,635955653;-0,003743846;-0,055125765;-0,35844178;-0,270623683;0,054345967;-0,221137524;0,026987294;-0,198390407;-0,162952718;0,063254442;-0,219296438;-0,162564091;-0,073292126;-0,14918271;-0,268457344;-0,199301318;-0,118146944;-0,094364501;-0,239409842;-0,232062728;-0,20928881;-0,303273725;-0,09486812;-0,133499986;-0,225947663;-0,12807762;-0,168282446;-0,21968231;-0,141406425;-0,220951898;-0,201933696;-0,216734546;-0,267265208;-0,150449743;-0,217804959;-0,127886392;-0,206482523;-0,196926674;-0,11863756;-0,094022259;-0,256175529;-0,222628679;-0,216491335;-0,135563004;-0,276902787;-0,17071072;-0,133839576;-0,211188014;-0,176456238;-0,012903431;-0,16749303;-0,179432396;-0,248079187;-0,265702511;-0,20147521;-0,27709403;0,009484249;-0,007105267;-0,117419729;-0,254439657;-0,193422131;-0,022555443
ANGLOGOLD ASHANTI;Basic Materials;;-0,156653207;-0,014981045;-0,262550615;0,09702231;-0,122231365;-0,149738486;-0,1501126;-0,126838086;-0,174536696;-0,066206642;-0,085746787;0,055090016;-0,06136138;-0,045295653;-0,119748501;-0,167954206;-0,093062699;-0,314973374;-0,380422153;-0,039408196;-0,02037454;-0,264624583;-0,24108783;0,020030875;-0,138105841;-0,280216612;-0,251178515;-0,283508244;-0,064770574;-0,112838816;-0,133118101;0,017182344;-0,210912502;-0,165855289;-0,002011616;-0,122776417;-0,236837526;-0,155161623;-0,197939192;-0,336940721;-0,118501161;-0,264649712;-0,138129423;-0,013194748;-0,098779824;-0,256364067;-0,116916039;-0,293915548;-0,160600753;-0,068767678;-0,109926127;-0,255523736;-0,000461107;-0,09070368;-0,19917587;-0,152991101;0,054540744;-0,200492844;-0,127996909;-0,044031399;0,006567225;-0,312837686;-0,137111195;-0,174050229;-0,222171484;-0,02864963;-0,241602298;-0,18635373;-0,282133446;-0,099232083;-0,068914905;-0,206197206;-0,130125068;-0,25019731;-0,131462337;-0,205727855;-0,256475554;-0,272617096;-0,061255493;-0,251031172;-0,012133141;-0,233306808;-0,043498737;-0,271847024;-0,050898713;-0,207557246;-0,157111578;-0,195414387;0,003770373;-0,11802991;-0,22429433;-0,254623317;-0,200855657;-0,132096502;0,056315348;0,041970478;0,022441301;-0,081997165;0,044292764;-0,375179008;0,185393513;-0,316329099;-0,086703906;-0,124018619;-0,121461445;-0,174465731;-0,015383307;-0,190606646;-0,231181641;-0,144170613;-0,132409735;-0,017423733;-0,085770601;-0,112671596;-0,229726763;-0,041281727;-0,09371156;-0,111185682;-0,112717548;-0,144521233;-0,197143752;-0,027205131;-0,173246881;-0,074167067;-0,161123065;-0,189821652;-0,108065807;0,041235672;-0,029762487;-0,038598569;-0,027071243;-0,203772827;-0,05264048;-0,195455435;-0,228605192;-0,160446614;0,077923214;-0,198404504;-0,088392188;-0,167827135;0,01152861;-0,113036987;-0,130103317;-0,148627532;-0,143388098;-0,207941096;-0,121469834;-0,341174288;-0,045300383;-0,372408703;-0,229432603;-0,060611096;-0,197133909;-0,027211859;-0,270137593;-0,092975626
AQUARIUS PLATINUM (JSE);Basic Materials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,038528183;0,216336981;0,432230189;-0,381251797;0,00140199;0,00034077;-0,088490595;0,048820477;-0,065448971;0,101148835;-0,065650118;-0,11885029;0,157793914;-0,085921982;0,106953693;-0,062274738;-0,079110835;-0,029296472;0,059222648;-0,045547352;-0,14148744;0,03648815;0,036225417;-0,143714534;0,109005924;-0,070208285;0,076713413;-0,180014949;-0,089837256;-0,135079217;-0,16684448;-0,10383115;-0,037042883;-0,085884525;-0,183622908;-0,22016259;-0,021961529;0,199860411;-0,149686326;-0,188453202;-0,117905408;-0,188133552;-0,636049411;-0,255892381;-0,615125333;-0,694390674;-0,090954839;-0,166784561;-0,166393886;-0,260187978;-0,064513879;0,00815547;0,025698899;-0,476123235;-0,098987945;-0,144020232;-0,207823254;-0,212127721;0,040113519;-0,064870248;-0,255150162;-0,260117764;-0,092509285;-0,154208874;-0,44490991;-0,118008162;-0,404731929;-0,165378549;0,076201486;-0,096870845;-0,264318996;-0,127196683;-0,090269583;-0,018410063;-0,346251758;-0,083767049;-0,176155354;-0,258768143;-0,236367289;-0,242927848;-0,285665558;-0,162137778;-0,240457715;-0,228800989;-0,117158066;-0,288830695;-0,066330569;-0,237954979;-0,538372207;-0,544297311;-0,315309813;-0,186531217;0,019219922;-0,15244758;-0,019733072;-0,00454315;0,059299842;-0,281040761;-0,280071231;-0,315845815;-0,083178352;-0,234563791;-0,024607287;-0,126406943;-0,026517241;-0,36826665;-0,116574635;-0,06366965
