Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
AECI;Basic Materials; 18.20 ; 151.28 ; 162.57 ; 149.96 ; 141.40 ; 168.12 ; 204.20 ; 166.05 ; 129.60 ; 97.50 ; 130.28 ; 166.98 ; 759.55 ; 193.89 ; 432.52 ; 279.85 ; 172.16 ; 201.25 ; 174.92 ; 229.60 ; 286.76 ; 91.03 ; 81.54 ; 167.13 ; 104.20 ; 133.81 ; 158.54 ; 92.47 ; 95.04 ; 116.44 ; 206.42 ; 191.02 ; 43.38 ; 126.20 ; 263.38 ; 217.32 ; 129.10 ; 144.42 ; 85.30 ; 144.65 ; 126.17 ; 170.91 ; 237.49 ; 261.62 ; 151.81 ; 174.71 ; 204.20 ; 130.96 ; 71.19 ; 104.65 ; 153.81 ; 150.96 ; 191.86 ; 180.80 ; 209.55 ; 319.17 ; 154.61 ; 205.27 ; 199.28 ; 237.70 ; 265.60 ; 96.82 ; 225.67 ; 279.88 ; 229.68 ; 244.82 ; 163.93 ; 161.02 ; 164.82 ; 289.13 ; 233.32 ; 263.05 ; 114.58 ; 348.83 ; 241.49 ; 224.99 ; 355.97 ; 383.27 ; 299.93 ; 292.67 ; 218.68 ; 313.19 ; 339.48 ; 235.18 ; 115.63 ; 393.41 ; 384.08 ; 308.35 ; 297.52 ; 161.30 ; 146.65 ; 170.27 ; 205.18 ; 140.17 ; 199.55 ; 142.42 ; 166.31 ; 99.54 ; 70.11 ; 232.45 ; 134.69 ; 84.57 ; 121.28 ; 135.17 ; 184.16 ; 225.78 ; 158.38 ; 124.44 ; 158.17 ; 137.06 ; 344.76 ; 134.10 ; 93.58 ; 232.14 ; 135.40 ; 145.51 ; 75.89 ; 116.54 ; 149.68 ; 193.96 ; 128.90 ; 114.42 ; 163.92 ; 139.60 ; 158.45 ; 208.80 ; 189.80 ; 157.31 ; 239.65 ; 271.35 ; 204.54 ; 103.14 ; 111.30 ; 168.20 ; 153.05 ; 105.71 ; 174.19 ; 130.95 ; 162.17 ; 106.02 ; 136.51 ; 116.39 ; 121.90 ; 142.17 ; 79.04 ; 114.26 ; 157.06 ; 121.51 ; 122.59 ; 177.24 ; 226.26 ; 134.62 ; 140.67 ; 71.51 ; 114.97 ; 249.24 ; 83.79 
AFGEM   ;Basic Materials; 10.30 ; 7.69 ; 69.52 ; 40.41 ; 10.47 ; 17.50 ; 11.63 ; 18.60 ; 78.32 ; 21.58 ; 179.03 ; 40.51 ; 16.64 ; 42.97 ; 8.08 ; 9.67 ; 11.89 ; 78.06 ; 65.97 ; 604.48 ; 40.23 ; 252.97 ; 29.23 ; 1489.75 ; 44.62 ; 152.14 ; 103.92 ; 255.47 ; 21.89 ; 27.09 ; 287.19 ; 46.05 ; 22.57 ; 29.00 ; 478.75 ; 61.50 ; 55.07 ; 137.60 ; 92.13 ; 25.65 ; 58.69 ; 929.55 ; 1035.78 ; 106.79 ; 71.46 ; 14.87 ; 75.69 ; 146.69 ; 50.84 ; 556.75 ; 25.20 ; 76.90 ; 12.21 ; 749.76 ; 174.02 ; 1065.09 ; 441.71 ; 73.64 ; 574.49 ; 101.57 ; 71.63 ; 133.68 ; 111.44 ; 117.89 ; 268.31 ; 64.35 ; 214.71 ; 92.99 ; 260.83 ; 173.53 ; 88.72 ; 194.90 ; 126.62 ; 95.28 ; 550.57 ; 233.81 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
AFLEASE GOLD   ;Basic Materials; 19.00 ; 5.37 ; 27.56 ; 7.34 ; 9.21 ; 11.18 ; 30.14 ; 51.86 ; 11.16 ; 10.54 ; 15.93 ; 3.28 ; 3.55 ; 3.01 ; 30.72 ; 21.43 ; 21.78 ; 44.54 ; 7.29 ; 2.05 ; 0.35 ; 5.00 ; 7.63 ; 67.08 ; 105.52 ; 89.15 ; 25.99 ; 53.19 ; 1.34 ; 44.46 ; 74.17 ; 23.30 ; 129.35 ; 60.31 ; 33.00 ; 33.03 ; 24.37 ; 18.78 ; 19.30 ; 85.81 ; 181.01 ; 26.06 ; 33.28 ; 21.19 ; 23.10 ; 9.52 ; 30.46 ; 72.68 ; 64.45 ; 22.61 ; 51.65 ; 92.38 ; 396.07 ; 876.69 ; 88.40 ; 334.07 ; 173.32 ; 231.91 ; 97.31 ; 154.52 ; 73.20 ; 258.18 ; 280.67 ; 331.05 ; 494.66 ; 484.70 ; 432.37 ; 204.37 ; 567.81 ; 1032.89 ; 111.87 ; 205.47 ; 135.30 ; 149.50 ; 325.67 ; 287.41 ; 830.51 ; 222.86 ; 545.44 ; 414.88 ; 310.80 ; 252.67 ; 478.15 ; 368.23 ; 200.13 ; 167.89 ; 371.24 ; 969.44 ; 7447.19 ; 382.00 ; 1688.65 ; 255.05 ; 366.61 ; 121.82 ; 1014.27 ; 367.72 ; 346.17 ; 4411.75 ; 3578.46 ; 279.54 ; 2387.30 ; 648.24 ; 270.72 ; 801.87 ; 492.74 ; 1768.35 ; 359.20 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
AFN.RAINBOW MRLS.;Basic Materials; 2.30 ; 95.67 ; 64.92 ; 86.74 ; 28.84 ; 95.83 ; 90.56 ; 54.04 ; 62.19 ; 83.88 ; 112.67 ; 76.30 ; 110.83 ; 59.10 ; 66.33 ; 1462.16 ; 49.16 ; 195.00 ; 149.09 ; 104.33 ; 41.44 ; 103.19 ; 81.83 ; 87.21 ; 88.93 ; 92.49 ; 254.35 ; 38.83 ; 24.20 ; 785.02 ; 183.67 ; 145.52 ; 147.21 ; 146.16 ; 161.50 ; 167.79 ; 107.25 ; 180.55 ; 34.78 ; 59.13 ; 54.27 ; 86.49 ; 152.54 ; 75.88 ; 86.97 ; 88.57 ; 97.44 ; 95.34 ; 58.98 ; 82.94 ; 375.09 ; 346.68 ; 153.00 ; 410.97 ; 140.03 ; 113.30 ; 110.83 ; 133.34 ; 107.97 ; 133.44 ; 112.44 ; 250.53 ; 110.52 ; 55.70 ; 132.15 ; 95.90 ; 116.63 ; 105.79 ; 94.68 ; 124.35 ; 91.86 ; 150.74 ; 181.60 ; 82.12 ; 83.15 ; 240.43 ; 120.43 ; 198.85 ; 228.16 ; 211.32 ; 296.20 ; 261.40 ; 319.84 ; 431.08 ; 160.72 ; 251.85 ; 474.27 ; 372.76 ; 266.81 ; 303.10 ; 329.96 ; 331.59 ; 316.06 ; 537.09 ; 550.97 ; 645.99 ; 307.99 ; 295.76 ; 271.51 ; 425.71 ; 320.26 ; 408.55 ; 413.06 ; 428.21 ; 513.52 ; 474.20 ; 423.63 ; 410.71 ; 333.50 ; 678.20 ; 633.24 ; 435.34 ; 396.31 ; 503.46 ; 444.06 ; 454.38 ; 522.21 ; 394.26 ; 417.38 ; 429.70 ; 309.35 ; 535.24 ; 653.53 ; 486.48 ; 313.36 ; 397.01 ; 524.46 ; 536.60 ; 475.40 ; 451.26 ; 388.81 ; 239.85 ; 220.03 ; 319.44 ; 347.78 ; 457.75 ; 288.34 ; 308.72 ; 510.82 ; 222.14 ; 379.95 ; 838.17 ; 271.85 ; 248.50 ; 229.08 ; 417.10 ; 384.82 ; 447.21 ; 438.77 ; 391.17 ; 318.89 ; 318.79 ; 340.76 ; 338.19 ; 301.15 ; 390.27 ; 219.83 
AFN.RAINBOW MRLS.GD.   ;Basic Materials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 532.00 ; 227.85 ; 194.80 ; 111.80 ; 346.11 ; 291.49 ; 101.71 ; 161.05 ; 191.53 ; 99.77 ; 89.87 ; 90.90 ; 100.74 ; 87.76 ; 84.90 ; 88.46 ; 39.51 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
AFRICAN OXYGEN;Basic Materials; 2.20 ; 68.97 ; 219.35 ; 148.35 ; 63.57 ; 72.75 ; 47.70 ; 63.10 ; 84.65 ; 829.72 ; 67.00 ; 391.77 ; 514.61 ; 59.99 ; 265.67 ; 335.08 ; 706.46 ; 231.84 ; 131.52 ; 132.19 ; 172.56 ; 84.77 ; 208.60 ; 109.49 ; 137.14 ; 95.35 ; 204.26 ; 156.33 ; 79.01 ; 245.58 ; 204.74 ; 104.83 ; 174.05 ; 84.12 ; 199.50 ; 338.34 ; 204.80 ; 352.40 ; 245.53 ; 204.88 ; 328.91 ; 433.47 ; 233.68 ; 358.79 ; 186.28 ; 386.74 ; 138.83 ; 260.53 ; 118.33 ; 268.88 ; 333.09 ; 143.91 ; 240.24 ; 249.15 ; 213.61 ; 221.32 ; 163.60 ; 383.79 ; 150.74 ; 108.60 ; 250.88 ; 155.47 ; 177.54 ; 239.93 ; 127.34 ; 281.57 ; 205.40 ; 118.28 ; 154.44 ; 98.02 ; 489.85 ; 206.61 ; 212.26 ; 574.58 ; 582.97 ; 200.36 ; 125.57 ; 295.91 ; 239.69 ; 198.69 ; 183.01 ; 197.83 ; 178.11 ; 159.21 ; 125.98 ; 222.49 ; 250.61 ; 345.92 ; 118.98 ; 289.32 ; 199.77 ; 317.41 ; 486.59 ; 411.23 ; 145.22 ; 291.92 ; 135.43 ; 115.97 ; 235.57 ; 941.00 ; 383.65 ; 250.77 ; 313.61 ; 121.83 ; 294.26 ; 300.67 ; 304.02 ; 150.91 ; 154.09 ; 147.53 ; 297.86 ; 201.34 ; 140.04 ; 416.06 ; 391.48 ; 92.30 ; 144.13 ; 379.80 ; 227.77 ; 231.72 ; 136.66 ; 135.25 ; 147.47 ; 143.99 ; 353.50 ; 148.43 ; 163.53 ; 554.10 ; 125.42 ; 116.27 ; 156.63 ; 78.99 ; 122.86 ; 148.91 ; 112.60 ; 121.83 ; 196.00 ; 355.46 ; 419.84 ; 91.11 ; 131.95 ; 67.16 ; 53.42 ; 106.93 ; 141.07 ; 232.42 ; 163.67 ; 104.83 ; 108.23 ; 88.11 ; 177.96 ; 120.86 ; 110.52 ; 103.29 ; 155.99 ; 112.15 ; 92.02 
ANGLO AMERICAN (JSE);Basic Materials; 198.80 ; 1205.10 ; 2135.71 ; 1682.70 ; 2420.47 ; 3125.71 ; 2415.25 ; 2104.63 ; 1658.53 ; 2537.61 ; 2173.44 ; 2021.82 ; 2189.36 ; 1696.22 ; 2109.77 ; 1878.58 ; 2181.40 ; 3186.50 ; 2534.66 ; 3433.15 ; 5054.28 ; 3438.01 ; 2969.35 ; 1999.17 ; 2438.22 ; 3159.35 ; 2459.89 ; 4254.73 ; 3052.34 ; 3572.01 ; 2586.92 ; 3766.50 ; 3556.63 ; 3018.45 ; 2456.03 ; 2293.02 ; 2019.42 ; 3365.61 ; 3036.97 ; 3191.72 ; 2797.48 ; 4158.28 ; 3228.70 ; 3358.13 ; 3732.86 ; 2620.29 ; 3463.07 ; 7188.07 ; 3616.79 ; 2615.55 ; 2781.12 ; 2291.53 ; 2776.91 ; 2419.75 ; 2322.24 ; 3402.45 ; 1904.22 ; 2626.63 ; 3306.31 ; 2388.20 ; 1808.56 ; 3242.07 ; 4017.48 ; 3452.40 ; 2829.65 ; 4191.81 ; 3972.87 ; 2476.35 ; 2752.51 ; 3964.59 ; 3079.21 ; 2810.58 ; 2209.84 ; 2822.99 ; 2842.77 ; 2629.46 ; 1632.13 ; 2766.53 ; 3282.21 ; 1902.86 ; 2796.83 ; 2707.43 ; 2349.98 ; 3851.00 ; 1593.93 ; 3824.38 ; 2698.54 ; 2336.38 ; 2088.66 ; 2566.55 ; 2473.03 ; 2575.32 ; 2457.12 ; 5350.71 ; 7911.16 ; 5571.53 ; 2928.70 ; 4389.98 ; 5798.29 ; 5237.28 ; 4523.26 ; 4101.74 ; 5502.73 ; 2993.60 ; 3394.95 ; 2820.98 ; 4321.01 ; 3586.88 ; 2100.40 ; 3682.76 ; 5307.48 ; 3609.60 ; 3139.86 ; 5950.30 ; 4064.91 ; 4628.05 ; 4756.95 ; 3831.39 ; 4889.40 ; 3001.35 ; 1481.30 ; 2782.44 ; 4118.31 ; 3527.01 ; 1961.09 ; 3109.53 ; 4155.51 ; 4066.56 ; 7269.32 ; 5960.62 ; 4391.18 ; 3673.81 ; 1928.00 ; 2459.31 ; 3630.12 ; 3919.49 ; 4366.64 ; 4853.33 ; 4687.01 ; 3163.73 ; 3014.20 ; 4091.99 ; 3165.21 ; 2874.84 ; 2002.66 ; 2712.05 ; 2977.16 ; 3177.14 ; 3853.12 ; 3360.46 ; 3798.27 ; 3722.43 ; 2950.02 ; 2390.63 ; 2196.47 ; 2286.38 ; 2144.60 
ANGLO AMERICAN PLATINUM;Basic Materials; 67.30 ; 219.77 ; 269.99 ; 404.09 ; 302.63 ; 307.17 ; 410.05 ; 532.73 ; 583.29 ; 548.42 ; 388.33 ; 451.72 ; 343.47 ; 313.23 ; 361.12 ; 416.56 ; 292.45 ; 361.46 ; 462.21 ; 549.68 ; 1007.70 ; 376.24 ; 258.87 ; 383.52 ; 408.14 ; 347.48 ; 612.08 ; 504.16 ; 315.32 ; 482.86 ; 447.28 ; 295.06 ; 368.99 ; 453.46 ; 287.54 ; 312.85 ; 315.09 ; 369.71 ; 352.67 ; 256.40 ; 266.92 ; 329.94 ; 214.29 ; 172.13 ; 378.96 ; 198.31 ; 256.31 ; 341.94 ; 407.09 ; 396.98 ; 380.56 ; 301.42 ; 390.72 ; 249.20 ; 217.13 ; 179.89 ; 180.90 ; 297.56 ; 341.05 ; 298.07 ; 155.46 ; 222.19 ; 280.21 ; 202.83 ; 204.48 ; 266.16 ; 398.29 ; 219.35 ; 294.66 ; 274.27 ; 187.57 ; 352.50 ; 183.08 ; 256.10 ; 378.32 ; 340.21 ; 260.96 ; 342.45 ; 333.06 ; 442.11 ; 611.85 ; 456.23 ; 341.36 ; 310.09 ; 277.83 ; 484.75 ; 396.66 ; 369.35 ; 271.81 ; 266.58 ; 275.00 ; 441.56 ; 496.81 ; 412.87 ; 467.95 ; 383.37 ; 255.08 ; 353.11 ; 430.45 ; 441.21 ; 356.70 ; 431.42 ; 487.70 ; 350.69 ; 508.08 ; 419.74 ; 372.95 ; 327.00 ; 285.36 ; 409.22 ; 342.90 ; 330.57 ; 317.82 ; 398.06 ; 368.75 ; 327.36 ; 378.35 ; 290.59 ; 410.89 ; 254.33 ; 305.93 ; 377.35 ; 481.91 ; 337.84 ; 304.28 ; 333.28 ; 362.31 ; 537.14 ; 597.93 ; 512.40 ; 313.90 ; 299.62 ; 214.59 ; 296.34 ; 378.26 ; 234.82 ; 229.96 ; 243.35 ; 243.64 ; 226.57 ; 175.19 ; 284.32 ; 283.06 ; 238.60 ; 174.04 ; 423.07 ; 271.89 ; 263.91 ; 326.46 ; 540.21 ; 363.35 ; 246.26 ; 285.41 ; 364.09 ; 230.51 ; 215.78 ; 191.74 
ANGLOGOLD ASHANTI;Basic Materials; 33.10 ; 145.50 ; 196.43 ; 179.20 ; 166.48 ; 259.36 ; 243.20 ; 214.09 ; 553.46 ; 632.19 ; 530.88 ; 739.71 ; 707.43 ; 433.10 ; 510.37 ; 295.60 ; 379.65 ; 668.28 ; 793.60 ; 504.70 ; 321.14 ; 661.87 ; 412.48 ; 430.36 ; 444.31 ; 354.43 ; 406.85 ; 461.20 ; 367.93 ; 444.90 ; 321.27 ; 312.14 ; 361.54 ; 379.17 ; 223.50 ; 494.25 ; 251.50 ; 333.30 ; 367.42 ; 340.76 ; 288.78 ; 535.82 ; 771.31 ; 368.86 ; 456.99 ; 304.86 ; 495.09 ; 541.98 ; 246.60 ; 390.71 ; 331.61 ; 341.10 ; 378.47 ; 410.83 ; 354.03 ; 331.34 ; 435.01 ; 424.19 ; 460.29 ; 272.49 ; 295.44 ; 315.01 ; 623.33 ; 486.48 ; 858.29 ; 758.08 ; 746.53 ; 535.50 ; 379.53 ; 741.12 ; 535.11 ; 365.64 ; 304.45 ; 412.51 ; 664.06 ; 436.15 ; 504.69 ; 625.25 ; 659.28 ; 691.68 ; 607.96 ; 903.52 ; 3297.66 ; 1362.22 ; 529.10 ; 1214.17 ; 1392.25 ; 1554.19 ; 787.76 ; 986.76 ; 1069.52 ; 1085.10 ; 1038.34 ; 1388.87 ; 1968.60 ; 1072.45 ; 1012.42 ; 1368.69 ; 1858.33 ; 3627.22 ; 1345.28 ; 1346.45 ; 892.50 ; 1007.88 ; 959.69 ; 1488.62 ; 1321.34 ; 1391.00 ; 849.33 ; 1130.16 ; 1160.60 ; 946.85 ; 618.24 ; 1511.55 ; 876.00 ; 1011.55 ; 936.26 ; 1463.44 ; 1062.26 ; 960.01 ; 723.02 ; 1252.67 ; 993.62 ; 960.09 ; 682.02 ; 1250.63 ; 1057.28 ; 1247.01 ; 1774.29 ; 1937.09 ; 1675.44 ; 1187.86 ; 839.25 ; 1107.43 ; 1511.09 ; 1327.31 ; 1564.11 ; 1672.07 ; 1342.19 ; 1000.33 ; 843.98 ; 1089.23 ; 998.65 ; 970.09 ; 745.45 ; 990.14 ; 1135.02 ; 1328.17 ; 2251.44 ; 1555.47 ; 1457.07 ; 1579.71 ; 1695.93 ; 1522.34 ; 1193.59 ; 1033.89 ; 880.34 
AQUARIUS PLATINUM (JSE);Basic Materials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 6.62 ; 23.81 ; 41.02 ; 46.53 ; 4.34 ; 37.11 ; 11.10 ; 84.23 ; 38.39 ; 37.48 ; 13.33 ; 100.13 ; 15.45 ; 61.84 ; 62.25 ; 43.89 ; 135.84 ; 114.68 ; 17.91 ; 27.49 ; 24.46 ; 124.11 ; 177.74 ; 167.60 ; 38.49 ; 80.64 ; 75.96 ; 120.70 ; 62.69 ; 120.10 ; 140.17 ; 88.35 ; 43.85 ; 64.48 ; 65.63 ; 17.90 ; 24.59 ; 63.83 ; 68.02 ; 101.81 ; 63.25 ; 21.06 ; 41.69 ; 39.60 ; 68.64 ; 31.93 ; 79.61 ; 65.24 ; 26.05 ; 16.75 ; 24.72 ; 20.31 ; 32.59 ; 29.18 ; 32.97 ; 59.46 ; 30.26 ; 20.22 ; 18.18 ; 35.35 ; 16.66 ; 23.95 ; 16.84 ; 21.75 ; 23.81 ; 24.70 ; 42.45 ; 283.34 ; 211.79 ; 87.25 ; 82.68 ; 107.82 ; 56.36 ; 189.87 ; 148.66 ; 23.14 ; 22.13 ; 95.05 ; 79.38 ; 41.59 ; 87.30 ; 138.45 ; 476.07 ; 563.15 ; 194.79 ; 622.21 ; 667.99 ; 394.15 ; 136.91 ; 632.80 ; 5467.68 ; 1949.04 ; 826.88 ; 1224.29 ; 978.56 ; 707.18 ; 459.13 ; 862.89 ; 475.79 ; 856.48 ; 754.66 ; 390.15 ; 1083.30 ; 944.34 ; 524.87 ; 784.38 ; 528.37 ; 368.77 ; 307.78 
