Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;2584000;3408000;3408000;3408000;3408000;3408000;3408000;3408000;3408000;3408000;3408000;3408000;3408000;3179000;3179000;3179000;3179000;3179000;3179000;3179000;3179000;3179000;3179000;3179000;3179000;3101000;3101000;3101000;3101000;3101000;3101000;3101000;3101000;3101000;3101000;3101000;3101000;2871000;2871000;2871000;2871000;2871000;2871000;2871000;2871000;2871000;2871000;2871000;2871000;3353000;3353000;3353000;3353000;3353000;3353000;3353000;3353000;3353000;3353000;3353000;3353000;3922000;3922000;3922000;3922000;3922000;3922000;3922000;3922000;3922000;3922000;3922000;3922000;4084000;4084000;4084000;4084000;4084000;4084000;4084000;4084000;4084000;4084000;4084000;4084000;6649000;6649000;6649000;6649000;6649000;6649000;6649000;6649000;6649000;6649000;6649000;6649000;5626000;5626000;5626000;5626000;5626000;5626000;5626000;5626000;5626000;5626000;5626000;5626000;5490000;5490000;5490000;5490000;5490000;5490000;5490000;5490000;5490000;5490000;5490000;5490000;6836000;6836000;6836000;6836000;6836000;6836000;6836000;6836000;6836000;6836000;6836000;6836000;6863000;6863000;6863000;6863000;6863000;6863000;6863000;6863000;6863000;6863000;6863000;6863000;7048000;7048000;7048000;7048000;7048000;7048000;7048000;7048000;7048000;7048000;7048000;7048000
Excess return;Basic Materials;;0,012072938;-0,188671535;-0,124048678;0,003111301;-0,123578123;-0,086395749;-0,193417266;-0,160056525;-0,200548596;-0,243770358;0,002429302;-0,121418585;-0,138860544;-0,158596413;-0,079584716;-0,121750789;-0,078611062;-0,195245936;-0,057446164;-0,122963689;-0,18473076;-0,06364529;-0,147179501;-0,107963659;-0,193135838;-0,065714733;-0,238950023;-0,183562154;-0,021337425;-0,125673358;-0,035089694;-0,106368825;-0,072399393;-0,107373929;-0,078413338;0,006483437;-0,215384822;0,038969835;-0,110361761;-0,157216244;-0,23486249;-0,211100682;-0,170570383;-0,049767597;-0,182993659;-0,04616097;-0,089487504;-0,072691846;-0,078549349;-0,072805412;-0,140239507;-0,121018835;-0,093124554;-0,062856549;-0,047179171;-0,019176971;-0,165584209;-0,113321288;-0,027190376;-0,1099816;-0,032661039;-0,176372307;-0,10296552;0,014756884;-0,127969591;-0,117062418;-0,170986376;-0,108836532;-0,052009839;-0,068045639;-0,053558666;-0,077643473;-0,040489784;-0,148111071;-0,084325553;0,010252689;-0,027385661;-0,206436817;-0,127646024;-0,163254557;-0,093455257;-0,059391411;-0,249624461;-0,208711407;-0,350301307;-0,096584691;-0,245191124;-0,125487568;-0,151864565;-0,220652561;-0,207753103;-0,052093317;-0,223373897;-0,285360923;-0,237056833;-0,066442066;-0,148612828;-0,280303082;-0,142840352;0,00165962;-0,196592907;-0,131626118;-0,001551481;-0,084141748;-0,08729799;-0,113857951;-0,151092663;-0,106653567;-0,177825681;-0,128532103;-0,055498424;-0,082018048;-0,113184935;-0,143433646;-0,115890941;-0,136589448;-0,037422793;-0,057087281;-0,103192102;-0,082325238;-0,153788351;-0,073815912;-0,13547761;-0,080620795;-0,116760727;-0,165320776;-0,17747326;-0,213053953;-0,100076517;-0,100026514;-0,070113113;-0,085734671;-0,089405951;-0,032020277;-0,096273233;-0,158642125;-0,211699048;-0,124372693;-0,138095347;-0,0493475;-0,111045553;-0,205338646;-0,0476308;-0,083589317;-0,029181206;0,017125787;-0,019202059;-0,110717202;-0,00559073;-0,077133552;-0,092118615;-0,103714295;-0,077105393;-0,090585092;-0,144408076;0,052720061
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,725;0,7545;0,7312;0,4514;0,4189;0,4122;0,4608;0,4438;0,5015;0,6279;0,691;0,7749;0,7689;0,7768;0,7648;0,7962;0,7947;0,8178;0,6616;0,6912;0,6681;0,6607;0,6581;0,5452;0,5691;0,5494;0,5378;0,5489;0,5978;0,5817;0,6025;0,6247;0,6482;0,6155;0,5497;0,615;0,5722;0,5878;0,5845;0,5934;0,5809;0,7772;0,771;0,7903;0,7483;0,7454;0,7589;0,7585;0,7293;0,7878;0,7093;0,6732;0,5884;0,5897;0,5786;0,6085;0,4903;0,5289;0,4711;0,4432;0,5632;0,6149;0,6017;0,597;0,5756;0,5194;0,5114;0,5056;0,5294;0,5836;0,5822;0,5925;0,5955;0,6021;0,5876;0,5904;0,5632;0,6521;0,652;0,67;0,8915;0,946;1,0451;1,1758;1,3647;1,1721;1,2423;1,2417;1,2421;1,23;1,1006;1,106;0,9834;1,0063;0,9845;0,9798;0,9647;0,9971;0,9043;0,9233;0,813;0,8037;0,8531;0,8617;0,8412;0,8388;0,8273;0,8314;0,7863;0,7937;0,7961;0,7952;0,7675;0,7677;0,7443;0,745;0,756;0,675;0,6668;0,6644;0,5351;0,5951;0,6053;0,6127;0,7827;0,8061;0,7451;0,7639;0,7414;0,7076;0,7108;0,6874;0,6569;0,6272;0,6196;0,604;0,7136;0,7127;0,7703;0,783;0,7487;0,6275;0,649;0,6368;0,6574;0,5286;0,5115;0,5271;0,6567;0,5614;0,4804;0,4763;0,4765;0,5033;0,5325;0,5809
VO monthly avg;Basic Materials; 18.20 ; 151.28 ; 162.57 ; 149.96 ; 141.40 ; 168.12 ; 204.20 ; 166.05 ; 129.60 ; 97.50 ; 130.28 ; 166.98 ; 759.55 ; 193.89 ; 432.52 ; 279.85 ; 172.16 ; 201.25 ; 174.92 ; 229.60 ; 286.76 ; 91.03 ; 81.54 ; 167.13 ; 104.20 ; 133.81 ; 158.54 ; 92.47 ; 95.04 ; 116.44 ; 206.42 ; 191.02 ; 43.38 ; 126.20 ; 263.38 ; 217.32 ; 129.10 ; 144.42 ; 85.30 ; 144.65 ; 126.17 ; 170.91 ; 237.49 ; 261.62 ; 151.81 ; 174.71 ; 204.20 ; 130.96 ; 71.19 ; 104.65 ; 153.81 ; 150.96 ; 191.86 ; 180.80 ; 209.55 ; 319.17 ; 154.61 ; 205.27 ; 199.28 ; 237.70 ; 265.60 ; 96.82 ; 225.67 ; 279.88 ; 229.68 ; 244.82 ; 163.93 ; 161.02 ; 164.82 ; 289.13 ; 233.32 ; 263.05 ; 114.58 ; 348.83 ; 241.49 ; 224.99 ; 355.97 ; 383.27 ; 299.93 ; 292.67 ; 218.68 ; 313.19 ; 339.48 ; 235.18 ; 115.63 ; 393.41 ; 384.08 ; 308.35 ; 297.52 ; 161.30 ; 146.65 ; 170.27 ; 205.18 ; 140.17 ; 199.55 ; 142.42 ; 166.31 ; 99.54 ; 70.11 ; 232.45 ; 134.69 ; 84.57 ; 121.28 ; 135.17 ; 184.16 ; 225.78 ; 158.38 ; 124.44 ; 158.17 ; 137.06 ; 344.76 ; 134.10 ; 93.58 ; 232.14 ; 135.40 ; 145.51 ; 75.89 ; 116.54 ; 149.68 ; 193.96 ; 128.90 ; 114.42 ; 163.92 ; 139.60 ; 158.45 ; 208.80 ; 189.80 ; 157.31 ; 239.65 ; 271.35 ; 204.54 ; 103.14 ; 111.30 ; 168.20 ; 153.05 ; 105.71 ; 174.19 ; 130.95 ; 162.17 ; 106.02 ; 136.51 ; 116.39 ; 121.90 ; 142.17 ; 79.04 ; 114.26 ; 157.06 ; 121.51 ; 122.59 ; 177.24 ; 226.26 ; 134.62 ; 140.67 ; 71.51 ; 114.97 ; 249.24 ; 83.79 
Total assets;Basic Materials;5773000;5883000;5883000;5883000;5883000;5883000;5883000;5883000;5883000;5883000;5883000;5883000;5883000;5494000;5494000;5494000;5494000;5494000;5494000;5494000;5494000;5494000;5494000;5494000;5494000;5622000;5622000;5622000;5622000;5622000;5622000;5622000;5622000;5622000;5622000;5622000;5622000;5517000;5517000;5517000;5517000;5517000;5517000;5517000;5517000;5517000;5517000;5517000;5517000;6293000;6293000;6293000;6293000;6293000;6293000;6293000;6293000;6293000;6293000;6293000;6293000;7649000;7649000;7649000;7649000;7649000;7649000;7649000;7649000;7649000;7649000;7649000;7649000;8013000;8013000;8013000;8013000;8013000;8013000;8013000;8013000;8013000;8013000;8013000;8013000;10618000;10618000;10618000;10618000;10618000;10618000;10618000;10618000;10618000;10618000;10618000;10618000;9684000;9684000;9684000;9684000;9684000;9684000;9684000;9684000;9684000;9684000;9684000;9684000;9958000;9958000;9958000;9958000;9958000;9958000;9958000;9958000;9958000;9958000;9958000;9958000;12050000;12050000;12050000;12050000;12050000;12050000;12050000;12050000;12050000;12050000;12050000;12050000;12632000;12632000;12632000;12632000;12632000;12632000;12632000;12632000;12632000;12632000;12632000;12632000;13925000;13925000;13925000;13925000;13925000;13925000;13925000;13925000;13925000;13925000;13925000;13925000
Net sales;Basic Materials;6009000;6745000;6745000;6745000;6745000;6745000;6745000;6745000;6745000;6745000;6745000;6745000;6745000;7818000;7818000;7818000;7818000;7818000;7818000;7818000;7818000;7818000;7818000;7818000;7818000;7659000;7659000;7659000;7659000;7659000;7659000;7659000;7659000;7659000;7659000;7659000;7659000;7911000;7911000;7911000;7911000;7911000;7911000;7911000;7911000;7911000;7911000;7911000;7911000;8768000;8768000;8768000;8768000;8768000;8768000;8768000;8768000;8768000;8768000;8768000;8768000;10212000;10212000;10212000;10212000;10212000;10212000;10212000;10212000;10212000;10212000;10212000;10212000;8521000;8521000;8521000;8521000;8521000;8521000;8521000;8521000;8521000;8521000;8521000;8521000;12876000;12876000;12876000;12876000;12876000;12876000;12876000;12876000;12876000;12876000;12876000;12876000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;10709000;11569000;11569000;11569000;11569000;11569000;11569000;11569000;11569000;11569000;11569000;11569000;11569000;13397000;13397000;13397000;13397000;13397000;13397000;13397000;13397000;13397000;13397000;13397000;13397000;14916000;14916000;14916000;14916000;14916000;14916000;14916000;14916000;14916000;14916000;14916000;14916000;15942000;15942000;15942000;15942000;15942000;15942000;15942000;15942000;15942000;15942000;15942000;15942000
common equity;Basic Materials;3012000;2264000;2264000;2264000;2264000;2264000;2264000;2264000;2264000;2264000;2264000;2264000;2264000;2086000;2086000;2086000;2086000;2086000;2086000;2086000;2086000;2086000;2086000;2086000;2086000;2494000;2494000;2494000;2494000;2494000;2494000;2494000;2494000;2494000;2494000;2494000;2494000;2605000;2605000;2605000;2605000;2605000;2605000;2605000;2605000;2605000;2605000;2605000;2605000;2857000;2857000;2857000;2857000;2857000;2857000;2857000;2857000;2857000;2857000;2857000;2857000;3595000;3595000;3595000;3595000;3595000;3595000;3595000;3595000;3595000;3595000;3595000;3595000;3788000;3788000;3788000;3788000;3788000;3788000;3788000;3788000;3788000;3788000;3788000;3788000;3852000;3852000;3852000;3852000;3852000;3852000;3852000;3852000;3852000;3852000;3852000;3852000;3937000;3937000;3937000;3937000;3937000;3937000;3937000;3937000;3937000;3937000;3937000;3937000;4314000;4314000;4314000;4314000;4314000;4314000;4314000;4314000;4314000;4314000;4314000;4314000;4998000;4998000;4998000;4998000;4998000;4998000;4998000;4998000;4998000;4998000;4998000;4998000;5715000;5715000;5715000;5715000;5715000;5715000;5715000;5715000;5715000;5715000;5715000;5715000;6819000;6819000;6819000;6819000;6819000;6819000;6819000;6819000;6819000;6819000;6819000;6819000
Turnover ratio;Basic Materials;0,01%;0,10%;0,16%;0,14%;0,14%;0,16%;0,20%;0,16%;0,12%;0,09%;0,12%;0,16%;0,73%;0,19%;0,41%;0,27%;0,17%;0,19%;0,17%;0,22%;0,28%;0,09%;0,08%;0,16%;0,10%;0,13%;0,15%;0,09%;0,09%;0,11%;0,20%;0,18%;0,04%;0,12%;0,25%;0,21%;0,11%;0,12%;0,07%;0,12%;0,11%;0,15%;0,20%;0,22%;0,13%;0,15%;0,17%;0,11%;0,06%;0,09%;0,13%;0,13%;0,16%;0,15%;0,18%;0,27%;0,13%;0,17%;0,17%;0,20%;0,23%;0,08%;0,19%;0,24%;0,20%;0,21%;0,14%;0,14%;0,14%;0,25%;0,20%;0,22%;0,10%;0,30%;0,21%;0,19%;0,30%;0,33%;0,26%;0,25%;0,19%;0,27%;0,29%;0,20%;0,10%;0,33%;0,33%;0,26%;0,25%;0,14%;0,12%;0,14%;0,17%;0,12%;0,17%;0,12%;0,14%;0,08%;0,06%;0,20%;0,11%;0,07%;0,10%;0,11%;0,15%;0,19%;0,13%;0,10%;0,13%;0,12%;0,29%;0,11%;0,08%;0,19%;0,11%;0,12%;0,06%;0,10%;0,13%;0,16%;0,11%;0,10%;0,14%;0,12%;0,13%;0,18%;0,16%;0,13%;0,20%;0,23%;0,17%;0,09%;0,09%;0,14%;0,12%;0,08%;0,14%;0,10%;0,13%;0,08%;0,11%;0,09%;0,10%;0,11%;0,06%;0,09%;0,12%;0,09%;0,10%;0,14%;0,18%;0,10%;0,11%;0,06%;0,09%;0,19%;0,07%
Return monthly;Basic Materials;;0,183206438;-0,025805935;0,026489522;0,150002001;0,020290477;0,051134651;-0,059457866;-0,021562025;-0,053890896;-0,094937358;0,153848002;0,042422115;0,031977856;0,014085987;0,102775884;0,046115311;0,089110338;-0,036365136;0,096699436;0,031826611;-0,03130666;0,08971501;-0,008031901;0,032389641;-0,058823638;0,066666667;-0,105469323;-0,048000754;0,111109675;0,006384142;0,099366406;0,030767775;0,060477107;0,017857171;0,052631662;0,133332037;-0,082353422;0,170193335;0,023722439;-0,020519544;-0,08379889;-0,057927682;-0,016181483;0,101975303;-0,031433459;0,10624973;0,045197996;0,054054054;0,051282051;0,048780488;-0,011627907;-0,000649635;0,028226546;0,053495251;0,070156329;0,092611929;-0,051163509;-0,003041988;0,078331224;0;0,080377661;-0,065665207;0,00934548;0,125119684;-0,017647391;0,000855782;-0,053333576;0,011195668;0,065156961;0,048982961;0,062368834;0,038023027;0,073992516;-0,032742271;0,029619647;0,125634289;0,098696639;-0,079660817;0,000613976;-0,024540057;0,046792743;0,091999889;-0,089799061;-0,036585307;-0,186709007;0,073930209;-0,072464024;0,053464732;0,032625435;-0,059514761;-0,046875103;0,098360883;-0,068976997;-0,139837423;-0,102079433;0,073684034;-0,000195528;-0,137282182;0,000227548;0,14117862;-0,056409807;0,010869182;0,139785619;0,056603852;0,05529641;0,028911949;-0,008264463;0,033333333;-0,040322581;0,006722197;0,079299176;0,053284452;0,022980165;-0,014492746;0,010294059;-0,009461448;0,083502207;0,067671119;0,020015098;0,037736062;-0,029697051;0,051217988;-0,01247751;0,051589305;0,018023573;-0,035979476;-0,05094756;-0,083645753;0,022852283;0,023703886;0,052493087;0,033000029;0,028557649;0,085764523;0,018528767;-0,036135325;-0,094498948;-0,009193793;-0,021316347;0,0634206;-0,004563053;-0,097751646;0,0563376;0,023076883;0,068170594;0,114500287;0,074105241;0,002454898;0,10557747;0,031531648;0,019738285;0,002055205;0,030552507;0,023012408;-0,028711376;0,052720061
