Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;62368;62368;62368;62368;62368;62368;62368;62368;62368;62368;62368;62368;697935;697935;697935;697935;697935;697935;697935;697935;697935;697935;697935;697935;705061;705061;705061;705061;705061;705061;705061;705061;705061;705061;705061;705061;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,250064744;0,22612838;-0,636796271;0,286889752;-0,2264868;0,119976008;-0,144033844;-0,322738738;-0,280372474;-0,112565138;-0,657377815;-0,206813;-0,2068933;-0,2084097;0,052752376;0,517362115;-0,006912793;-0,337491079;-0,302593238;-0,256173474;-0,1927298;-0,687376867;1,424581373;0,689097179;0,039563816;-0,134710891;-0,192850126;-0,567053837;0,364180004;0,002032547;-0,1342545;-0,103396765;-0,152879545;-0,178053635;-0,375122301;-0,162368;-0,023853456;0,095735694;0,414114461;0,498623634;0,013336425;-0,317239898;-0,44535312;0,064186018;-0,296975445;-0,17936247;-0,1339106;-0,121491427;-0,216718196;-0,1199983;0,04219791;-0,025814136;0,035700329;0,042849873;-0,07077505;0,386080992;0,298271107;-0,304838681;0,005853784;0,045819503;0,180148658;-0,253499768;-0,193890659;0,02862607;-0,185588702;-0,207065581;-0,187926952;-0,088811752;-0,131361508;-0,189141135;0,009938018;-0,161121991;-0,139453328;-0,107137232;-0,183422942;-0,150271985;-0,261108367;-0,333964164;-0,260654546;-0,349492167;0,001076699;-0,127914918;-0,306082803;-0,109152856;-0,218123417;-0,25285242;-0,201250256;-0,166561033;-0,149491741;0,201152624;-0,375106067;-0,169861478;-0,273647981;-0,609131429;-0,009237873;-0,162018733;0,302677533;-0,051780649;-0,190568638;-0,211806566;0,545578186;-0,099180856;-0,045865612;0,009617563;-0,047612473;0,149996376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,6686;0,5639;0,9082;1,3653;1,4736;1,7236;1,666;1,596;1,5582;1,6919;1,2494;1,3968;1,451;1,3491;1,3319;1,0343;1,0332;1,067;1,1153;1,1797;1,2189;1,2846;1,2001;0,6592;0,6302;0,6761;0,1677;0,2379;0,6444;0,6338;0,591;0,6215;0,5796;0,4794;0,9212;1,1215;1,136;1,2975;1,2158;1,0802;1,0791;0,8661;0,7975;0,8738;0,7221;0,6261;0,7457;0,7462;0,8727;0,8253;0,6841;0,4036;-0,2774;-0,2748;-0,2876;-0,4648;-0,0734;0,281;0,2178;0,2626;0,495;0,9736;0,9;1,4572;1,4992;1,4028;1,2916;1,2903;1,3848;1,4313;1,4275;1,4029;1,3689;1,412;1,4648;1,8354;1,8684;1,9434;2,2349;2,2938;2,0477;1,8774;1,9424;1,2928;1,2754;0,6924;0,7856;0,7024;0,6926;0,3139;0,6654;0,6349;0,7064;1,0763;1,0505;1,0473;0,8907;0,7633;0,6615;0,6503;0,8624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Basic Materials; 19.00 ; 5.37 ; 27.56 ; 7.34 ; 9.21 ; 11.18 ; 30.14 ; 51.86 ; 11.16 ; 10.54 ; 15.93 ; 3.28 ; 3.55 ; 3.01 ; 30.72 ; 21.43 ; 21.78 ; 44.54 ; 7.29 ; 2.05 ; 0.35 ; 5.00 ; 7.63 ; 67.08 ; 105.52 ; 89.15 ; 25.99 ; 53.19 ; 1.34 ; 44.46 ; 74.17 ; 23.30 ; 129.35 ; 60.31 ; 33.00 ; 33.03 ; 24.37 ; 18.78 ; 19.30 ; 85.81 ; 181.01 ; 26.06 ; 33.28 ; 21.19 ; 23.10 ; 9.52 ; 30.46 ; 72.68 ; 64.45 ; 22.61 ; 51.65 ; 92.38 ; 396.07 ; 876.69 ; 88.40 ; 334.07 ; 173.32 ; 231.91 ; 97.31 ; 154.52 ; 73.20 ; 258.18 ; 280.67 ; 331.05 ; 494.66 ; 484.70 ; 432.37 ; 204.37 ; 567.81 ; 1032.89 ; 111.87 ; 205.47 ; 135.30 ; 149.50 ; 325.67 ; 287.41 ; 830.51 ; 222.86 ; 545.44 ; 414.88 ; 310.80 ; 252.67 ; 478.15 ; 368.23 ; 200.13 ; 167.89 ; 371.24 ; 969.44 ; 7447.19 ; 382.00 ; 1688.65 ; 255.05 ; 366.61 ; 121.82 ; 1014.27 ; 367.72 ; 346.17 ; 4411.75 ; 3578.46 ; 279.54 ; 2387.30 ; 648.24 ; 270.72 ; 801.87 ; 492.74 ; 1768.35 ; 359.20 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;239489;239489;239489;239489;239489;239489;239489;239489;239489;239489;239489;239489;938156;938156;938156;938156;938156;938156;938156;938156;938156;938156;938156;938156;954199;954199;954199;954199;954199;954199;954199;954199;954199;954199;954199;954199;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;177121;177121;177121;177121;177121;177121;177121;177121;177121;177121;177121;177121;240221;240221;240221;240221;240221;240221;240221;240221;240221;240221;240221;240221;249138;249138;249138;249138;249138;249138;249138;249138;249138;249138;249138;249138;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,04%;0,01%;0,06%;0,02%;0,02%;0,03%;0,07%;0,12%;0,03%;0,02%;0,04%;0,01%;0,01%;0,01%;0,07%;0,05%;0,05%;0,10%;0,02%;0,00%;0,00%;0,01%;0,02%;0,15%;0,23%;0,20%;0,05%;0,11%;0,00%;0,09%;0,15%;0,05%;0,26%;0,10%;0,06%;0,06%;0,04%;0,03%;0,03%;0,13%;0,27%;0,04%;0,05%;0,03%;0,03%;0,01%;0,05%;0,11%;0,09%;0,03%;0,07%;0,13%;0,54%;1,19%;0,12%;0,45%;0,23%;0,27%;0,11%;0,18%;0,09%;0,06%;0,07%;0,08%;0,11%;0,11%;0,10%;0,05%;0,12%;0,22%;0,02%;0,04%;0,03%;0,03%;0,07%;0,06%;0,17%;0,04%;0,11%;0,08%;0,06%;0,05%;0,09%;0,07%;0,04%;0,03%;0,07%;0,18%;1,42%;0,07%;0,32%;0,05%;0,07%;0,02%;0,19%;0,07%;0,06%;0,78%;0,60%;0,05%;0,40%;0,09%;0,04%;0,11%;0,07%;0,22%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Basic Materials;;-0,090939044;0,40014498;-0,428682371;0,500226552;0;0,333434008;0,062514156;-0,117672138;-0,066682774;0,071447062;-0,466779415;0;0;0;0,250113276;0,700253715;0,176508207;-0,150027179;-0,117672138;-0,066682774;0;-0,499870567;1,570910973;0,833299779;0,181858116;-0,025645791;-0,078962426;-0,428556637;0,499909404;0,133365547;0;0,029418035;-0,028577345;-0,029418035;-0,212167801;0;0,153889044;0,266731094;0,578867061;0,666706934;0,170000725;-0,162397398;-0,28570372;0,214278318;-0,152931145;-0,02778337;0;0,014288673;-0,084524296;0;0,15382471;0,040009664;0,102587929;0,104631073;-0,02105745;0,462356792;0,397074107;-0,210517281;0,099997584;0,151504503;0,315785458;-0,123999768;-0,027387059;0,19717567;-0,019612302;-0,039994781;-0,020838052;0,085110648;0,039210392;-0,018858635;0,176920718;0,003268709;0,026052672;0,063495168;0,008957258;0,047337215;-0,053674167;-0,107465464;-0,030095146;-0,137937067;0,200002899;0,080006282;-0,138886403;0,057347344;-0,084752217;-0,11110962;-0,062499056;-0,022227233;-0,022716041;0,334872824;-0,243907367;-0,036858278;-0,114841081;-0,459449929;0,129992027;-0,026554633;0,436365433;0,075943851;-0,064699738;-0,069175366;0,635128186;-0,099180856;-0,045865612;0,009617563;-0,047612473;0,149996376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
