Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;NA;293454;293454;293454;293454;293454;293454;293454;293454;293454;293454;293454;293454;1780000;1780000;1780000;1780000;1780000;1780000;1780000;1780000;1780000;1780000;1780000;1780000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;0,191300714;0,222632658;0;0,104476341;-0,027026149;0,097221064;-0,075950715;0,082193359;-0,135443794;0,007321513;0,040698106;0,00698406;-0,112344573;0,040625073;0,199700566;-0,061326287;0,0666664;-0,074753444;-0,147751798;-0,208111433;-0,211346158;-0,1757442;-0,1670944;-0,097948097;-0,102874005;-0,231374665;-0,272335185;-0,284766136;0,06392189;-0,17223459;-0,1893593;-0,033896514;-0,155834653;0,031952856;-0,059633122;0,02682875;0,0807589;-0,054944982;0,041861943;-0,162945433;-0,039468046;-0,056081546;-0,102940202;0,147538724;0,028574861;-0,180555787;0;-0,101696641;0;0,181130964;0,006390543;-0,122222487;0,211576792;0,014626777;-0,014415919;0;0,164175826;-0,038458428;0,079997277;0,036789298;0,1193155;-0,085106859;0,116278907;0,041668492;-0,020002343;-0,015304887;0,061140903;0,17285131;0,141547841;0,079357882;0,027841653;0,328073013;-0,098217312;0,064998574;0,061855207;0,155339197;0,02731164;0,010142626;0,04453843;-0,089077409;0,132239855;0,14068396;-0,001667384;0,015025573;-0,009868765;0,353821209;0,104343024;0,142127456;0,165298287;-0,065014703;-0,114286138;0,048387599;-0,384091877;-0,368622046;0,018180644;0,101191266;0,081081116;-0,058333222;0,225574605;-0,166004458;0,089610931;0,032180242;0,012085897;0,224614762;-0,058320868;0,019333823;0,039241466;0,093580323;-0,033204518;0,095238136;0,041792976;0,042047273;-0,124255376;-0,077345405;0,059790186;-0,098041672;0,101664537;0,063749378;0,044541687;0,125515574;0,001904359;0,003325449;0,055870809;-0,042152449;-0,043071227;-0,077788865;0,002706192;0,004972902;-0,064502926;0,057175674;-0,018700173;-0,049947455;0,077894696;0,036241214;-0,049057668;-0,003468062;-0,070718207;-0,012960943;-0,061799673;-0,056240951;0,140148651;0,113633597;-0,018181318;0,065656241;0,06108451;-0,051314799;-0,0096256;-0,065708889;0,017639201;-0,168000288;0,085069457;0,15889277;0,073726075;-0,024059414;-0,025172944;0,008376634
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;;;;;;;;;;;;;;;;;;;0,2826;1,2288;1,3083;1,1624;1,0134;0,9888;0,9685;1,055;1,1832;1,1275;1,4012;1,4082;1,2601;1,2779;1,2546;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Basic Materials; 2.30 ; 95.67 ; 64.92 ; 86.74 ; 28.84 ; 95.83 ; 90.56 ; 54.04 ; 62.19 ; 83.88 ; 112.67 ; 76.30 ; 110.83 ; 59.10 ; 66.33 ; 1462.16 ; 49.16 ; 195.00 ; 149.09 ; 104.33 ; 41.44 ; 103.19 ; 81.83 ; 87.21 ; 88.93 ; 92.49 ; 254.35 ; 38.83 ; 24.20 ; 785.02 ; 183.67 ; 145.52 ; 147.21 ; 146.16 ; 161.50 ; 167.79 ; 107.25 ; 180.55 ; 34.78 ; 59.13 ; 54.27 ; 86.49 ; 152.54 ; 75.88 ; 86.97 ; 88.57 ; 97.44 ; 95.34 ; 58.98 ; 82.94 ; 375.09 ; 346.68 ; 153.00 ; 410.97 ; 140.03 ; 113.30 ; 110.83 ; 133.34 ; 107.97 ; 133.44 ; 112.44 ; 250.53 ; 110.52 ; 55.70 ; 132.15 ; 95.90 ; 116.63 ; 105.79 ; 94.68 ; 124.35 ; 91.86 ; 150.74 ; 181.60 ; 82.12 ; 83.15 ; 240.43 ; 120.43 ; 198.85 ; 228.16 ; 211.32 ; 296.20 ; 261.40 ; 319.84 ; 431.08 ; 160.72 ; 251.85 ; 474.27 ; 372.76 ; 266.81 ; 303.10 ; 329.96 ; 331.59 ; 316.06 ; 537.09 ; 550.97 ; 645.99 ; 307.99 ; 295.76 ; 271.51 ; 425.71 ; 320.26 ; 408.55 ; 413.06 ; 428.21 ; 513.52 ; 474.20 ; 423.63 ; 410.71 ; 333.50 ; 678.20 ; 633.24 ; 435.34 ; 396.31 ; 503.46 ; 444.06 ; 454.38 ; 522.21 ; 394.26 ; 417.38 ; 429.70 ; 309.35 ; 535.24 ; 653.53 ; 486.48 ; 313.36 ; 397.01 ; 524.46 ; 536.60 ; 475.40 ; 451.26 ; 388.81 ; 239.85 ; 220.03 ; 319.44 ; 347.78 ; 457.75 ; 288.34 ; 308.72 ; 510.82 ; 222.14 ; 379.95 ; 838.17 ; 271.85 ; 248.50 ; 229.08 ; 417.10 ; 384.82 ; 447.21 ; 438.77 ; 391.17 ; 318.89 ; 318.79 ; 340.76 ; 338.19 ; 301.15 ; 390.27 ; 219.83 
Total assets;Basic Materials;NA;283859;283859;283859;283859;283859;283859;283859;283859;283859;283859;283859;283859;3904000;3904000;3904000;3904000;3904000;3904000;3904000;3904000;3904000;3904000;3904000;3904000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;NA;1181947;1181947;1181947;1181947;1181947;1181947;1181947;1181947;1181947;1181947;1181947;1181947;3538000;3538000;3538000;3538000;3538000;3538000;3538000;3538000;3538000;3538000;3538000;3538000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;NA;-9595;-9595;-9595;-9595;-9595;-9595;-9595;-9595;-9595;-9595;-9595;-9595;2124000;2124000;2124000;2124000;2124000;2124000;2124000;2124000;2124000;2124000;2124000;2124000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,00%;0,09%;0,06%;0,08%;0,03%;0,09%;0,08%;0,05%;0,06%;0,08%;0,10%;0,07%;0,10%;0,05%;0,06%;1,31%;0,04%;0,18%;0,13%;0,09%;0,04%;0,09%;0,07%;0,08%;0,08%;0,08%;0,23%;0,03%;0,02%;0,70%;0,16%;0,13%;0,13%;0,13%;0,14%;0,15%;0,09%;0,16%;0,03%;0,05%;0,05%;0,04%;0,07%;0,04%;0,04%;0,04%;0,05%;0,05%;0,03%;0,04%;0,18%;0,17%;0,07%;0,20%;0,07%;0,06%;0,05%;0,07%;0,05%;0,07%;0,05%;0,12%;0,05%;0,03%;0,06%;0,05%;0,06%;0,05%;0,05%;0,06%;0,04%;0,07%;0,09%;0,04%;0,04%;0,12%;0,06%;0,09%;0,11%;0,10%;0,14%;0,12%;0,15%;0,20%;0,08%;0,12%;0,23%;0,18%;0,13%;0,14%;0,16%;0,16%;0,15%;0,25%;0,26%;0,31%;0,15%;0,14%;0,13%;0,20%;0,15%;0,19%;0,19%;0,20%;0,24%;0,22%;0,20%;0,19%;0,16%;0,32%;0,30%;0,20%;0,19%;0,24%;0,21%;0,21%;0,25%;0,19%;0,20%;0,20%;0,15%;0,25%;0,31%;0,23%;0,15%;0,19%;0,25%;0,25%;0,22%;0,21%;0,18%;0,11%;0,10%;0,15%;0,16%;0,21%;0,13%;0,14%;0,24%;0,10%;0,18%;0,39%;0,13%;0,12%;0,11%;0,19%;0,18%;0,21%;0,20%;0,18%;0,15%;0,15%;0,16%;0,16%;0,14%;0,18%;0,10%
Return monthly;Basic Materials;;0,191300714;0,222632658;0;0,104476341;-0,027026149;0,097221064;-0,075950715;0,082193359;-0,135443794;0,007321513;0,040698106;0,00698406;-0,112344573;0,040625073;0,199700566;-0,061326287;0,0666664;-0,074753444;0,040262602;-0,012988533;-0,026314958;0;0;0,067567403;0,063290995;-0,058333065;-0,102402685;-0,098590536;0,24843849;0,00125171;-0,0137516;0,141443286;-0,061734653;0,031952856;-0,059633122;0,02682875;0,0807589;-0,054944982;0,041861943;-0,162945433;-0,039468046;-0,056081546;-0,102940202;0,147538724;0,028574861;-0,180555787;0;-0,101696641;0;0,181130964;0,006390543;-0,122222487;0,211576792;0,014626777;-0,014415919;0;0,164175826;-0,038458428;0,079997277;0,036789298;0,1193155;-0,085106859;0,116278907;0,041668492;-0,020002343;-0,015304887;0,061140903;0,17285131;0,141547841;0,079357882;0,027841653;0,328073013;-0,098217312;0,064998574;0,061855207;0,155339197;0,02731164;0,010142626;0,04453843;-0,089077409;0,132239855;0,14068396;-0,001667384;0,015025573;-0,009868765;0,353821209;0,104343024;0,142127456;0,165298287;-0,065014703;-0,114286138;0,048387599;-0,384091877;-0,368622046;0,018180644;0,101191266;0,081081116;-0,058333222;0,225574605;-0,166004458;0,089610931;0,032180242;0,012085897;0,224614762;-0,058320868;0,019333823;0,039241466;0,093580323;-0,033204518;0,095238136;0,041792976;0,042047273;-0,124255376;-0,077345405;0,059790186;-0,098041672;0,101664537;0,063749378;0,044541687;0,125515574;0,001904359;0,003325449;0,055870809;-0,042152449;-0,043071227;-0,077788865;0,002706192;0,004972902;-0,064502926;0,057175674;-0,018700173;-0,049947455;0,077894696;0,036241214;-0,049057668;-0,003468062;-0,070718207;-0,012960943;-0,061799673;-0,056240951;0,140148651;0,113633597;-0,018181318;0,065656241;0,06108451;-0,051314799;-0,0096256;-0,065708889;0,017639201;-0,168000288;0,085069457;0,15889277;0,073726075;-0,024059414;-0,025172944;0,008376634
