Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;6445500;6445500;6445500;6445500;9334500;9334500;9334500;9334500;9334500;9334500;9334500;9334500;9334500;9334500;9334500;9334500;11045000;11045000;11045000;11045000;11045000;11045000;11045000;11045000;11045000;11045000;11045000;11045000;12260200;12260200;12260200;12260200;12260200;12260200;12260200;12260200;12260200;12260200;12260200;12260200;10696100;10696100;10696100;10696100;10696100;10696100;10696100;10696100;10696100;10696100;10696100;10696100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Financials;;0,116085972;-0,139578236;-0,327760417;-0,0610562;-0,271555164;-0,235927247;-0,261027551;-0,010002407;-0,335792167;-0,1808307;-0,1324649;-0,173795642;-0,174340896;-0,25909267;-0,332886791;0,051875768;-0,118754854;-0,202871283;-0,268156909;-0,255432058;-0,268827144;-0,008470851;-0,138694052;-0,048033592;-0,10984822;-0,152616121;-0,226784461;-0,206928924;-0,070168944;-0,03773707;-0,04241311;-0,103088719;-0,186892154;-0,039457777;-0,1337036;-0,146764212;-0,004801789;-0,159684956;-0,20428271;-0,159915049;-0,211779226;-0,206960863;-0,214796822;-0,025190562;-0,136171706;-0,099882936;-0,049057587;0,008095593;-0,108016707;0,017287641;-0,1394161;-0,102127331;-0,15582752;-0,140636254;-0,118902685;-0,118663653;-0,127026036;-0,11511553;-0,052767568;-0,078984619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;1,2428;1,2548;1,2026;1,3678;1,4374;1,3542;1,2819;1,3274;1,2701;1,244;1,1989;1,084;1,1037;1,0845;1,086;1,0607;1,0586;1,0915;1,0313;1,01;0,9957;0,9744;0,9524;0,8005;0,7813;0,7765;0,6866;0,6929;0,7143;0,679;0,6989;0,6551;0,5987;0,6267;0,6412;0,6572;0,6836;0,7278;0,7563;0,757;0,7472;0,7171;0,7059;0,7872;0,7749;0,7962;0,8722;0,871;0,9083;0,9663;0,9534;0,8447;0,8689;0,8653;0,8085;0,7807;0,7089;0,6565;0,6935;-0,1777;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Financials; 112.50 ; 192.48 ; 79.14 ; 108.78 ; 54.70 ; 76.06 ; 113.62 ; 174.37 ; 42.78 ; 53.58 ; 62.24 ; 79.70 ; 97.74 ; 34.82 ; 46.18 ; 250.97 ; 44.62 ; 44.77 ; 54.55 ; 37.15 ; 12.19 ; 54.17 ; 310.15 ; 12.97 ; 83.76 ; 43.30 ; 124.77 ; 43.55 ; 49.98 ; 51.30 ; 144.53 ; 181.80 ; 96.81 ; 37.65 ; 78.53 ; 466.43 ; 308.46 ; 230.28 ; 65.00 ; 92.61 ; 85.83 ; 55.98 ; 78.58 ; 184.55 ; 61.91 ; 97.18 ; 173.71 ; 132.01 ; 80.64 ; 93.16 ; 626.44 ; 746.83 ; 586.33 ; 151.85 ; 149.57 ; 114.80 ; 139.31 ; 71.08 ; 121.43 ; 179.79 ; 8.33 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Financials;8185100;8185100;8185100;8185100;11336600;11336600;11336600;11336600;11336600;11336600;11336600;11336600;11336600;11336600;11336600;11336600;12996000;12996000;12996000;12996000;12996000;12996000;12996000;12996000;12996000;12996000;12996000;12996000;14266200;14266200;14266200;14266200;14266200;14266200;14266200;14266200;14266200;14266200;14266200;14266200;13106000;13106000;13106000;13106000;13106000;13106000;13106000;13106000;13106000;13106000;13106000;13106000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Financials;2845900;2845900;2845900;2845900;3480600;3480600;3480600;3480600;3480600;3480600;3480600;3480600;3480600;3480600;3480600;3480600;6607600;6607600;6607600;6607600;6607600;6607600;6607600;6607600;6607600;6607600;6607600;6607600;2834700;2834700;2834700;2834700;2834700;2834700;2834700;2834700;2834700;2834700;2834700;2834700;3054700;3054700;3054700;3054700;3054700;3054700;3054700;3054700;3054700;3054700;3054700;3054700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Financials;1433700;1433700;1433700;1433700;1650500;1650500;1650500;1650500;1650500;1650500;1650500;1650500;1650500;1650500;1650500;1650500;1590700;1590700;1590700;1590700;1590700;1590700;1590700;1590700;1590700;1590700;1590700;1590700;1612500;1612500;1612500;1612500;1612500;1612500;1612500;1612500;1612500;1612500;1612500;1612500;1984100;1984100;1984100;1984100;1984100;1984100;1984100;1984100;1984100;1984100;1984100;1984100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;0,10%;0,17%;0,07%;0,09%;0,05%;0,07%;0,10%;0,15%;0,04%;0,05%;0,05%;0,07%;0,08%;0,03%;0,04%;0,21%;0,04%;0,04%;0,05%;0,03%;0,01%;0,05%;0,26%;0,01%;0,07%;0,04%;0,11%;0,04%;0,04%;0,04%;0,12%;0,15%;0,08%;0,03%;0,07%;0,40%;0,26%;0,20%;0,06%;0,08%;0,07%;0,05%;0,07%;0,16%;0,05%;0,08%;0,15%;0,11%;0,07%;0,08%;0,53%;0,64%;0,50%;0,13%;0,13%;0,10%;0,12%;0,06%;0,10%;0,15%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;0,318738372;0,052985564;-0,119489017;0,15;-0,068340564;-0,046667547;-0,071401351;0,176913893;-0,150320167;0;0,0384271;0,011137458;0,015882604;-0,06617467;-0,133862691;0,236367568;0,066209646;-0,020699383;-0,093926909;-0,080002958;-0,095639944;0,163430349;0,016537448;0,105688308;0,03877128;-0,010860321;-0,084231761;-0,064028024;0,068408056;0,10039363;0,09395819;0,030929381;-0,053310054;0,091537823;0;-0,012897412;0,137049611;-0,017638056;-0,05989171;-0,012741449;-0,064501926;-0,057889163;-0,060603222;0,128228138;0,018588894;0,059665664;0,092715413;0,146118493;0,033060193;0,154251841;0;0,035913369;-0,01711362;-0,009800754;0,009281415;0,006897047;-0,004566536;0,00917497;0,013637332;-0,004484619;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
