Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;5788700;8006500;8006500;8006500;8006500;8006500;8006500;8006500;8006500;8006500;8006500;8006500;8006500;7919100;7919100;7919100;7919100;7919100;7919100;7919100;7919100;7919100;7919100;7919100;7919100;15366900;15366900;15366900;15366900;15366900;15366900;15366900;15366900;15366900;15366900;15366900;15366900;14572800;14572800;14572800;14572800;14572800;14572800;14572800;14572800;14572800;14572800;14572800;14572800;14987500;14987500;14987500;14987500;14987500;14987500;14987500;14987500;14987500;14987500;14987500;14987500;17620900;17620900;17620900;17620900;17620900;17620900;17620900;17620900;17620900;17620900;17620900;17620900;25277000;25277000;25277000;25277000;25277000;25277000;25277000;25277000;25277000;25277000;25277000;25277000;39172000;39172000;39172000;39172000;39172000;39172000;39172000;39172000;39172000;39172000;39172000;39172000;43188000;43188000;43188000;43188000;43188000;43188000;43188000;43188000;43188000;43188000;43188000;43188000;28783000;28783000;28783000;28783000;28783000;28783000;28783000;28783000;28783000;28783000;28783000;28783000;30537000;30537000;30537000;30537000;30537000;30537000;30537000;30537000;30537000;30537000;30537000;30537000;35847000;35847000;35847000;35847000;35847000;35847000;35847000;35847000;35847000;35847000;35847000;35847000;39019000;39019000;39019000;39019000;39019000;39019000;39019000;39019000;39019000;39019000;39019000;39019000
Excess return;Basic Materials;;0,003828884;-0,122961057;-0,282326589;-0,080351507;-0,180035218;-0,272178196;-0,291605843;-0,067762933;-0,2979639;-0,058927565;0,068560794;-0,027605152;-0,211085456;-0,148550879;-0,266957667;-0,329236421;-0,154627132;-0,263970243;-0,476548633;-0,164390847;-0,198693761;-0,235880651;-0,227205956;-0,235156571;-0,271105871;-0,209117194;-0,203720223;-0,270235737;-0,003447184;-0,266881182;-0,077073931;-0,123082017;-0,289748971;-0,066256135;-0,220391318;-0,141491603;-0,08212099;-0,151315951;-0,27628749;-0,28188844;-0,214116328;-0,288249967;-0,163939452;-0,066070327;-0,187915762;-0,333846813;-0,151285737;-0,223232614;-0,153547908;-0,129595458;-0,148097732;-0,257488466;0,034270557;-0,188994504;-0,101521295;-0,178653329;0,018853666;-0,129047228;-0,126767666;-0,090025088;-0,047508351;-0,1720968;-0,077586864;-0,044912761;-0,108919922;-0,049472814;-0,158382816;-0,058045742;-0,109859391;-0,108886681;-0,151734068;-0,115143091;-0,157452019;-0,120886825;-0,008817575;-0,157982541;-0,019957147;-0,202428526;-0,087404085;-0,156239739;-0,046463763;-0,195758904;-0,156276657;-0,246405998;-0,202667487;0,089777342;-0,190804872;-0,14384817;-0,132682358;-0,110622317;-0,400135304;-0,198487805;-0,511196754;-0,325155732;-0,212758819;-0,271657857;-0,303711531;-0,429123181;-0,056497232;-0,010574979;0,022990104;-0,212060087;-0,065959332;-0,185366073;-0,231911632;0,036064915;-0,096245302;-0,190771987;-0,304089541;-0,215030057;-0,035413465;-0,195798232;-0,275107867;-0,252198659;-0,085223654;-0,265435559;-0,084647176;-0,016057739;-0,199593366;-0,052198619;-0,137543184;-0,066026274;-0,207485444;-0,155660968;-0,151156073;-0,166718483;-0,182108719;-0,223533788;-0,192281582;-0,054064449;-0,089673115;-0,178090393;-0,033302954;-0,137961906;-0,240734693;-0,081874945;-0,269843161;-0,0710271;-0,21640037;-0,150340779;-0,075316007;-0,018149444;-0,18166108;-0,07285684;-0,078652298;-0,150437129;-0,181251642;-0,211726811;-0,04865052;-0,323099426;-0,031624157;-0,023559595;-0,096611444;-0,180151257;-0,194082433;0,011439707
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,7445;0,8104;1,0067;1,1556;1,2527;1,2651;1,3733;1,4066;1,3776;1,3785;1,3626;1,5647;1,5672;1,5716;1,5658;1,635;1,6374;1,6965;1,6647;1,6111;1,6361;1,6321;1,6707;1,7612;1,7062;1,7169;1,5616;1,5722;1,6157;1,5611;1,5271;1,5095;1,6172;1,6019;1,6315;1,5695;1,591;1,6001;1,5965;1,6113;1,6241;1,6627;1,6624;1,7037;1,6277;1,6593;1,5671;1,5673;1,6878;1,6993;1,6991;1,5038;1,3415;1,3415;1,2984;1,2635;1,3596;1,2549;1,2427;1,2162;1,1575;1,1197;1,1497;1,0627;1,0248;1,015;0,9544;0,9778;1,0435;1,0678;1,0682;1,0424;1,0407;1,0289;1,0299;0,9875;0,9895;1,0287;1,2409;1,2711;1,1651;1,2545;1,4024;1,3855;1,149;1,1414;1,122;1,1513;1,1629;1,0718;1,2936;1,2541;1,3425;1,6138;1,629;1,6547;1,6832;1,5798;1,6312;1,6198;1,6286;1,639;1,5286;1,5643;1,5698;1,5378;1,5346;1,5597;1,6168;1,6747;1,6432;1,6546;1,6531;1,6506;1,5002;1,5382;1,5086;1,1923;1,2121;1,2013;1,1482;1,0215;1,0112;1,0072;0,8729;0,8822;1,0293;0,9427;0,9412;0,8905;0,8875;0,8733;0,8578;0,8385;0,8715;0,8789;0,8982;0,9028;0,9007;0,8981;0,8235;0,7327;0,7248;0,7577;0,7985;0,8078;0,8404;0,9164;0,7886;0,8389;0,9602;0,994;1,04;1,0687;1,0467;1,0477
VO monthly avg;Basic Materials; 198.80 ; 1205.10 ; 2135.71 ; 1682.70 ; 2420.47 ; 3125.71 ; 2415.25 ; 2104.63 ; 1658.53 ; 2537.61 ; 2173.44 ; 2021.82 ; 2189.36 ; 1696.22 ; 2109.77 ; 1878.58 ; 2181.40 ; 3186.50 ; 2534.66 ; 3433.15 ; 5054.28 ; 3438.01 ; 2969.35 ; 1999.17 ; 2438.22 ; 3159.35 ; 2459.89 ; 4254.73 ; 3052.34 ; 3572.01 ; 2586.92 ; 3766.50 ; 3556.63 ; 3018.45 ; 2456.03 ; 2293.02 ; 2019.42 ; 3365.61 ; 3036.97 ; 3191.72 ; 2797.48 ; 4158.28 ; 3228.70 ; 3358.13 ; 3732.86 ; 2620.29 ; 3463.07 ; 7188.07 ; 3616.79 ; 2615.55 ; 2781.12 ; 2291.53 ; 2776.91 ; 2419.75 ; 2322.24 ; 3402.45 ; 1904.22 ; 2626.63 ; 3306.31 ; 2388.20 ; 1808.56 ; 3242.07 ; 4017.48 ; 3452.40 ; 2829.65 ; 4191.81 ; 3972.87 ; 2476.35 ; 2752.51 ; 3964.59 ; 3079.21 ; 2810.58 ; 2209.84 ; 2822.99 ; 2842.77 ; 2629.46 ; 1632.13 ; 2766.53 ; 3282.21 ; 1902.86 ; 2796.83 ; 2707.43 ; 2349.98 ; 3851.00 ; 1593.93 ; 3824.38 ; 2698.54 ; 2336.38 ; 2088.66 ; 2566.55 ; 2473.03 ; 2575.32 ; 2457.12 ; 5350.71 ; 7911.16 ; 5571.53 ; 2928.70 ; 4389.98 ; 5798.29 ; 5237.28 ; 4523.26 ; 4101.74 ; 5502.73 ; 2993.60 ; 3394.95 ; 2820.98 ; 4321.01 ; 3586.88 ; 2100.40 ; 3682.76 ; 5307.48 ; 3609.60 ; 3139.86 ; 5950.30 ; 4064.91 ; 4628.05 ; 4756.95 ; 3831.39 ; 4889.40 ; 3001.35 ; 1481.30 ; 2782.44 ; 4118.31 ; 3527.01 ; 1961.09 ; 3109.53 ; 4155.51 ; 4066.56 ; 7269.32 ; 5960.62 ; 4391.18 ; 3673.81 ; 1928.00 ; 2459.31 ; 3630.12 ; 3919.49 ; 4366.64 ; 4853.33 ; 4687.01 ; 3163.73 ; 3014.20 ; 4091.99 ; 3165.21 ; 2874.84 ; 2002.66 ; 2712.05 ; 2977.16 ; 3177.14 ; 3853.12 ; 3360.46 ; 3798.27 ; 3722.43 ; 2950.02 ; 2390.63 ; 2196.47 ; 2286.38 ; 2144.60 
Total assets;Basic Materials;17502800;20528100;20528100;20528100;20528100;20528100;20528100;20528100;20528100;20528100;20528100;20528100;20528100;20887800;20887800;20887800;20887800;20887800;20887800;20887800;20887800;20887800;20887800;20887800;20887800;27789600;27789600;27789600;27789600;27789600;27789600;27789600;27789600;27789600;27789600;27789600;27789600;32545400;32545400;32545400;32545400;32545400;32545400;32545400;32545400;32545400;32545400;32545400;32545400;35789500;35789500;35789500;35789500;35789500;35789500;35789500;35789500;35789500;35789500;35789500;35789500;46312700;46312700;46312700;46312700;46312700;46312700;46312700;46312700;46312700;46312700;46312700;46312700;54050000;54050000;54050000;54050000;54050000;54050000;54050000;54050000;54050000;54050000;54050000;54050000;68668000;68668000;68668000;68668000;68668000;68668000;68668000;68668000;68668000;68668000;68668000;68668000;75821000;75821000;75821000;75821000;75821000;75821000;75821000;75821000;75821000;75821000;75821000;75821000;83801000;83801000;83801000;83801000;83801000;83801000;83801000;83801000;83801000;83801000;83801000;83801000;87280000;87280000;87280000;87280000;87280000;87280000;87280000;87280000;87280000;87280000;87280000;87280000;85947000;85947000;85947000;85947000;85947000;85947000;85947000;85947000;85947000;85947000;85947000;85947000;89027000;89027000;89027000;89027000;89027000;89027000;89027000;89027000;89027000;89027000;89027000;89027000
Net sales;Basic Materials;15537000;17878900;17878900;17878900;17878900;17878900;17878900;17878900;17878900;17878900;17878900;17878900;17878900;19552700;19552700;19552700;19552700;19552700;19552700;19552700;19552700;19552700;19552700;19552700;19552700;16100400;16100400;16100400;16100400;16100400;16100400;16100400;16100400;16100400;16100400;16100400;16100400;19267000;19267000;19267000;19267000;19267000;19267000;19267000;19267000;19267000;19267000;19267000;19267000;22938000;22938000;22938000;22938000;22938000;22938000;22938000;22938000;22938000;22938000;22938000;22938000;39155300;39155300;39155300;39155300;39155300;39155300;39155300;39155300;39155300;39155300;39155300;39155300;46616000;46616000;46616000;46616000;46616000;46616000;46616000;46616000;46616000;46616000;46616000;46616000;50765000;50765000;50765000;50765000;50765000;50765000;50765000;50765000;50765000;50765000;50765000;50765000;36687000;36687000;36687000;36687000;36687000;36687000;36687000;36687000;36687000;36687000;36687000;36687000;46025000;46025000;46025000;46025000;46025000;46025000;46025000;46025000;46025000;46025000;46025000;46025000;51117000;51117000;51117000;51117000;51117000;51117000;51117000;51117000;51117000;51117000;51117000;51117000;42838000;42838000;42838000;42838000;42838000;42838000;42838000;42838000;42838000;42838000;42838000;42838000;52404000;52404000;52404000;52404000;52404000;52404000;52404000;52404000;52404000;52404000;52404000;52404000
common equity;Basic Materials;11714100;12521600;12521600;12521600;12521600;12521600;12521600;12521600;12521600;12521600;12521600;12521600;12521600;12968700;12968700;12968700;12968700;12968700;12968700;12968700;12968700;12968700;12968700;12968700;12968700;12422700;12422700;12422700;12422700;12422700;12422700;12422700;12422700;12422700;12422700;12422700;12422700;17972200;17972200;17972200;17972200;17972200;17972200;17972200;17972200;17972200;17972200;17972200;17972200;20801600;20801600;20801600;20801600;20801600;20801600;20801600;20801600;20801600;20801600;20801600;20801600;28180300;28180300;28180300;28180300;28180300;28180300;28180300;28180300;28180300;28180300;28180300;28180300;28307000;28307000;28307000;28307000;28307000;28307000;28307000;28307000;28307000;28307000;28307000;28307000;29035000;29035000;29035000;29035000;29035000;29035000;29035000;29035000;29035000;29035000;29035000;29035000;32138000;32138000;32138000;32138000;32138000;32138000;32138000;32138000;32138000;32138000;32138000;32138000;54558000;54558000;54558000;54558000;54558000;54558000;54558000;54558000;54558000;54558000;54558000;54558000;56362000;56362000;56362000;56362000;56362000;56362000;56362000;56362000;56362000;56362000;56362000;56362000;49820000;49820000;49820000;49820000;49820000;49820000;49820000;49820000;49820000;49820000;49820000;49820000;49882000;49882000;49882000;49882000;49882000;49882000;49882000;49882000;49882000;49882000;49882000;49882000
Turnover ratio;Basic Materials;0,05%;0,30%;0,52%;0,41%;0,59%;0,19%;0,16%;0,14%;0,11%;0,17%;0,15%;0,14%;0,15%;0,12%;0,14%;0,13%;0,15%;0,22%;0,17%;0,23%;0,34%;0,23%;0,20%;0,14%;0,17%;0,21%;0,17%;0,29%;0,21%;0,24%;0,18%;0,26%;0,24%;0,20%;0,17%;0,16%;0,14%;0,23%;0,20%;0,22%;0,19%;0,28%;0,22%;0,23%;0,25%;0,18%;0,23%;0,48%;0,24%;0,18%;0,19%;0,15%;0,19%;0,16%;0,16%;0,23%;0,13%;0,18%;0,22%;0,16%;0,12%;0,22%;0,27%;0,23%;0,19%;0,28%;0,26%;0,16%;0,18%;0,26%;0,20%;0,19%;0,15%;0,19%;0,19%;0,18%;0,11%;0,19%;0,22%;0,16%;0,23%;0,20%;0,18%;0,29%;0,12%;0,29%;0,20%;0,18%;0,16%;0,19%;0,19%;0,19%;0,19%;0,41%;0,60%;0,42%;0,22%;0,33%;0,44%;0,40%;0,34%;0,31%;0,42%;0,23%;0,26%;0,21%;0,33%;0,27%;0,16%;0,28%;0,40%;0,27%;0,24%;0,45%;0,31%;0,35%;0,36%;0,29%;0,37%;0,23%;0,11%;0,21%;0,31%;0,27%;0,15%;0,24%;0,31%;0,31%;0,55%;0,45%;0,33%;0,28%;0,15%;0,19%;0,27%;0,30%;0,33%;0,35%;0,34%;0,23%;0,22%;0,29%;0,23%;0,21%;0,14%;0,19%;0,21%;0,23%;0,28%;0,24%;0,27%;0,27%;0,21%;0,17%;0,16%;0,16%;0,15%
Return monthly;Basic Materials;;0,178484084;0,057261043;-0,087423789;0,119068593;0,017566082;-0,077160296;-0,096990043;0,125925867;-0,1040184;0,132216235;0,269736894;0,186528448;0,009825344;0,074594521;-0,031752667;-0,108280221;0,068452368;-0,041894143;-0,264449333;0,051383453;0,015928539;-0,018726551;-0,011450356;-0,023165971;-0,063241171;-0,012236394;-0,005771623;-0,070546637;0,190702116;-0,076573882;0,113124569;0,075101583;-0,094729271;0,127128365;-0,029212818;0,049541397;0,11468531;0,043663549;-0,07807559;-0,07947014;-0,007266228;-0,078918767;0,047993648;0,141074773;0,021220138;-0,130519513;0,034354163;-0,036101214;0,033707992;0,054347842;0,032841668;-0,089673966;0,202985057;-0,027295304;0,057079205;-0,012098529;0,179012366;0,029842872;0,027452934;0,057397412;0,097332749;-0,0268657;0,064063236;0,093749639;0,032625078;0,096354386;-0,010981416;0,094374758;0,037812009;0,038759919;-0,007462868;0,028571009;-0,016081319;0,022346875;0,130144925;-0,015744041;0,129850953;-0,038551826;0,078725215;-0,000288439;0,113219737;-0,021857704;0,016759843;-0,087868998;-0,041009287;0,252713342;-0,023772972;0,03011453;0,041841042;0,062674483;-0,229927004;-0,025410305;-0,318527354;-0,139028732;-0,035262719;-0,086266257;-0,118584131;-0,240307581;0,130450168;0,180326821;0,215797104;-0,027008287;0,119641568;0,001281327;-0,045280232;0,223394715;0,092465798;0,001536413;-0,111083441;-0,026408457;0,153526335;-0,004702932;-0,083320067;-0,075636059;0,090932946;-0,090893759;0,068867724;0,143054561;-0,042561466;0,106487981;0,013411316;0,084579326;-0,059631844;-0,017768268;-0,011577473;-0,019472583;-0,044318619;-0,081538188;-0,057830082;0,080798051;0,044644785;-0,046698993;0,097972546;-0,004307406;-0,108613993;0,052261655;-0,140666761;0,052367;-0,09237007;-0,032860279;0,037794093;0,094212956;-0,07007598;0,04269866;0,036289102;-0,032341929;-0,063418442;-0,090245011;0,08000018;-0,184206826;0,112847843;0,117710405;0,046666656;-0,034159157;-0,048977333;0,011439707
