Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;1390636;1390636;1390636;1390636;1390636;1390636;1390636;1200190;1200190;1200190;1200190;1200190;1200190;1200190;1200190;1200190;1200190;1200190;1200190;1326165;1326165;1326165;1326165;1326165;1326165;1326165;1326165;1326165;1326165;1326165;1326165;1741399;1741399;1741399;1741399;1741399;1741399;1741399;1741399;1741399;1741399;1741399;1741399;1730655;1730655;1730655;1730655;1730655;1730655;1730655;1730655;1730655;1730655;1730655;1730655;1671156;1671156;1671156;1671156;1671156;1671156;1671156;1671156;1671156;1671156;1671156;1671156;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,174764697;-0,128543981;0,08882515;-0,217765435;-0,1293975;-0,1222214;-0,1195513;-0,1204198;-0,112258012;-0,087475487;-0,072862086;-0,002903115;-0,147519415;-0,060631712;0,128435914;-0,03474992;-0,1324918;-0,118451502;0,036522091;-0,120120753;-0,226187919;-0,061080466;-0,1180552;-0,1173835;-0,047928713;-0,1207579;-0,117606828;-0,1188034;-0,1161553;-0,148099726;-0,313303773;0,035173206;-0,063455204;-0,114894023;-0,1005845;-0,113003198;0,161825054;-0,1072205;-0,168269075;-0,120620678;-0,402996484;-0,039182182;-0,1343675;0,045881653;-0,051344226;0,045453871;-0,1154327;-0,1117645;-0,026193158;-0,092880454;0,180929977;-0,104206515;-0,1058783;0,025212844;-0,141022954;-0,109795395;-0,091075765;-0,061294563;-0,03827589;-0,0900358;-0,0880718;-0,0728;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,2616;0,2924;0,2224;0,2036;0,3227;0,1825;0,2178;0,2151;0,2146;0,2145;0,2459;0,2959;0,2904;0,2984;0,2911;0,2612;0,262;0,2586;0,1642;0,1671;0,1807;0,1782;0,1595;0,2104;0,2045;0,2191;0,3533;0,358;0,3318;0,3231;0,2466;0,289;0,2939;0,2728;0,2533;0,1315;0,219;0,2122;0,2035;0,2101;0,2018;0,368;0,368;0,4725;0,4973;0,4743;0,4527;0,4529;0,4915;0,4799;0,3513;0,3628;0,3388;0,3441;0,4019;0,374;0,3317;0,3759;0,3976;0,3564;0,2466;0,2186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Basic Materials; 0.00 ; 0.02 ; 0.00 ; 0.01 ; 0.04 ; 0.04 ; 0.03 ; 0.02 ; 0.03 ; 0.00 ; 0.06 ; 0.04 ; 0.02 ; 0.00 ; 0.03 ; 0.03 ; 0.14 ; 0.01 ; 0.02 ; 0.00 ; 0.00 ; 0.01 ; 0.02 ; 0.01 ; 0.00 ; 0.02 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.04 ; 0.00 ; 0.07 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.02 ; 0.00 ; 0.01 ; 0.00 ; 0.03 ; 0.03 ; 0.00 ; 0.00 ; 0.04 ; 0.00 ; 0.00 ; 0.00 ; 0.01 ; 0.01 ; 0.00 ; 0.00 ; 0.00 ; 0.03 ; 0.01 ; 0.01 ; 0.00 ; 0.06 ; 0.01 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Basic Materials;2561509;2561509;2561509;2561509;2561509;2561509;2561509;3327444;3327444;3327444;3327444;3327444;3327444;3327444;3327444;3327444;3327444;3327444;3327444;3614680;3614680;3614680;3614680;3614680;3614680;3614680;3614680;3614680;3614680;3614680;3614680;4221625;4221625;4221625;4221625;4221625;4221625;4221625;4221625;4221625;4221625;4221625;4221625;5069375;5069375;5069375;5069375;5069375;5069375;5069375;5069375;5069375;5069375;5069375;5069375;5484909;5484909;5484909;5484909;5484909;5484909;5484909;5484909;5484909;5484909;5484909;5484909;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;1926189;1926189;1926189;1926189;1926189;1926189;1926189;2809352;2809352;2809352;2809352;2809352;2809352;2809352;2809352;2809352;2809352;2809352;2809352;2904483;2904483;2904483;2904483;2904483;2904483;2904483;2904483;2904483;2904483;2904483;2904483;3304537;3304537;3304537;3304537;3304537;3304537;3304537;3304537;3304537;3304537;3304537;3304537;4406474;4406474;4406474;4406474;4406474;4406474;4406474;4406474;4406474;4406474;4406474;4406474;4357697;4357697;4357697;4357697;4357697;4357697;4357697;4357697;4357697;4357697;4357697;4357697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;1170873;1170873;1170873;1170873;1170873;1170873;1170873;2127254;2127254;2127254;2127254;2127254;2127254;2127254;2127254;2127254;2127254;2127254;2127254;2288515;2288515;2288515;2288515;2288515;2288515;2288515;2288515;2288515;2288515;2288515;2288515;2480226;2480226;2480226;2480226;2480226;2480226;2480226;2480226;2480226;2480226;2480226;2480226;3338720;3338720;3338720;3338720;3338720;3338720;3338720;3338720;3338720;3338720;3338720;3338720;3813753;3813753;3813753;3813753;3813753;3813753;3813753;3813753;3813753;3813753;3813753;3813753;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Basic Materials;;-0,032743497;0,002267219;0,22375195;-0,076935335;0;0;0;0;0,008355488;0,033316213;0,048379614;0,130792085;-0,006820215;0,082207588;0,277091514;0,09955608;0;0,009093098;0,157649391;0,003963347;-0,103161319;0,060868034;0;0;0,065574587;0;0,003847172;0;0;-0,038463926;-0,199996773;0,149988906;0,047831196;-0,008336123;0;-0,008406198;0,271193654;0;-0,058332775;-0,007807278;-0,277712484;0,088601818;0;0,181811553;0,083136674;0,178573971;0;0;0,084240542;0,006151446;0,289986377;0,000437885;0;0,130432544;-0,038460954;-0,007998295;0,013705935;0,044354237;0,06177731;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
