Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;745099;745099;745099;745099;745099;745099;745099;663823;663823;663823;663823;663823;663823;663823;663823;663823;663823;663823;663823;744730;744730;744730;744730;744730;744730;744730;744730;744730;744730;744730;744730;966045;966045;966045;966045;966045;966045;966045;966045;966045;966045;966045;966045;1104768;1104768;1104768;1104768;1104768;1104768;1104768;1104768;1104768;1104768;1104768;1104768;1382538;1382538;1382538;1382538;1382538;1382538;1382538;1382538;1382538;1382538;1382538;1382538;2044081;2044081;2044081;2044081;2044081;2044081;2044081;2044081;2044081;2044081;2044081;2044081;5839038;5839038;5839038;5839038;5839038;5839038;5839038;5839038;5839038;5839038;5839038;5839038;4411891;4411891;4411891;4411891;4411891;4411891;4411891;4411891;4411891;4411891;4411891;4411891;4308949;4308949;4308949;4308949;4308949;4308949;4308949;4308949;4308949;4308949;4308949;4308949;4091210;4091210;4091210;4091210;4091210;4091210;4091210;4091210;4091210;4091210;4091210;4091210;6134247;6134247;6134247;6134247;6134247;6134247;6134247;6134247;6134247;6134247;6134247;6134247;6097326;6097326;6097326;6097326;6097326;6097326;6097326;6097326;6097326;6097326;6097326;6097326;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;-0,203502824;-0,106782855;-0,154577681;-0,1601522;-0,053274054;-0,062406653;-0,1375189;-0,163116945;-0,1386882;-0,104621658;-0,134964954;-0,089848507;-0,152392;-0,004136885;-0,056802699;-0,077417178;-0,063599678;-0,055209646;-0,099400047;-0,1324127;-0,071762216;-0,082758638;-0,099825445;-0,071948456;0,0039367;-0,144092027;-0,1226132;-0,113272796;-0,150896227;-0,155455806;-0,1121037;-0,141977787;-0,222071383;-0,160056594;-0,277178926;0,038061263;-0,173213813;-0,1066598;-0,007037486;-0,077538033;-0,160486565;-0,1182269;-0,119353225;-0,139927176;0,072983625;-0,1234496;-0,185701099;-0,039444609;0,03010638;0,314652629;-0,220142436;-0,154445569;-0,13726066;-0,062348568;0,038543728;0,014576828;-0,173560049;-0,177641978;-0,080703971;0,005076099;-0,2355146;-0,217597595;-0,139709451;-0,138721804;-0,077701838;-0,081934583;-0,1277076;0,025199821;-0,025604376;-0,025163605;-0,1219818;-0,183158216;0,057918337;0,032775844;-0,095479216;0,046870456;0,04904701;-0,122322661;0,029146391;0,165061606;-0,099064765;0,02168593;-0,195556836;-0,017073772;-0,133342182;0,251625455;-0,214057898;0,110047683;-0,158563264;-0,220018951;-0,308068558;-0,111696426;-0,368294846;-0,352996014;-0,374151832;0,028987009;-0,37451899;-0,335129725;0,136161185;-0,167114302;-0,119266113;-0,182289904;-0,076669392;-0,081553805;-0,086633906;-0,154594296;-0,104161898;-0,181779416;-0,185051121;-0,133365444;-0,08895851;-0,151411104;-0,302422657;-0,148809935;-0,049722615;-0,252654784;-0,025512813;-0,087715367;-0,1643525;-0,035117556;-0,094559101;-0,121953005;-0,080804854;-0,162304702;-0,139393798;-0,137171225;-0,126530214;-0,173781595;-0,245557603;-0,053354294;-0,142640963;-0,194776395;-0,072210295;-0,052683585;-0,200847003;-0,051621323;-0,078932983;-0,067460473;-0,145256703;-0,099400033;-0,046678469;-0,048646761;-0,063191809;-0,067270908;-0,0556107;-0,392667837;-0,222011015;-0,229056835;0,045434902;-0,28113111;-0,140046924;-0,00287181;-0,06167257;-0,247731302;-0,249220923;-0,113456731
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;0,5473;0,5682;0,5734;0,5715;0,6294;0,4216;0,509;0,5003;0,4955;0,5014;0,4799;0,4542;0,4507;0,484;0,4704;0,3478;0,347;0,3294;0,3387;0,3107;0,3129;0,3121;0,3013;0,3501;0,3187;0,3391;0,3709;0,3764;0,2856;0,2863;0,277;0,2699;0,2939;0,2486;0,2597;0,289;0,2634;0,2178;0,1946;0,191;0,1791;0,2161;0,2163;0,2292;0,3176;0,3261;0,2992;0,2985;0,3787;0,5167;0,5876;0,6009;0,6884;0,691;0,7898;0,7082;0,5763;0,7598;0,6202;0,6597;0,5006;0,6542;0,6149;0,6283;0,5802;0,5722;0,6318;0,6652;0,6051;0,6982;0,6997;0,6886;0,7048;0,5281;0,4285;0,4129;0,3687;0,4251;0,2927;0,1703;0,299;0,1713;0,3864;0,5617;0,5786;1,0527;1,2436;1,3895;1,3627;1,4137;1,4613;1,4584;1,502;1,5282;1,5229;1,6016;1,6534;1,6405;1,7435;1,7302;1,5757;1,5676;1,4897;1,4832;1,5189;1,477;1,4685;1,4914;1,5177;1,3678;1,3371;1,2794;1,3118;1,3011;1,2931;1,3137;1,3115;1,3147;1,3053;1,3175;1,1728;1,0064;0,994;0,9934;1,0771;1,0647;1,093;1,0857;1,1623;1,1663;1,1649;1,1887;1,2116;1,2615;1,2738;1,2908;1,1366;1,1659;1,0843;1,0805;1,0733;1,0705;1,0759;1,0315;1,1097;1,331;1,3642;1,4104;1,548;1,5813;1,5932;1,6182;1,5996;1,694;1,7219;1,7015
VO monthly avg;Basic Materials; 0.00 ; 8.18 ; 10.91 ; 5.95 ; 0.05 ; 1.50 ; 1.75 ; 2.21 ; 10.94 ; 0.00 ; 0.19 ; 599.90 ; 14.79 ; 0.00 ; 15.57 ; 28.30 ; 3.24 ; 37.66 ; 2.63 ; 30.86 ; 12.46 ; 11.37 ; 4.55 ; 46.80 ; 0.38 ; 58.75 ; 20.11 ; 5.88 ; 10.55 ; 5.55 ; 13.20 ; 0.00 ; 0.01 ; 8.22 ; 0.68 ; 6.22 ; 9.21 ; 92.10 ; 0.66 ; 2.46 ; 13.24 ; 657.37 ; 2.64 ; 66.00 ; 45.37 ; 0.36 ; 3.29 ; 2.33 ; 0.48 ; 59.56 ; 142.09 ; 1.62 ; 17.59 ; 6.07 ; 0.60 ; 10.82 ; 1.94 ; 1.33 ; 10.35 ; 32.32 ; 37.99 ; 12.80 ; 8.27 ; 19.71 ; 17.90 ; 132.98 ; 6.76 ; 12.82 ; 1.51 ; 17.56 ; 7.03 ; 2.24 ; 26.71 ; 28.63 ; 37.52 ; 0.14 ; 13.83 ; 11.57 ; 91.49 ; 11.29 ; 27.74 ; 4.38 ; 10.90 ; 26.78 ; 29.52 ; 8.83 ; 37.68 ; 18.25 ; 43.83 ; 14.97 ; 15.66 ; 23.23 ; 21.05 ; 74.75 ; 57.60 ; 46.89 ; 10.95 ; 3.29 ; 27.01 ; 7.99 ; 25.73 ; 8.02 ; 11.12 ; 11.61 ; 9.21 ; 17.44 ; 68.63 ; 34.78 ; 68.42 ; 87.43 ; 23.01 ; 8.04 ; 11.43 ; 33.22 ; 15.06 ; 30.99 ; 18.00 ; 12.31 ; 13.54 ; 14.13 ; 49.92 ; 32.77 ; 81.58 ; 31.50 ; 56.19 ; 21.30 ; 98.71 ; 73.69 ; 60.80 ; 134.34 ; 100.43 ; 56.16 ; 42.27 ; 51.10 ; 57.66 ; 63.72 ; 45.39 ; 389.86 ; 277.74 ; 72.07 ; 95.48 ; 82.55 ; 65.54 ; 69.82 ; 58.81 ; 72.58 ; 165.12 ; 94.15 ; 104.40 ; 93.12 ; 88.83 ; 71.30 ; 52.20 ; 69.98 ; 54.06 ; 57.38 ; 58.92 
Total assets;Basic Materials;1566266;1566266;1566266;1566266;1566266;1566266;1566266;2002639;2002639;2002639;2002639;2002639;2002639;2002639;2002639;2002639;2002639;2002639;2002639;2139944;2139944;2139944;2139944;2139944;2139944;2139944;2139944;2139944;2139944;2139944;2139944;2557678;2557678;2557678;2557678;2557678;2557678;2557678;2557678;2557678;2557678;2557678;2557678;3236852;3236852;3236852;3236852;3236852;3236852;3236852;3236852;3236852;3236852;3236852;3236852;3908968;3908968;3908968;3908968;3908968;3908968;3908968;3908968;3908968;3908968;3908968;3908968;5323461;5323461;5323461;5323461;5323461;5323461;5323461;5323461;5323461;5323461;5323461;5323461;10061438;10061438;10061438;10061438;10061438;10061438;10061438;10061438;10061438;10061438;10061438;10061438;11086939;11086939;11086939;11086939;11086939;11086939;11086939;11086939;11086939;11086939;11086939;11086939;12278427;12278427;12278427;12278427;12278427;12278427;12278427;12278427;12278427;12278427;12278427;12278427;14971021;14971021;14971021;14971021;14971021;14971021;14971021;14971021;14971021;14971021;14971021;14971021;17461507;17461507;17461507;17461507;17461507;17461507;17461507;17461507;17461507;17461507;17461507;17461507;20248747;20248747;20248747;20248747;20248747;20248747;20248747;20248747;20248747;20248747;20248747;20248747;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;1146082;1146082;1146082;1146082;1146082;1146082;1146082;1514406;1514406;1514406;1514406;1514406;1514406;1514406;1514406;1514406;1514406;1514406;1514406;1753027;1753027;1753027;1753027;1753027;1753027;1753027;1753027;1753027;1753027;1753027;1753027;2228091;2228091;2228091;2228091;2228091;2228091;2228091;2228091;2228091;2228091;2228091;2228091;3093944;3093944;3093944;3093944;3093944;3093944;3093944;3093944;3093944;3093944;3093944;3093944;3382587;3382587;3382587;3382587;3382587;3382587;3382587;3382587;3382587;3382587;3382587;3382587;4293036;4293036;4293036;4293036;4293036;4293036;4293036;4293036;4293036;4293036;4293036;4293036;9158937;9158937;9158937;9158937;9158937;9158937;9158937;9158937;9158937;9158937;9158937;9158937;8818655;8818655;8818655;8818655;8818655;8818655;8818655;8818655;8818655;8818655;8818655;8818655;7085669;7085669;7085669;7085669;7085669;7085669;7085669;7085669;7085669;7085669;7085669;7085669;10547806;10547806;10547806;10547806;10547806;10547806;10547806;10547806;10547806;10547806;10547806;10547806;12947766;12947766;12947766;12947766;12947766;12947766;12947766;12947766;12947766;12947766;12947766;12947766;13500864;13500864;13500864;13500864;13500864;13500864;13500864;13500864;13500864;13500864;13500864;13500864;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;810781;810781;810781;810781;810781;810781;810781;1325020;1325020;1325020;1325020;1325020;1325020;1325020;1325020;1325020;1325020;1325020;1325020;1382513;1382513;1382513;1382513;1382513;1382513;1382513;1382513;1382513;1382513;1382513;1382513;1549073;1549073;1549073;1549073;1549073;1549073;1549073;1549073;1549073;1549073;1549073;1549073;2092721;2092721;2092721;2092721;2092721;2092721;2092721;2092721;2092721;2092721;2092721;2092721;2475316;2475316;2475316;2475316;2475316;2475316;2475316;2475316;2475316;2475316;2475316;2475316;3230707;3230707;3230707;3230707;3230707;3230707;3230707;3230707;3230707;3230707;3230707;3230707;4110872;4110872;4110872;4110872;4110872;4110872;4110872;4110872;4110872;4110872;4110872;4110872;6603229;6603229;6603229;6603229;6603229;6603229;6603229;6603229;6603229;6603229;6603229;6603229;7867443;7867443;7867443;7867443;7867443;7867443;7867443;7867443;7867443;7867443;7867443;7867443;10765524;10765524;10765524;10765524;10765524;10765524;10765524;10765524;10765524;10765524;10765524;10765524;11200402;11200402;11200402;11200402;11200402;11200402;11200402;11200402;11200402;11200402;11200402;11200402;14022511;14022511;14022511;14022511;14022511;14022511;14022511;14022511;14022511;14022511;14022511;14022511;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;0,00%;0,03%;0,04%;0,02%;0,00%;0,01%;0,01%;0,01%;0,04%;0,00%;0,00%;2,14%;0,05%;0,00%;0,06%;0,10%;0,01%;0,13%;0,01%;0,11%;0,04%;0,04%;0,02%;0,17%;0,00%;0,21%;0,07%;0,02%;0,04%;0,02%;0,05%;0,00%;0,00%;0,03%;0,00%;0,02%;0,03%;0,33%;0,00%;0,01%;0,05%;2,35%;0,01%;0,24%;0,16%;0,00%;0,01%;0,01%;0,00%;0,21%;0,51%;0,01%;0,06%;0,02%;0,00%;0,04%;0,01%;0,00%;0,04%;0,12%;0,14%;0,05%;0,03%;0,07%;0,06%;0,47%;0,02%;0,05%;0,01%;0,06%;0,03%;0,01%;0,10%;0,10%;0,13%;0,00%;0,05%;0,04%;0,33%;0,04%;0,10%;0,02%;0,04%;0,10%;0,11%;0,03%;0,13%;0,07%;0,16%;0,05%;0,06%;0,08%;0,08%;0,27%;0,21%;0,17%;0,04%;0,01%;0,10%;0,03%;0,09%;0,03%;0,04%;0,04%;0,03%;0,06%;0,25%;0,13%;0,25%;0,32%;0,08%;0,03%;0,04%;0,12%;0,05%;0,11%;0,06%;0,01%;0,01%;0,01%;0,04%;0,02%;0,06%;0,02%;0,04%;0,02%;0,07%;0,05%;0,04%;0,10%;0,07%;0,04%;0,03%;0,04%;0,04%;0,05%;0,03%;0,28%;0,20%;0,05%;0,07%;0,06%;0,05%;0,05%;0,04%;0,05%;0,12%;0,07%;0,07%;0,07%;0,06%;0,05%;0,04%;0,05%;0,04%;0,04%;0,04%
Return monthly;Basic Materials;;-0,044106224;0,046141345;0,003526819;0;0,091186746;0,078160347;0;-0,025000445;0;0,030912042;-0,003750354;0,053945593;0;0,149998315;0,097308701;0,062243822;0,073352522;0,083328454;0,030774053;0;0,059700084;0,048123262;0,027030855;0,052629644;0,125;-0,022225327;0;0,002620004;-0,037059327;-0,043904806;0;-0,027162087;-0,112309583;-0,053095494;-0,166671926;0,145455463;-0,063492413;0;0,101695514;0,033845267;-0,044772265;0;-0,000313625;-0,015318376;0,198127925;0;-0,079995599;0,065213491;0,14285848;0,428571429;-0,096085736;-0,027776369;-0,00952766;0,067308832;0,162160328;0,131783728;-0,044592649;-0,057969378;0,038457129;0,111113899;-0,12;-0,106058895;-0,025426551;-0,028069204;0,035946762;0,043568817;0;0,150001121;0,098782224;0,099267495;0;-0,060605816;0,167738637;0,138121344;0,007283484;0,149998556;0,16082831;-0,018182561;0,125925291;0,266448606;-0,007622865;0,13157913;-0,074419736;0,105528028;0,022727918;0,422222255;-0,032019398;0,296597783;0,037499836;-0,036157051;-0,124989358;0,071429574;-0,181018246;-0,173553314;-0,200001032;0,212501209;-0,18556749;-0,139239225;0,330063785;0,020454798;0,069042687;0,000311196;0,103822208;0,101886895;0,096167094;0,028571204;0,080246302;0,004285684;-0,011379721;0,035971856;0,07634369;0,018182296;-0,132653357;0,014705365;0,112290485;-0,090530284;0,135713287;0,077268533;0;0,125118844;0,055444099;0,027568995;0,066179346;-0,011547402;0,011682302;0,014087775;0,020268886;-0,017856695;-0,093730703;0,098984406;0,011547137;-0,041095595;0,085714205;0,106315815;-0,042776603;0,097534477;0,066818717;0,067500427;-0,009735203;0,033817867;0,087713031;0,085834939;0,065642691;0,067890192;0,0922923;-0,241573237;-0,073055815;-0,059732835;0,220856802;-0,10235951;0,043749676;0,17365299;0,12099943;-0,059201602;-0,062926423;-0,113456731
