Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Telecommunications;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;278996;278996;278996;278996;278996;278996;278996;278996;278996;278996;278996;278996;1159958;1159958;1159958;1159958;1159958;1159958;1159958;1159958;1159958;1159958;1159958;1159958;1572258;1572258;1572258;1572258;1572258;1572258;1572258;1572258;1572258;1572258;1572258;1572258;1304285;1304285;1304285;1304285;1304285;1304285;1304285;1304285;1304285;1304285;1304285;1304285;1628258;1628258;1628258;1628258;1628258;1628258;1628258;1628258;1628258;1628258;1628258;1628258;1782711;1782711;1782711;1782711;1782711;1782711;1782711;1782711;1782711;1782711;1782711;1782711;2115678;2115678;2115678;2115678;2115678;2115678;2115678;2115678;2115678;2115678;2115678;2115678;2009363;2009363;2009363;2009363;2009363;2009363;2009363;2009363;2009363;2009363;2009363;2009363;2459162;2459162;2459162;2459162;2459162;2459162;2459162;2459162;2459162;2459162;2459162;2459162;NA;NA;NA;NA;NA;NA;NA
Excess return;Telecommunications;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,068051352;-0,209521162;-0,11045386;-0,165896732;-0,176234306;-0,108320364;-0,218637146;-0,255469471;-0,074387083;-0,241703074;-0,471315162;0,124585788;-0,173305153;-0,169501622;-0,187765503;-0,132600724;-0,224321737;-0,176760941;0,140255012;-0,028169272;-0,188587801;-0,054727553;-0,178063987;-0,15397213;-0,200518171;-0,175163655;-0,1736296;-0,123073861;-0,066354579;-0,09350368;-0,212840042;-0,19141008;-0,081269358;0,262396651;0,02899072;-0,168032697;-0,081347288;-0,223432733;-0,213052135;-0,062180618;-0,11607167;-0,244081001;-0,220102916;-0,114640242;-0,176037208;-0,069721318;-0,022461762;-0,115946631;-0,162121797;-0,047434798;-0,137955907;-0,046622046;-0,161587881;-0,255397275;-0,167714583;-0,231472974;0,064720221;-0,137952509;-0,086072452;-0,030944574;-0,052711197;-0,058626815;-0,208605175;-0,166480315;-0,153053593;-0,156192016;-0,07096502;-0,077604723;-0,061049138;-0,178478217;0,051244149;-0,216766511;-0,004670379
Risk premium;Telecommunications;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Telecommunications;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,0683;0,457;0,4886;0,4474;0,4821;0,5559;0,666;0,6789;0,6794;0,9262;1,0445;1,0268;1,021;0,9752;0,885;0,8617;0,7792;0,7408;0,7753;0,7619;0,7648;0,7384;0,7354;0,7231;0,7369;0,7765;0,7627;0,7758;0,7311;0,7438;0,647;0,6011;0,7699;0,4634;0,4927;0,4947;0,4804;0,5042;0,4908;0,4815;0,8716;0,909;0,8282;0,8594;0,8006;0,9425;0,9436;0,9728;0,9929;1,0692;1,0146;1,0133;1,1732;1,1316;1,473;1,517;1,1186;1,0359;1,0719;1,1502;1,1003;1,2145;1,2389;1,1824;0,9274;0,741;0,7353;0,7408;0,7287;0,7003;0,7725;0,6723
VO monthly avg;Telecommunications; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 3012.48 ; 730.40 ; 1186.72 ; 848.36 ; 926.32 ; 1356.18 ; 772.91 ; 483.46 ; 1055.45 ; 651.04 ; 642.46 ; 531.83 ; 461.53 ; 262.92 ; 240.50 ; 202.92 ; 351.48 ; 276.95 ; 1005.85 ; 520.04 ; 168.56 ; 590.69 ; 572.41 ; 691.27 ; 644.99 ; 286.18 ; 738.47 ; 455.54 ; 1311.59 ; 906.32 ; 648.52 ; 950.54 ; 368.26 ; 534.59 ; 4136.55 ; 1004.41 ; 1762.11 ; 2272.50 ; 690.83 ; 1706.55 ; 531.66 ; 1572.46 ; 692.15 ; 2045.47 ; 665.74 ; 1071.99 ; 1144.61 ; 734.10 ; 546.09 ; 557.22 ; 451.36 ; 874.96 ; 898.77 ; 591.94 ; 435.08 ; 669.72 ; 311.60 ; 550.48 ; 673.20 ; 403.36 ; 525.39 ; 394.98 ; 651.43 ; 1003.58 ; 519.17 ; 548.57 ; 571.05 ; 318.35 ; 242.96 ; 515.71 ; 716.39 ; 1632.21 ; 401.46 ; 448.32 
Total assets;Telecommunications;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;388992;388992;388992;388992;388992;388992;388992;388992;388992;388992;388992;388992;1369257;1369257;1369257;1369257;1369257;1369257;1369257;1369257;1369257;1369257;1369257;1369257;1913450;1913450;1913450;1913450;1913450;1913450;1913450;1913450;1913450;1913450;1913450;1913450;3222229;3222229;3222229;3222229;3222229;3222229;3222229;3222229;3222229;3222229;3222229;3222229;3872378;3872378;3872378;3872378;3872378;3872378;3872378;3872378;3872378;3872378;3872378;3872378;4438147;4438147;4438147;4438147;4438147;4438147;4438147;4438147;4438147;4438147;4438147;4438147;5071041;5071041;5071041;5071041;5071041;5071041;5071041;5071041;5071041;5071041;5071041;5071041;4923749;4923749;4923749;4923749;4923749;4923749;4923749;4923749;4923749;4923749;4923749;4923749;5702015;5702015;5702015;5702015;5702015;5702015;5702015;5702015;5702015;5702015;5702015;5702015;NA;NA;NA;NA;NA;NA;NA
Net sales;Telecommunications;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3432654;3432654;3432654;3432654;3432654;3432654;3432654;3432654;3432654;3432654;3432654;3432654;5454932;5454932;5454932;5454932;5454932;5454932;5454932;5454932;5454932;5454932;5454932;5454932;8868335;8868335;8868335;8868335;8868335;8868335;8868335;8868335;8868335;8868335;8868335;8868335;12545471;12545471;12545471;12545471;12545471;12545471;12545471;12545471;12545471;12545471;12545471;12545471;15281449;15281449;15281449;15281449;15281449;15281449;15281449;15281449;15281449;15281449;15281449;15281449;17027696;17027696;17027696;17027696;17027696;17027696;17027696;17027696;17027696;17027696;17027696;17027696;18064572;18064572;18064572;18064572;18064572;18064572;18064572;18064572;18064572;18064572;18064572;18064572;18715390;18715390;18715390;18715390;18715390;18715390;18715390;18715390;18715390;18715390;18715390;18715390;18984210;18984210;18984210;18984210;18984210;18984210;18984210;18984210;18984210;18984210;18984210;18984210;NA;NA;NA;NA;NA;NA;NA
common equity;Telecommunications;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;98620;98620;98620;98620;98620;98620;98620;98620;98620;98620;98620;98620;176171;176171;176171;176171;176171;176171;176171;176171;176171;176171;176171;176171;301720;301720;301720;301720;301720;301720;301720;301720;301720;301720;301720;301720;1909571;1909571;1909571;1909571;1909571;1909571;1909571;1909571;1909571;1909571;1909571;1909571;2253372;2253372;2253372;2253372;2253372;2253372;2253372;2253372;2253372;2253372;2253372;2253372;2593511;2593511;2593511;2593511;2593511;2593511;2593511;2593511;2593511;2593511;2593511;2593511;2941129;2941129;2941129;2941129;2941129;2941129;2941129;2941129;2941129;2941129;2941129;2941129;2923664;2923664;2923664;2923664;2923664;2923664;2923664;2923664;2923664;2923664;2923664;2923664;3258571;3258571;3258571;3258571;3258571;3258571;3258571;3258571;3258571;3258571;3258571;3258571;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Telecommunications;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,39%;0,10%;0,15%;0,11%;0,12%;0,18%;0,10%;0,06%;0,14%;0,08%;0,08%;0,07%;0,06%;0,03%;0,03%;0,03%;0,05%;0,04%;0,13%;0,07%;0,02%;0,08%;0,07%;0,09%;0,08%;0,04%;0,10%;0,06%;0,17%;0,12%;0,08%;0,12%;0,05%;0,07%;0,54%;0,13%;0,23%;0,30%;0,09%;0,22%;0,07%;0,21%;0,09%;0,27%;0,09%;0,14%;0,15%;0,10%;0,07%;0,08%;0,07%;0,13%;0,13%;0,09%;0,06%;0,10%;0,05%;0,08%;0,10%;0,06%;0,08%;0,06%;0,10%;0,15%;0,08%;0,08%;0,08%;0,05%;0,04%;0,08%;0,11%;0,24%;0,06%;0,07%
Return monthly;Telecommunications;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,068051352;-0,090980162;0,01257794;-0,043210532;-0,045162006;0,033701336;-0,084879146;-0,121498771;0,056915117;-0,092352474;-0,322011662;0,262524188;-0,029632153;-0,022464022;-0,045960503;0,006586376;-0,086932137;-0,040540541;0,277848912;0,106880428;-0,052655401;0,081541647;-0,041083787;-0,01796683;-0,063643471;-0,038744155;-0,0404795;0,010501539;0,066654721;0,04115572;-0,090029042;-0,07429078;0,046734342;0,369990851;0,14278082;-0,055516597;0,035267912;-0,105068133;-0,095231735;0,052553882;0,02173913;-0,102814001;-0,085526316;0,017901958;-0,042899408;0,068006182;0,115935038;0,024639769;-0,022219097;0,098374802;0,004713893;0,093965854;-0,010126281;-0,111806475;-0,008265583;-0,068451974;0,200792021;-0,005740809;0,048157248;0,105368026;0,081857703;0,081936685;-0,065404475;-0,031889115;-0,022827393;-0,033709016;0,05375888;0,050915677;0,060608962;-0,058409317;0,179961649;-0,095311611;-0,004670379
