Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Technology;554554;554554;554554;800415;800415;800415;800415;800415;800415;800415;800415;800415;800415;800415;800415;878647;878647;878647;878647;878647;878647;878647;878647;878647;878647;878647;878647;782504;782504;782504;782504;782504;782504;782504;782504;782504;782504;782504;782504;963500;963500;963500;963500;963500;963500;963500;963500;963500;963500;963500;963500;1011000;1011000;1011000;1011000;1011000;1011000;1011000;1011000;1011000;1011000;1011000;1011000;1153000;1153000;1153000;1153000;1153000;1153000;1153000;1153000;1153000;1153000;1153000;1153000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Technology;;-0,202056819;-0,210343001;-0,480001429;-0,1683276;-0,127905516;0,071049349;-0,294172812;-0,170613539;-0,089223689;-0,147006;-0,169137725;0,076922488;-0,124329771;-0,326312273;-0,357517783;0,145724969;-0,06746593;-0,200761419;-0,2075427;-0,200259084;-0,1778108;-0,006505859;-0,087463532;-0,178325783;-0,213487518;-0,159544871;-0,202328703;0,161041524;-0,195536249;-0,145164836;-0,1183533;-0,162302917;-0,040533077;0,036929158;-0,072882897;-0,043184394;-0,05784075;-0,089670799;-0,142620313;-0,014747094;-0,174827865;-0,099502802;-0,149426333;-0,1278092;0,008293837;-0,1324586;0,036382219;-0,031970875;-0,104210831;-0,151441562;-0,136445419;-0,020327659;-0,10763555;-0,035603005;0,07471207;-0,128768204;-0,067256086;-0,170450604;-0,145087692;0,051146961;-0,081437366;-0,046470836;-0,023789629;-0,094011512;-0,175784461;-0,253321626;-0,100806852;0,04328277;-0,085045743;-0,212067245;-0,081774508;-0,09368364;-0,033834306;-0,125415974;-0,096414101;-0,12099482;-0,05794817;-0,108788938;-0,128769832;-0,032229254;-0,271825656;0,1559498;-0,228265728;-0,101516333;-0,08487987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Technology;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Technology;0,4813;0,3708;0,5477;0,5662;0,5052;0,5644;0,6374;0,6435;0,4926;0,6815;0,662;0,8371;0,8429;0,7794;0,7654;0,5877;0,5866;0,6201;0,6251;0,5229;0,5909;0,5716;0,5853;0,7133;0,7268;0,7239;0,6116;0,5754;0,4133;0,3758;0,3704;0,3691;0,3969;0,4774;0,5214;0,3605;0,3812;0,4553;0,4862;0,4626;0,454;0,3295;0,3221;0,3185;0,3684;0,3971;0,4422;0,4418;0,3787;0,3029;0,1809;0,2801;0,4027;0,4052;0,5296;0,6228;0,6;0,5562;0,5474;0,6455;0,6088;0,5448;0,5668;0,6465;0,6784;0,6976;0,7153;0,7569;0,7241;0,622;0,6215;0,6344;0,6195;0,6656;0,6351;0,9923;0,9801;0,9513;0,8234;0,7758;0,7197;0,7919;0,9145;0,7791;0,7299;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Technology; 95.50 ; 31.68 ; 39.87 ; 63.54 ; 23.14 ; 46.29 ; 38.97 ; 48.42 ; 37.94 ; 32.59 ; 31.06 ; 23.63 ; 15.40 ; 19.23 ; 27.22 ; 25.54 ; 14.25 ; 25.60 ; 65.09 ; 42.34 ; 12.03 ; 24.60 ; 47.65 ; 39.23 ; 13.83 ; 17.55 ; 58.65 ; 6.19 ; 16.41 ; 71.46 ; 18.89 ; 129.50 ; 28.87 ; 38.01 ; 74.82 ; 25.92 ; 21.49 ; 44.60 ; 34.77 ; 25.84 ; 49.78 ; 60.42 ; 20.61 ; 77.99 ; 73.12 ; 219.74 ; 157.10 ; 39.86 ; 147.32 ; 132.78 ; 68.51 ; 56.32 ; 122.21 ; 151.34 ; 292.20 ; 547.64 ; 145.46 ; 262.46 ; 155.67 ; 115.90 ; 183.13 ; 566.95 ; 43.72 ; 158.10 ; 56.41 ; 174.79 ; 105.49 ; 133.15 ; 128.71 ; 93.90 ; 163.54 ; 171.48 ; 127.35 ; 430.23 ; 148.76 ; 112.43 ; 58.69 ; 276.35 ; 177.41 ; 36.22 ; 93.89 ; 79.93 ; 196.56 ; 146.49 ; 89.18 ; 9.68 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Technology;1081389;1081389;1081389;1387187;1387187;1387187;1387187;1387187;1387187;1387187;1387187;1387187;1387187;1387187;1387187;1531961;1531961;1531961;1531961;1531961;1531961;1531961;1531961;1531961;1531961;1531961;1531961;1249358;1249358;1249358;1249358;1249358;1249358;1249358;1249358;1249358;1249358;1249358;1249358;1369200;1369200;1369200;1369200;1369200;1369200;1369200;1369200;1369200;1369200;1369200;1369200;1615000;1615000;1615000;1615000;1615000;1615000;1615000;1615000;1615000;1615000;1615000;1615000;1860000;1860000;1860000;1860000;1860000;1860000;1860000;1860000;1860000;1860000;1860000;1860000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Technology;763271;763271;763271;2341498;2341498;2341498;2341498;2341498;2341498;2341498;2341498;2341498;2341498;2341498;2341498;3035106;3035106;3035106;3035106;3035106;3035106;3035106;3035106;3035106;3035106;3035106;3035106;2607347;2607347;2607347;2607347;2607347;2607347;2607347;2607347;2607347;2607347;2607347;2607347;2905900;2905900;2905900;2905900;2905900;2905900;2905900;2905900;2905900;2905900;2905900;2905900;3470000;3470000;3470000;3470000;3470000;3470000;3470000;3470000;3470000;3470000;3470000;3470000;4088000;4088000;4088000;4088000;4088000;4088000;4088000;4088000;4088000;4088000;4088000;4088000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Technology;452430;452430;452430;498794;498794;498794;498794;498794;498794;498794;498794;498794;498794;498794;498794;527588;527588;527588;527588;527588;527588;527588;527588;527588;527588;527588;527588;465025;465025;465025;465025;465025;465025;465025;465025;465025;465025;465025;465025;395500;395500;395500;395500;395500;395500;395500;395500;395500;395500;395500;395500;586000;586000;586000;586000;586000;586000;586000;586000;586000;586000;586000;586000;689000;689000;689000;689000;689000;689000;689000;689000;689000;689000;689000;689000;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Technology;0,00%;0,00%;0,00%;0,04%;0,02%;0,03%;0,03%;0,03%;0,03%;0,02%;0,02%;0,02%;0,01%;0,01%;0,02%;0,02%;0,01%;0,02%;0,04%;0,03%;0,01%;0,02%;0,03%;0,03%;0,01%;0,01%;0,04%;0,00%;0,01%;0,05%;0,01%;0,09%;0,02%;0,02%;0,05%;0,02%;0,01%;0,03%;0,02%;0,02%;0,03%;0,04%;0,01%;0,05%;0,05%;0,14%;0,10%;0,03%;0,09%;0,08%;0,04%;0,03%;0,08%;0,09%;0,18%;0,34%;0,09%;0,16%;0,09%;0,07%;0,11%;0,34%;0,03%;0,10%;0,03%;0,11%;0,06%;0,08%;0,08%;0,06%;0,10%;0,10%;0,08%;0,26%;0,09%;0,07%;0,03%;0,16%;0,10%;0,02%;0,06%;0,05%;0,12%;0,09%;0,05%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Technology;;-0,055096419;-0,059037901;-0,322230829;-0,016;0,025551684;0,219705549;-0,147632312;-0,032679739;0,060810811;0;-0,013800425;0,245425188;0,046672429;-0,153592073;-0,188292683;0,300480769;0,08780037;-0,044180119;-0,064;-0,050332384;-0,03;0,142268041;0,062274368;-0,028037383;-0,068181818;-0,022514071;-0,067178503;0,284979424;-0,076060849;-0,027729636;0;-0,040998217;0,083643123;0,160377358;0,042128603;0,071631206;0,06684315;0,035359801;-0,016776513;0,113954906;-0,051969365;0,025389498;-0,024760833;0;0,137911137;0;0,151115619;0,072687225;-0,004928131;-0,063144862;-0,032599119;0,088342441;0,00209205;0,077661795;0,19294847;-0,010068204;0,048884514;-0,055364404;-0,026821192;0,164001361;0,027185034;0,062037564;0,091639871;0,022827688;-0,054235661;-0,122557726;0,032677848;0,17558107;0,034540257;-0,092562745;0,036792692;0,02349486;0,084648494;-0,007054674;0,042850799;0,02065148;0,08698373;0,028785262;0,006155568;0,095661846;-0,141285956;0,2991133;-0,093432428;0,030617367;0,00487013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
