Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;380;380;380;380;380;380;380;301;301;301;301;301;301;301;301;301;301;301;301;221;221;221;221;221;221;221;221;221;221;221;221;313;313;313;313;313;313;313;313;313;313;313;313;342;342;342;342;342;342;342;342;342;342;342;342;445;445;445;445;445;445;445;445;445;445;445;445;562;562;562;562;562;562;562;562;562;562;562;562;594;594;594;594;594;594;594;594;594;594;594;594;934;934;934;934;934;934;934;934;934;934;934;934;1218;1218;1218;1218;1218;1218;1218;1218;1218;1218;1218;1218;670;670;670;670;670;670;670;670;670;670;670;670;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;-0,033329339;0,083743581;-0,085540613;0,010095776;-0,02000743;0,035723311;0,024626593;0,105766287;0,018690007;0,165924226;0,153851135;-0,003333707;0,003344858;0,066662925;0,036999232;0,006210361;0,061730387;-0,058141302;0,018526176;-0,030308731;0,02969377;0,12499876;0,016659909;0,038253451;0;-0,13157631;-0,028790676;-0,032258065;-0,133333333;0,076923077;0,071428571;0,133333333;0,028698588;0,023527657;-0,02298683;0,058823529;0,111111111;0,02499627;-0,043388084;0,000524918;0,018408127;-0,03150688;0,034667242;0,23711778;-0,017598063;0,070745897;0,221448651;-0,048411668;0,122807363;0,015622532;-0,023218042;0,032256353;-0,003123126;0,065829791;0,147059179;-0,025643189;0,050348863;-0,014099649;-0,011705808;-0,005263028;0,17777762;0,044474199;-0,06714468;0,09411623;0,005376799;-0,0374335;-0,00222241;0,046771643;0,029315015;-0,005292886;0,063830774;0,060998152;0,13100997;0,016832844;0,019354893;0,032617836;0,079365016;-0,003676375;0,077639106;0,06423627;0,06870523;0,006134737;-0,036585494;0,037974822;-0,17683014;0,066815992;-0,008737726;0,054429073;0,032379622;-0,146980339;-0,078461713;0,021701266;0,001382401;-0,043462805;-0,017543679;0,089284776;0,131148205;-0,094202787;0,035763782;0,042097149;-0,06707233;0,111111319;0,080881672;0,06122557;-0,028563464;-0,1393301;-0,103973386;-0,141666851;-0,088861163;-0,05220787;-0,091883742;-0,089069391;-0,175006763;-0,101856901;-0,037245312;-0,151473796;-0,022461385;-0,070896396;-0,156910439;-0,116211665;-0,1279406;-0,118082301;-0,169853255;-0,100080014;-0,084758279;-0,153214459;-0,138727203;-0,149299183;-0,12240674;-0,095425361;-0,132558385;-0,081424886;-0,124666485;0,008424683;-0,034793141;-0,109241068;-0,090090519;-0,102094765;-0,060298331;-0,005692128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,9134;0,7727;0,7509;0,3067;0,2445;0,1965;0,1623;0,4248;0,3796;0,5525;0,578;0,6545;0,6713;0,6869;0,6661;0,6567;0,6562;0,6774;0,6793;0,6575;0,6695;0,6731;0,6791;0,6792;0,664;0,6624;0,6518;0,6565;0,7298;0,6949;0,6946;0,6209;0,6334;0,5626;0,5733;;;;;;;;;;;;;;;;
VO monthly avg;Consumer Goods; 0.00 ; 1.46 ; 2.31 ; 13.59 ; 8.15 ; 5.09 ; 3.46 ; 5.17 ; 11.07 ; 3.11 ; 17.24 ; 0.97 ; 6.24 ; 26.85 ; 22.17 ; 4.87 ; 30.06 ; 5.64 ; 7.56 ; 23.63 ; 9.48 ; 4.54 ; 3.01 ; 16.36 ; 3.98 ; 6.76 ; 16.94 ; 2.66 ; 2.26 ; 2.48 ; 20.99 ; 45.74 ; 7.79 ; 6.29 ; 2.07 ; 1.78 ; 4.22 ; 6.19 ; 1.72 ; 9.09 ; 10.49 ; 2.83 ; 5.26 ; 5.65 ; 4.20 ; 2.95 ; 9.49 ; 4.38 ; 12.45 ; 139.59 ; 2.53 ; 6.09 ; 12.22 ; 5.90 ; 6.78 ; 11.57 ; 7.82 ; 10.42 ; 16.77 ; 4.00 ; 17.20 ; 5.94 ; 7.75 ; 12.07 ; 11.86 ; 23.15 ; 14.60 ; 29.28 ; 3.34 ; 29.33 ; 4.66 ; 14.45 ; 3.04 ; 9.31 ; 15.03 ; 60.06 ; 20.62 ; 47.16 ; 21.79 ; 4.57 ; 4.57 ; 24.23 ; 13.05 ; 8.44 ; 3.54 ; 3.21 ; 5.84 ; 7.69 ; 3.84 ; 3.56 ; 33.88 ; 8.28 ; 7.95 ; 85.81 ; 2.40 ; 17.30 ; 9.10 ; 5.12 ; 21.11 ; 9.42 ; 194.25 ; 29.89 ; 30.82 ; 6.72 ; 11.97 ; 2.87 ; 14.45 ; 82.60 ; 1.95 ; 5.83 ; 7.78 ; 5.50 ; 1.52 ; 49.17 ; 2.03 ; 6.34 ; 3.66 ; 44.22 ; 8.70 ; 1.56 ; 8.64 ; 5.00 ; 12.56 ; 12.71 ; 9.42 ; 8.57 ; 10.04 ; 2.91 ; 10.08 ; 4.80 ; 7.23 ; 6.66 ; 1.65 ; 4.21 ; 1.65 ; 1.76 ; 3.44 ; 2.16 ; 1.61 ; 5.38 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Consumer Goods;615574;615574;615574;615574;615574;615574;615574;638119;638119;638119;638119;638119;638119;638119;638119;638119;638119;638119;638119;694533;694533;694533;694533;694533;694533;694533;694533;694533;694533;694533;694533;768176;768176;768176;768176;768176;768176;768176;768176;768176;768176;768176;768176;849098;849098;849098;849098;849098;849098;849098;849098;849098;849098;849098;849098;966616;966616;966616;966616;966616;966616;966616;966616;966616;966616;966616;966616;1157952;1157952;1157952;1157952;1157952;1157952;1157952;1157952;1157952;1157952;1157952;1157952;1303048;1303048;1303048;1303048;1303048;1303048;1303048;1303048;1303048;1303048;1303048;1303048;1412629;1412629;1412629;1412629;1412629;1412629;1412629;1412629;1412629;1412629;1412629;1412629;1525472;1525472;1525472;1525472;1525472;1525472;1525472;1525472;1525472;1525472;1525472;1525472;1652066;1652066;1652066;1652066;1652066;1652066;1652066;1652066;1652066;1652066;1652066;1652066;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;30;30;30;30;30;30;30;15;15;15;15;15;15;15;15;15;15;15;15;30;30;30;30;30;30;30;30;30;30;30;30;20;20;20;20;20;20;20;20;20;20;20;20;113;113;113;113;113;113;113;113;113;113;113;113;124;124;124;124;124;124;124;124;124;124;124;124;165;165;165;165;165;165;165;165;165;165;165;165;68;68;68;68;68;68;68;68;68;68;68;68;288;288;288;288;288;288;288;288;288;288;288;288;270;270;270;270;270;270;270;270;270;270;270;270;192;192;192;192;192;192;192;192;192;192;192;192;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;615194;615194;615194;615194;615194;615194;615194;637818;637818;637818;637818;637818;637818;637818;637818;637818;637818;637818;637818;694312;694312;694312;694312;694312;694312;694312;694312;694312;694312;694312;694312;767863;767863;767863;767863;767863;767863;767863;767863;767863;767863;767863;767863;848756;848756;848756;848756;848756;848756;848756;848756;848756;848756;848756;848756;966171;966171;966171;966171;966171;966171;966171;966171;966171;966171;966171;966171;1157390;1157390;1157390;1157390;1157390;1157390;1157390;1157390;1157390;1157390;1157390;1157390;1302454;1302454;1302454;1302454;1302454;1302454;1302454;1302454;1302454;1302454;1302454;1302454;1411695;1411695;1411695;1411695;1411695;1411695;1411695;1411695;1411695;1411695;1411695;1411695;1524254;1524254;1524254;1524254;1524254;1524254;1524254;1524254;1524254;1524254;1524254;1524254;1651396;1651396;1651396;1651396;1651396;1651396;1651396;1651396;1651396;1651396;1651396;1651396;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,00%;0,00%;0,01%;0,03%;0,02%;0,01%;0,01%;0,01%;0,03%;0,01%;0,04%;0,00%;0,01%;0,06%;0,05%;0,01%;0,07%;0,01%;0,02%;0,06%;0,02%;0,01%;0,01%;0,04%;0,01%;0,02%;0,04%;0,01%;0,01%;0,01%;0,05%;0,11%;0,02%;0,01%;0,00%;0,00%;0,01%;0,01%;0,00%;0,02%;0,02%;0,01%;0,01%;0,01%;0,01%;0,01%;0,02%;0,01%;0,03%;0,33%;0,01%;0,01%;0,03%;0,01%;0,02%;0,03%;0,02%;0,02%;0,04%;0,01%;0,04%;0,01%;0,02%;0,03%;0,03%;0,06%;0,03%;0,07%;0,01%;0,07%;0,01%;0,03%;0,01%;0,02%;0,04%;0,14%;0,05%;0,11%;0,05%;0,01%;0,01%;0,06%;0,03%;0,02%;0,01%;0,01%;0,01%;0,02%;0,01%;0,01%;0,08%;0,02%;0,02%;0,20%;0,01%;0,04%;0,02%;0,01%;0,05%;0,02%;0,46%;0,07%;0,07%;0,02%;0,03%;0,01%;0,03%;0,20%;0,00%;0,01%;0,02%;0,01%;0,00%;0,12%;0,00%;0,02%;0,01%;0,11%;0,02%;0,00%;0,02%;0,01%;0,03%;0,03%;0,02%;0,02%;0,02%;0,01%;0,02%;0,01%;0,02%;0,02%;0,00%;0,01%;0,00%;0,00%;0,01%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Consumer Goods;;-0,033329339;0,083743581;-0,085540613;0,010095776;-0,02000743;0,035723311;0,024626593;0,105766287;0,018690007;0,165924226;0,153851135;-0,003333707;0,003344858;0,066662925;0,036999232;0,006210361;0,061730387;-0,058141302;0,018526176;-0,030308731;0,02969377;0,12499876;0,016659909;0,038253451;0;-0,13157631;-0,028790676;-0,032258065;-0,133333333;0,076923077;0,071428571;0,133333333;0,028698588;0,023527657;-0,02298683;0,058823529;0,111111111;0,02499627;-0,043388084;0,000524918;0,018408127;-0,03150688;0,034667242;0,23711778;-0,017598063;0,070745897;0,221448651;-0,048411668;0,122807363;0,015622532;-0,023218042;0,032256353;-0,003123126;0,065829791;0,147059179;-0,025643189;0,050348863;-0,014099649;-0,011705808;-0,005263028;0,17777762;0,044474199;-0,06714468;0,09411623;0,005376799;-0,0374335;-0,00222241;0,046771643;0,029315015;-0,005292886;0,063830774;0,060998152;0,13100997;0,016832844;0,019354893;0,032617836;0,079365016;-0,003676375;0,077639106;0,06423627;0,06870523;0,006134737;-0,036585494;0,037974822;-0,17683014;0,066815992;-0,008737726;0,054429073;0,032379622;-0,146980339;-0,078461713;0,021701266;0,001382401;-0,043462805;-0,017543679;0,089284776;0,131148205;-0,094202787;0,035763782;0,042097149;-0,06707233;0,111111319;0,080881672;0,06122557;-0,028563464;0;0,033783314;-0,031894751;0,014042337;0,04527163;0,003041158;0,024643009;-0,063291963;0,015000599;0,078418688;-0,030740296;0,098230515;0,055128304;-0,033596139;0,011510435;0;0,011493899;-0,042657355;0,024242486;0,041420221;-0,028409159;-0,017543903;-0,023809583;-0,00222474;0,025255839;-0,012194985;0,037284614;-0,000239085;0,130953383;0,085716659;0,007425632;0,022113681;-9,64998E-07;0,043269569;0,059907872;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
