Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;63190;63190;63190;63190;63190;63190;63190;63190;63190;63190;63190;63190;93188;93188;93188;93188;93188;93188;93188;93188;93188;93188;93188;93188;137525;137525;137525;137525;137525;137525;137525;137525;137525;137525;137525;137525;178277;178277;178277;178277;178277;178277;178277;178277;178277;178277;178277;178277;171607;171607;171607;171607;171607;171607;171607;171607;171607;171607;171607;171607;185827;185827;185827;185827;185827;185827;185827;185827;185827;185827;185827;185827;335153;335153;335153;335153;335153;335153;335153;335153;335153;335153;335153;335153
Excess return;Basic Materials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,043650225;-0,12422781;-0,208978124;-0,185111089;-0,083137707;-0,062018987;-0,3874572;-0,284374658;-0,479519086;-0,31367678;-0,594222011;0,3572307;-0,021293875;0,044996345;0,186485433;-0,3727925;-0,588397067;0,1471758;-0,5568446;0,279477005;-0,352984564;-0,239421506;-0,1080837;-0,18897158;-0,016828208;-0,2952052;-0,337685669;0,379499732;-0,693860817;-0,504756704;-0,220023742;0,111881584;0,040795401;-0,280788723;-0,133696776;0,017464245;0,374610805;-0,301506615;-0,315386913;-0,274755162;-0,262087139;-0,321108156;0,524377376;-0,488960789;-0,780503576;0,600144578;-0,251965033;2,079603607;-0,373624162;0,017915367;-0,238553655;-0,157762067;-0,144821785;-0,166581454;-0,182927833;0,432215582;-0,434759325;0,009944976;-0,0825736;-0,198393033;-0,1212288;-0,203993194;-0,1259665;-0,332401352;-0,290706533;-0,650454778;-0,066993605;-0,496276126;2,3126683;-0,266725427;-0,466122533;-0,341463415
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-2,7594;0,16;0,2837;0,2352;0,2818;0,1869;0,6219;0,6065;0,9706;0,9823;0,8111;1,0528;1,012;0,7746;1,0561;0,9833;0,5475;0,5108;0,2234;0,3142;0,3074;0,2784;0,285;0,2799;0,2972;0,2547;0,1604;0,1476;0,3338;0,3563;0,2064;-0,2298;-0,1206;-0,4424;-0,4429;-0,3703;-0,3483;-0,8858;-0,806;-0,8212;-0,1988;-0,0857;0,0437;0,0026;0,478;1,5748;1,5664;0,4259;0,2187;0,5339;0,6151;0,6752;0,1158;-0,0973;0,2312;0,3515;0,2681;0,4445;0,4174;0,2972;0,6319;0,9076;0,8033;1,0455;0,5523;1,0964;1,3373;1,2759;1,8441;0,7759;0,9429;3,8284
VO monthly avg;Basic Materials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.14 ; 0.14 ; 3.35 ; 0.14 ; 0.08 ; 0.08 ; 0.10 ; 0.10 ; 0.08 ; 0.02 ; 0.14 ; 0.08 ; 0.12 ; 0.09 ; 0.00 ; 0.08 ; 0.02 ; 0.02 ; 0.27 ; 0.11 ; 0.25 ; 0.31 ; 0.37 ; 0.13 ; 0.17 ; 0.04 ; 0.20 ; 0.09 ; 0.08 ; 0.04 ; 0.31 ; 0.30 ; 0.81 ; 0.50 ; 2.15 ; 1.42 ; 2.31 ; 1.96 ; 5.22 ; 7.61 ; 6.39 ; 6.01 ; 19.26 ; 2.08 ; 2.58 ; 9.74 ; 9.70 ; 6.78 ; 8.90 ; 28.02 ; 13.61 ; 8.81 ; 5.09 ; 3.22 ; 14.51 ; 8.42 ; 2.52 ; 4.32 ; 3.04 ; 2.17 ; 2.30 ; 1.05 ; 1.84 ; 9.63 ; 6.53 ; 4.95 ; 7.11 ; 2.28 ; 5.14 ; 2.65 ; 12.20 ; 2.22 ; 1.35 ; 2.03 
Total assets;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1109650;1109650;1109650;1109650;1109650;1109650;1109650;1109650;1109650;1109650;1109650;1109650;911603;911603;911603;911603;911603;911603;911603;911603;911603;911603;911603;911603;557562;557562;557562;557562;557562;557562;557562;557562;557562;557562;557562;557562;370775;370775;370775;370775;370775;370775;370775;370775;370775;370775;370775;370775;266404;266404;266404;266404;266404;266404;266404;266404;266404;266404;266404;266404;244973;244973;244973;244973;244973;244973;244973;244973;244973;244973;244973;244973;245576;245576;245576;245576;245576;245576;245576;245576;245576;245576;245576;245576
Net sales;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84870;84870;84870;84870;84870;84870;84870;84870;84870;84870;84870;84870;169368;169368;169368;169368;169368;169368;169368;169368;169368;169368;169368;169368;0;0;0;0;0;0;0;0;0;0;0;0;142245;142245;142245;142245;142245;142245;142245;142245;142245;142245;142245;142245
common equity;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1046461;1046461;1046461;1046461;1046461;1046461;1046461;1046461;1046461;1046461;1046461;1046461;818415;818415;818415;818415;818415;818415;818415;818415;818415;818415;818415;818415;420037;420037;420037;420037;420037;420037;420037;420037;420037;420037;420037;420037;192498;192498;192498;192498;192498;192498;192498;192498;192498;192498;192498;192498;94797;94797;94797;94797;94797;94797;94797;94797;94797;94797;94797;94797;59146;59146;59146;59146;59146;59146;59146;59146;59146;59146;59146;59146;-89577;-89577;-89577;-89577;-89577;-89577;-89577;-89577;-89577;-89577;-89577;-89577
Turnover ratio;Basic Materials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,01%;0,04%;0,01%;0,00%;0,00%
Return monthly;Basic Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0,056179775;-0,01410471;-0,099660524;-0,066657689;0,035636993;0,068960713;-0,2580477;-0,134726858;-0,326634186;-0,17907748;-0,454645611;0,5003367;0,113105925;0,197580645;0,333333333;-0,25;-0,466666667;0,25;-0,45;0,386593205;-0,245695364;-0,130816506;0;-0,07979798;0,086717892;-0,2;-0,243686869;0,487479132;-0,583613917;-0,409703504;-0,155251142;0,183783784;0,091324201;-0,225941423;-0,075675676;0,081871345;0,405405405;-0,265384615;-0,282722513;-0,204379562;-0,183486239;-0,235955056;0,602941176;-0,376146789;-0,602941176;0,777777778;-0,145833333;2,170731707;-0,261538462;0,135416667;-0,119266055;-0,072916667;-0,078651685;-0,085365854;-0,093333333;0,514705882;-0,339805825;0,102941176;0;-0,093333333;0;-0,088235294;0;-0,225806452;-0,145833333;-0,487804878;0,095238095;-0,304347826;2,4375;-0,127272727;-0,145833333;-0,341463415
