Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;288298;288298;288298;348301;348301;348301;348301;348301;348301;348301;348301;348301;348301;348301;348301;494451;494451;494451;494451;494451;494451;494451;494451;494451;494451;494451;494451;577396;577396;577396;577396;577396;577396;577396;577396;577396;577396;577396;577396;767929;767929;767929;767929;767929;767929;767929;767929;767929;767929;767929;767929;1260784;1260784;1260784;1260784;1260784;1260784;1260784;1260784;1260784;1260784;1260784;1260784;1888563;1888563;1888563;1888563;1888563;1888563;1888563;1888563;1888563;1888563;1888563;1888563;1726612;1726612;1726612;1726612;1726612;1726612;1726612;1726612;1726612;1726612;1726612;1726612;1473280;1473280;1473280;1473280;1473280;1473280;1473280;1473280;1473280;1473280;1473280;1473280;1455325;1455325;1455325;1455325;1455325;1455325;1455325;1455325;1455325;1455325;1455325;1455325;1535465;1535465;1535465;1535465;1535465;1535465;1535465;1535465;1535465;1535465;1535465;1535465;1766933;1766933;1766933;1766933;1766933;1766933;1766933;1766933;1766933;1766933;1766933;1766933;1897452;1897452;1897452;1897452;1897452;1897452;1897452;1897452;1897452;1897452;1897452;1897452;1961741;1961741;1961741;1961741;1961741;1961741;1961741;1961741;1961741;1961741
Excess return;Consumer Goods;;-0,172338801;-0,089875171;-0,13702559;0,08311211;0,002828971;-0,150240961;-0,069289151;-0,020142173;-0,181055178;-0,240392081;-0,1388124;-0,189702013;-0,201038853;-0,29029057;-0,109847299;0,023579943;-0,213229723;-0,096345535;-0,1369151;-0,139286;-0,161269142;-0,116384377;-0,248615389;-0,100084763;-0,117902031;-0,18373609;-0,133252914;0,04605475;-0,131335291;-0,03605821;-0,071548597;0,030547996;-0,035591182;-0,019348176;-0,140389952;-0,099588167;-0,024280098;-0,138700392;-0,175021018;0,160489441;-0,134318165;-0,065116813;-0,100429462;0,009996943;-0,058845038;-0,022379826;-0,023707604;-0,022819057;-0,071071473;-0,076087148;-0,135145138;-0,050683404;0,014152295;-0,037755474;0,054504697;-0,15429337;0,198919032;-0,191619703;-0,081293236;-0,135837015;0,161968422;-0,102820178;-0,09943787;-0,123894194;-0,267491474;-0,333258309;-0,105817586;-0,063030308;-0,149726749;-0,20303288;-0,136463384;-0,174283206;-0,101313129;0,027811247;-0,214010198;-0,154924055;-0,241966148;-0,333362755;-0,119328778;-0,1527572;-0,1442863;-0,318343568;-0,120795034;-0,153775142;-0,307956912;-0,077627529;-0,237289968;-0,364016804;-0,26758602;-0,301710632;0,004332854;-0,1353227;-0,055644323;-0,551786629;-0,288797437;0,099293948;0,170781102;-0,295152381;-0,033802992;-0,076955128;0,109394375;-0,100157647;-0,076554661;-0,172150075;0,035936569;-0,188844178;-0,111296615;-0,126842258;-0,127202117;0,04697163;-0,107261082;-0,058013008;-0,155730266;-0,114206917;-0,125722718;-0,115536288;0,059028314;-0,13398151;-0,06004493;-0,144013261;-0,070590402;-0,175468527;-0,183326827;-0,173208745;-0,161880866;-0,066385309;-0,109650858;-0,129883649;-0,100748301;-0,203918174;-0,138162014;-0,146020427;-0,006384418;-0,095285278;-0,065591353;-0,036083892;-0,152383956;-0,133907323;-0,067471365;-0,008317823;-0,018896643;-0,044262578;-0,090000266;-0,090283108;-0,010043141;-0,070744313;-0,142665845;-0,003229055;-0,113085303;-0,083051386;-0,132160051;-0,0967164;-0,050915374;-0,044279926;-0,1053962;-0,049655222
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,6833;0,7548;0,7064;0,6778;0,7149;0,8062;0,7842;0,8054;0,7874;0,6855;0,6326;0,5748;0,5852;0,5559;0,5559;0,488;0,4903;0,4592;0,4555;0,4177;0,422;0,4217;0,3812;0,3975;0,3992;0,4246;0,2768;0,2567;0,2135;0,2466;0,2629;0,2611;0,2454;0,3005;0,3075;0,354;0,3754;0,4396;0,4499;0,3852;0,3988;0,3703;0,371;0,4548;0,4678;0,4495;0,4738;0,4735;0,4523;0,3557;0,2904;0,3404;0,5432;0,5425;0,6254;0,6442;0,8913;0,9855;1,036;0,9262;1,0561;0,991;0,9527;1,1632;1,2313;1,2624;1,206;1,2106;1,2213;1,2711;1,2719;1,2712;1,2723;1,2749;1,2071;1,4909;1,5148;1,6398;1,5308;1,5203;1,1144;1,0101;0,9407;0,4433;0,6876;0,8181;0,8261;0,6792;0,6523;0,8483;0,5552;0,4844;0,2694;0,6598;0,6304;0,6436;0,5314;0,5733;0,648;0,6655;0,8331;0,8104;0,816;0,8102;0,8796;0,8479;0,8554;0,8565;0,8072;0,8324;0,7987;0,8647;0,8498;0,8515;0,9061;1,0887;1,1245;0,7046;0,6911;0,6462;0,5986;0,5813;0,6122;0,6155;0,4176;0,4222;0,3951;0,4255;0,4655;0,3411;0,3371;0,3703;0,4608;0,4434;0,4228;0,4578;0,4865;0,4882;0,5431;0,5615;0,2522;0,3195;0,3193;0,3503;0,4624;0,4655;0,4551;0,3558;0,3084;0,3584;0,3153;0,3139;0,3328;0,6025;0,608;0,4174
VO monthly avg;Consumer Goods; 0.00 ; 2.57 ; 8.16 ; 5.71 ; 2.58 ; 3.93 ; 6.10 ; 2.17 ; 16.91 ; 0.56 ; 3.30 ; 5.98 ; 2.30 ; 0.02 ; 5.43 ; 0.01 ; 3.95 ; 3.81 ; 4.45 ; 0.49 ; 2.33 ; 0.44 ; 2.83 ; 7.93 ; 0.51 ; 10.18 ; 0.68 ; 1.25 ; 8.86 ; 11.40 ; 12.38 ; 65.89 ; 4.79 ; 5.21 ; 6.43 ; 51.58 ; 28.41 ; 75.18 ; 32.58 ; 24.14 ; 131.57 ; 97.44 ; 55.58 ; 40.40 ; 13.20 ; 31.64 ; 9.30 ; 21.82 ; 10.77 ; 49.72 ; 5.70 ; 12.46 ; 24.48 ; 26.89 ; 44.28 ; 38.76 ; 24.60 ; 189.01 ; 24.07 ; 40.07 ; 43.95 ; 63.75 ; 24.96 ; 21.91 ; 29.43 ; 38.93 ; 70.48 ; 154.67 ; 19.80 ; 9.28 ; 15.74 ; 41.51 ; 9.43 ; 23.09 ; 241.07 ; 34.54 ; 16.76 ; 54.51 ; 46.10 ; 101.33 ; 32.99 ; 10.23 ; 62.09 ; 34.74 ; 80.20 ; 21.87 ; 22.38 ; 13.49 ; 87.20 ; 24.10 ; 19.31 ; 61.20 ; 36.33 ; 61.67 ; 12.30 ; 43.84 ; 11.15 ; 30.46 ; 95.01 ; 119.04 ; 49.55 ; 13.58 ; 2.74 ; 21.49 ; 29.46 ; 11.72 ; 284.10 ; 20.01 ; 7.57 ; 17.39 ; 61.53 ; 41.42 ; 77.22 ; 41.35 ; 34.23 ; 19.95 ; 19.75 ; 6.69 ; 18.69 ; 11.74 ; 7.27 ; 6.65 ; 11.63 ; 19.02 ; 19.47 ; 28.95 ; 18.26 ; 50.27 ; 15.37 ; 14.69 ; 24.29 ; 16.51 ; 20.00 ; 31.07 ; 29.50 ; 8.67 ; 16.52 ; 19.19 ; 7.73 ; 34.08 ; 105.63 ; 25.50 ; 88.63 ; 66.20 ; 17.89 ; 69.15 ; 109.22 ; 26.86 ; 98.31 ; 23.67 ; 20.99 ; 13.13 ; 15.60 ; 6.90 ; 44.30 ; 42.24 ; 12.31 
Total assets;Consumer Goods;445467;445467;445467;534554;534554;534554;534554;534554;534554;534554;534554;534554;534554;534554;534554;717554;717554;717554;717554;717554;717554;717554;717554;717554;717554;717554;717554;849083;849083;849083;849083;849083;849083;849083;849083;849083;849083;849083;849083;1133080;1133080;1133080;1133080;1133080;1133080;1133080;1133080;1133080;1133080;1133080;1133080;1739035;1739035;1739035;1739035;1739035;1739035;1739035;1739035;1739035;1739035;1739035;1739035;2338869;2338869;2338869;2338869;2338869;2338869;2338869;2338869;2338869;2338869;2338869;2338869;2211449;2211449;2211449;2211449;2211449;2211449;2211449;2211449;2211449;2211449;2211449;2211449;1924752;1924752;1924752;1924752;1924752;1924752;1924752;1924752;1924752;1924752;1924752;1924752;1955271;1955271;1955271;1955271;1955271;1955271;1955271;1955271;1955271;1955271;1955271;1955271;2121474;2121474;2121474;2121474;2121474;2121474;2121474;2121474;2121474;2121474;2121474;2121474;2433175;2433175;2433175;2433175;2433175;2433175;2433175;2433175;2433175;2433175;2433175;2433175;2688290;2688290;2688290;2688290;2688290;2688290;2688290;2688290;2688290;2688290;2688290;2688290;2527467;2527467;2527467;2527467;2527467;2527467;2527467;2527467;2527467;2527467
Net sales;Consumer Goods;2050755;2050755;2050755;2647535;2647535;2647535;2647535;2647535;2647535;2647535;2647535;2647535;2647535;2647535;2647535;2591397;2591397;2591397;2591397;2591397;2591397;2591397;2591397;2591397;2591397;2591397;2591397;3220632;3220632;3220632;3220632;3220632;3220632;3220632;3220632;3220632;3220632;3220632;3220632;4454213;4454213;4454213;4454213;4454213;4454213;4454213;4454213;4454213;4454213;4454213;4454213;6756951;6756951;6756951;6756951;6756951;6756951;6756951;6756951;6756951;6756951;6756951;6756951;9085649;9085649;9085649;9085649;9085649;9085649;9085649;9085649;9085649;9085649;9085649;9085649;8811995;8811995;8811995;8811995;8811995;8811995;8811995;8811995;8811995;8811995;8811995;8811995;6581641;6581641;6581641;6581641;6581641;6581641;6581641;6581641;6581641;6581641;6581641;6581641;6507518;6507518;6507518;6507518;6507518;6507518;6507518;6507518;6507518;6507518;6507518;6507518;7362224;7362224;7362224;7362224;7362224;7362224;7362224;7362224;7362224;7362224;7362224;7362224;8293728;8293728;8293728;8293728;8293728;8293728;8293728;8293728;8293728;8293728;8293728;8293728;8971811;8971811;8971811;8971811;8971811;8971811;8971811;8971811;8971811;8971811;8971811;8971811;10831384;10831384;10831384;10831384;10831384;10831384;10831384;10831384;10831384;10831384
common equity;Consumer Goods;156473;156473;156473;186013;186013;186013;186013;186013;186013;186013;186013;186013;186013;186013;186013;222666;222666;222666;222666;222666;222666;222666;222666;222666;222666;222666;222666;271060;271060;271060;271060;271060;271060;271060;271060;271060;271060;271060;271060;364223;364223;364223;364223;364223;364223;364223;364223;364223;364223;364223;364223;476962;476962;476962;476962;476962;476962;476962;476962;476962;476962;476962;476962;438089;438089;438089;438089;438089;438089;438089;438089;438089;438089;438089;438089;472716;472716;472716;472716;472716;472716;472716;472716;472716;472716;472716;472716;451905;451905;451905;451905;451905;451905;451905;451905;451905;451905;451905;451905;500764;500764;500764;500764;500764;500764;500764;500764;500764;500764;500764;500764;588572;588572;588572;588572;588572;588572;588572;588572;588572;588572;588572;588572;671543;671543;671543;671543;671543;671543;671543;671543;671543;671543;671543;671543;798820;798820;798820;798820;798820;798820;798820;798820;798820;798820;798820;798820;565614;565614;565614;565614;565614;565614;565614;565614;565614;565614
Turnover ratio;Consumer Goods;0,00%;0,01%;0,04%;0,03%;0,01%;0,02%;0,03%;0,01%;0,08%;0,00%;0,02%;0,03%;0,01%;0,00%;0,03%;0,00%;0,02%;0,02%;0,02%;0,00%;0,01%;0,00%;0,01%;0,04%;0,00%;0,05%;0,00%;0,01%;0,04%;0,06%;0,06%;0,32%;0,02%;0,03%;0,03%;0,25%;0,14%;0,37%;0,16%;0,12%;0,64%;0,47%;0,27%;0,20%;0,06%;0,15%;0,05%;0,10%;0,05%;0,24%;0,03%;0,06%;0,12%;0,13%;0,21%;0,18%;0,12%;0,90%;0,11%;0,19%;0,21%;0,30%;0,12%;0,10%;0,14%;0,18%;0,33%;0,73%;0,09%;0,04%;0,07%;0,20%;0,04%;0,02%;0,23%;0,03%;0,02%;0,05%;0,04%;0,09%;0,03%;0,01%;0,06%;0,03%;0,07%;0,02%;0,02%;0,01%;0,08%;0,02%;0,02%;0,06%;0,03%;0,06%;0,01%;0,04%;0,01%;0,03%;0,09%;0,11%;0,05%;0,01%;0,00%;0,02%;0,03%;0,01%;0,26%;0,02%;0,01%;0,02%;0,06%;0,04%;0,07%;0,04%;0,03%;0,02%;0,02%;0,01%;0,02%;0,01%;0,01%;0,01%;0,01%;0,02%;0,02%;0,03%;0,02%;0,05%;0,01%;0,01%;0,02%;0,02%;0,02%;0,03%;0,03%;0,01%;0,02%;0,02%;0,01%;0,03%;0,10%;0,02%;0,08%;0,06%;0,02%;0,06%;0,10%;0,02%;0,09%;0,02%;0,02%;0,01%;0,01%;0,01%;0,04%;0,04%;0,01%
Return monthly;Consumer Goods;;-0,001186401;0,071428029;0,02777581;0,24865081;0,171519571;0,007663639;0,087451049;0,136364027;-0,030768678;-0,095238281;0;-0,037434413;-0,044117153;-0,13076887;0,053096701;0,172268843;-0,068100123;0,049550965;0;0;-0,022902042;0,019531223;-0,118772889;0,029564837;0,008547769;-0,06779769;-0,018180814;0,15740525;-0,019999491;0,07460449;0,040000703;0,142308196;0,077440318;0,090624324;-0,025787952;0,014862033;0,099414702;-0,015956692;-0,054053418;0,285713841;-0,008889265;0,062856187;0,032822938;0,144068343;0,074073462;0,112069574;0,093022896;0,086475843;0,031537627;0,019108052;-0,027499938;0,066838196;0,132529795;0,081544726;0,174089297;-0,01724147;0,342105532;-0,045751703;0,054657364;0,005197285;0,298701422;0,029999922;0,04854373;0,027777706;-0,110360274;-0,171580309;0,056250214;0,100591592;0,010752551;-0,04255318;0,022222216;-0,015978306;0,055555571;0,182208547;-0,043333498;0,020408345;-0,053658748;-0,151222355;0,062500122;0;0;-0,173529468;-0,007117134;-0,024306342;-0,166666612;0,066666771;-0,100000368;-0,222221904;-0,10714312;-0,174933032;0,126050054;-0,0298505;0,076923077;-0,428571429;-0,175000637;0,212122148;0,292499002;-0,168278381;0,093023508;0,063830172;0,249999575;0,040000353;0,061537939;-0,028985275;0,179104269;-0,044303978;0,033112885;0,014461342;0,012739083;0,18238973;0,031915018;0,082474392;-0,014285766;0,024927383;0,022115382;0,034807212;0,181818114;-0,00769221;0,06201567;-0,019951461;0,052631498;-0,049999927;-0,060150327;-0,063999945;-0,051282266;0,040905991;-0,004444358;-0,017857149;-0,000909001;-0,103730874;-0,035533114;-0,039640027;0,099999782;0,010101122;0,040000047;0,072115608;-0,049327356;-0,033042023;0,035353135;0,073170777;0,068181857;0,042553322;-0,004081366;0,004098092;0,083333359;0,023076987;-0,060150445;0,088000145;-0,014706103;0,015212514;-0,030534351;0;0,062992126;0,074074074;0;-0,049655222
