Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;38119;38119;38119;10891;10891;10891;10891;10891;10891;10891;10891;10891;10891;10891;10891;8636;8636;8636;8636;8636;8636;8636;8636;8636;8636;8636;8636;8062;8062;8062;8062;8062;8062;8062;8062;8062;8062;8062;8062;2234;2234;2234;2234;2234;2234;2234;2234;2234;2234;2234;2234;7257;7257;7257;7257;7257;7257;7257;7257;7257;7257;7257;7257;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;954441;886093;886093;886093;886093;886093;886093;886093;886093;886093;886093;886093;886093;484173;484173;484173;484173;484173;484173;484173;484173;484173;484173;484173;484173;441184;441184;441184;441184;441184;441184;441184;441184;441184;441184;441184;441184;527834;527834;527834;527834;527834;527834;527834;527834;527834;527834;527834;527834;603555;603555;603555;603555;603555;603555;603555;603555;603555;603555;603555;603555;686611;686611;686611;686611;686611;686611;686611;686611;686611;686611;686611;686611;NA;NA;NA;NA
Excess return;Financials;;-0,340643275;-0,083518108;0;0;-0,408870968;-0,245566166;-0,08318264;-0,153846154;-0,291375291;-0,555921053;0;0,674074074;0,747787611;-0,144303797;0;-0,165680473;0;0;-0,081560284;0;-0,61003861;-0,217821782;-0,291139241;0,410714286;-0,291139241;0;-0,2360132;0,168732414;-0,369680794;0,466919711;0,117209606;-0,0469143;0,019786251;0,485322955;-0,18535268;-0,086138;-0,186380795;0,012438158;-0,0953203;0,005897003;0,165932595;-0,249383538;-0,277334732;-0,1050662;-0,1062821;-0,0942365;-0,376718902;0,509890155;-0,16642978;0,163500706;0,271009168;-0,069982924;1,031189804;-0,3912651;0,0495675;0,092514325;-0,16476844;0,171144053;-0,007029893;0,007330309;-0,219213468;-0,094623279;0,303810862;-0,18438183;-0,1329455;-0,1549811;-0,246291543;0,027775253;-0,250924703;0,052677;0,081633037;-0,20378877;-0,1742378;-0,169251739;-0,178077614;0,053315147;0,056458091;-0,011581702;-0,1113571;-0,159533994;-0,160278325;-0,180738765;-0,317056311;-0,122433105;-0,244079867;-0,317203484;-0,497151052;-0,358055294;-0,13427322;-0,314756987;-0,1291071;-0,082682274;-0,324365851;0,073946768;-0,349199175;0,031995747;-0,293529767;0,26135175;-0,160998383;-0,159502103;-0,401929905;0,207031206;-0,0844355;0,292910224;-0,194213718;-0,18787216;0,046209147;0,207850933;-0,323036865;-0,210569565;0,020129553;-0,19074936;0,045387847;-0,186106723;-0,0583277;0,091125741;0,086228072;-0,139429422;-0,124848132;-0,0876163;-0,0914951;-0,073938112;-0,146034175;-0,109478565;-0,070765339;-0,078136341;-0,06845671;0,021548048;-0,225754151;0,063788821;-0,101009879;-0,1275799;-0,052969172;-0,15241837;-0,1247245;0,045525555;-0,051574646;-0,104313882;-0,033753483;0,037412227;-0,260371941;-0,062688366;-0,158816104;-0,107178195;-0,107507527;0,202439137;0,010551544;-0,119275633;-0,221341139;-0,187217263;-0,1274431;-0,105594694;-0,066491911;-0,129302663;-0,052555862;-0,006297796
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;;;;;;;;;;;;;;;;;;;;;;;;;;;0,3333;2,1764;-0,8309;-1,0215;-0,7922;-0,8023;-0,7839;0,0006;0,0575;-0,0075;-0,074;-0,0771;-0,025;-0,0219;-0,0448;0,0849;0,0562;0,0267;0,0074;0,0267;-0,1645;-0,1868;-0,1769;-0,1158;-0,5405;-0,4486;1,7531;1,7346;1,7677;1,9275;1,6164;1,0323;1,0774;1,0305;0,8298;0,8075;0,95;0,9383;1,0618;0,8785;1,0997;1,1076;1,1995;1,5028;1,4996;1,5715;1,5285;1,5506;1,6333;0,4719;0,4391;0,4013;0,3378;0,4017;0,5335;0,9041;1,1369;1,4031;1,4628;0,7764;0,7687;0,7262;0,7345;0,8753;0,7156;0,6017;0,7034;0,4339;0,3389;0,3533;0,4023;0,1108;0,0491;0,0442;-0,1507;-0,2051;-0,1193;-0,0415;-0,0702;-0,0776;-0,0723;0,0005;0,0119;0,0846;0,0828;0,1346;0,0321;0,0556;0,0443;-0,3321;-0,2212;-0,173;-0,1683;-0,1627;0,0201;0,0777;0,1027;0,0939;0,7423;0,708;0,8002;0,6434;0,6953;0,9751;0,9757;0,9482;0,7973;0,7428;0,7443;0,7615;0,8626;0,7838;1,1118;1,1439;1,0767;1,1386;1,1072;1,2419;1,2152;0,9601;0,9122;0,9742;0,5764;0,7099;0,7309;0,7237;0,5837;0,2649;0,2709;0,0039
VO monthly avg;Financials; 0.00 ; 6.18 ; 18.94 ; 22.29 ; 7.93 ; 6.53 ; 9.37 ; 6.14 ; 3.87 ; 3.86 ; 7.77 ; 9.02 ; 4.36 ; 12.85 ; 5.82 ; 8.79 ; 16.68 ; 13.59 ; 5.81 ; 12.74 ; 10.98 ; 1.46 ; 2.57 ; 3.27 ; 1.03 ; 0.85 ; 0.59 ; 2.12 ; 1.30 ; 12.10 ; 9.00 ; 9.93 ; 9.74 ; 7.50 ; 90.38 ; 18.09 ; 7.95 ; 8.96 ; 25.18 ; 16.20 ; 13.05 ; 61.85 ; 38.62 ; 24.44 ; 13.80 ; 3.34 ; 22.45 ; 29.99 ; 30.05 ; 68.74 ; 1640.94 ; 15.33 ; 19.75 ; 35.26 ; 80.86 ; 20.81 ; 49.49 ; 64.86 ; 13.61 ; 15.83 ; 2.72 ; 13.59 ; 8.37 ; 54.92 ; 32.88 ; 19.15 ; 4.32 ; 49.75 ; 46.62 ; 2.24 ; 71.66 ; 209.94 ; 53.36 ; 24.35 ; 112.21 ; 66.45 ; 48.17 ; 108.01 ; 62.94 ; 38.10 ; 67.54 ; 58.99 ; 69.22 ; 69.38 ; 47.71 ; 27.52 ; 45.80 ; 56.03 ; 55.67 ; 56.78 ; 101.65 ; 303.78 ; 2.79 ; 43.61 ; 1.40 ; 863.20 ; 49.51 ; 55.86 ; 326.88 ; 550.15 ; 24.55 ; 57.67 ; 23.63 ; 185.35 ; 28.46 ; 14.89 ; 147.03 ; 306.49 ; 19.61 ; 24.71 ; 68.60 ; 53.95 ; 667.51 ; 267.92 ; 239.78 ; 538.01 ; 344.97 ; 26.14 ; 31.32 ; 189.52 ; 56.90 ; 32.90 ; 113.43 ; 81.55 ; 65.98 ; 83.55 ; 1312.91 ; 50.64 ; 66.71 ; 53.25 ; 62.44 ; 220.00 ; 67.21 ; 141.78 ; 34.05 ; 55.56 ; 139.68 ; 638.36 ; 193.53 ; 175.93 ; 337.92 ; 76.74 ; 28.95 ; 140.10 ; 150.10 ; 116.23 ; 324.99 ; 141.00 ; 642.58 ; 96.50 ; 52.73 ; 417.40 ; 400.02 ; 131.50 ; 69.24 ; 104.15 ; 72.66 
Total assets;Financials;54074;54074;54074;21202;21202;21202;21202;21202;21202;21202;21202;21202;21202;21202;21202;17086;17086;17086;17086;17086;17086;17086;17086;17086;17086;17086;17086;14292;14292;14292;14292;14292;14292;14292;14292;14292;14292;14292;14292;8566;8566;8566;8566;8566;8566;8566;8566;8566;8566;8566;8566;29062;29062;29062;29062;29062;29062;29062;29062;29062;29062;29062;29062;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1184950;1114980;1114980;1114980;1114980;1114980;1114980;1114980;1114980;1114980;1114980;1114980;1114980;744654;744654;744654;744654;744654;744654;744654;744654;744654;744654;744654;744654;709637;709637;709637;709637;709637;709637;709637;709637;709637;709637;709637;709637;810692;810692;810692;810692;810692;810692;810692;810692;810692;810692;810692;810692;891852;891852;891852;891852;891852;891852;891852;891852;891852;891852;891852;891852;1014236;1014236;1014236;1014236;1014236;1014236;1014236;1014236;1014236;1014236;1014236;1014236;NA;NA;NA;NA
Net sales;Financials;78048;78048;78048;1577;1577;1577;1577;1577;1577;1577;1577;1577;1577;1577;1577;504;504;504;504;504;504;504;504;504;504;504;504;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2266;2764;2764;2764;2764;2764;2764;2764;2764;2764;2764;2764;2764;7557;7557;7557;7557;7557;7557;7557;7557;7557;7557;7557;7557;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;218951;1772940;1772940;1772940;1772940;1772940;1772940;1772940;1772940;1772940;1772940;1772940;1772940;334892;334892;334892;334892;334892;334892;334892;334892;334892;334892;334892;334892;403126;403126;403126;403126;403126;403126;403126;403126;403126;403126;403126;403126;398315;398315;398315;398315;398315;398315;398315;398315;398315;398315;398315;398315;455013;455013;455013;455013;455013;455013;455013;455013;455013;455013;455013;455013;440301;440301;440301;440301;440301;440301;440301;440301;440301;440301;440301;440301;NA;NA;NA;NA
common equity;Financials;15955;15955;15955;10311;10311;10311;10311;10311;10311;10311;10311;10311;10311;10311;10311;8450;8450;8450;8450;8450;8450;8450;8450;8450;8450;8450;8450;6230;6230;6230;6230;6230;6230;6230;6230;6230;6230;6230;6230;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;6332;20092;20092;20092;20092;20092;20092;20092;20092;20092;20092;20092;20092;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;190315;215813;215813;215813;215813;215813;215813;215813;215813;215813;215813;215813;215813;231888;231888;231888;231888;231888;231888;231888;231888;231888;231888;231888;231888;243144;243144;243144;243144;243144;243144;243144;243144;243144;243144;243144;243144;265293;265293;265293;265293;265293;265293;265293;265293;265293;265293;265293;265293;273793;273793;273793;273793;273793;273793;273793;273793;273793;273793;273793;273793;314058;314058;314058;314058;314058;314058;314058;314058;314058;314058;314058;314058;NA;NA;NA;NA
Turnover ratio;Financials;0,00%;0,02%;0,05%;0,06%;0,02%;0,02%;0,02%;0,02%;0,01%;0,01%;0,02%;0,02%;0,01%;0,03%;0,02%;0,02%;0,04%;0,04%;0,02%;0,03%;0,03%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,04%;0,03%;0,03%;0,03%;0,01%;0,10%;0,02%;0,01%;0,01%;0,03%;0,02%;0,02%;0,07%;0,04%;0,03%;0,02%;0,00%;0,03%;0,03%;0,03%;0,08%;1,90%;0,02%;0,02%;0,04%;0,09%;0,02%;0,06%;0,07%;0,01%;0,02%;0,00%;0,01%;0,01%;0,06%;0,03%;0,02%;0,00%;0,05%;0,04%;0,00%;0,03%;0,09%;0,02%;0,01%;0,05%;0,03%;0,02%;0,05%;0,03%;0,02%;0,03%;0,03%;0,03%;0,03%;0,02%;0,01%;0,02%;0,02%;0,02%;0,03%;0,05%;0,13%;0,00%;0,02%;0,00%;0,38%;0,02%;0,02%;0,15%;0,21%;0,01%;0,02%;0,01%;0,07%;0,01%;0,01%;0,06%;0,12%;0,01%;0,01%;0,03%;0,02%;0,26%;0,10%;0,09%;0,21%;0,13%;0,01%;0,01%;0,07%;0,02%;0,01%;0,04%;0,03%;0,03%;0,03%;0,51%;0,02%;0,03%;0,02%;0,02%;0,09%;0,03%;0,06%;0,01%;0,02%;0,05%;0,25%;0,08%;0,07%;0,13%;0,03%;0,01%;0,05%;0,06%;0,05%;0,13%;0,05%;0,25%;0,04%;0,02%;0,16%;0,16%;0,05%;0,03%;0,04%;0,03%
Return monthly;Financials;;-0,340643275;-0,083518108;0;0;-0,408870968;-0,245566166;-0,08318264;-0,153846154;-0,291375291;-0,555921053;0;0,674074074;0,747787611;-0,144303797;0;-0,165680473;0;0;-0,081560284;0;-0,61003861;-0,217821782;-0,291139241;0,410714286;-0,291139241;0;0;0,214285714;-0,338235294;0,511111111;0,161764706;0;0,113924051;0,579545455;-0,09352518;0;-0,095238095;0,105263158;0;0,103174603;0,273381295;-0,141242938;-0,171052632;0;0;0;-0,301587302;0,579545455;-0,09352518;0,206349206;0,328947368;0,123762376;1,224669604;-0,2;0,25;0,275247525;-0,01863354;0,319620253;0,135491607;0,134107709;-0,094040968;0,038026721;0,437623762;-0,04338843;0;0;-0,090712743;0,190023753;-0,075848303;0,2275018;0,259237537;-0,02934327;0;0,011996161;-0,071597914;0,160878447;0,166739991;0,095399698;0;-0,043373494;-0,022670025;-0,023564065;-0,142911011;0,055873295;-0,105416667;-0,176525384;-0,356900452;-0,211081794;0,02787068;-0,177874187;0;0,050131926;-0,206030151;0,178797468;-0,253691275;0,136690647;-0,200949367;0,35049505;-0,073313783;-0,080696203;-0,325301205;0,288265306;0;0,376237624;-0,109352518;-0,10177706;0,136690647;0,299050633;-0,230207065;-0,120253165;0,113309353;-0,10177706;0,136690647;-0,101265823;0;0,156690141;0,153729072;-0,067282322;-0,053748232;0;0;0,019431988;-0,055718475;0,020186335;0,057838661;0,054676259;0,05047749;0,148051948;-0,085972851;0,204207921;0,038026721;0;0,072277228;-0,02677747;0;0,177419355;0,070104754;0,032379518;0,105762217;0,170844327;-0,121690141;0,073765234;-0,016726404;0,034629405;0,017028773;0,325057737;0,132026144;-0,011162433;-0,100817439;-0,062770563;0;0,006928406;0,026146789;-0,032185963;0,026789838;-0,006297796
