Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Technology;108550;108550;111653;111653;111653;111653;111653;111653;134096;134096;134096;134096;134096;134096;135668;135668;135668;135668;135668;135668;154760;154760;154760;154760;154760;154760;158000;158000;158000;158000;158000;158000;147065;147065;147065;147065;147065;147065;124711;124711;124711;124711;124711;124711;114810;114810;114810;114810;114810;114810;153559;153559;153559;153559;153559;153559;160003;160003;160003;160003;160003;160003;205794;205794;205794;205794;205794;205794;190209;190209;190209;190209;190209;190209;208877;208877;208877;208877;208877;208877;235574;235574;235574;235574;235574;235574;254053;254053;254053;254053;254053;254053;241290;241290;241290;241290;241290;241290;249708;249708;249708;249708;249708;249708;181765;181765;181765;181765;181765;181765;207102;207102;207102;207102;207102;207102;295471;295471;295471;295471;295471;295471;242414;242414;242414;242414;242414;242414;334344;334344;334344;334344;334344;334344;286280;286280;286280;286280;286280;286280;339523;339523;339523;339523;339523;339523;406401;406401;406401;406401;406401;406401;431852;0;0;0;0
Excess return;Technology;;-0,281692507;-0,3120218;-0,324361;-0,2155292;0,088963793;-0,351507532;-0,305225;-0,188354767;-0,27636431;0,003294585;-0,189824285;-0,169033907;-0,1459174;-0,214415946;-0,2309739;0,133168519;-0,1625932;-0,227718786;-0,072904916;-0,17925165;-0,076040898;-0,106398273;-0,061364517;-0,136637515;-0,147071822;-0,1353928;-0,097110308;-0,084032433;-0,087112422;-0,127648259;-0,089361517;0,009365867;-0,107655827;-0,124320972;-0,125785915;-0,037774439;0,105880667;-0,258447279;-0,069928607;0,0241015;-0,276276109;-0,163470139;-0,05267771;-0,190899304;0,149308337;-0,032663628;-0,191110551;-0,069240898;0,047637441;-0,1035112;-0,066994333;-0,139749543;-0,16137668;-0,069100635;-0,051950452;-0,100548813;-0,287592303;-0,102584791;-0,00906842;-0,037074536;-0,063788865;-0,151559707;-0,088418247;0,347305042;-0,182245119;-0,156822334;-0,067976942;0,005202019;-0,074521978;-0,084500612;-0,162771831;0,061715751;-0,158015632;-0,031864514;-0,069266053;-0,001580446;0,085980725;-0,189588933;-0,136007022;-0,14245032;-0,121217025;-0,075666993;-0,317623454;-0,170941682;-0,354154986;-0,147123449;-0,1608138;-0,013583009;-0,275210456;-0,2520973;-0,1492419;-0,1472664;-0,275877625;-0,227498215;-0,190562793;-0,054533525;-0,036025694;-0,267315628;-0,125004197;0,106537634;-0,085079759;-0,056505009;0,03649779;-0,173857963;-0,116538641;-0,111734051;-0,068920032;-0,094354618;-0,148685043;-0,118267578;-0,303357883;-0,07912657;-0,125440649;-0,1244616;-0,1170185;-0,129583046;-0,072223587;0,115707249;-0,097950622;-0,021380005;-0,151103331;-0,078672852;-0,201827888;-0,29307535;-0,090050521;-0,106254713;-0,096252866;-0,12546417;-0,089508783;-0,039248591;-0,110231218;0,062951645;-0,223579764;-0,071906019;-0,060881566;-0,07699908;-0,03970881;-0,100109532;-0,101873608;-0,022098738;-0,137352329;-0,177184912;-0,139031287;-0,139852854;0,026208063;-0,159966452;-0,0600496;-0,076770306;-0,079556944;0,118206076;-0,040004582;-0,189929835;0,127460681;0,099787845;-0,052032432;-0,072911081
Risk premium;Technology;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Technology;1,6619;1,6105;1,5116;1,447;1,5084;1,6771;1,5893;1,575;1,4887;1,5247;1,4099;1,036;1,0295;0,9098;0,9157;0,6853;0,6855;0,7364;0,5997;0,6468;0,6239;0,6193;0,6021;0,6332;0,6332;0,6298;0,5856;0,5826;0,4857;0,4244;0,4239;0,4567;0,3332;0,309;0,3487;0,3419;0,4019;0,4308;0,4396;0,4104;0,41;0,4871;0,495;0,4631;0,5758;0,5643;0,4784;0,4783;0,4512;0,413;0,4224;0,4885;0,3923;0,3922;0,3781;0,3265;0,1031;0,1559;0,0856;0,1179;0,0282;0,1328;0,1333;0,2807;0,366;0,29;0,3482;0,3739;0,2759;0,3807;0,3834;0,4158;0,4661;0,4576;0,4969;0,5766;0,5206;0,5967;0,6287;0,6328;1,1126;1,1249;1,2907;1,4962;1,6497;1,2478;1,278;1,0526;0,9981;1,0756;0,9571;0,9213;0,9328;0,9504;0,9627;0,9387;0,8931;0,9138;0,8292;0,8716;0,7886;0,7725;0,838;0,8275;0,8194;0,8031;0,7912;0,8053;0,7521;0,8059;0,6935;0,66;0,6795;0,6783;0,6732;0,5995;0,5966;0,5046;0,5022;0,5227;0,4349;0,4695;0,5044;0,5265;0,6378;0,6315;0,4156;0,4338;0,4173;0,443;0,4421;0,3467;0,2485;0,4456;0,4264;0,4383;0,388;0,3785;0,3724;0,3861;0,346;0,1141;0,0826;-0,1479;-0,1183;-0,0581;-0,0864;-0,0008;-0,0118;-0,2323;-0,2349;-0,2571;-0,1717;-0,281;-0,2753;-0,0573
VO monthly avg;Technology; 110.00 ; 60.50 ; 23.40 ; 8.47 ; 37.06 ; 50.98 ; 42.27 ; 20.37 ; 7.99 ; 15.68 ; 10.10 ; 39.36 ; 23.79 ; 20.90 ; 527.69 ; 77.89 ; 166.45 ; 113.39 ; 31.17 ; 13.77 ; 15.14 ; 18.42 ; 40.32 ; 28.91 ; 7.88 ; 122.71 ; 1.28 ; 355.18 ; 52.93 ; 37.19 ; 55.97 ; 17.36 ; 15.36 ; 14.98 ; 126.52 ; 201.88 ; 22.09 ; 35.09 ; 5.17 ; 47.58 ; 246.30 ; 23.98 ; 7.61 ; 17.33 ; 7.35 ; 39.22 ; 114.50 ; 362.61 ; 44.27 ; 39.58 ; 25.65 ; 27.81 ; 111.40 ; 30.97 ; 33.57 ; 97.33 ; 188.43 ; 172.01 ; 73.53 ; 80.56 ; 18.11 ; 31.38 ; 29.90 ; 15.65 ; 464.68 ; 523.55 ; 64.21 ; 209.15 ; 86.73 ; 26.40 ; 329.23 ; 23.70 ; 26.68 ; 20.19 ; 248.51 ; 83.34 ; 268.88 ; 465.33 ; 180.69 ; 46.01 ; 150.47 ; 175.32 ; 440.62 ; 209.09 ; 30.10 ; 108.95 ; 174.91 ; 231.25 ; 222.15 ; 374.37 ; 199.47 ; 76.27 ; 395.65 ; 194.04 ; 150.01 ; 202.26 ; 450.20 ; 59.06 ; 45.37 ; 72.91 ; 259.07 ; 249.96 ; 49.42 ; 108.05 ; 524.11 ; 100.30 ; 686.94 ; 259.88 ; 67.20 ; 73.95 ; 128.55 ; 223.17 ; 143.12 ; 158.19 ; 223.40 ; 123.37 ; 126.56 ; 224.20 ; 237.02 ; 90.22 ; 242.45 ; 86.22 ; 217.95 ; 63.61 ; 61.01 ; 129.32 ; 275.37 ; 62.02 ; 113.90 ; 192.59 ; 87.36 ; 195.78 ; 77.95 ; 87.80 ; 26.57 ; 25.44 ; 62.59 ; 74.45 ; 45.16 ; 178.94 ; 20.89 ; 290.56 ; 191.05 ; 54.92 ; 31.05 ; 115.35 ; 166.27 ; 29.32 ; 85.54 ; 305.33 ; 776.12 ; 56.22 ; 102.00 ; 88.22 ; 341.47 ; 124.73 ; 87.48 
Total assets;Technology;173144;173144;186401;186401;186401;186401;186401;186401;229487;229487;229487;229487;229487;229487;255013;255013;255013;255013;255013;255013;309236;309236;309236;309236;309236;309236;328202;328202;328202;328202;328202;328202;327569;327569;327569;327569;327569;327569;318479;318479;318479;318479;318479;318479;318586;318586;318586;318586;318586;318586;367709;367709;367709;367709;367709;367709;367629;367629;367629;367629;367629;367629;450141;450141;450141;450141;450141;450141;402976;402976;402976;402976;402976;402976;457345;457345;457345;457345;457345;457345;498720;498720;498720;498720;498720;498720;548529;548529;548529;548529;548529;548529;559937;559937;559937;559937;559937;559937;610333;610333;610333;610333;610333;610333;564765;564765;564765;564765;564765;564765;590254;590254;590254;590254;590254;590254;704179;704179;704179;704179;704179;704179;662441;662441;662441;662441;662441;662441;791807;791807;791807;791807;791807;791807;757333;757333;757333;757333;757333;757333;810035;810035;810035;810035;810035;810035;898031;898031;898031;898031;898031;898031;944642;944642;944642;944642;944642
Net sales;Technology;203557;203557;190279;190279;190279;190279;190279;190279;255297;255297;255297;255297;255297;255297;266284;266284;266284;266284;266284;266284;413151;413151;413151;413151;413151;413151;357587;357587;357587;357587;357587;357587;397420;397420;397420;397420;397420;397420;366362;366362;366362;366362;366362;366362;440668;440668;440668;440668;440668;440668;441537;441537;441537;441537;441537;441537;411320;411320;411320;411320;411320;411320;623077;623077;623077;623077;623077;623077;604262;604262;604262;604262;604262;604262;597642;597642;597642;597642;597642;597642;693711;693711;693711;693711;693711;693711;653260;653260;653260;653260;653260;653260;699234;699234;699234;699234;699234;699234;814088;814088;814088;814088;814088;814088;687587;687587;687587;687587;687587;687587;603194;603194;603194;603194;603194;603194;836030;836030;836030;836030;836030;836030;739709;739709;739709;739709;739709;739709;912652;912652;912652;912652;912652;912652;845110;845110;845110;845110;845110;845110;976726;976726;976726;976726;976726;976726;942761;942761;942761;942761;942761;942761;1008924;1008924;1008924;1008924;1008924
common equity;Technology;61531;61531;72279;72279;72279;72279;72279;72279;90618;90618;90618;90618;90618;90618;119345;119345;119345;119345;119345;119345;154476;154476;154476;154476;154476;154476;170202;170202;170202;170202;170202;170202;180504;180504;180504;180504;180504;180504;193768;193768;193768;193768;193768;193768;203776;203776;203776;203776;203776;203776;214150;214150;214150;214150;214150;214150;207626;207626;207626;207626;207626;207626;244347;244347;244347;244347;244347;244347;212767;212767;212767;212767;212767;212767;248468;248468;248468;248468;248468;248468;263146;263146;263146;263146;263146;263146;294476;294476;294476;294476;294476;294476;318647;318647;318647;318647;318647;318647;360625;360625;360625;360625;360625;360625;383000;383000;383000;383000;383000;383000;383152;383152;383152;383152;383152;383152;408708;408708;408708;408708;408708;408708;420027;420027;420027;420027;420027;420027;457463;457463;457463;457463;457463;457463;471053;471053;471053;471053;471053;471053;470512;470512;470512;470512;470512;470512;491630;491630;491630;491630;491630;491630;512790;0;0;0;0
Turnover ratio;Technology;0,07%;0,04%;0,01%;0,01%;0,02%;0,03%;0,03%;0,01%;0,00%;0,01%;0,01%;0,02%;0,01%;0,01%;0,28%;0,04%;0,09%;0,06%;0,02%;0,01%;0,01%;0,01%;0,02%;0,01%;0,00%;0,06%;0,00%;0,18%;0,03%;0,02%;0,03%;0,01%;0,01%;0,01%;0,06%;0,10%;0,01%;0,02%;0,00%;0,02%;0,12%;0,01%;0,00%;0,01%;0,00%;0,02%;0,06%;0,18%;0,02%;0,02%;0,01%;0,01%;0,05%;0,02%;0,02%;0,05%;0,09%;0,08%;0,04%;0,04%;0,01%;0,02%;0,01%;0,01%;0,23%;0,26%;0,03%;0,10%;0,04%;0,01%;0,16%;0,01%;0,01%;0,01%;0,12%;0,04%;0,13%;0,23%;0,09%;0,02%;0,07%;0,09%;0,21%;0,10%;0,01%;0,05%;0,09%;0,11%;0,11%;0,18%;0,10%;0,04%;0,19%;0,09%;0,07%;0,10%;0,22%;0,03%;0,02%;0,04%;0,13%;0,12%;0,02%;0,05%;0,26%;0,05%;0,33%;0,13%;0,03%;0,04%;0,06%;0,11%;0,07%;0,08%;0,11%;0,06%;0,06%;0,11%;0,12%;0,04%;0,12%;0,04%;0,11%;0,03%;0,03%;0,06%;0,13%;0,03%;0,06%;0,09%;0,04%;0,10%;0,04%;0,04%;0,01%;0,01%;0,03%;0,04%;0,02%;0,09%;0,01%;0,14%;0,09%;0,03%;0,02%;0,06%;0,08%;0,01%;0,04%;0,15%;0,38%;0,03%;0,05%;0,04%;0,17%;0,06%;0,04%
Return monthly;Technology;;-0,056631007;-0,099991;-0,1111;0;0,312521093;-0,142881632;-0,1;0,012333333;-0,07320821;0,197418285;-0,021956285;0,011224593;0,0333;-0,032226846;-0,0556;0,294155019;0;-0,072737686;0,078443484;-0,02724595;0,074775002;0,043434027;0,083327083;0,007754085;-0,007694422;0;0,038493492;0,044466667;0,035424778;-0,006842559;0,034510583;0,126657467;0,005911173;-0,011752872;-0,011946215;0,078345261;0,229021067;-0,136352479;0,052626593;0,1500315;-0,143488809;-0,027685139;0,08109759;-0,050023904;0,289459237;0,102075572;-0,074077651;0,039984702;0,153856441;0;0,049981167;-0,031734643;-0,05246808;0,034619665;0,047619048;-0,013153513;-0,196670603;-0,016591991;0,07595928;0,039202064;0,018877535;-0,070361807;0,003965853;0,444463042;-0,086375119;-0,049185734;0,041378758;0,109263719;0,029862122;0,020003588;-0,057976431;0,169230051;-0,052636832;0,077790186;0,043809747;0,111117354;0,208572825;-0,064280833;-0,010090622;0,01019348;0,030301675;0,091197107;-0,137612854;0,019139418;-0,185793586;0,025640551;0;0,149997291;-0,100447656;-0,1;0;0;-0,125002425;-0,083348115;-0,058174693;0,081081775;0,107143706;-0,129026028;0,014806603;0,244519434;0,053137741;0,085038991;0,17568029;-0,034485763;0,023806659;0,028761549;0,072263868;0,043477682;-0,010413343;0,010522922;-0,177077883;0,05063193;0,005092251;0;0;-0,012497246;0,037966213;0,230095849;0,016329478;0,092368695;-0,034924831;0,040004348;-0,084258388;-0,16999395;0,033733979;0,002328087;0,009476534;-0,01647427;0,016750217;0,067553709;-0,009089118;0,155957145;-0,117056964;0,033707181;0,043481334;0,02499492;0,05643669;-0,009998332;-0,010099308;0,065299262;-0,063214029;-0,105281112;-0,084498987;-0,082055754;0,086597763;-0,100259652;0;-0,005713706;-0,018391844;0,181807376;0,025648118;-0,124996935;0,185707681;0,162493945;0,023457668;-0,072911081
