Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;36697;36697;36697;36697;36697;36697;36697;30065;30065;30065;30065;30065;30065;30065;30065;30065;30065;30065;30065;17769;17769;17769;17769;17769;17769;17769;17769;17769;17769;17769;17769;26477;26477;26477;26477;26477;26477;26477;26477;26477;26477;26477;26477;75876;75876;75876;75876;75876;75876;75876;75876;75876;75876;75876;75876;81100;81100;81100;81100;81100;81100;81100;81100;81100;81100;81100;81100;161610;161610;161610;161610;161610;161610;161610;161610;161610;161610;161610;161610;147655;147655;147655;147655;147655;147655;147655;147655;147655;147655;147655;147655;127877;127877;127877;127877;127877;127877;127877;127877;127877;127877;127877;127877;154363;154363;154363;154363;154363;154363;154363;154363;154363;154363;154363;154363;127163;127163;127163;127163;127163;127163;127163;127163;127163;127163;127163;127163;276439;276439;276439;276439;276439;276439;276439;276439;276439;276439;276439;276439;207618;207618;207618;207618;207618;207618;207618;207618;207618;207618;207618;207618;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;-0,263036506;0,567008541;-0,387890048;-0,225891404;-0,312279353;0,465241451;-0,41846939;0,001588745;-0,308917242;-0,3790205;-0,082621417;-0,251748416;0,22909315;-0,205583963;-0,3316582;-0,261929772;-0,023702797;-0,283448623;-0,373041255;-0,097718205;-0,194782708;-0,097145005;-0,009026129;-0,315216267;-0,04423657;-0,1286833;0,142720304;-0,199959607;-0,1260589;-0,164246671;-0,048740566;0,166032132;-0,1326686;0,10763144;-0,092927247;-0,05282899;0,037575311;-0,170653523;-0,064142728;-0,141215532;-0,154197512;-0,023594127;-0,09674415;-0,007543324;0,249266901;-0,043271303;0,078843546;-0,011048621;-0,174427497;-0,049352694;-0,173515836;-0,232971807;-0,155527796;-0,1608802;0,023546555;0,057739765;0,025991911;-0,288473559;-0,020195885;-0,071906263;-0,044647087;0,035415779;-0,152594202;-0,149926448;-0,235663343;-0,192203436;-0,178245055;0,039179666;0,01945466;-0,126050048;-0,103447904;-0,112159262;-0,042891125;-0,007622783;-0,037195905;-0,097538958;-0,099053395;0,072397525;-0,121578363;-0,09863764;0,04995123;-0,157236372;0,059631296;-0,097608634;-0,349534398;0,025187803;-0,237945973;-0,285897646;-0,226122856;-0,177988714;-0,24868235;-0,094890948;-0,166877824;-0,32238216;-0,181152745;-0,224022518;-0,326526247;-0,211170154;-0,173914548;0,072548048;-0,213335835;-0,094205094;-0,002669105;-0,23285693;-0,142022356;-0,177568802;-0,275390094;-0,107468475;-0,064656579;-0,191337078;-0,079664015;-0,029044084;-0,26088272;-0,135284838;-0,086825323;-0,129436844;-0,045831122;-0,054866505;-0,194187547;-0,179359796;-0,112511389;-0,06257592;-0,252966399;-0,03370504;-0,131919328;0,050531747;-0,184150508;-0,199004372;-0,132365413;-0,123266753;-0,147927924;-0,044991327;-0,126984581;-0,064275048;-0,162604757;-0,118641189;-0,127008058;-0,137268104;-0,126609608;-0,219555224;-0,237605831;0,129633602;0,032336641;-0,183100085;0,130955501;-0,292890497;-0,15659136;-0,31954697;-0,059107923;-0,238235384;-0,208833737;-0,237758648;-0,20846617;0,008931035;-0,275267992;0,060614996
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;1,155;0,9896;1,0538;1,1958;1,2072;1,1618;1,2913;1,3222;1,2814;1,0377;1,0035;0,7384;0,6797;0,4493;0,4917;0,2414;0,2398;0,2967;0,5228;0,5005;0,5615;0,5562;0,5651;0,7412;0,6992;0,7107;0,4791;0,4894;0,4889;0,4803;0,5045;0,5306;0,5387;0,6122;0,6106;0,7834;0,8723;0,9194;0,9272;0,9274;0,9169;0,567;0,5641;0,5875;0,7267;0,7312;0,6822;0,6819;0,72;0,6764;1,0745;1,0906;1,2467;1,2417;1,2854;1,1992;1,2137;1,3386;1,3812;1,3039;1,1893;1,0926;1,0192;1,0029;1,0597;1,1539;1,1616;1,1938;1,0653;0,9826;0,983;0,9972;0,9656;0,9362;0,9132;0,9484;0,9543;0,789;0,7692;0,7796;0,6596;0,3131;0,1871;0,112;0,6018;0,9326;1,1057;0,9935;0,9555;0,9838;1,0246;0,9545;0,8276;0,9564;0,9488;0,9269;0,9737;0,9381;0,7955;0,8321;0,7224;0,7116;0,7671;0,7479;0,7275;0,7091;0,7272;0,7589;0,6905;0,5592;0,5732;0,5972;0,6427;0,637;0,6335;0,7102;0,7407;0,6244;0,632;0,6018;0,4376;0,5174;0,5599;0,5778;0,7772;0,6555;0,5356;0,5901;0,5801;0,5932;0,5901;0,542;0,5636;0,5579;0,5777;0,5944;0,4909;0,4836;0,4453;0,4099;0,2546;0,3808;0,438;0,4999;0,6725;0,7921;0,7527;0,8966;0,9561;1,1189;1,0399;1,0233;1,0724;1,3244;1,3528;1,6311
VO monthly avg;Industrials; 187.00 ; 114.80 ; 352.48 ; 217.78 ; 127.69 ; 158.47 ; 446.28 ; 50.99 ; 107.57 ; 119.13 ; 349.50 ; 331.28 ; 156.59 ; 299.79 ; 80.40 ; 127.72 ; 135.72 ; 242.58 ; 57.98 ; 253.97 ; 70.62 ; 40.16 ; 40.11 ; 58.01 ; 24.00 ; 58.00 ; 40.94 ; 126.92 ; 105.80 ; 484.54 ; 233.42 ; 101.22 ; 362.12 ; 313.26 ; 244.26 ; 121.04 ; 48.15 ; 99.59 ; 192.71 ; 76.50 ; 265.64 ; 167.04 ; 277.93 ; 48.44 ; 249.06 ; 456.07 ; 410.27 ; 135.10 ; 64.34 ; 161.40 ; 173.88 ; 210.98 ; 122.33 ; 86.62 ; 105.48 ; 375.99 ; 415.32 ; 568.31 ; 259.07 ; 1079.30 ; 72.80 ; 331.02 ; 151.79 ; 148.97 ; 250.02 ; 141.42 ; 142.68 ; 81.63 ; 153.71 ; 254.12 ; 107.98 ; 73.78 ; 114.81 ; 125.18 ; 347.94 ; 196.76 ; 250.77 ; 514.60 ; 304.96 ; 255.91 ; 175.14 ; 201.78 ; 119.02 ; 303.72 ; 127.78 ; 200.05 ; 174.25 ; 151.48 ; 258.11 ; 454.51 ; 262.06 ; 329.13 ; 212.53 ; 89.40 ; 102.90 ; 356.97 ; 153.67 ; 109.10 ; 89.09 ; 192.39 ; 102.45 ; 122.50 ; 200.96 ; 72.87 ; 150.89 ; 130.48 ; 135.23 ; 389.71 ; 488.27 ; 90.50 ; 67.22 ; 476.25 ; 197.85 ; 352.74 ; 200.31 ; 117.81 ; 69.18 ; 109.89 ; 123.87 ; 690.37 ; 158.64 ; 58.23 ; 165.02 ; 111.24 ; 52.34 ; 48.43 ; 73.18 ; 242.57 ; 86.19 ; 105.68 ; 57.94 ; 54.71 ; 165.54 ; 41.93 ; 96.83 ; 66.00 ; 82.45 ; 290.49 ; 116.10 ; 77.73 ; 423.77 ; 247.52 ; 168.37 ; 483.87 ; 168.79 ; 294.26 ; 496.02 ; 142.40 ; 290.22 ; 126.57 ; 60.55 ; 40.57 ; 388.27 ; 747.10 ; 588.76 ; 303.00 ; 66.76 
Total assets;Industrials;129360;129360;129360;129360;129360;129360;129360;135236;135236;135236;135236;135236;135236;135236;135236;135236;135236;135236;135236;136857;136857;136857;136857;136857;136857;136857;136857;136857;136857;136857;136857;147828;147828;147828;147828;147828;147828;147828;147828;147828;147828;147828;147828;230315;230315;230315;230315;230315;230315;230315;230315;230315;230315;230315;230315;279578;279578;279578;279578;279578;279578;279578;279578;279578;279578;279578;279578;425135;425135;425135;425135;425135;425135;425135;425135;425135;425135;425135;425135;612411;612411;612411;612411;612411;612411;612411;612411;612411;612411;612411;612411;619753;619753;619753;619753;619753;619753;619753;619753;619753;619753;619753;619753;652109;652109;652109;652109;652109;652109;652109;652109;652109;652109;652109;652109;758467;758467;758467;758467;758467;758467;758467;758467;758467;758467;758467;758467;905903;905903;905903;905903;905903;905903;905903;905903;905903;905903;905903;905903;856348;856348;856348;856348;856348;856348;856348;856348;856348;856348;856348;856348;NA;NA;NA;NA;NA;NA
Net sales;Industrials;308496;308496;308496;308496;308496;308496;308496;193671;193671;193671;193671;193671;193671;193671;193671;193671;193671;193671;193671;172161;172161;172161;172161;172161;172161;172161;172161;172161;172161;172161;172161;193860;193860;193860;193860;193860;193860;193860;193860;193860;193860;193860;193860;253049;253049;253049;253049;253049;253049;253049;253049;253049;253049;253049;253049;323239;323239;323239;323239;323239;323239;323239;323239;323239;323239;323239;323239;440667;440667;440667;440667;440667;440667;440667;440667;440667;440667;440667;440667;684790;684790;684790;684790;684790;684790;684790;684790;684790;684790;684790;684790;576234;576234;576234;576234;576234;576234;576234;576234;576234;576234;576234;576234;530534;530534;530534;530534;530534;530534;530534;530534;530534;530534;530534;530534;712248;712248;712248;712248;712248;712248;712248;712248;712248;712248;712248;712248;844379;844379;844379;844379;844379;844379;844379;844379;844379;844379;844379;844379;862588;862588;862588;862588;862588;862588;862588;862588;862588;862588;862588;862588;NA;NA;NA;NA;NA;NA
common equity;Industrials;92598;92598;92598;92598;92598;92598;92598;105153;105153;105153;105153;105153;105153;105153;105153;105153;105153;105153;105153;119088;119088;119088;119088;119088;119088;119088;119088;119088;119088;119088;119088;121351;121351;121351;121351;121351;121351;121351;121351;121351;121351;121351;121351;152326;152326;152326;152326;152326;152326;152326;152326;152326;152326;152326;152326;188633;188633;188633;188633;188633;188633;188633;188633;188633;188633;188633;188633;257361;257361;257361;257361;257361;257361;257361;257361;257361;257361;257361;257361;455124;455124;455124;455124;455124;455124;455124;455124;455124;455124;455124;455124;480790;480790;480790;480790;480790;480790;480790;480790;480790;480790;480790;480790;485390;485390;485390;485390;485390;485390;485390;485390;485390;485390;485390;485390;613982;613982;613982;613982;613982;613982;613982;613982;613982;613982;613982;613982;643988;643988;643988;643988;643988;643988;643988;643988;643988;643988;643988;643988;632973;632973;632973;632973;632973;632973;632973;632973;632973;632973;632973;632973;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;0,08%;0,05%;0,15%;0,09%;0,05%;0,07%;0,19%;0,02%;0,04%;0,05%;0,15%;0,14%;0,07%;0,13%;0,03%;0,05%;0,06%;0,10%;0,02%;0,11%;0,03%;0,02%;0,02%;0,02%;0,01%;0,02%;0,02%;0,05%;0,04%;0,20%;0,10%;0,04%;0,15%;0,13%;0,10%;0,05%;0,02%;0,04%;0,08%;0,03%;0,11%;0,08%;0,13%;0,02%;0,11%;0,21%;0,20%;0,07%;0,03%;0,08%;0,09%;0,10%;0,06%;0,04%;0,05%;0,19%;0,21%;0,28%;0,13%;0,53%;0,04%;0,16%;0,08%;0,07%;0,12%;0,07%;0,07%;0,04%;0,08%;0,13%;0,05%;0,04%;0,06%;0,06%;0,17%;0,10%;0,12%;0,25%;0,15%;0,13%;0,09%;0,10%;0,06%;0,14%;0,06%;0,09%;0,08%;0,07%;0,12%;0,21%;0,12%;0,15%;0,10%;0,04%;0,05%;0,17%;0,07%;0,05%;0,04%;0,09%;0,05%;0,06%;0,09%;0,03%;0,07%;0,06%;0,06%;0,18%;0,22%;0,04%;0,03%;0,22%;0,09%;0,16%;0,09%;0,05%;0,03%;0,05%;0,06%;0,32%;0,07%;0,02%;0,07%;0,04%;0,02%;0,02%;0,03%;0,10%;0,03%;0,04%;0,02%;0,02%;0,07%;0,02%;0,04%;0,03%;0,03%;0,12%;0,05%;0,03%;0,17%;0,10%;0,07%;0,20%;0,07%;0,12%;0,20%;0,06%;0,12%;0,05%;0,02%;0,02%;0,16%;0,30%;0,24%;0,12%;0,03%
Return monthly;Industrials;;-0,077091706;0,750197941;-0,190454648;-0,029337804;-0,121185953;0,655093351;-0,22917079;0,189216945;-0,136442142;-0,2105;0,066497783;-0,093527316;0,37929905;-0,050106863;-0,18425;-0,129022372;0,111189303;-0,133312223;-0,230909755;0,050356295;-0,047942108;0,050356295;0,142469471;-0,166666667;0,10023753;0;0,272452504;-0,071258907;0;-0,038363171;0,079787234;0,296270232;0;0,23669924;0,048726953;0,09292591;0,191497511;-0,017839923;0,090983472;0,016649168;-0,016376512;0,116544173;0,04486835;0,142838776;0,399932501;0,104307297;0,208703246;0,115111379;-0,051614297;0,095240806;-0,018608036;-0,071129707;0,006899304;0;0,178096155;0,215102865;0,191423711;-0,120857959;0,139549815;0,077519637;0,098486713;0,172425379;-0,014711502;-0,009065348;-0,085367643;-0,033322636;-0,017235655;0,192973566;0,16175846;0,016228952;0,037975696;0,026823538;0,092639475;0,128258817;0,099303295;0,042481942;0,035653605;0,206557125;0,013586437;0,02546716;0,15032653;-0,059899072;0,152437296;0,026454766;-0,201030598;0,187096903;-0,080855473;-0,125001146;-0,057143456;-0,021638914;-0,09734885;0,045747852;-0,015624624;-0,17910776;-0,049508045;-0,083329418;-0,181825947;-0,075003654;-0,036592248;0,206359248;-0,078955035;0,042872206;0,131498595;-0,09927443;-0,007599056;-0,041105202;-0,137129394;0,026483025;0,058073021;-0,070125478;0,042659585;0,098396016;-0,13295172;-0,013324338;0,037167277;-0,003272744;0,071906078;0,067699495;-0,074924147;-0,065440996;0,006684811;0,05959778;-0,132164999;0,09815856;-0,006622828;0,166674547;-0,068574208;-0,079758072;-0,016643813;-0,007140453;-0,034481924;0,067865473;-0,013386881;0,050870052;-0,048407557;-0,010164489;-0,024241258;-0,042564204;-0,033335908;-0,137915424;-0,146665431;0,223927602;0,127680341;-0,075482585;0,244907801;-0,180320397;-0,04000556;-0,18751267;0,087182777;-0,094321684;-0,062515837;-0,094447448;-0,04907897;0,174207435;-0,093408692;0,060614996
