Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;1230000;1230000;1230000;1230000;1230000;1230000;1230000;887100;887100;887100;887100;887100;887100;887100;887100;887100;887100;887100;887100;2172300;2172300;2172300;2172300;2172300;2172300;2172300;2172300;2172300;2172300;2172300;2172300;1570000;1570000;1570000;1570000;1570000;1570000;1570000;1570000;1570000;1570000;1570000;1570000;2070000;2070000;2070000;2070000;2070000;2070000;2070000;2070000;2070000;2070000;2070000;2070000;365000;365000;365000;365000;365000;365000;365000;365000;365000;365000;365000;365000;581000;581000;581000;581000;581000;581000;581000;581000;581000;581000;581000;581000;801000;801000;801000;801000;801000;801000;801000;801000;801000;801000;801000;801000;2224000;2224000;2224000;2224000;2224000;2224000;2224000;2224000;2224000;2224000;2224000;2224000;5257000;5257000;5257000;5257000;5257000;5257000;5257000;5257000;5257000;5257000;5257000;5257000;12435000;12435000;12435000;12435000;12435000;12435000;12435000;12435000;12435000;12435000;12435000;12435000;17570000;17570000;17570000;17570000;17570000;17570000;17570000;17570000;17570000;17570000;17570000;17570000;26701000;26701000;26701000;26701000;26701000;26701000;26701000;26701000;26701000;26701000;26701000;26701000;NA;NA;NA;NA;NA;NA
Excess return;Financials;;-0,184833105;-0,179320254;-0,28790976;-0,12905437;-0,118443587;-0,163138442;-0,128056391;-0,140360589;-0,241206111;-0,167374717;-0,137632716;-0,340287999;-0,145200807;-0,110888006;-0,136995551;-0,1465595;-0,273677854;-0,185714297;-0,205345511;-0,041322668;-0,020254617;-0,163628396;-0,164238259;-0,178436402;-0,18147723;-0,097150521;-0,247671468;-0,060288024;-0,091798612;0,036167875;-0,117408398;0,126762121;-0,169078155;-0,002864202;-0,082524726;-0,07914351;-0,123310015;-0,108885783;-0,098313603;-0,045438827;-0,222079528;-0,152458974;-0,114082152;-0,032575803;-0,167179157;-0,021702609;-0,013346703;-0,118760971;-0,134926914;-0,068914461;-0,062988733;-0,152289917;-0,033417753;-0,1258522;-0,153150472;-0,074151308;-0,159830951;-0,049176791;-0,124849178;-0,014432607;-0,041947723;-0,113501721;-0,112157671;-0,114216598;-0,229647753;-0,186088059;0,005418426;-0,120477678;-0,115262015;-0,030835334;-0,059516989;-0,031319836;0,008849798;-0,129572819;-0,113705983;0,031922642;-0,151884017;-0,196043224;-0,140018758;-0,179389061;-0,1560047;-0,065196509;-0,13555739;-0,167114578;-0,275747597;-0,011301557;-0,26698358;-0,144109377;-0,211233138;-0,251683081;-0,161056425;-0,114188728;-0,163123822;0,003729479;-0,177646189;0,035344025;-0,137846217;-0,175226887;-0,073419681;-0,144540593;0,001935469;-0,20926796;-0,062054532;-0,120470715;-0,087315999;-0,055626946;-0,111770814;-0,129181241;-0,153604055;-0,038479102;-0,084258269;-0,082107684;-0,148746899;-0,116066737;-0,081052544;-0,151476474;-0,011413926;-0,114114463;-0,143483921;-0,12622514;-0,185683337;-0,093755406;-0,164225115;-0,136133825;-0,091920051;-0,150164076;-0,109108173;-0,15226476;-0,08612859;-0,06101505;-0,093875684;-0,100133809;-0,07674851;-0,046925081;-0,0803786;-0,099552675;-0,151968784;-0,06680138;-0,075678732;-0,037309251;-0,143251176;-0,094617113;-0,102751534;0,006722365;-0,03404469;0,034970209;-0,043377839;-0,053356475;-0,107861242;-0,062499311;-0,040912709;-0,145564652;-0,13364682;-0,042273647;-0,137297862;0,036938238
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,6967;0,7031;0,787;0,7603;0,764;0,7646;0,7225;0,7148;0,7448;0,7238;0,6773;0,3984;0,3958;0,4686;0,474;0,4538;0,4565;0,451;0,4731;0,4241;0,3807;0,3826;0,4342;0,4466;0,4568;0,4406;0,4085;0,3976;0,4101;0,41;0,4148;0,4814;0,4537;0,515;0,5471;0,7885;0,779;0,7832;0,777;0,7535;0,7762;0,7471;0,7469;0,7939;0,7591;0,7286;0,7351;0,7355;0,6964;0,699;0,5169;0,5798;0,784;0,781;0,7294;0,607;0,4841;0,3838;0,3788;0,4246;0,4494;0,4902;0,4677;0,5365;0,5976;0,5961;0,4567;0,4476;0,4657;0,4828;0,4815;0,4906;0,4699;0,4736;0,4902;0,3539;0,3745;0,4549;0,53;0,5613;0,707;0,8436;0,7977;0,7002;0,8523;1,004;1,1165;1,068;1,0482;1,1115;1,0167;1,0358;0,8485;0,6446;0,6277;0,6048;0,6031;0,6144;0,5925;0,5897;0,6643;0,6753;0,6833;0,6842;0,6918;0,7013;0,7019;0,695;0,6647;0,6021;0,5687;0,5701;0,5672;0,5693;0,5626;0,5721;0,6083;0,7901;0,7924;0,7772;0,8202;0,8682;0,8798;0,8775;0,745;0,7547;0,745;0,7591;0,7155;0,6797;0,6807;0,6751;0,674;0,7029;0,688;0,6933;0,7054;0,7159;0,7303;0,7411;0,6326;0,6113;0,6039;0,7005;0,6722;0,5573;0,534;0,528;0,4174;0,3651;0,3473;0,3303;0,2864;0,2501;0,3023;0,2683
VO monthly avg;Financials; 267.70 ; 69.78 ; 131.81 ; 121.80 ; 201.94 ; 38.99 ; 351.18 ; 122.19 ; 291.21 ; 119.49 ; 52.95 ; 112.74 ; 115.08 ; 35.21 ; 124.19 ; 191.29 ; 53.47 ; 125.60 ; 84.97 ; 132.74 ; 75.04 ; 229.28 ; 150.37 ; 81.64 ; 138.53 ; 284.67 ; 90.00 ; 77.52 ; 157.63 ; 350.04 ; 332.34 ; 58.69 ; 90.72 ; 272.02 ; 188.67 ; 217.81 ; 170.36 ; 60.34 ; 168.82 ; 189.77 ; 154.73 ; 538.49 ; 176.06 ; 225.93 ; 134.67 ; 329.40 ; 276.27 ; 476.02 ; 145.86 ; 151.39 ; 514.89 ; 209.71 ; 187.93 ; 157.48 ; 184.41 ; 414.19 ; 173.86 ; 252.33 ; 430.25 ; 318.25 ; 268.23 ; 156.60 ; 263.25 ; 407.47 ; 219.51 ; 211.29 ; 421.77 ; 316.58 ; 131.75 ; 369.16 ; 220.27 ; 314.26 ; 189.14 ; 276.93 ; 330.21 ; 452.40 ; 367.85 ; 301.18 ; 416.60 ; 185.20 ; 446.55 ; 528.28 ; 368.60 ; 2203.40 ; 1142.96 ; 1043.24 ; 1699.09 ; 1856.69 ; 923.74 ; 683.56 ; 721.16 ; 1089.46 ; 650.03 ; 1048.30 ; 1434.76 ; 567.41 ; 566.05 ; 567.27 ; 595.18 ; 1187.43 ; 579.02 ; 1496.39 ; 1555.95 ; 984.35 ; 1583.46 ; 1565.43 ; 1323.60 ; 1096.37 ; 1435.88 ; 895.62 ; 1045.66 ; 1165.75 ; 533.34 ; 1468.11 ; 985.65 ; 565.97 ; 750.88 ; 1040.09 ; 743.88 ; 1157.06 ; 945.97 ; 576.58 ; 510.98 ; 693.58 ; 957.71 ; 1093.14 ; 808.73 ; 634.20 ; 732.07 ; 1067.76 ; 700.97 ; 612.17 ; 792.15 ; 938.52 ; 881.16 ; 1385.51 ; 805.09 ; 830.30 ; 874.40 ; 787.75 ; 741.05 ; 1821.73 ; 748.10 ; 940.99 ; 449.51 ; 677.90 ; 1035.97 ; 1422.52 ; 1285.87 ; 1242.34 ; 1169.52 ; 1019.76 ; 1378.95 ; 1327.33 ; 1363.83 ; 665.92 ; 849.34 
Total assets;Financials;1966800;1966800;1966800;1966800;1966800;1966800;1966800;1980900;1980900;1980900;1980900;1980900;1980900;1980900;1980900;1980900;1980900;1980900;1980900;3341000;3341000;3341000;3341000;3341000;3341000;3341000;3341000;3341000;3341000;3341000;3341000;4022000;4022000;4022000;4022000;4022000;4022000;4022000;4022000;4022000;4022000;4022000;4022000;5203000;5203000;5203000;5203000;5203000;5203000;5203000;5203000;5203000;5203000;5203000;5203000;4258000;4258000;4258000;4258000;4258000;4258000;4258000;4258000;4258000;4258000;4258000;4258000;5401000;5401000;5401000;5401000;5401000;5401000;5401000;5401000;5401000;5401000;5401000;5401000;6509000;6509000;6509000;6509000;6509000;6509000;6509000;6509000;6509000;6509000;6509000;6509000;8951000;8951000;8951000;8951000;8951000;8951000;8951000;8951000;8951000;8951000;8951000;8951000;13329000;13329000;13329000;13329000;13329000;13329000;13329000;13329000;13329000;13329000;13329000;13329000;21247000;21247000;21247000;21247000;21247000;21247000;21247000;21247000;21247000;21247000;21247000;21247000;28351000;28351000;28351000;28351000;28351000;28351000;28351000;28351000;28351000;28351000;28351000;28351000;40156000;40156000;40156000;40156000;40156000;40156000;40156000;40156000;40156000;40156000;40156000;40156000;NA;NA;NA;NA;NA;NA
Net sales;Financials;2654100;2654100;2654100;2654100;2654100;2654100;2654100;3408100;3408100;3408100;3408100;3408100;3408100;3408100;3408100;3408100;3408100;3408100;3408100;3605000;3605000;3605000;3605000;3605000;3605000;3605000;3605000;3605000;3605000;3605000;3605000;3603000;3603000;3603000;3603000;3603000;3603000;3603000;3603000;3603000;3603000;3603000;3603000;3932000;3932000;3932000;3932000;3932000;3932000;3932000;3932000;3932000;3932000;3932000;3932000;5372000;5372000;5372000;5372000;5372000;5372000;5372000;5372000;5372000;5372000;5372000;5372000;6391000;6391000;6391000;6391000;6391000;6391000;6391000;6391000;6391000;6391000;6391000;6391000;7422000;7422000;7422000;7422000;7422000;7422000;7422000;7422000;7422000;7422000;7422000;7422000;9316000;9316000;9316000;9316000;9316000;9316000;9316000;9316000;9316000;9316000;9316000;9316000;13636000;13636000;13636000;13636000;13636000;13636000;13636000;13636000;13636000;13636000;13636000;13636000;16674000;16674000;16674000;16674000;16674000;16674000;16674000;16674000;16674000;16674000;16674000;16674000;19231000;19231000;19231000;19231000;19231000;19231000;19231000;19231000;19231000;19231000;19231000;19231000;22629000;22629000;22629000;22629000;22629000;22629000;22629000;22629000;22629000;22629000;22629000;22629000;NA;NA;NA;NA;NA;NA
common equity;Financials;669600;669600;669600;669600;669600;669600;669600;909800;909800;909800;909800;909800;909800;909800;909800;909800;909800;909800;909800;1041300;1041300;1041300;1041300;1041300;1041300;1041300;1041300;1041300;1041300;1041300;1041300;2385000;2385000;2385000;2385000;2385000;2385000;2385000;2385000;2385000;2385000;2385000;2385000;3066000;3066000;3066000;3066000;3066000;3066000;3066000;3066000;3066000;3066000;3066000;3066000;3893000;3893000;3893000;3893000;3893000;3893000;3893000;3893000;3893000;3893000;3893000;3893000;4820000;4820000;4820000;4820000;4820000;4820000;4820000;4820000;4820000;4820000;4820000;4820000;5708000;5708000;5708000;5708000;5708000;5708000;5708000;5708000;5708000;5708000;5708000;5708000;6727000;6727000;6727000;6727000;6727000;6727000;6727000;6727000;6727000;6727000;6727000;6727000;8072000;8072000;8072000;8072000;8072000;8072000;8072000;8072000;8072000;8072000;8072000;8072000;8808000;8808000;8808000;8808000;8808000;8808000;8808000;8808000;8808000;8808000;8808000;8808000;10780000;10780000;10780000;10780000;10780000;10780000;10780000;10780000;10780000;10780000;10780000;10780000;12674000;12674000;12674000;12674000;12674000;12674000;12674000;12674000;12674000;12674000;12674000;12674000;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;0,07%;0,02%;0,03%;0,03%;0,05%;0,01%;0,09%;0,03%;0,08%;0,03%;0,01%;0,03%;0,03%;0,01%;0,03%;0,05%;0,01%;0,03%;0,02%;0,03%;0,02%;0,06%;0,04%;0,02%;0,04%;0,07%;0,02%;0,02%;0,04%;0,09%;0,08%;0,01%;0,02%;0,05%;0,04%;0,04%;0,03%;0,01%;0,03%;0,04%;0,03%;0,10%;0,03%;0,04%;0,03%;0,06%;0,05%;0,09%;0,03%;0,03%;0,09%;0,04%;0,03%;0,03%;0,03%;0,08%;0,03%;0,05%;0,08%;0,06%;0,05%;0,03%;0,04%;0,07%;0,04%;0,04%;0,07%;0,05%;0,02%;0,06%;0,04%;0,05%;0,03%;0,05%;0,06%;0,08%;0,06%;0,05%;0,07%;0,03%;0,08%;0,09%;0,06%;0,37%;0,19%;0,18%;0,29%;0,31%;0,16%;0,12%;0,12%;0,18%;0,11%;0,18%;0,24%;0,10%;0,10%;0,10%;0,10%;0,20%;0,10%;0,25%;0,26%;0,17%;0,27%;0,26%;0,22%;0,19%;0,24%;0,15%;0,18%;0,20%;0,09%;0,25%;0,17%;0,10%;0,13%;0,18%;0,13%;0,20%;0,16%;0,10%;0,09%;0,12%;0,16%;0,18%;0,14%;0,11%;0,12%;0,18%;0,12%;0,10%;0,13%;0,16%;0,15%;0,23%;0,14%;0,14%;0,15%;0,13%;0,13%;0,31%;0,13%;0,16%;0,08%;0,11%;0,18%;0,24%;0,22%;0,21%;0,20%;0,17%;0,23%;0,22%;0,23%;0,11%;0,14%
Return monthly;Financials;;-0,016937805;-0,012939254;-0,11791086;0,03957763;0,047626213;-0,009120942;0,022976009;0,013461811;-0,088506711;-0,019404817;-0,009933516;-0,199952599;0,006220993;0,043473994;0,023793849;0;-0,129064854;-0,038708997;-0,068027211;0,095361432;0,115649183;-0,024373796;-0,031302459;-0,045158002;-0,05401943;0,027084979;-0,123722668;0,063448276;0,029831388;0,156400275;0,008019802;0,251645221;-0,042533155;0,122203098;0,059450774;0,06073349;0,022031585;0,034465217;0,045856897;0,103561773;-0,072912228;-0,000804274;0,040533548;0,119847497;-0,016677357;0,129208691;0,119889797;0,005912229;-0,010689914;0,040550239;0,059738667;-0,019597917;0,099985247;0;-0,035909472;0,037246992;-0,054551551;0,055287609;-0,020499378;0,088379593;0,063234877;-0,011236621;-0,003658171;-0,002467798;-0,114493453;-0,071615959;0,119417226;-0,004458578;-0,004445615;0,079849166;0,049990811;0,076433864;0,115236598;-0,020340219;-0,014660283;0,135416142;-0,038225317;-0,076953224;-0,018606858;-0,052298061;-0,0222079;0,070608591;-0,00569479;-0,027269678;-0,122745597;0,151287943;-0,10519958;0,022627223;-0,034208638;-0,095830981;-0,004601025;0,027766772;-0,031514022;0,126774579;-0,066293789;0,152689325;-0,013539017;-0,051849387;0,048631419;-0,014389693;0,134029369;-0,07747006;0,068100068;0,010862685;0,046615901;0,079242754;0,022464186;0,003144859;-0,028171755;0,082448998;0,036358031;0,040575916;-0,025080999;0,001427063;0,034239756;-0,033653574;0,116762374;0,018556737;-0,013170321;0,01179746;-0,044386737;0,048571994;-0,024542615;-0,006298825;0,039626049;-0,020829076;0,017115127;-0,02448826;0,03504251;0,06081905;0,027955616;0,019678191;0,04598419;0,075168919;0,0400493;0,022437525;-0,034567084;0,04585752;0,038460568;0,068144549;-0,037789276;0,010128587;0,005229966;0,114320965;0,06511521;0,133762209;0,049986161;0,044739725;-0,009059942;0,037780589;0,061746191;-0,051771452;-0,04194052;0,056821253;-0,041294962;0,036938238
