Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;1094183;1094183;1094183;1094183;1072665;1072665;1072665;1072665;1072665;1072665;1072665;1072665;1072665;1072665;1072665;1072665;629435;629435;629435;629435;629435;629435;629435;629435;629435;629435;629435;629435;396933;396933;396933;396933;396933;396933;396933;396933;396933;396933;396933;396933;334733;334733;334733;334733;334733;334733;334733;334733;334733;334733;334733;334733;273561;273561;273561;273561;273561;273561;273561;273561;273561;273561;273561;273561;220120;220120;220120;220120;220120;220120;220120;220120;220120;220120;220120;220120;234782;234782;234782;234782;234782;234782;234782;234782;234782;234782;234782;234782;223073;223073;223073;223073;223073;223073;223073;223073;223073;223073;223073;223073;175728;175728;175728;175728;175728;175728;175728;175728;175728;175728;175728;175728;73487;73487;73487;73487;73487;73487;73487;73487;73487;73487;73487;73487;76613;76613;76613;76613;76613;76613;76613;76613;76613;76613;76613;76613;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;-0,125480674;-0,367022598;-0,25460159;-0,233518495;0,1374607;-0,278135851;-0,077026102;-0,159124151;-0,352085858;0,047492777;-0,079382361;-0,203434204;-0,119416146;-0,1651539;-0,237457384;-0,197671404;0,199261714;-0,159440791;-0,188966752;-0,077522997;-0,114826254;-0,090667825;-0,064868703;-0,118749298;-0,149889572;-0,29637304;-0,334804088;-0,092338095;-0,203832666;-0,055098192;-0,102619556;-0,14688834;-0,232436445;-0,164394009;0,013753477;0,120370596;-0,21900462;-0,124434718;-0,169006193;-0,1427006;-0,139208258;-0,001881747;0,007458704;-0,13701494;-0,153335787;-0,060824789;-0,141886655;-0,175435706;0,14093565;-0,051992668;-0,112282434;-0,077893764;0,17210162;-0,138491819;-0,101448933;-0,11885969;-0,136627022;-0,181120738;-0,118896066;-0,037303798;-0,023707596;-0,213094608;-0,043228241;-0,111750349;-0,187846593;-0,070707479;-0,1467147;-0,155323073;-0,141246145;-0,162808157;-0,213841551;-0,04901054;-0,155052774;-0,079605045;-0,1485826;-0,178979024;-0,224052699;-0,184577077;-0,210883803;-0,211043491;-0,252547032;-0,200790767;0,005576143;-0,176522065;-0,229699871;-0,246677133;-0,063498962;0,016848278;-0,233635242;-0,251803863;-0,120836225;-0,077742137;0,092156815;-0,22753588;-0,149510415;-0,085398;-0,185475612;-0,526088794;-0,1076052;-0,23373042;0,081342809;-0,260456187;-0,044042326;-0,009064543;0,00382549;-0,025781199;-0,276129943;-0,205717446;-0,100735439;-0,136508;-0,194370545;-0,110525318;-0,17318051;-0,05181152;-0,171492793;-0,108470705;-0,1475236;-0,013701521;-0,27553233;-0,13759412;-0,15534984;-0,144064683;-0,09062759;-0,096229989;-0,119595;-0,242407971;0,016466848;-0,156844821;-0,058519198;-0,101515083;-0,451562737;-0,223577455;-0,232275259;-0,0925155;0,081791973;-0,343778363;-0,349561076;-0,150576042;-0,336444402;0,166510607;-0,267387029;-0,040755719;-0,06385;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,8709;0,8653;0,8662;0,8162;0,8602;0,907;0,7493;0,7026;0,7873;0,7976;0,7908;0,5804;0,5834;0,667;0,6453;0,732;0,7236;0,722;0,6755;0,6719;0,6484;0,6411;0,6046;0,636;0,6965;0,7311;0,8979;0,8914;0,6466;0,7315;0,7359;0,7732;0,6301;0,5855;0,5569;0,7668;0,7086;0,7236;0,7314;0,73;0,6762;0,6748;0,6964;0,6633;0,6468;0,6424;0,6279;0,6286;0,5101;0,4091;0,1427;0,1538;0,602;0,5973;0,5706;0,5601;0,5043;0,6353;0,5332;0,5885;0,6875;0,7377;0,7631;0,7854;0,8074;0,9448;0,9759;0,9669;0,9762;1,08;1,0821;1,0885;1,1642;1,1343;1,1537;1,1402;1,1494;1,12;0,9859;1,0047;1,0898;1,0402;0,7452;0,5449;0,6962;0,2857;0,1408;0,1478;0,1183;0,2464;0,258;0,2387;-0,0532;0,1273;0,1307;0,0767;0,096;0,3643;0,371;0,3604;0,5397;0,5539;0,6091;0,636;0,6901;0,7248;0,734;0,7251;0,6853;0,8466;0,816;0,7846;0,7812;0,76;0,7569;1,0817;1,0477;1,0972;1,1716;1,1563;0,7579;0,8128;0,794;0,784;0,4853;0,565;0,3875;0,3616;0,3415;0,2731;0,2448;0,3134;0,2929;0,3185;0,2185;0,1679;0,3324;0,4328;0,4502;0,535;0,467;0,278;0,2989;;;;;;;;;;;;;
VO monthly avg;Consumer Goods; 0.00 ; 25.50 ; 20.47 ; 9.16 ; 2.82 ; 16.99 ; 21.41 ; 21.60 ; 7.47 ; 16.03 ; 4.46 ; 26.15 ; 12.11 ; 14.50 ; 1.59 ; 6.27 ; 11.91 ; 9.29 ; 15.37 ; 31.45 ; 6.84 ; 2.21 ; 4.69 ; 9.58 ; 5.97 ; 7.01 ; 2.05 ; 0.74 ; 4.30 ; 4.19 ; 10.11 ; 8.73 ; 1.49 ; 3.43 ; 3.64 ; 138.57 ; 25.61 ; 5.51 ; 12.86 ; 18.88 ; 1.73 ; 11.14 ; 34.56 ; 32.55 ; 16.86 ; 5.68 ; 5.54 ; 2.85 ; 47.74 ; 87.05 ; 39.39 ; 79.58 ; 70.72 ; 24.12 ; 53.01 ; 179.21 ; 1072.84 ; 139.06 ; 28.83 ; 291.93 ; 37.42 ; 22.23 ; 65.96 ; 51.23 ; 24.24 ; 38.14 ; 105.19 ; 34.90 ; 7.30 ; 67.83 ; 14.60 ; 147.09 ; 21.57 ; 4.55 ; 58.54 ; 15.08 ; 98.46 ; 49.62 ; 10.91 ; 37.41 ; 3.27 ; 54.98 ; 9.86 ; 61.13 ; 78.04 ; 13.54 ; 83.63 ; 40.59 ; 42.51 ; 10.32 ; 26.43 ; 15.69 ; 8.55 ; 50.83 ; 11.88 ; 23.07 ; 19.32 ; 2.69 ; 48.66 ; 3.71 ; 11.60 ; 17.52 ; 2.52 ; 0.76 ; 2.75 ; 5.70 ; 9.87 ; 6.47 ; 19.04 ; 16.16 ; 19.71 ; 8.63 ; 8.62 ; 6.39 ; 46.51 ; 99.44 ; 13.90 ; 47.15 ; 239.59 ; 118.97 ; 9.82 ; 47.35 ; 70.90 ; 32.35 ; 3.50 ; 1.17 ; 22.70 ; 79.12 ; 17.64 ; 31.40 ; 35.30 ; 29.01 ; 80.98 ; 12.56 ; 43.46 ; 24.36 ; 10.23 ; 165.80 ; 172.78 ; 40.95 ; 16.36 ; 120.85 ; 14.21 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Consumer Goods;2006009;2006009;2006009;2006009;1987374;1987374;1987374;1987374;1987374;1987374;1987374;1987374;1987374;1987374;1987374;1987374;1348751;1348751;1348751;1348751;1348751;1348751;1348751;1348751;1348751;1348751;1348751;1348751;1123642;1123642;1123642;1123642;1123642;1123642;1123642;1123642;1123642;1123642;1123642;1123642;1101706;1101706;1101706;1101706;1101706;1101706;1101706;1101706;1101706;1101706;1101706;1101706;789646;789646;789646;789646;789646;789646;789646;789646;789646;789646;789646;789646;743357;743357;743357;743357;743357;743357;743357;743357;743357;743357;743357;743357;684089;684089;684089;684089;684089;684089;684089;684089;684089;684089;684089;684089;512445;512445;512445;512445;512445;512445;512445;512445;512445;512445;512445;512445;346298;346298;346298;346298;346298;346298;346298;346298;346298;346298;346298;346298;181052;181052;181052;181052;181052;181052;181052;181052;181052;181052;181052;181052;116724;116724;116724;116724;116724;116724;116724;116724;116724;116724;116724;116724;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;4641679;4641679;4641679;4641679;4410682;4410682;4410682;4410682;4410682;4410682;4410682;4410682;4410682;4410682;4410682;4410682;2927750;2927750;2927750;2927750;2927750;2927750;2927750;2927750;2927750;2927750;2927750;2927750;1879670;1879670;1879670;1879670;1879670;1879670;1879670;1879670;1879670;1879670;1879670;1879670;2061968;2061968;2061968;2061968;2061968;2061968;2061968;2061968;2061968;2061968;2061968;2061968;986016;986016;986016;986016;986016;986016;986016;986016;986016;986016;986016;986016;962069;962069;962069;962069;962069;962069;962069;962069;962069;962069;962069;962069;944586;944586;944586;944586;944586;944586;944586;944586;944586;944586;944586;944586;260223;260223;260223;260223;260223;260223;260223;260223;260223;260223;260223;260223;0;0;0;0;0;0;0;0;0;0;0;0;126959;126959;126959;126959;126959;126959;126959;126959;126959;126959;126959;126959;143461;143461;143461;143461;143461;143461;143461;143461;143461;143461;143461;143461;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;838316;838316;838316;838316;831423;831423;831423;831423;831423;831423;831423;831423;831423;831423;831423;831423;676471;676471;676471;676471;676471;676471;676471;676471;676471;676471;676471;676471;679681;679681;679681;679681;679681;679681;679681;679681;679681;679681;679681;679681;724888;724888;724888;724888;724888;724888;724888;724888;724888;724888;724888;724888;464569;464569;464569;464569;464569;464569;464569;464569;464569;464569;464569;464569;471076;471076;471076;471076;471076;471076;471076;471076;471076;471076;471076;471076;401043;401043;401043;401043;401043;401043;401043;401043;401043;401043;401043;401043;265128;265128;265128;265128;265128;265128;265128;265128;265128;265128;265128;265128;165280;165280;165280;165280;165280;165280;165280;165280;165280;165280;165280;165280;106941;106941;106941;106941;106941;106941;106941;106941;106941;106941;106941;106941;40111;40111;40111;40111;40111;40111;40111;40111;40111;40111;40111;40111;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,00%;0,08%;0,06%;0,03%;0,01%;0,05%;0,06%;0,06%;0,02%;0,05%;0,01%;0,08%;0,04%;0,04%;0,00%;0,02%;0,04%;0,03%;0,05%;0,09%;0,02%;0,01%;0,01%;0,03%;0,02%;0,02%;0,01%;0,00%;0,01%;0,01%;0,03%;0,03%;0,00%;0,01%;0,01%;0,42%;0,08%;0,02%;0,04%;0,06%;0,01%;0,03%;0,10%;0,10%;0,05%;0,02%;0,02%;0,01%;0,14%;0,26%;0,12%;0,24%;0,21%;0,07%;0,16%;0,53%;3,15%;0,41%;0,08%;0,86%;0,11%;0,07%;0,19%;0,15%;0,07%;0,11%;0,31%;0,10%;0,02%;0,20%;0,04%;0,43%;0,06%;0,01%;0,17%;0,04%;0,29%;0,15%;0,03%;0,11%;0,01%;0,16%;0,03%;0,18%;0,23%;0,04%;0,25%;0,12%;0,12%;0,03%;0,08%;0,05%;0,03%;0,15%;0,03%;0,07%;0,06%;0,01%;0,14%;0,01%;0,03%;0,05%;0,01%;0,00%;0,01%;0,02%;0,03%;0,02%;0,06%;0,05%;0,06%;0,03%;0,03%;0,02%;0,14%;0,29%;0,04%;0,14%;0,70%;0,35%;0,03%;0,14%;0,21%;0,09%;0,01%;0,00%;0,07%;0,23%;0,05%;0,09%;0,10%;0,09%;0,24%;0,04%;0,13%;0,07%;0,03%;0,49%;0,51%;0,12%;0,05%;0,35%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Consumer Goods;;0,052633226;-0,195651998;-0,08108099;-0,058825895;0,3125017;-0,122429951;0,073237698;-0,002624251;-0,194737058;0,202613177;0,059782839;-0,051280004;0,044504854;0;-0,059141384;-0,034284604;0,360947714;0,000315709;-0,036037052;0,076026203;0,037363046;0,059321975;0,079999297;0,029630202;-0,004130272;-0,14130534;-0,179745888;0,046297705;-0,061948166;0,085363508;0,041192044;-0,01089204;-0,101449945;-0,038709309;0,154361877;0,255812396;-0,07741782;0,016043482;-0,026316193;0;0,005404142;0,146591453;0,153846604;0,00833346;-0,008264587;0,083332911;-0,015384855;-0,062499406;0,24690895;0,033897432;-0,016393034;0,043332236;0,29393152;-0,022644019;0,012837367;-0,00618879;-0,015503122;-0,066929138;-0,004220566;0,080508702;0,097067504;-0,092219308;0,080951959;0,013215851;-0,050724193;0,076474221;0;-0,007142473;0,007193855;-0,014285857;-0,066666051;0,10248406;-0,007041874;0,071428055;0;-0,026666824;-0,068492699;-0,036765377;-0,061537703;-0,059836091;-0,106364432;-0,068293167;0,125654843;-0,046511465;-0,121950771;-0,145556733;0,040312438;0,125001178;-0,111112042;-0,143749863;-0,014598125;0,007406263;0,191176715;-0,13580178;-0,071428315;0;-0,076924712;-0,416665794;0;-0,11142932;0,205788509;-0,133332887;0,083075674;0,122161757;0,13923789;0,111110801;-0,139998643;-0,072093546;0,040100361;0;-0,060240745;0,025640282;-0,03750051;0,07792318;-0,024095693;0,037034395;0;0,142859279;-0,12133543;-0,00349642;-0,01754344;-0,007142683;0,04316441;0,017243911;0;-0,135595471;0,117647648;-0,052630321;0,037036102;-0,007142683;-0,352518537;-0,127774755;-0,133759759;0;0,169119673;-0,245287163;-0,249994676;-0,055563442;-0,235289402;0,261531607;-0,182923029;0,044774981;0;0;0;0;0;0;0;0;0;0;0;0;0;0
