Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;89;89;89;89;89;89;89;89;89;89;211657;211657;211657;211657;211657;211657;211657;211657;211657;211657;211657;211657;199965;199965;199965;199965;199965;199965;199965;199965;199965;199965;199965;199965;148010;148010;148010;148010;148010;148010;148010;148010;148010;148010;148010;148010;83510;83510;83510;83510;83510;83510;83510;83510;83510;83510;83510;83510;NA;NA;NA;NA;NA;NA;77588;77588;77588;77588;77588;77588;77588;77588;77588;77588;77588;77588;20081;20081;20081;20081;20081;20081;20081;20081;20081;20081;20081;20081;11326;11326;11326;11326;11326;11326;11326;11326;11326;11326;11326;11326;19035;19035;19035;19035;19035;19035;19035;19035;19035;19035;19035;19035;19035;19035;19035;12936;12936;12936;12936;12936;12936;12936;12936;12936;12936;12936;12936;19199;19199;19199;19199;19199;19199;19199;19199;19199;19199;19199;19199;781481;781481;781481;781481;781481;781481;781481;781481;781481;781481;781481;781481;NA;NA;NA;NA;NA;NA
Excess return;Financials;;0;0;0;0;0;0;0;0;0;0;0;0;-0,6162722;-0,1854273;-0,310971159;-0,2987714;-0,111034082;-0,404130933;-0,04234979;-0,269426334;0,038225102;-0,246344381;-0,066870386;-0,078598319;-0,384697018;0,020143113;0,008797772;-0,221797568;-0,1449589;-0,224033199;-0,230921209;-0,241164559;0,062395828;-0,119353952;-0,367536805;0,210172414;-0,18600509;-0,0944;0;0;0;0;0;0;0;0;0;0;0;-0,518660441;-0,282763998;-0,124574136;0,370263048;-0,537461109;-0,224590164;0,29190395;-0,275231721;-0,414757438;-0,303976446;0,709248405;-0,245851003;-0,142863984;-0,122813246;-0,1892766;-0,1925498;-0,1957043;-0,122502524;-0,356688791;-0,137328484;0,14611752;-0,167620262;-0,114683048;-0,117469925;-0,111822244;-0,196961948;-0,09626887;-0,150105125;-0,261685952;-0,018029761;-0,021277122;-0,177524037;-0,265554243;-0,277059562;0,175726851;-0,146638776;-0,051284046;-0,121837472;-0,283094224;-0,084869951;0,075593099;-0,1117695;-0,1018119;-0,067209555;-0,014610642;-0,156809355;0,044646442;-0,194384459;0,015443026;-0,0949674;-0,04657077;-0,144683629;-0,087218234;0,006084087;-0,213660904;0,00103442;-0,06779057;-0,02310859;-0,1005048;-0,0933716;-0,081705821;-0,0931672;-0,080485816;-0,0993416;-0,072198691;-0,085377951;-0,1368965;-0,042352342;-0,021376819;-0,0960794;-0,059920037;-0,149714514;-0,025889385;-0,116243216;-0,091369628;-0,1102458;-0,10949;-0,1087912;-0,128221743;0,113207673;-0,085538272;-0,197246374;0,017566022;-0,109223635;-0,129144981;-0,170778804;-0,046655763;-0,132081631;0,109102066;-0,19458618;-0,038599806;0,018592786;-0,139790088;0,098433252;-0,007865902;-0,022347005;-0,037370248;0,015629243;-0,061589198;-0,111180833;-0,109940659;-0,150279771;-0,0901329;-0,009337821;-0,065121438;-0,1066121;-0,007136061
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,7239;0,6429;0,601;0,7179;0,9059;0,9791;0,8683;0,8561;0,7833;0,7248;0,6829;0,8776;0,9455;0,9694;0,9671;0,9694;0,9678;1,1193;0,8654;0,8216;0,7869;0,795;0,8125;0,8395;0,9104;0,8605;0,83;0,839;0,7481;0,7803;0,7391;0,7122;0,7113;0,6924;0,7505;0,3265;0,2588;0,2523;;;;;;;;;;;;0,1752;0,6637;0,4734;1,2904;1,3296;1,3118;1,6757;1,3616;1,7204;1,3342;2,2698;1,9887;1,9667;1,9063;1,8982;1,8282;1,8246;1,7461;1,6414;1,6389;1,6978;1,6996;1,6966;1,6943;1,6874;1,5087;1,2176;1,2224;1,2603;1,4513;1,3638;1,7774;1,3572;1,5817;0,059;0,2415;0,329;0,3423;0,2471;0,2484;0,1025;0,2105;0,3265;0,2113;0,1804;0,1699;0,1561;0,1976;0,1386;0,1537;0,1598;0,1317;0,1189;0,1345;0,1065;0,1325;0,145;0,1178;0,1764;0,1596;0,0932;0,0909;0,1344;0,1826;0,1832;0,1255;0,1273;0,1617;0,2143;0,2148;0,2338;0,3024;0,3113;0,3298;0,3336;0,4153;0,4166;0,43;0,4824;0,3086;0,2196;0,21;0,1628;0,1352;0,1168;0,1652;0,1689;0,1982;0,2276;0,2329;0,2409;0,143;0,0221;0,0766;0,023;-0,0222;-0,0604;-0,0936;-0,0677;-0,0717;0,0325;-0,0467;-0,0476;0,2283;0,2864;0,2937;0,4367
VO monthly avg;Financials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.04 ; 20.40 ; 114.38 ; 25.47 ; 34.99 ; 85.81 ; 22.72 ; 225.49 ; 11.68 ; 6.88 ; 10.09 ; 39.19 ; 31.16 ; 37.98 ; 63.83 ; 69.49 ; 47.19 ; 13.07 ; 3.21 ; 24.46 ; 8.11 ; 3.47 ; 13.77 ; 5.44 ; 10.65 ; 44.70 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 8.38 ; 37.77 ; 2.96 ; 383.25 ; 16.60 ; 6.28 ; 40.60 ; 41.63 ; 15.38 ; 34.60 ; 23.09 ; 30.97 ; 6.57 ; 32.33 ; 131.61 ; 70.34 ; 39.94 ; 28.24 ; 3.13 ; 25.77 ; 109.33 ; 51.88 ; 19.59 ; 105.54 ; 74.36 ; 43.85 ; 91.44 ; 3.02 ; 62.41 ; 40.07 ; 24.76 ; 15.91 ; 13.84 ; 45.84 ; 122.60 ; 52.05 ; 2.85 ; 0.80 ; 0.19 ; 25.69 ; 66.02 ; 1051.76 ; 0.03 ; 0.82 ; 97.73 ; 107.16 ; 68.46 ; 7.41 ; 153.45 ; 22.06 ; 7.55 ; 6.29 ; 3.91 ; 10.69 ; 21.60 ; 298.20 ; 266.17 ; 0.66 ; 0.04 ; 12.88 ; 18.43 ; 3.16 ; 3.59 ; 0.60 ; 0.98 ; 8.92 ; 0.01 ; 9.40 ; 701.61 ; 2.27 ; 3.40 ; 0.98 ; 2.21 ; 5.15 ; 0.53 ; 1.54 ; 3.60 ; 0.05 ; 11.27 ; 7.05 ; 9.35 ; 5.35 ; 6.47 ; 5.83 ; 3.58 ; 1.48 ; 23.49 ; 51.81 ; 1.26 ; 3.05 ; 0.20 ; 6.02 ; 0.31 ; 0.90 ; 166.16 ; 105.36 ; 11.71 ; 134.70 ; 64.08 ; 164.28 ; 7.77 ; 179.71 ; 304.10 ; 100.12 ; 195.42 ; 74.29 ; 149.67 
Total assets;Financials;7640;7640;7640;7640;7640;7640;7640;7640;7640;7640;325913;325913;325913;325913;325913;325913;325913;325913;325913;325913;325913;325913;283459;283459;283459;283459;283459;283459;283459;283459;283459;283459;283459;283459;216753;216753;216753;216753;216753;216753;216753;216753;216753;216753;216753;216753;143426;143426;143426;143426;143426;143426;143426;143426;143426;143426;143426;143426;NA;NA;NA;NA;NA;NA;155487;155487;155487;155487;155487;155487;155487;155487;155487;155487;155487;155487;138747;138747;138747;138747;138747;138747;138747;138747;138747;138747;138747;138747;136841;136841;136841;136841;136841;136841;136841;136841;136841;136841;136841;136841;144769;144769;144769;144769;144769;144769;144769;144769;144769;144769;144769;144769;144769;144769;144769;147028;147028;147028;147028;147028;147028;147028;147028;147028;147028;147028;147028;163387;163387;163387;163387;163387;163387;163387;163387;163387;163387;163387;163387;785079;785079;785079;785079;785079;785079;785079;785079;785079;785079;785079;785079;NA;NA;NA;NA;NA;NA
Net sales;Financials;0;0;0;0;0;0;0;0;0;0;46110;46110;46110;46110;46110;46110;46110;46110;46110;46110;46110;46110;57009;57009;57009;57009;57009;57009;57009;57009;57009;57009;57009;57009;50528;50528;50528;50528;50528;50528;50528;50528;50528;50528;50528;50528;32421;32421;32421;32421;32421;32421;32421;32421;32421;32421;32421;32421;NA;NA;NA;NA;NA;NA;26499;26499;26499;26499;26499;26499;26499;26499;26499;26499;26499;26499;24095;24095;24095;24095;24095;24095;24095;24095;24095;24095;24095;24095;16180;16180;16180;16180;16180;16180;16180;16180;16180;16180;16180;16180;15841;15841;15841;15841;15841;15841;15841;15841;15841;15841;15841;15841;15841;15841;15841;17295;17295;17295;17295;17295;17295;17295;17295;17295;17295;17295;17295;19630;19630;19630;19630;19630;19630;19630;19630;19630;19630;19630;19630;54184;54184;54184;54184;54184;54184;54184;54184;54184;54184;54184;54184;NA;NA;NA;NA;NA;NA
common equity;Financials;7551;7551;7551;7551;7551;7551;7551;7551;7551;7551;114256;114256;114256;114256;114256;114256;114256;114256;114256;114256;114256;114256;83494;83494;83494;83494;83494;83494;83494;83494;83494;83494;83494;83494;68743;68743;68743;68743;68743;68743;68743;68743;68743;68743;68743;68743;59916;59916;59916;59916;59916;59916;59916;59916;59916;59916;59916;59916;NA;NA;NA;NA;NA;NA;77899;77899;77899;77899;77899;77899;77899;77899;77899;77899;77899;77899;118666;118666;118666;118666;118666;118666;118666;118666;118666;118666;118666;118666;125515;125515;125515;125515;125515;125515;125515;125515;125515;125515;125515;125515;125734;125734;125734;125734;125734;125734;125734;125734;125734;125734;125734;125734;125734;125734;125734;134092;134092;134092;134092;134092;134092;134092;134092;134092;134092;134092;134092;144188;144188;144188;144188;144188;144188;144188;144188;144188;144188;144188;144188;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;3598;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,00%;0,02%;0,10%;0,02%;0,03%;0,07%;0,02%;0,19%;0,01%;0,01%;0,01%;0,03%;0,03%;0,03%;0,06%;0,06%;0,04%;0,01%;0,00%;0,02%;0,01%;0,00%;0,01%;0,00%;0,01%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,00%;0,33%;0,01%;0,01%;0,03%;0,04%;0,01%;0,03%;0,02%;0,03%;0,01%;0,03%;0,11%;0,06%;0,03%;0,02%;0,00%;0,02%;0,09%;0,04%;0,02%;0,09%;0,06%;0,04%;0,08%;0,00%;0,05%;0,03%;0,02%;0,01%;0,01%;0,04%;0,10%;0,04%;0,00%;0,00%;0,00%;0,02%;0,06%;0,90%;0,00%;0,00%;0,08%;0,09%;0,06%;0,01%;0,13%;0,02%;0,01%;0,01%;0,00%;0,01%;0,03%;0,35%;0,31%;0,00%;0,00%;0,02%;0,02%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,82%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,03%;0,06%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,06%;0,04%;0,00%;0,05%;0,02%;0,05%;0,00%;0,05%;0,08%;0,03%;0,05%;0,02%;0,04%
Return monthly;Financials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-0,4333;0;-0,117698959;-0,12;0,075681818;-0,232410733;0,12001101;-0,107151634;0,200110102;-0,083256881;0,090818114;0,083256881;-0,230785518;0,170933113;0,160554772;-0,076767268;0;-0,083369899;-0,090952609;-0,100052659;0,200117028;0,018527548;-0,254667305;0,317276814;-0,07411019;0;0;0;0;0;0;0;0;0;0;0;0;-0,399947341;-0,166739798;0,040021064;0,538227848;-0,374917709;-0,040021064;0,45858475;-0,085746521;-0,250102838;-0,083379046;0,909036505;-0,047648903;0,050032916;0,071473354;0;0;0;0,066705676;-0,166758091;0,050032916;0,33354232;0,017865538;0,070207852;0,065386275;0,061575856;-0,043503148;0,06064233;0,014293775;-0,084554052;0,153939639;0,173249078;-0,011370437;-0,080357143;-0,187592562;0,277091351;-0,036161776;0,062530854;-0,011770172;-0,166745024;0,028587549;0,180654599;0;0;0,035155645;0,079593058;-0,073725055;0,136445242;-0,100052659;0,111176126;0;0,05002633;-0,047642929;0,010005266;0,099843587;-0,117563404;0,09991942;0,03028083;0,07845461;0;0;0,009120879;0;0,017967984;0;0,017757809;0,001891949;-0,0472094;0,049548558;0,074905581;0;0,045481163;-0,043502614;0,081788015;-0,010826416;0,017694272;0;0;0;-0,026079943;0,205392473;0,006641728;-0,107689974;0,103433622;-0,023415235;-0,039987381;-0,083388104;0,043380837;-0,045442831;0,190424766;-0,11195948;0,036009194;0,086935086;-0,068264288;0,163732252;0,055985498;0,037897795;0,021882952;0,071464143;0,005693702;-0,033333333;-0,034482759;-0,071428571;0;0,084655379;0,033431662;0;-0,007136061
