Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;246699600;246699600;246699600;246699600;246699600;246699600;246699600;352117300;352117300;352117300;352117300;352117300;352117300;352117300;352117300;352117300;352117300;352117300;352117300;371281000;371281000;371281000;371281000;371281000;371281000;371281000;371281000;371281000;371281000;371281000;371281000;398103000;398103000;398103000;398103000;398103000;398103000;398103000;398103000;398103000;398103000;398103000;398103000;429510000;429510000;429510000;429510000;429510000;429510000;429510000;429510000;429510000;429510000;429510000;429510000;539240000;539240000;539240000;539240000;539240000;539240000;539240000;539240000;539240000;539240000;539240000;539240000;673033000;673033000;673033000;673033000;673033000;673033000;673033000;673033000;673033000;673033000;673033000;673033000;767536000;767536000;767536000;767536000;767536000;767536000;767536000;767536000;767536000;767536000;767536000;767536000;755720000;755720000;755720000;755720000;755720000;755720000;755720000;755720000;755720000;755720000;755720000;755720000;785834000;785834000;785834000;785834000;785834000;785834000;785834000;785834000;785834000;785834000;785834000;785834000;633148000;633148000;633148000;633148000;633148000;633148000;633148000;633148000;633148000;633148000;633148000;633148000;699487000;699487000;699487000;699487000;699487000;699487000;699487000;699487000;699487000;699487000;699487000;699487000;789443000;789443000;789443000;789443000;789443000;789443000;789443000;789443000;789443000;789443000;789443000;789443000;NA;NA;NA;NA;NA;NA
Excess return;Financials;;-0,170035341;-0,292459353;-0,208382998;-0,072943551;-0,145987848;-0,153337256;-0,176851768;-0,161358077;-0,290746637;-0,111547159;-0,220581871;-0,112005811;-0,289861343;-0,115362466;-0,199909372;0,029966654;-0,142119161;-0,218700411;-0,282248047;-0,193124059;-0,146611174;-0,081814266;-0,019695212;-0,206074596;-0,172962644;-0,156314737;-0,196812765;-0,045116249;-0,119846514;-0,074755037;-0,075397685;-0,192445163;-0,172243986;0,006341294;-0,082753646;-0,097565876;-0,137390329;-0,119872678;-0,039352761;-0,166231455;-0,077624725;-0,139181744;-0,157611466;-0,080701592;-0,012340812;-0,120427222;-0,033105643;-0,116805328;-0,096353264;-0,086673469;-0,153553304;-0,160714131;-0,086444313;-0,118268985;0,010140676;-0,177210968;-0,022453916;-0,191237602;-0,140886671;0,031367953;-0,091342452;-0,172106185;-0,054094783;-0,154824721;-0,256430324;-0,203137591;-0,135266418;-0,122673292;-0,15905399;-0,042134297;-0,123911953;-0,026696856;-0,112107148;-0,106736616;-0,111389186;-0,13814006;-0,25790515;-0,17404534;-0,13543781;-0,145958771;-0,207055374;0,020639928;-0,270590796;-0,252260994;-0,331963683;-0,052707989;-0,299041366;-0,204915009;-0,252394773;-0,236008213;0,116889999;-0,143832379;-0,117803809;-0,267490722;0,063720551;-0,14637543;-0,209286796;-0,322741611;-0,101881344;-0,053252175;-0,089903757;-0,105994876;-0,055742697;-0,087478813;-0,097680514;-0,044996061;-0,160067535;-0,077396901;-0,110406314;-0,149738562;0,003946593;-0,117143417;-0,178751774;-0,208295593;-0,02292736;-0,19067234;-0,030024016;-0,164945049;-0,17298267;-0,012423572;-0,147821659;-0,141613533;-0,099542798;-0,123375143;-0,160540857;-0,187432741;-0,179703738;-0,104931215;-0,172283094;-0,076203526;-0,124586309;-0,106975551;-0,053441942;-0,080956467;-0,129736432;-0,071376153;-0,110717218;-0,093770241;-0,071422193;-0,118968102;-0,099203919;-0,05932744;-0,096200141;-0,039861985;-0,069036824;-0,153864029;-0,045140353;-0,137282954;-0,163209718;-0,130538495;-0,089357769;-0,09514025;-0,001516267;-0,022635357;-0,182665868;0,061520255
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;1,0156;1,115;1,0533;1,0511;1,0255;0,9666;0,9171;0,9034;0,9392;0,9053;0,8013;0,7123;0,7286;0,7272;0,7287;0,7239;0,7236;0,753;0,785;0,7534;0,7317;0,7243;0,7495;0,7195;0,7169;0,71;0,6957;0,6817;0,6274;0,6276;0,6396;0,6222;0,5647;0,6138;0,7093;0,7249;0,698;0,6926;0,6884;0,6927;0,6941;0,5705;0,5645;0,6078;0,6483;0,6589;0,6482;0,6485;0,6312;0,6131;0,5505;0,6262;0,7763;0,7755;0,8295;0,851;0,8778;0,8966;0,94;1,0146;0,9818;1,0448;1,0431;1,0427;1,1226;1,1631;1,1381;1,1327;1,1044;1,1151;1,1147;1,1311;1,1343;1,1364;1,1062;1,2763;1,3116;1,2895;1,2012;1,1913;1,1229;1,1567;1,235;1,2302;1,3447;1,313;1,3804;1,3451;1,3169;1,3348;0,7773;0,7786;0,5935;0,7058;0,7224;0,6737;0,6887;0,7711;0,7209;0,7366;0,7467;0,7354;0,7505;0,7562;0,7386;0,7556;0,7375;0,7303;0,6792;0,6319;0,6345;0,6482;0,66;0,6745;0,8771;1,0308;1,0435;0,9812;0,9951;1,0232;0,856;0,9555;0,9499;0,9552;1,0847;1,092;1,1639;1,1442;1,1354;1,0043;1,004;0,9681;1,0165;0,9883;0,9853;0,9968;0,9535;0,9113;0,825;0,8149;0,738;0,7664;0,7563;0,6624;0,6625;0,7192;0,7191;0,742;0,5366;0,5322;0,5209;0,5197;0,5272;0,6291;0,6809;0,6783
VO monthly avg;Financials; 1545.30 ; 5242.05 ; 6306.62 ; 5012.05 ; 6328.54 ; 6254.00 ; 8931.58 ; 7101.99 ; 13396.12 ; 7860.96 ; 5887.92 ; 6918.42 ; 10273.48 ; 10373.96 ; 7910.00 ; 9053.63 ; 11740.73 ; 13462.53 ; 12593.57 ; 9741.85 ; 14392.70 ; 8662.71 ; 7823.32 ; 13898.78 ; 7690.34 ; 8770.28 ; 9083.56 ; 8073.72 ; 8214.19 ; 8530.20 ; 8366.36 ; 7839.74 ; 9234.97 ; 14685.06 ; 11550.78 ; 12525.36 ; 7797.98 ; 14941.44 ; 10015.94 ; 10279.22 ; 7410.22 ; 12841.12 ; 10578.81 ; 11721.17 ; 10561.51 ; 12933.84 ; 11109.06 ; 11072.64 ; 7238.20 ; 8397.53 ; 8990.65 ; 10643.10 ; 9311.19 ; 9249.52 ; 10094.17 ; 10033.68 ; 8039.25 ; 10892.54 ; 10177.84 ; 8209.42 ; 14074.55 ; 10952.63 ; 11809.40 ; 22031.13 ; 13991.56 ; 14507.74 ; 24741.80 ; 17719.67 ; 13560.22 ; 14776.00 ; 18685.56 ; 14562.52 ; 10653.70 ; 11646.83 ; 13216.46 ; 15455.27 ; 8489.65 ; 12649.64 ; 15303.44 ; 15102.02 ; 15180.17 ; 13601.14 ; 25927.31 ; 13963.10 ; 10649.24 ; 19678.12 ; 17762.05 ; 22019.20 ; 17677.20 ; 18179.18 ; 23507.56 ; 28219.97 ; 22476.32 ; 22110.05 ; 28118.09 ; 20808.63 ; 14841.55 ; 17305.66 ; 17299.47 ; 26928.44 ; 17845.10 ; 16434.24 ; 14285.04 ; 19985.03 ; 13891.82 ; 18578.12 ; 17848.69 ; 16997.42 ; 12008.29 ; 13440.73 ; 14284.45 ; 12617.55 ; 16187.80 ; 19302.94 ; 14905.85 ; 12485.31 ; 14588.04 ; 14965.37 ; 13115.82 ; 19893.16 ; 10508.19 ; 12402.06 ; 12704.06 ; 10435.69 ; 9551.71 ; 9237.67 ; 10425.32 ; 11043.32 ; 12693.85 ; 14152.04 ; 15515.70 ; 9813.59 ; 9455.93 ; 12585.40 ; 14465.15 ; 10448.90 ; 9663.50 ; 18811.90 ; 14072.17 ; 9678.53 ; 6656.63 ; 12988.07 ; 11617.50 ; 11140.23 ; 8062.38 ; 7634.14 ; 8167.46 ; 12806.77 ; 11362.17 ; 13659.65 ; 22143.13 ; 8025.42 ; 5971.39 ; 9840.70 ; 7991.48 ; 11103.75 ; 7031.15 
Total assets;Financials;264623400;264623400;264623400;264623400;264623400;264623400;264623400;373535500;373535500;373535500;373535500;373535500;373535500;373535500;373535500;373535500;373535500;373535500;373535500;394712000;394712000;394712000;394712000;394712000;394712000;394712000;394712000;394712000;394712000;394712000;394712000;423838000;423838000;423838000;423838000;423838000;423838000;423838000;423838000;423838000;423838000;423838000;423838000;461656000;461656000;461656000;461656000;461656000;461656000;461656000;461656000;461656000;461656000;461656000;461656000;578744000;578744000;578744000;578744000;578744000;578744000;578744000;578744000;578744000;578744000;578744000;578744000;720253000;720253000;720253000;720253000;720253000;720253000;720253000;720253000;720253000;720253000;720253000;720253000;818602000;818602000;818602000;818602000;818602000;818602000;818602000;818602000;818602000;818602000;818602000;818602000;807817000;807817000;807817000;807817000;807817000;807817000;807817000;807817000;807817000;807817000;807817000;807817000;844797000;844797000;844797000;844797000;844797000;844797000;844797000;844797000;844797000;844797000;844797000;844797000;697367000;697367000;697367000;697367000;697367000;697367000;697367000;697367000;697367000;697367000;697367000;697367000;769294000;769294000;769294000;769294000;769294000;769294000;769294000;769294000;769294000;769294000;769294000;769294000;869071000;869071000;869071000;869071000;869071000;869071000;869071000;869071000;869071000;869071000;869071000;869071000;NA;NA;NA;NA;NA;NA
Net sales;Financials;25613600;25613600;25613600;25613600;25613600;25613600;25613600;32166200;32166200;32166200;32166200;32166200;32166200;32166200;32166200;32166200;32166200;32166200;32166200;39404000;39404000;39404000;39404000;39404000;39404000;39404000;39404000;39404000;39404000;39404000;39404000;38471000;38471000;38471000;38471000;38471000;38471000;38471000;38471000;38471000;38471000;38471000;38471000;41847000;41847000;41847000;41847000;41847000;41847000;41847000;41847000;41847000;41847000;41847000;41847000;76830000;76830000;76830000;76830000;76830000;76830000;76830000;76830000;76830000;76830000;76830000;76830000;103694000;103694000;103694000;103694000;103694000;103694000;103694000;103694000;103694000;103694000;103694000;103694000;82467000;82467000;82467000;82467000;82467000;82467000;82467000;82467000;82467000;82467000;82467000;82467000;84443000;84443000;84443000;84443000;84443000;84443000;84443000;84443000;84443000;84443000;84443000;84443000;61407000;61407000;61407000;61407000;61407000;61407000;61407000;61407000;61407000;61407000;61407000;61407000;61509000;61509000;61509000;61509000;61509000;61509000;61509000;61509000;61509000;61509000;61509000;61509000;68177000;68177000;68177000;68177000;68177000;68177000;68177000;68177000;68177000;68177000;68177000;68177000;73545000;73545000;73545000;73545000;73545000;73545000;73545000;73545000;73545000;73545000;73545000;73545000;NA;NA;NA;NA;NA;NA
common equity;Financials;16972100;16972100;16972100;16972100;16972100;16972100;16972100;20304900;20304900;20304900;20304900;20304900;20304900;20304900;20304900;20304900;20304900;20304900;20304900;22286000;22286000;22286000;22286000;22286000;22286000;22286000;22286000;22286000;22286000;22286000;22286000;23912000;23912000;23912000;23912000;23912000;23912000;23912000;23912000;23912000;23912000;23912000;23912000;26864000;26864000;26864000;26864000;26864000;26864000;26864000;26864000;26864000;26864000;26864000;26864000;32011000;32011000;32011000;32011000;32011000;32011000;32011000;32011000;32011000;32011000;32011000;32011000;39029000;39029000;39029000;39029000;39029000;39029000;39029000;39029000;39029000;39029000;39029000;39029000;44170000;44170000;44170000;44170000;44170000;44170000;44170000;44170000;44170000;44170000;44170000;44170000;45485000;45485000;45485000;45485000;45485000;45485000;45485000;45485000;45485000;45485000;45485000;45485000;51432000;51432000;51432000;51432000;51432000;51432000;51432000;51432000;51432000;51432000;51432000;51432000;56631000;56631000;56631000;56631000;56631000;56631000;56631000;56631000;56631000;56631000;56631000;56631000;62521000;62521000;62521000;62521000;62521000;62521000;62521000;62521000;62521000;62521000;62521000;62521000;72185000;72185000;72185000;72185000;72185000;72185000;72185000;72185000;72185000;72185000;72185000;72185000;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;0,03%;0,10%;0,12%;0,09%;0,12%;0,11%;0,16%;0,13%;0,25%;0,14%;0,11%;0,13%;0,19%;0,19%;0,15%;0,17%;0,22%;0,25%;0,23%;0,18%;0,26%;0,16%;0,14%;0,26%;0,14%;0,16%;0,17%;0,15%;0,15%;0,16%;0,15%;0,14%;0,17%;0,27%;0,21%;0,23%;0,14%;0,27%;0,18%;0,19%;0,14%;0,24%;0,19%;0,21%;0,19%;0,24%;0,20%;0,20%;0,13%;0,15%;0,16%;0,19%;0,17%;0,17%;0,18%;0,18%;0,14%;0,19%;0,18%;0,15%;0,25%;0,20%;0,21%;0,39%;0,25%;0,26%;0,44%;0,31%;0,24%;0,26%;0,33%;0,26%;0,19%;0,21%;0,23%;0,27%;0,15%;0,22%;0,27%;0,27%;0,27%;0,24%;0,46%;0,25%;0,19%;0,35%;0,32%;0,39%;0,31%;0,32%;0,42%;0,50%;0,40%;0,39%;0,50%;0,37%;0,26%;0,31%;0,31%;0,48%;0,32%;0,29%;0,25%;0,35%;0,25%;0,33%;0,32%;0,30%;0,21%;0,24%;0,25%;0,22%;0,29%;0,34%;0,26%;0,22%;0,26%;0,27%;0,23%;0,35%;0,19%;0,22%;0,23%;0,19%;0,17%;0,16%;0,18%;0,20%;0,23%;0,25%;0,28%;0,17%;0,17%;0,22%;0,26%;0,19%;0,17%;0,33%;0,25%;0,17%;0,12%;0,23%;0,21%;0,20%;0,14%;0,14%;0,14%;0,23%;0,20%;0,24%;0,39%;0,14%;0,11%;0,17%;0,14%;0,20%;0,12%
Return monthly;Financials;;0,023809659;-0,109301453;-0,020063698;0,112162949;0,032807952;0,012940044;-0,013937568;0,004711523;-0,126612737;0,044234741;-0,073106971;0,049295989;-0,122147743;0,055045634;-0,022103672;0,193353454;0,021519839;-0,052045411;-0,124183847;-0,034326959;0,010819726;0,077304234;0,130433288;-0,056409896;-0,028532644;-0,013985637;-0,054965665;0,092309951;0,015492286;0,059639763;0,058900915;-0,060569063;-0,039474586;0,141627194;0,055215054;0,037208124;0,002243471;0,017896522;0,100987339;-0,022403155;0,060416775;0,000981756;-0,014720066;0,064741308;0,133769888;0,025009378;0,094649857;0,003760272;0,022472036;0,024908031;-0,027902704;-0,028507231;0,046612187;0,013889515;0,142753676;-0,041009568;0,115131884;-0,051417602;0,000633129;0,167721353;0,048779948;-0,033590885;0,086295317;-0,010000921;-0,105555024;-0,045737291;0,021893682;0,033583908;-0,00840269;0,108441803;0,025947347;0,122914044;0,036036052;0,041303984;0,045767714;0,02439074;-0,09166665;-0,01266974;0,02566409;0,007333929;-0,053533274;0,183994928;-0,107338196;-0,081394894;-0,159494683;0,126507211;-0,119800066;-0,021250309;-0,061302373;-0,095238313;0,257141799;-0,017941879;0,017661591;-0,138479522;0,179413651;-0,02363733;-0,075107496;-0,191274911;0,029424456;0,082089925;0,045976443;0,030036624;0,078947903;0,046802987;0,039672286;0,092116439;-0,023608635;0,055842699;0,016903386;-0,024665062;0,129483193;0,011386583;-0,048458274;-0,070988293;0,12126304;-0,04543184;0,110191584;-0,019503749;-0,02717107;0,127854428;-0,001025159;0,005130167;0,045034802;0,027860957;-0,007744857;-0,031707041;-0,029219138;0,049298985;-0,030662194;0,065998474;0,015703991;0,034413949;0,087270958;0,059867433;0,009811968;0,066244347;0,018994682;0,024854759;0,047366507;-0,006874102;0,016029281;0,05501946;0,009381059;0,067125515;0,040322776;-0,043410729;0,061705647;-0,031677154;-0,053881118;-0,019321795;0,025233331;0,01382335;0,114067033;0,100311343;-0,060832968;0,061520255
