Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;825900;825900;825900;825900;825900;825900;825900;41100;41100;41100;41100;41100;41100;41100;41100;41100;41100;41100;41100;31000;31000;31000;31000;31000;31000;31000;31000;31000;31000;31000;31000;9500;9500;9500;9500;9500;9500;9500;9500;9500;9500;9500;9500;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;2700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Financials;;-0,156578935;-0,100977231;-0,421576363;0,151437608;0,037257548;-0,334167243;-0,296783456;-0,158803594;-0,241038983;-0,142468519;0,077826901;0,100511853;-0,323155113;-0,15607456;-0,209200962;-0,011162657;-0,264449165;-0,367733818;-0,4130991;0,01379611;-0,109262311;-0,244502197;-0,211625063;-0,250041603;-0,097861378;-0,324632232;-0,357174379;-0,289305778;0,061974286;-0,274591811;-0,1919625;-0,1985616;-0,00412901;-0,255276297;-0,085517357;-0,1636343;-0,246305997;0,16290591;-0,235902912;-0,260620494;-0,256746307;0,131297922;-0,091704281;-0,023948842;0,084932929;-0,09484371;-0,257215195;-0,006818792;-0,251888595;-0,121441;-0,1302433;-0,157797092;-0,020294174;-0,154182892;-0,0951721;-0,025253474;-0,1003906;-0,035831858;-0,175229042;0,133551817;0,191429705;-0,155438778;-0,199958775;-0,0741;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,8411;0,8819;1,1008;1,2003;1,2222;1,3427;1,3606;1,3377;1,2969;1,3094;1,3659;1,5177;1,5399;1,5332;1,53;1,5673;1,5696;1,6109;1,5808;1,5917;1,5735;1,5831;1,6369;1,7665;1,6929;1,7141;1,5226;1,5333;1,5864;1,5823;1,5422;1,5375;1,6232;1,4579;1,3929;1,2151;1,1561;1,1648;1,2068;1,2175;1,2252;1,0117;1,0175;1,0163;0,9874;0,9598;0,8372;0,836;0,9421;0,8578;0,707;0,6991;0,1243;0,1194;0,1209;0,2567;0,2505;0,3062;0,3476;0,5576;0,9304;0,7946;0,6768;0,6025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Financials; 72712.70 ; 156828.50 ; 177351.03 ; 230907.07 ; 209356.85 ; 232249.15 ; 263102.66 ; 218450.43 ; 188590.74 ; 197192.93 ; 451221.76 ; 140438.15 ; 209480.38 ; 246184.78 ; 347463.12 ; 163573.64 ; 397958.42 ; 262473.44 ; 331655.32 ; 270164.35 ; 317046.87 ; 281564.90 ; 591324.45 ; 283599.84 ; 295874.28 ; 245886.41 ; 616369.61 ; 253501.90 ; 236449.34 ; 182780.46 ; 3243.23 ; 1152.91 ; 153.96 ; 638.64 ; 1224.21 ; 324.37 ; 470.55 ; 484.94 ; 1075.29 ; 391.44 ; 297.03 ; 436.72 ; 477.69 ; 181.81 ; 180.37 ; 301.78 ; 905.34 ; 120.96 ; 282.74 ; 158.21 ; 570.81 ; 218.14 ; 587.87 ; 97.55 ; 230.72 ; 834.50 ; 63.27 ; 143.69 ; 52.54 ; 208.24 ; 147.59 ; 1384.35 ; 689.96 ; 606.15 ; 493.55 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Financials;3333300;3333300;3333300;3333300;3333300;3333300;3333300;4687200;4687200;4687200;4687200;4687200;4687200;4687200;4687200;4687200;4687200;4687200;4687200;103700;103700;103700;103700;103700;103700;103700;103700;103700;103700;103700;103700;90000;90000;90000;90000;90000;90000;90000;90000;90000;90000;90000;90000;80400;80400;80400;80400;80400;80400;80400;80400;80400;80400;80400;80400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Financials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5400;5400;5400;5400;5400;5400;5400;5400;5400;5400;5400;5400;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Financials;2506900;2506900;2506900;2506900;2506900;2506900;2506900;4646100;4646100;4646100;4646100;4646100;4646100;4646100;4646100;4646100;4646100;4646100;4646100;72700;72700;72700;72700;72700;72700;72700;72700;72700;72700;72700;72700;80500;80500;80500;80500;80500;80500;80500;80500;80500;80500;80500;80500;77700;77700;77700;77700;77700;77700;77700;77700;77700;77700;77700;77700;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;20,86%;44,99%;50,88%;66,24%;60,06%;66,63%;75,48%;62,67%;54,10%;56,57%;129,44%;40,29%;60,09%;70,62%;99,68%;46,92%;114,16%;75,30%;95,14%;77,50%;90,95%;80,77%;169,63%;81,36%;84,88%;70,54%;176,82%;72,72%;67,83%;52,43%;0,93%;0,33%;0,04%;0,18%;0,35%;0,09%;0,13%;0,14%;0,31%;0,11%;0,09%;0,13%;0,14%;0,05%;0,05%;0,09%;0,26%;0,03%;0,08%;0,05%;0,16%;0,06%;0,17%;0,03%;0,07%;0,24%;0,02%;0,04%;0,02%;0,06%;0,04%;0,40%;0,20%;0,17%;0,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;0,022580765;0,085173169;-0,223857463;0,348936208;0,239747648;-0,139949443;-0,106508356;0,029801106;-0,051446783;0,048883181;0,276042001;0,312925553;-0,104663513;0,06481544;0,021738938;0,205522143;-0,046762465;-0,150943418;-0,202222;0,22562661;0,102272989;-0,029477497;0,004464437;-0,038888903;0,109826922;-0,130208432;-0,161676479;-0,091462578;0,257459186;-0,083333211;0;0;0,18181869;-0,076923597;0,083333943;0;-0,076923597;0,33333431;-0,062500412;-0,083332894;-0,090909207;0,300000422;0,076922619;0,142857358;0,250000329;0,06249989;-0,117647195;0,133333508;-0,117647195;0;0;-0,066666192;0,071428026;-0,066666192;0;0,071428026;0;0,066666942;-0,062500242;0,266667017;0,315789505;-0,040000378;-0,087301275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
