Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Technology;502494;502494;502494;502494;502494;502494;502494;625059;625059;625059;625059;625059;625059;625059;625059;625059;625059;625059;625059;729303;729303;729303;729303;729303;729303;729303;729303;729303;729303;729303;729303;506637;506637;506637;506637;506637;506637;506637;506637;506637;506637;506637;506637;459759;459759;459759;459759;459759;459759;459759;459759;459759;459759;459759;459759;490721;490721;490721;490721;490721;490721;490721;490721;490721;490721;490721;490721;603912;603912;603912;603912;603912;603912;603912;603912;603912;603912;603912;603912;755234;755234;755234;755234;755234;755234;755234;755234;755234;755234;755234;755234;1014761;1014761;1014761;1014761;1014761;1014761;1014761;1014761;1014761;1014761;1014761;1014761;1046197;1046197;1046197;1046197;1046197;1046197;1046197;1046197;1046197;1046197;1046197;1046197;815958;815958;815958;815958;815958;815958;815958;815958;815958;815958;815958;815958;716483;716483;716483;716483;716483;716483;716483;716483;716483;716483;716483;716483;598235;598235;598235;598235;598235;598235;598235;598235;598235;598235;598235;598235;NA;NA;NA;NA;NA;NA
Excess return;Technology;;0,089251531;-0,095074909;-0,152158081;0,068373132;-0,068017366;0,072981366;-0,028032374;0,069979045;-0,134618358;0,035554761;-0,012882448;0;-0,130447448;-0,40998325;-0,177946854;0,082469954;0,028586013;-0,213027295;-0,223553524;-0,151472081;-0,196458483;-0,222156045;-0,22856049;0;-0,222332506;-0,285896618;-0,333333333;-0,09919571;0,555059524;0,142583732;-0,12479062;-0,142583732;0,231026786;0,300090662;-0,29986053;0,043824701;0,263358779;-0,074773414;-0,288163265;-0,064220183;-0,121323529;0,076708508;-0,185233161;0,087440382;0,096491228;-0,073333333;0,126618705;-0,238825032;-0,110738255;-0,043396226;0,609467456;0,105392157;-0,100886918;0,154218373;0,125352474;-0,104551509;-0,138546439;-0,095468;-0,188907906;-0,081690238;0,290535745;-0,323835996;-0,204395461;-0,173711836;-0,245192998;-0,263253568;-0,011948663;-0,116650936;-0,008309396;-0,115321799;-0,099929423;-0,083388;0,085631006;-0,253301496;-0,033618531;-0,089642993;-0,072361178;-0,105860502;-0,273199627;-0,241082202;-0,187880394;0,001660511;-0,125800687;-0,176427204;-0,22750609;-0,086791744;-0,02956701;-0,113519292;-0,190073737;-0,246098144;-0,248224026;-0,263397958;-0,381892541;-0,387211177;-0,116805563;-0,125318801;-0,041486678;-0,569337224;0,403989397;-0,308540503;-0,158691579;-0,033529628;0,0193572;0,07568119;-0,072218909;-0,20323631;-0,159014287;-0,097565186;0,060917625;-0,143637494;-0,182662213;-0,352941009;-0,336497632;-0,126795803;-0,141870166;-0,363737918;-0,047533677;-0,224868792;-0,230774354;-0,111194345;-0,163531947;-0,018827778;-0,382832362;-0,058152057;-0,26184027;-0,245636248;-0,152324959;0,010630935;-0,1380173;-0,058216;-0,125086386;-0,266155374;-0,205109091;-0,174471401;-0,259276826;-0,209588837;-0,235278539;-0,120644909;-0,074652989;-0,198681171;-0,153653124;-0,214737405;-0,50419099;0,001980448;-0,1277808;-0,385489444;-0,388222233;-0,5469212;-0,147241995;-0,339182047;-0,049895813;-0,382967011;-0,076222463;-0,27571584;-0,195848457;-0,088435374
Risk premium;Technology;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Technology;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,8461;-1,5828;-0,1381;-0,4038;0,0924;0,236;0,3267;1,0644;1,3817;1,3087;1,3159;1,3214;1,3399;1,0902;1,0902;1,0415;1,0409;1,0353;1,0377;0,976;1,03;1,0548;1,054;1,0252;1,2849;1,2256;1,2572;1,556;1,721;1,5464;0,931;1,0099;0,7297;0,711;0,6486;0,6232;0,7759;0,9173;0,9503;1,0775;1,1722;1,163;1,1123;1,0543;1,2588;1,6052;1,5755;1,4453;1,4289;1,4472;1,4856;1,4921;1,4404;1,4395;1,4528;1,3867;1,5279;1,4724;1,4909;1,5337;1,5163;1,4783;1,5347;1,5176;1,4643;1,4784;1,457;1,2825;0,8006;0,8785;0,8649;1,1448;1,1838;1,0278;0,8933;0,8676;0,9471;0,9483;0,9676;1,1314;1,2162;1,2364;1,1947;1,1423;1,2447;1,2151;1,1981;1,0979;1,0261;0,8665;0,8773;0,9208;1,0116;0,9806;1,2492;1,1924;1,2154;1,4669;1,4404;1,7539;1,732;1,6451;1,7459
VO monthly avg;Technology; 3.00 ; 8.79 ; 15.06 ; 11.71 ; 8.75 ; 9.44 ; 14.33 ; 6.08 ; 17.25 ; 16.92 ; 7.27 ; 11.28 ; 7.85 ; 9.34 ; 17.83 ; 10.20 ; 13.70 ; 15.77 ; 8.74 ; 25.69 ; 12.50 ; 5.35 ; 29.97 ; 15.53 ; 22.78 ; 11.80 ; 24.86 ; 21.86 ; 24.25 ; 68.07 ; 35.03 ; 15.67 ; 16.63 ; 43.72 ; 53.55 ; 71.16 ; 82.04 ; 46.13 ; 102.41 ; 36.13 ; 29.55 ; 15.74 ; 16.04 ; 28.96 ; 24.33 ; 40.94 ; 47.69 ; 18.20 ; 20.57 ; 31.82 ; 37.69 ; 48.02 ; 54.28 ; 69.72 ; 41.96 ; 110.61 ; 69.55 ; 70.88 ; 74.50 ; 75.10 ; 66.37 ; 157.68 ; 49.58 ; 30.61 ; 22.75 ; 37.13 ; 36.49 ; 39.70 ; 46.03 ; 86.40 ; 71.13 ; 26.81 ; 72.71 ; 236.13 ; 208.01 ; 109.05 ; 98.59 ; 125.84 ; 167.59 ; 114.70 ; 108.75 ; 117.99 ; 295.24 ; 224.48 ; 80.58 ; 374.23 ; 204.96 ; 302.95 ; 137.97 ; 144.84 ; 196.70 ; 329.61 ; 176.60 ; 82.40 ; 74.44 ; 44.52 ; 49.84 ; 15.14 ; 27.53 ; 96.90 ; 21.40 ; 98.98 ; 61.59 ; 77.61 ; 129.69 ; 110.95 ; 96.80 ; 59.85 ; 22.77 ; 96.47 ; 76.92 ; 79.14 ; 117.15 ; 91.02 ; 74.42 ; 37.70 ; 47.25 ; 81.75 ; 75.43 ; 62.15 ; 57.36 ; 59.09 ; 55.27 ; 90.40 ; 37.39 ; 39.96 ; 21.36 ; 140.59 ; 213.09 ; 20.01 ; 27.48 ; 75.01 ; 49.89 ; 146.79 ; 36.69 ; 32.42 ; 27.88 ; 28.47 ; 28.22 ; 4.98 ; 10.45 ; 14.23 ; 16.10 ; 39.00 ; 19.11 ; 7.63 ; 22.28 ; 15.43 ; 93.52 ; 111.90 ; 237.22 ; 76.90 ; 45.01 ; 71.64 ; 38.49 ; 67.00 ; 25.22 
Total assets;Technology;929607;929607;929607;929607;929607;929607;929607;1022283;1022283;1022283;1022283;1022283;1022283;1022283;1022283;1022283;1022283;1022283;1022283;862830;862830;862830;862830;862830;862830;862830;862830;862830;862830;862830;862830;550564;550564;550564;550564;550564;550564;550564;550564;550564;550564;550564;550564;728616;728616;728616;728616;728616;728616;728616;728616;728616;728616;728616;728616;795771;795771;795771;795771;795771;795771;795771;795771;795771;795771;795771;795771;868066;868066;868066;868066;868066;868066;868066;868066;868066;868066;868066;868066;1074767;1074767;1074767;1074767;1074767;1074767;1074767;1074767;1074767;1074767;1074767;1074767;1442448;1442448;1442448;1442448;1442448;1442448;1442448;1442448;1442448;1442448;1442448;1442448;1543370;1543370;1543370;1543370;1543370;1543370;1543370;1543370;1543370;1543370;1543370;1543370;1078295;1078295;1078295;1078295;1078295;1078295;1078295;1078295;1078295;1078295;1078295;1078295;946375;946375;946375;946375;946375;946375;946375;946375;946375;946375;946375;946375;806616;806616;806616;806616;806616;806616;806616;806616;806616;806616;806616;806616;NA;NA;NA;NA;NA;NA
Net sales;Technology;1513542;1513542;1513542;1513542;1513542;1513542;1513542;2219650;2219650;2219650;2219650;2219650;2219650;2219650;2219650;2219650;2219650;2219650;2219650;2205612;2205612;2205612;2205612;2205612;2205612;2205612;2205612;2205612;2205612;2205612;2205612;1734652;1734652;1734652;1734652;1734652;1734652;1734652;1734652;1734652;1734652;1734652;1734652;1587302;1587302;1587302;1587302;1587302;1587302;1587302;1587302;1587302;1587302;1587302;1587302;1951041;1951041;1951041;1951041;1951041;1951041;1951041;1951041;1951041;1951041;1951041;1951041;2017426;2017426;2017426;2017426;2017426;2017426;2017426;2017426;2017426;2017426;2017426;2017426;2514741;2514741;2514741;2514741;2514741;2514741;2514741;2514741;2514741;2514741;2514741;2514741;3014340;3014340;3014340;3014340;3014340;3014340;3014340;3014340;3014340;3014340;3014340;3014340;2943417;2943417;2943417;2943417;2943417;2943417;2943417;2943417;2943417;2943417;2943417;2943417;2566582;2566582;2566582;2566582;2566582;2566582;2566582;2566582;2566582;2566582;2566582;2566582;2530068;2530068;2530068;2530068;2530068;2530068;2530068;2530068;2530068;2530068;2530068;2530068;1848388;1848388;1848388;1848388;1848388;1848388;1848388;1848388;1848388;1848388;1848388;1848388;NA;NA;NA;NA;NA;NA
common equity;Technology;371299;371299;371299;371299;371299;371299;371299;336264;336264;336264;336264;336264;336264;336264;336264;336264;336264;336264;336264;124231;124231;124231;124231;124231;124231;124231;124231;124231;124231;124231;124231;29348;29348;29348;29348;29348;29348;29348;29348;29348;29348;29348;29348;243258;243258;243258;243258;243258;243258;243258;243258;243258;243258;243258;243258;264271;264271;264271;264271;264271;264271;264271;264271;264271;264271;264271;264271;264154;264154;264154;264154;264154;264154;264154;264154;264154;264154;264154;264154;319533;319533;319533;319533;319533;319533;319533;319533;319533;319533;319533;319533;427687;427687;427687;427687;427687;427687;427687;427687;427687;427687;427687;427687;501620;501620;501620;501620;501620;501620;501620;501620;501620;501620;501620;501620;265542;265542;265542;265542;265542;265542;265542;265542;265542;265542;265542;265542;232902;232902;232902;232902;232902;232902;232902;232902;232902;232902;232902;232902;209986;209986;209986;209986;209986;209986;209986;209986;209986;209986;209986;209986;NA;NA;NA;NA;NA;NA
Turnover ratio;Technology;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,03%;0,04%;0,04%;0,03%;0,06%;0,02%;0,02%;0,01%;0,01%;0,02%;0,01%;0,02%;0,03%;0,01%;0,01%;0,02%;0,02%;0,02%;0,01%;0,01%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,01%;0,02%;0,02%;0,01%;0,01%;0,01%;0,02%;0,01%;0,01%;0,01%;0,03%;0,02%;0,01%;0,04%;0,02%;0,03%;0,01%;0,02%;0,02%;0,03%;0,02%;0,01%;0,01%;0,00%;0,01%;0,00%;0,00%;0,01%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,02%;0,00%;0,00%;0,01%;0,01%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,01%;0,04%;0,02%;0,04%;0,02%;0,03%;0,01%
Return monthly;Technology;;0,089251531;-0,095074909;-0,152158081;0,068373132;-0,068017366;0,072981366;-0,028032374;0,069979045;-0,134618358;0,035554761;-0,012882448;0;-0,130447448;-0,40998325;-0,177946854;0,082469954;0,028586013;-0,213027295;-0,223553524;-0,151472081;-0,196458483;-0,222156045;-0,22856049;0;-0,222332506;-0,285896618;-0,333333333;-0,09919571;0,555059524;0,142583732;-0,12479062;-0,142583732;0,231026786;0,300090662;-0,29986053;0,043824701;0,263358779;-0,074773414;-0,288163265;-0,064220183;-0,121323529;0,076708508;-0,185233161;0,087440382;0,096491228;-0,073333333;0,126618705;-0,238825032;-0,110738255;-0,043396226;0,609467456;0,105392157;-0,100886918;0,134401973;0,195652174;-0,049090909;-0,051625239;0;-0,090725806;0,059866962;0,451882845;-0,168587896;-0,046793761;-0,016363636;-0,083179298;-0,108870968;0,142533937;0,035643564;0,137667304;0,030252101;0,044045677;0,05625;0,227071006;-0,108499096;0,109533469;0,054844607;0,093587522;0,057052298;-0,107946027;-0,060504202;0,001192606;0,184633711;0,018602313;-0,026653504;-0,09178499;0,050251256;0,10579479;0,026442308;-0,034192037;-0,096508244;-0,097155126;-0,107015458;-0,217043941;-0,230442177;0,026519337;0,020452099;0,123417722;-0,382159624;0,588145897;-0,129186603;0,020879121;0,146393972;0,2;0,25743349;0,108276291;-0,02189781;0,022962113;0,080246914;0,244675325;0,034223706;-0,004035513;-0,169367909;-0,153170732;0,048387097;0,034065934;-0,188629118;0,123117223;-0,048979592;-0,057633354;0,055953155;-0,026494147;0,123417722;-0,243943662;0,096870343;-0,10326087;-0,098484848;-0,017647059;0,147989735;0;0,0804769;0,015172414;-0,117527174;-0,050038491;-0,017828201;-0,107260726;-0,060073937;-0,084562439;0,022556391;0,068277311;-0,063913471;-0,022058824;-0,093447905;-0,38507109;0,125240848;0;-0,258561644;-0,249422633;-0,4;0,005128205;-0,168367347;0,122699387;-0,196721311;0,108843537;-0,09202454;-0,006756757;-0,088435374
