Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;470;25;25;25;25;25;25;25;25;25;25;25;25;2189;2189;2189;2189;2189;2189;2189;2189;2189;2189;2189;2189;818;818;818;818;818;818;818;818;818;818;818;818;19749;19749;19749;19749;19749;19749;19749;19749;19749;19749;19749;19749;20064;20064;20064;20064;20064;20064;20064;20064;20064;20064;20064;20064;20573;20573;20573;20573;20573;20573;20573;20573;20573;20573;20573;20573;41521;41521;41521;41521;41521;41521;41521;41521;41521;41521;41521;41521;107993;107993;107993;107993;107993;107993;107993;107993;107993;107993;107993;107993;174571;174571;174571;174571;174571;174571;174571;174571;174571;174571;174571;174571;308606;308606;308606;308606;308606;308606;308606;308606;308606;308606;308606;308606;327661;327661;327661;327661;327661;327661;327661;327661;327661;327661;327661;327661;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Basic Materials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,114640145;0,126306031;0,233596942;0,041691129;-0,040141587;0,198549903;-0,015795767;-0,102544752;-0,052958844;-0,419209223;0,142373013;-0,140060112;-0,346923639;-0,20257545;-0,001888295;0,028508264;-0,031023363;-0,379554565;0,005406886;-0,113451488;-0,176596356;-0,402642689;-0,320206754;-0,509204107;-0,312633446;0,223743206;-0,071246233;-0,118264752;-0,235658655;-0,289652479;0,045519864;-0,318175084;-0,128281097;-0,199129335;-0,091840409;-0,060645017;-0,212461383;0,050731102;-0,17960789;-0,176444515;-0,123933449;-0,026143428;-0,22086745;-0,089050774;-0,168677173;0,07334301;-0,011994083;-0,005314137;-0,055586282;-0,13013431;-0,144720235;-0,201913907;-0,132310603;-0,147910006;-0,303339963;-0,1141457;-0,180060786;0,041590932;-0,204092044;-0,245625997;-0,315383968;-0,248747227;0,207725871;-0,429196296;-0,352534296;-0,124170116;-0,198856853;-0,002941186;-0,305816209;-0,685395716;-0,698230389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;1,2185;1,1813;1,1252;1,1707;1,2027;1,2454;1,1627;1,13;1,082;1,0337;1,0173;0,8499;0,8673;0,8777;0,873;0,801;0,8012;0,7615;0,7244;0,7183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,6419;-3,6192;-2,4352;-1,2451;-1,1091;-1,136;0,1251;-0,027;0,8727;2,048;1,9834;2,2239;1,874;1,0548;1,1115;0,9687;0,8239;0,8683;0,8265;0,8223;0,8619;0,9492;1,1962;1,1778;1,2776;1,2378;1,139;0,9586;0,9295;0,9903;1,0036;0,9548;0,9487;0,8435;0,8614;0,8334;0,8615;0,9323;0,862;0,8879;0,946;0,9395;0,9214;0,9077;0,7778;0,7976;0,4515;0,4432;0,426;0,5361;0,6818;0,6861;0,6727;0,433;0,4388;0,5039;0,4805;0,5899;0,3139;0,2953;0,2956;0,5151;0,4762;0,5824;0,6162;0,621;0,7176;1,0419;0,8988;0,6684;;;;;;;;;;;;;;;
VO monthly avg;Basic Materials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 6.26 ; 61.35 ; 26.35 ; 108.35 ; 66.68 ; 16.70 ; 85.49 ; 148.13 ; 33.00 ; 85.29 ; 18.11 ; 198.04 ; 142.17 ; 89.43 ; 227.46 ; 213.40 ; 239.04 ; 85.86 ; 48.64 ; 13.57 ; 48.90 ; 60.80 ; 11.35 ; 14.93 ; 24.10 ; 28.95 ; 6.33 ; 41.00 ; 20.52 ; 44.79 ; 12.15 ; 17.21 ; 42.50 ; 9.70 ; 11.95 ; 31.95 ; 25.29 ; 43.05 ; 21.72 ; 18.00 ; 14.61 ; 14.20 ; 29.08 ; 14.74 ; 11.03 ; 85.05 ; 97.23 ; 161.89 ; 21.88 ; 50.61 ; 7.19 ; 10.70 ; 9.82 ; 5.55 ; 11.12 ; 16.56 ; 6.86 ; 10.69 ; 27.24 ; 15.84 ; 17.81 ; 21.30 ; 48.80 ; 22.31 ; 20.21 ; 95.30 ; 23.15 ; 21.07 ; 33.98 ; 32.19 ; 34.50 ; 43.59 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Basic Materials;40502;13113;13113;13113;13113;13113;13113;13113;13113;13113;13113;13113;13113;21232;21232;21232;21232;21232;21232;21232;21232;21232;21232;21232;21232;52801;52801;52801;52801;52801;52801;52801;52801;52801;52801;52801;52801;116534;116534;116534;116534;116534;116534;116534;116534;116534;116534;116534;116534;116689;116689;116689;116689;116689;116689;116689;116689;116689;116689;116689;116689;149919;149919;149919;149919;149919;149919;149919;149919;149919;149919;149919;149919;329313;329313;329313;329313;329313;329313;329313;329313;329313;329313;329313;329313;365200;365200;365200;365200;365200;365200;365200;365200;365200;365200;365200;365200;548284;548284;548284;548284;548284;548284;548284;548284;548284;548284;548284;548284;818043;818043;818043;818043;818043;818043;818043;818043;818043;818043;818043;818043;799229;799229;799229;799229;799229;799229;799229;799229;799229;799229;799229;799229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Basic Materials;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24716;24716;24716;24716;24716;24716;24716;24716;24716;24716;24716;24716;33738;33738;33738;33738;33738;33738;33738;33738;33738;33738;33738;33738;99706;99706;99706;99706;99706;99706;99706;99706;99706;99706;99706;99706;170324;170324;170324;170324;170324;170324;170324;170324;170324;170324;170324;170324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Basic Materials;40032;13088;13088;13088;13088;13088;13088;13088;13088;13088;13088;13088;13088;19043;19043;19043;19043;19043;19043;19043;19043;19043;19043;19043;19043;51983;51983;51983;51983;51983;51983;51983;51983;51983;51983;51983;51983;96785;96785;96785;96785;96785;96785;96785;96785;96785;96785;96785;96785;96625;96625;96625;96625;96625;96625;96625;96625;96625;96625;96625;96625;129346;129346;129346;129346;129346;129346;129346;129346;129346;129346;129346;129346;287792;287792;287792;287792;287792;287792;287792;287792;287792;287792;287792;287792;257208;257208;257208;257208;257208;257208;257208;257208;257208;257208;257208;257208;373713;373713;373713;373713;373713;373713;373713;373713;373713;373713;373713;373713;509437;509437;509437;509437;509437;509437;509437;509437;509437;509437;509437;509437;471568;471568;471568;471568;471568;471568;471568;471568;471568;471568;471568;471568;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Basic Materials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,05%;0,02%;0,10%;0,06%;0,01%;0,08%;0,08%;0,02%;0,05%;0,01%;0,11%;0,08%;0,04%;0,11%;0,11%;0,12%;0,04%;0,02%;0,01%;0,02%;0,03%;0,01%;0,01%;0,01%;0,01%;0,00%;0,02%;0,01%;0,01%;0,00%;0,01%;0,01%;0,00%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,02%;0,03%;0,05%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,02%;0,00%;0,00%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Basic Materials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-0,114640145;-0,023553569;0,156729342;0,041599829;-0,033264887;0,206881903;0,077085533;-0,018545752;0,088071256;-0,207635223;0,347977213;0,085595588;-0,143111639;-0,04997305;0,157886205;0,181786364;0,115382337;-0,224151665;0,164476386;0,030153412;-0,031096656;-0,254343089;-0,153846154;-0,351502707;-0,158894646;0,381074606;0,086110767;0,028177048;-0,092200155;-0,138963579;0,198296664;-0,169272684;0,018537003;-0,058238835;0,052177791;0,082509183;-0,067736883;0,199916002;-0,03780189;-0,035406815;0,020364551;0,119995072;-0,07501925;0,050184326;-0,040425773;0,20309181;0,094850417;0,105357463;0,052601718;-0,01001001;-0,015166835;-0,071789607;-0,005530503;-0,037731006;-0,191695563;0;-0,071389286;0,161454632;-0,105966344;-0,148072097;-0,217461168;-0,138945927;0,316176471;-0,313755096;-0,236963696;-0,007497116;-0,081348053;0,129348514;-0,181741809;-0,577686516;-0,631280389;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
