Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;103088;103088;103088;103088;103088;103088;103088;103088;103088;103088;103088;103088;210842;210842;210842;210842;210842;210842;210842;210842;210842;210842;210842;210842;227714;227714;227714;227714;227714;227714;227714;227714;227714;227714;227714;227714;185096;185096;185096;185096;185096;185096;185096;185096;185096;185096;185096;185096;174645;174645;174645;174645;174645;174645;174645;174645;174645;174645;174645;174645;206513;206513;206513;206513;206513;206513;206513;206513;206513;206513;206513;206513;218829;218829;218829;218829;218829;218829;218829;218829;218829;218829;218829;218829;208916;208916;208916;208916;208916;208916;208916;208916;208916;208916;208916;208916;252994;252994;252994;252994;252994;252994;252994;252994;252994;252994
Excess return;Basic Materials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,086470871;-0,053538423;-0,283404222;0,318754018;-0,219383904;-0,036613868;-0,308161922;-0,05394475;-0,035034232;-0,257769428;-0,3266472;-0,07676351;0,2087702;-0,05803317;-0,204861798;-0,118509183;-0,105433611;-0,105797337;-0,14607216;-0,353342961;-0,149916778;-0,219872016;-0,205219678;-0,14637054;-0,013976484;-0,324384145;-0,011975842;-0,038148184;-0,209604771;-0,077628897;-0,189144982;-0,1458368;-0,054581199;-0,202597477;-0,078975254;-0,1422529;-0,237077865;-0,242478957;-0,001040275;0,009675246;-0,266995728;-0,218066376;0,167950543;-0,204501274;-0,043082589;-0,024644401;-0,103389897;-0,104608673;-0,131583344;-0,266833927;-0,076100654;-0,095892261;-0,116914733;-0,222987327;-0,17948271;-0,125073399;-0,1417068;-0,123371563;-0,17384445;-0,117279226;-0,149994188;-0,1476704;-0,258157431;-0,043649173;-0,393563256;0,061604677;-0,06682421;-0,125462192;0,017009574
Risk premium;Basic Materials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Basic Materials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-59,6739;2,583;-0,486;-0,6101;-0,2374;0,2978;0,347;0,4048;0,43;0,6155;0,6444;0,7873;0,7691;0,786;0,7271;0,7267;0,7274;0,6892;0,6512;0,6454;0,6613;0,6585;0,6363;0,6325;0,6075;0,5794;0,8715;1,1134;1,1113;1,0026;1,0016;1,0236;0,8757;0,8906;0,8854;0,9183;0,8608;0,7529;0,6914;0,719;0,7468;1,1352;1,1296;1,0712;1,0751;1,2039;1,1721;1,185;1,0957;1,2206;1,2081;1,2068;1,2962;1,3095;1,2856;1,2599;1,2136;1,2055;1,2046;1,1776;0,9757;1,1408;1,2398;1,1897;1,2793;0,9895;0,9665;1,0089
VO monthly avg;Basic Materials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 70.10 ; 155.56 ; 216.60 ; 73.54 ; 157.87 ; 52.16 ; 41.75 ; 71.83 ; 38.83 ; 29.83 ; 24.20 ; 23.56 ; 19.78 ; 3.61 ; 53.84 ; 68.80 ; 44.13 ; 99.28 ; 86.74 ; 104.95 ; 84.97 ; 74.40 ; 75.03 ; 15.59 ; 72.85 ; 96.84 ; 133.84 ; 112.18 ; 32.87 ; 64.81 ; 25.49 ; 53.55 ; 18.21 ; 50.13 ; 27.06 ; 8.67 ; 51.37 ; 146.48 ; 39.75 ; 201.38 ; 63.09 ; 91.28 ; 37.10 ; 61.14 ; 12.41 ; 26.99 ; 169.87 ; 15.39 ; 13.91 ; 10.75 ; 96.52 ; 44.70 ; 33.98 ; 26.96 ; 233.31 ; 28.69 ; 20.73 ; 31.33 ; 13.20 ; 18.72 ; 33.26 ; 15.10 ; 61.56 ; 35.77 ; 60.68 ; 40.75 ; 33.89 ; 42.21 ; 47.33 ; 2.81 
Total assets;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;151413;151413;151413;151413;151413;151413;151413;151413;151413;151413;151413;151413;276253;276253;276253;276253;276253;276253;276253;276253;276253;276253;276253;276253;231780;231780;231780;231780;231780;231780;231780;231780;231780;231780;231780;231780;277028;277028;277028;277028;277028;277028;277028;277028;277028;277028;277028;277028;247581;247581;247581;247581;247581;247581;247581;247581;247581;247581;247581;247581;286262;286262;286262;286262;286262;286262;286262;286262;286262;286262;286262;286262;306692;306692;306692;306692;306692;306692;306692;306692;306692;306692;306692;306692;314937;314937;314937;314937;314937;314937;314937;314937;314937;314937;314937;314937;373457;373457;373457;373457;373457;373457;373457;373457;373457;373457
Net sales;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;538958;538958;538958;538958;538958;538958;538958;538958;538958;538958;538958;538958;734363;734363;734363;734363;734363;734363;734363;734363;734363;734363;734363;734363;897428;897428;897428;897428;897428;897428;897428;897428;897428;897428;897428;897428;969041;969041;969041;969041;969041;969041;969041;969041;969041;969041;969041;969041;611631;611631;611631;611631;611631;611631;611631;611631;611631;611631;611631;611631;732453;732453;732453;732453;732453;732453;732453;732453;732453;732453;732453;732453;844717;844717;844717;844717;844717;844717;844717;844717;844717;844717;844717;844717;828315;828315;828315;828315;828315;828315;828315;828315;828315;828315;828315;828315;938980;938980;938980;938980;938980;938980;938980;938980;938980;938980
common equity;Basic Materials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;48325;48325;48325;48325;48325;48325;48325;48325;48325;48325;48325;48325;65411;65411;65411;65411;65411;65411;65411;65411;65411;65411;65411;65411;4066;4066;4066;4066;4066;4066;4066;4066;4066;4066;4066;4066;91932;91932;91932;91932;91932;91932;91932;91932;91932;91932;91932;91932;72936;72936;72936;72936;72936;72936;72936;72936;72936;72936;72936;72936;79749;79749;79749;79749;79749;79749;79749;79749;79749;79749;79749;79749;87863;87863;87863;87863;87863;87863;87863;87863;87863;87863;87863;87863;106249;106249;106249;106249;106249;106249;106249;106249;106249;106249;106249;106249;120671;120671;120671;120671;120671;120671;120671;120671;120671;120671
Turnover ratio;Basic Materials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,03%;0,06%;0,08%;0,03%;0,06%;0,02%;0,02%;0,03%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,02%;0,03%;0,02%;0,04%;0,03%;0,04%;0,03%;0,03%;0,03%;0,01%;0,03%;0,04%;0,05%;0,04%;0,01%;0,02%;0,01%;0,02%;0,01%;0,02%;0,01%;0,00%;0,02%;0,06%;0,02%;0,08%;0,02%;0,04%;0,01%;0,02%;0,00%;0,01%;0,07%;0,01%;0,01%;0,00%;0,04%;0,02%;0,01%;0,01%;0,09%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,01%;0,02%;0,01%;0,02%;0,02%;0,01%;0,02%;0,02%;0,00%
Return monthly;Basic Materials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-0,086470871;0,216190577;-0,222222222;0,371517718;-0,145840104;0,073147532;-0,202800922;0,04480765;0,071405768;-0,133392928;-0,2;0,05773639;0,3455235;0,08103483;-0,070304498;0,014322917;0,028142589;0,027372263;-0,01439656;-0,222232761;-0,017804878;-0,090886516;-0,080032778;-0,02182304;0,111246016;-0,200081945;0,124978658;0,111246016;-0,060092871;0,063934903;-0,043294182;0;0,086937901;-0,059889677;0,063704946;0;-0,099947465;-0,111046257;0,124917925;0,133372246;-0,137247328;-0,068198776;0,318065343;-0,057715674;0,101998711;0,129651299;0,049202403;0,046796327;0,014995756;-0,117636127;0,066659646;0,047586139;0,030345867;-0,073538827;-0,03178991;0,018150301;0;0,016624937;-0,03280465;0,017009574;-0,016725088;0;-0,101650031;0,113151927;-0,237217356;0,199893177;0,07411529;0,017198508;0,017009574
