Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;15363601;15363601;15363601;15363601;16170259;16170259;16170259;16170259;16170259;16170259;16170259;16170259;16170259;16170259;16170259;16170259;14195207;14195207;14195207;14195207;14195207;14195207;14195207;14195207;14195207;14195207;14195207;14195207;14479628;14479628;14479628;14479628;14479628;14479628;14479628;14479628;14479628;14479628;14479628;14479628;16898065;16898065;16898065;16898065;16898065;16898065;16898065;16898065;16898065;16898065;16898065;16898065;22328821;22328821;22328821;22328821;22328821;22328821;22328821;22328821;22328821;22328821;22328821;22328821;24406131;24406131;24406131;24406131;24406131;24406131;24406131;24406131;24406131;24406131;24406131;24406131;31809040;31809040;31809040;31809040;31809040;31809040;31809040;31809040;31809040;31809040;31809040;31809040;34347374;34347374;34347374;34347374;34347374;34347374;34347374;34347374;34347374;34347374;34347374;34347374;42745587;42745587;42745587;42745587;42745587;42745587;42745587;42745587;42745587;42745587;42745587;42745587;46865330;46865330;46865330;46865330;46865330;46865330;46865330;46865330;46865330;46865330;46865330;46865330;47387497;47387497;47387497;47387497;47387497;47387497;47387497;47387497;47387497;47387497;47387497;47387497;46829412;46829412;46829412;46829412;46829412;46829412;46829412;46829412;46829412;46829412;46829412;46829412;42997724;42997724;42997724;42997724;42997724;42997724;42997724;42997724;42997724
Excess return;Financials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,13076119;0,034637286;-0,107943354;-0,056140213;-0,158879239;-0,240229681;-0,292363081;-0,24985368;-0,021375506;-0,033163857;-0,122993779;-0,062228957;-0,246857186;-0,081629597;-0,037467935;-0,079875029;-0,004744716;-0,067331774;-0,17142078;-0,220005401;-0,169743786;-0,187626464;-0,107628132;-0,207825035;-0,132791609;-0,094764835;-0,078663084;0,039495415;-0,022995813;-0,164288395;-0,123730437;-0,091047641;-0,148764255;-0,010828912;-0,089975505;-0,086478862;-0,147550645;0,021909391;-0,149122956;-0,068319875;-0,051995326;-0,025950163;-0,096900446;-0,115178127;-0,026926007;-0,116845718;-0,175603593;-0,043717064;-0,11788742;-0,080280992;-0,1437976;0,021485281;-0,061196008;-0,132117108;-0,138895764;-0,051284324;-0,048740322;-0,186487496;-0,183237071;-0,156066776;-0,239026226;-0,209260198;-0,056424873;-0,225772867;-0,245973549;-0,149159686;-0,197620622;-0,200283124;-0,138956384;-0,175316792;-0,23444483;-0,037018192;-0,004276325;-0,314678124;-0,158902922;-0,181893754;-0,118823521;-0,244310662;-0,326235214;0,203030949;-0,087483693;-0,066818202;-0,224785614;0,138219543;-0,113531212;-0,17443133;-0,111543084;-0,22017007;-0,183351788;-0,133765851;-0,167360971;-0,022912288;-0,174770896;-0,262793167;-0,189984774;-0,051358935;-0,221350053;-0,115737403;-0,191590454;-0,186670141;-0,159639902;-0,172997021;-0,169277305;-0,185711173;-0,14350604;-0,088346037;-0,178334158;-0,157836143;-0,211512373;-0,260662303;-0,038081951;-0,185911928;-0,216608624;-0,056290927;-0,097746333;-0,186855844;-0,194224153;-0,160390575;-0,038781549;-0,086311025;-0,093957887;-0,128492174;-0,144445961;-0,075391075;-0,052912915;-0,027747839;-0,151195243;-0,155988803;-0,170470584;-0,040250412;-0,27537657;-0,098747039;-0,156463849;-0,16134863;-0,085651119;-0,121704129;0,071999127
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;;;;;;;;;;;;;;;;;;;;;-1,5758;-1,2485;-0,9924;-0,3598;0,2238;0,5441;0,637;0,6368;0,8734;0,8511;0,8714;0,7797;0,7259;0,801;0,792;0,8461;0,8679;0,8694;0,885;0,8786;0,8799;0,8491;0,836;0,9099;0,9211;0,8925;0,9415;0,9407;0,8931;0,776;0,6519;0,733;0,7771;0,7771;0,7547;0,8771;0,9459;0,9455;0,9403;0,9211;0,9078;0,833;0,8014;0,7941;0,768;0,8047;0,7878;0,7726;0,7716;0,7154;0,7116;0,7263;0,713;0,7472;0,7718;0,7129;0,7435;0,7947;0,8462;0,9146;0,7022;0,7318;0,8401;0,9175;0,8469;0,6224;0,6677;0,6641;0,6572;0,7358;0,6043;0,5716;0,7409;0,686;0,6427;0,6186;0,6391;0,7088;0,9065;0,9192;0,9349;0,9398;1,0601;1,0681;1,0964;1,0892;1,0705;1,0391;1,0382;1,2011;1,212;1,2273;1,2448;1,244;1,3223;1,3563;1,3196;1,4965;1,4892;1,4499;1,4037;1,1866;1,1906;1,1954;1,195;1,1963;0,9379;0,9444;1,0022;1,0538;1,0504;1,0941;1,1862;1,1217;1,1208;1,1053;1,0531;1,0852;1,0545;1,0624;1,0995;1,0953;1,1165;1,2466;1,3276;1,3237;1,3194;1,332;1,3319;1,3615;1,3311;1,3249;1,2255;1,2609;1,2275;1,1493
VO monthly avg;Financials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 493.94 ; 1150.73 ; 2136.48 ; 846.14 ; 620.42 ; 416.19 ; 800.27 ; 2102.63 ; 1509.33 ; 348.64 ; 958.41 ; 1370.05 ; 684.84 ; 623.04 ; 658.90 ; 628.33 ; 628.32 ; 535.57 ; 1029.93 ; 1393.28 ; 877.44 ; 558.09 ; 574.76 ; 616.38 ; 561.62 ; 598.74 ; 551.45 ; 916.07 ; 705.49 ; 659.13 ; 1195.54 ; 1659.53 ; 1061.36 ; 1147.36 ; 890.33 ; 1006.81 ; 744.82 ; 972.58 ; 939.70 ; 739.35 ; 649.76 ; 576.76 ; 650.75 ; 701.16 ; 755.98 ; 488.26 ; 1159.42 ; 1248.76 ; 700.14 ; 877.69 ; 1695.20 ; 583.19 ; 458.54 ; 406.51 ; 456.30 ; 680.68 ; 862.73 ; 269.53 ; 659.62 ; 754.38 ; 1262.23 ; 1922.37 ; 4944.56 ; 3905.34 ; 2532.95 ; 1378.72 ; 2348.81 ; 1625.69 ; 2269.76 ; 1404.50 ; 942.20 ; 1784.23 ; 2469.72 ; 1535.04 ; 2832.41 ; 2679.42 ; 1481.45 ; 1299.93 ; 1751.01 ; 1269.76 ; 3131.38 ; 1260.42 ; 1313.69 ; 1533.72 ; 2469.61 ; 1340.12 ; 1411.19 ; 1621.76 ; 1576.14 ; 1084.76 ; 1205.56 ; 1444.27 ; 2187.58 ; 1067.32 ; 1654.25 ; 1036.89 ; 1113.82 ; 2047.58 ; 1273.14 ; 1450.92 ; 1807.74 ; 1237.68 ; 1277.95 ; 1613.84 ; 1938.55 ; 1167.93 ; 1605.32 ; 1703.85 ; 940.58 ; 3698.85 ; 2533.60 ; 1331.57 ; 1958.83 ; 1325.82 ; 2544.84 ; 2438.85 ; 2432.30 ; 1323.52 ; 2315.91 ; 1469.99 ; 995.38 ; 985.28 ; 1171.53 ; 793.19 ; 871.70 ; 788.99 ; 1311.04 ; 992.18 ; 1308.44 ; 917.63 ; 1256.13 ; 1438.87 ; 718.47 ; 760.12 ; 1365.08 ; 1592.20 ; 1204.61 ; 887.75 
Total assets;Financials;15943883;15943883;15943883;15943883;16973918;16973918;16973918;16973918;16973918;16973918;16973918;16973918;16973918;16973918;16973918;16973918;14848057;14848057;14848057;14848057;14848057;14848057;14848057;14848057;14848057;14848057;14848057;14848057;15283846;15283846;15283846;15283846;15283846;15283846;15283846;15283846;15283846;15283846;15283846;15283846;17878516;17878516;17878516;17878516;17878516;17878516;17878516;17878516;17878516;17878516;17878516;17878516;23840914;23840914;23840914;23840914;23840914;23840914;23840914;23840914;23840914;23840914;23840914;23840914;26240294;26240294;26240294;26240294;26240294;26240294;26240294;26240294;26240294;26240294;26240294;26240294;34019059;34019059;34019059;34019059;34019059;34019059;34019059;34019059;34019059;34019059;34019059;34019059;36967911;36967911;36967911;36967911;36967911;36967911;36967911;36967911;36967911;36967911;36967911;36967911;46437510;46437510;46437510;46437510;46437510;46437510;46437510;46437510;46437510;46437510;46437510;46437510;50826432;50826432;50826432;50826432;50826432;50826432;50826432;50826432;50826432;50826432;50826432;50826432;51400019;51400019;51400019;51400019;51400019;51400019;51400019;51400019;51400019;51400019;51400019;51400019;50834061;50834061;50834061;50834061;50834061;50834061;50834061;50834061;50834061;50834061;50834061;50834061;47010765;47010765;47010765;47010765;47010765;47010765;47010765;47010765;47010765
Net sales;Financials;1570612;1570612;1570612;1570612;1474468;1474468;1474468;1474468;1474468;1474468;1474468;1474468;1474468;1474468;1474468;1474468;1302122;1302122;1302122;1302122;1302122;1302122;1302122;1302122;1302122;1302122;1302122;1302122;1157137;1157137;1157137;1157137;1157137;1157137;1157137;1157137;1157137;1157137;1157137;1157137;1304077;1304077;1304077;1304077;1304077;1304077;1304077;1304077;1304077;1304077;1304077;1304077;1546563;1546563;1546563;1546563;1546563;1546563;1546563;1546563;1546563;1546563;1546563;1546563;1953438;1953438;1953438;1953438;1953438;1953438;1953438;1953438;1953438;1953438;1953438;1953438;3054582;3054582;3054582;3054582;3054582;3054582;3054582;3054582;3054582;3054582;3054582;3054582;3524990;3524990;3524990;3524990;3524990;3524990;3524990;3524990;3524990;3524990;3524990;3524990;3991033;3991033;3991033;3991033;3991033;3991033;3991033;3991033;3991033;3991033;3991033;3991033;3727222;3727222;3727222;3727222;3727222;3727222;3727222;3727222;3727222;3727222;3727222;3727222;3646308;3646308;3646308;3646308;3646308;3646308;3646308;3646308;3646308;3646308;3646308;3646308;3554995;3554995;3554995;3554995;3554995;3554995;3554995;3554995;3554995;3554995;3554995;3554995;3342149;3342149;3342149;3342149;3342149;3342149;3342149;3342149;3342149
common equity;Financials;496936;496936;496936;496936;715324;715324;715324;715324;715324;715324;715324;715324;715324;715324;715324;715324;614046;614046;614046;614046;614046;614046;614046;614046;614046;614046;614046;614046;638491;638491;638491;638491;638491;638491;638491;638491;638491;638491;638491;638491;643456;643456;643456;643456;643456;643456;643456;643456;643456;643456;643456;643456;1011187;1011187;1011187;1011187;1011187;1011187;1011187;1011187;1011187;1011187;1011187;1011187;1250312;1250312;1250312;1250312;1250312;1250312;1250312;1250312;1250312;1250312;1250312;1250312;1638869;1638869;1638869;1638869;1638869;1638869;1638869;1638869;1638869;1638869;1638869;1638869;1997342;1997342;1997342;1997342;1997342;1997342;1997342;1997342;1997342;1997342;1997342;1997342;2954830;2954830;2954830;2954830;2954830;2954830;2954830;2954830;2954830;2954830;2954830;2954830;3647420;3647420;3647420;3647420;3647420;3647420;3647420;3647420;3647420;3647420;3647420;3647420;3716262;3716262;3716262;3716262;3716262;3716262;3716262;3716262;3716262;3716262;3716262;3716262;3724453;3724453;3724453;3724453;3724453;3724453;3724453;3724453;3724453;3724453;3724453;3724453;3569306;3569306;3569306;3569306;3569306;3569306;3569306;3569306;3569306
Turnover ratio;Financials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,66%;1,54%;2,86%;1,13%;0,83%;0,56%;1,07%;2,82%;2,02%;0,47%;1,28%;1,84%;0,92%;0,83%;0,88%;0,84%;0,84%;0,72%;1,38%;1,87%;1,18%;0,75%;0,77%;0,83%;0,75%;0,80%;0,74%;1,23%;0,95%;0,88%;1,60%;2,22%;1,42%;1,54%;1,19%;1,35%;1,00%;1,30%;1,26%;0,99%;0,87%;0,77%;0,87%;0,94%;1,01%;0,65%;1,55%;1,67%;0,93%;1,16%;0,45%;0,15%;0,12%;0,11%;0,12%;0,18%;0,23%;0,07%;0,17%;0,20%;0,33%;0,46%;1,18%;0,93%;0,60%;0,33%;0,56%;0,39%;0,54%;0,33%;0,22%;0,42%;0,59%;0,36%;0,67%;0,63%;0,35%;0,31%;0,41%;0,30%;0,74%;0,28%;0,30%;0,34%;0,55%;0,29%;0,30%;0,35%;0,34%;0,23%;0,26%;0,31%;0,46%;0,23%;0,35%;0,20%;0,22%;0,38%;0,24%;0,27%;0,34%;0,23%;0,24%;0,30%;0,36%;0,22%;0,30%;0,31%;0,17%;0,68%;0,47%;0,25%;0,36%;0,22%;0,43%;0,41%;0,41%;0,22%;0,39%;0,24%;0,16%;0,16%;0,19%;0,13%;0,14%;0,13%;0,22%;0,16%;0,22%;0,15%;0,21%;0,24%;0,12%;0,12%;0,22%;0,26%;0,20%;0,15%
Return monthly;Financials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-0,13076119;0,067781786;-0,058564554;0,025992387;-0,040279839;-0,106251381;-0,153732081;-0,11083528;0,131548694;0,116255443;0,026004421;0,081992143;-0,104825486;0,062933403;0,103028065;0,065729271;0,140732984;0,083440426;-0,02126578;-0,067953601;-0,014210086;-0,032033164;0,049639868;-0,045901335;0,029837691;0,066062665;0,085251416;0,185659515;0,114069487;-0,035200395;-0,005760737;0,041331359;-0,016506955;0,122328388;0,037470595;0,047778438;-0,007058945;0,162575891;-0,009284056;0,067309425;0,079696074;0,100828837;0,026387754;0,009550173;0,095557993;0,011450382;-0,040272193;0,090756736;0,01740338;0,045189208;-0,0186168;0,145842181;0,061872992;-0,008493508;-0,011922364;0,070378376;0,078000178;-0,051421396;-0,044226471;-0,012396976;-0,112237626;-0,082506798;0,082051427;-0,082220367;-0,106468849;-0,020198486;-0,063305522;-0,063944824;0,003147216;-0,021961392;-0,10457393;0,090192608;0,130900375;-0,180460124;-0,034912822;-0,069671954;0,000789779;-0,114056262;-0,183075714;0,345840549;0,059715007;0,081939198;-0,069249314;0,292559843;0,043291988;-0,01606173;0,046548416;-0,06425677;-0,027495188;0,029403449;-0,005904971;0,139107612;-0,009398496;-0,096621167;-0,024629874;0,113337965;-0,058715253;0,056942097;-0,015020854;-0,013976441;0,015143198;-0,011641221;-0,007369505;-0,026000973;0,01467896;0,071020863;-0,036846458;-0,019938943;-0,065673773;-0,115922903;0,107043249;-0,037683628;-0,064528024;0,092826173;0,051614067;-0,040471944;-0,050328853;-0,019722975;0,094301951;0,048070175;0,040910613;0,007461726;-0,007406461;0,066994725;0,095975885;0,119695261;-0,002923043;-0,011972803;-0,014760884;0,121324088;-0,11311727;0,066571661;-0,003507349;-0,00596193;0,071731381;0,029801771;0,071999127
