Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3478894;3478894;3478894;3478894;3478894;3478894;3478894;3478894;3478894;3478894;3478894;3478894;4678207;4678207;4678207;4678207;4678207;4678207;4678207;4678207;4678207;4678207;4678207;4678207;6218420;6218420;6218420;6218420;6218420;6218420;6218420;6218420;6218420;6218420;6218420;6218420;9799148;9799148;9799148;9799148;9799148;9799148;9799148;9799148;9799148;9799148;9799148;9799148;18119075;18119075;18119075;18119075;18119075;18119075;18119075;18119075;18119075;18119075;18119075;18119075;15219213;15219213;15219213;15219213;15219213;15219213;15219213;15219213;15219213;15219213;15219213;15219213;14901566;14901566;14901566;14901566;14901566;14901566;14901566;14901566;14901566;14901566;14901566;14901566;15298566;15298566;15298566;15298566;15298566;15298566;15298566;15298566;15298566;15298566;15298566;15298566;15432304;15432304;15432304;15432304;15432304;15432304;15432304;15432304;15432304;15432304;15432304;15432304;15134464;15134464;15134464;15134464;15134464;15134464;15134464;15134464;15134464;15134464;15134464;15134464;19145127;19145127;19145127;19145127;19145127;19145127;19145127;19145127;19145127;19145127;19145127;19145127
Excess return;Financials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,37438305;0,248320376;0,041757081;0,063756458;0,146173308;0,115371227;-0,04802045;0,004629094;0,192023231;-0,062600949;0,022185765;-0,20070074;-0,266968729;-0,189478054;-0,033088334;-0,074481256;-0,106430622;-0,242768295;-0,3731584;-0,117922575;-0,285522276;-0,178160104;-0,083716606;-0,427409083;-0,331049704;-0,037981057;-0,130411471;-0,217036491;-0,322516714;-0,247357717;-0,05722725;-0,185548398;0,028874773;0,037103504;-0,157036403;-0,16566411;0,103669569;-0,133724666;-0,126199358;-0,16697107;-0,148785356;-0,141243736;-0,202320971;-0,034600187;-0,093612525;-0,017888367;-0,187583296;-0,139396249;-0,049837838;-0,163259129;-0,060216808;-0,060210801;-0,125940357;-0,146030542;-0,122896915;-0,187701996;-0,214865693;-0,206590363;-0,049326349;-0,21968378;-0,081738484;-0,081312693;-0,176837418;-0,039123891;-0,102564913;-0,153174316;-0,057673135;-0,109977581;-0,121239283;-0,102722966;-0,2397093;-0,07385896;-0,11929565;-0,19019472;-0,150087374;-0,103720494;-0,114380416;-0,032024004;-0,25089985;-0,133933674;-0,07134178;-0,04406768;-0,108699026;-0,187847434;-0,000337288;-0,153657448;-0,031446192;-0,107942766;-0,112674101;0,010463283
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-0,3086;-0,4125;-1,0564;-1,076;-1,2009;-0,9648;-0,7552;0,0695;-0,0285;-0,0397;0,8175;1,1868;1,3997;1,3708;1,2572;1,1139;1,3374;1,7838;1,2144;1,3301;1,2903;1,2931;1,5175;1,5298;1,55;1,1505;1,091;1,0416;1,0039;0,9635;0,9158;0,8801;0,9094;0,7878;0,7953;0,9031;0,9007;0,8635;0,8392;0,8529;0,8476;0,801;0,8271;0,7996;0,8048;0,7461;0,7478;0,6936;0,8136;0,8151;0,8324;0,8181;0,7883;0,8672;0,777;0,8045;0,8198;0,9721;1,0165;0,7255;0,7108;0,76;0,8586;0,8602;0,8706;0,8753;0,8997;0,8857;0,9127;0,9594;0,9811;0,9759;0,9543;0,947;0,9153;0,9173;1,0433;0,9958;1,0082;0,9763;0,924;0,7622;0,7353;0,8626;0,8549;0,8409;0,7878;0,7749;0,7139
VO monthly avg;Financials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 259.91 ; 255.41 ; 428.12 ; 165.79 ; 226.36 ; 187.71 ; 234.23 ; 486.44 ; 458.07 ; 430.58 ; 233.82 ; 274.62 ; 336.84 ; 153.66 ; 262.47 ; 215.70 ; 593.78 ; 274.70 ; 59.43 ; 204.89 ; 368.25 ; 122.73 ; 125.24 ; 92.94 ; 345.17 ; 392.04 ; 212.99 ; 321.37 ; 290.69 ; 152.51 ; 274.47 ; 278.90 ; 148.86 ; 323.32 ; 151.86 ; 119.22 ; 139.59 ; 388.27 ; 181.48 ; 196.73 ; 392.96 ; 144.23 ; 88.87 ; 96.86 ; 166.98 ; 199.86 ; 403.32 ; 217.73 ; 87.42 ; 348.54 ; 225.10 ; 241.59 ; 146.37 ; 75.02 ; 160.49 ; 160.04 ; 214.02 ; 165.81 ; 276.27 ; 297.46 ; 340.00 ; 237.75 ; 214.66 ; 215.78 ; 516.69 ; 185.14 ; 566.78 ; 302.20 ; 518.83 ; 311.55 ; 147.89 ; 235.84 ; 228.56 ; 104.28 ; 103.36 ; 141.99 ; 118.16 ; 219.99 ; 113.61 ; 240.53 ; 185.18 ; 143.22 ; 248.25 ; 160.32 ; 124.17 ; 87.48 ; 127.08 ; 117.50 ; 152.77 ; 164.79 ; 54.70 
Total assets;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3959771;3959771;3959771;3959771;3959771;3959771;3959771;3959771;3959771;3959771;3959771;3959771;5237134;5237134;5237134;5237134;5237134;5237134;5237134;5237134;5237134;5237134;5237134;5237134;6901024;6901024;6901024;6901024;6901024;6901024;6901024;6901024;6901024;6901024;6901024;6901024;10632688;10632688;10632688;10632688;10632688;10632688;10632688;10632688;10632688;10632688;10632688;10632688;19227753;19227753;19227753;19227753;19227753;19227753;19227753;19227753;19227753;19227753;19227753;19227753;16592705;16592705;16592705;16592705;16592705;16592705;16592705;16592705;16592705;16592705;16592705;16592705;16506290;16506290;16506290;16506290;16506290;16506290;16506290;16506290;16506290;16506290;16506290;16506290;17089670;17089670;17089670;17089670;17089670;17089670;17089670;17089670;17089670;17089670;17089670;17089670;17201372;17201372;17201372;17201372;17201372;17201372;17201372;17201372;17201372;17201372;17201372;17201372;17005485;17005485;17005485;17005485;17005485;17005485;17005485;17005485;17005485;17005485;17005485;17005485;21333593;21333593;21333593;21333593;21333593;21333593;21333593;21333593;21333593;21333593;21333593;21333593
Net sales;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;331242;331242;331242;331242;331242;331242;331242;331242;331242;331242;331242;331242;350670;350670;350670;350670;350670;350670;350670;350670;350670;350670;350670;350670;407999;407999;407999;407999;407999;407999;407999;407999;407999;407999;407999;407999;640377;640377;640377;640377;640377;640377;640377;640377;640377;640377;640377;640377;877426;877426;877426;877426;877426;877426;877426;877426;877426;877426;877426;877426;1071570;1071570;1071570;1071570;1071570;1071570;1071570;1071570;1071570;1071570;1071570;1071570;1155756;1155756;1155756;1155756;1155756;1155756;1155756;1155756;1155756;1155756;1155756;1155756;1255148;1255148;1255148;1255148;1255148;1255148;1255148;1255148;1255148;1255148;1255148;1255148;2300406;2300406;2300406;2300406;2300406;2300406;2300406;2300406;2300406;2300406;2300406;2300406;2281276;2281276;2281276;2281276;2281276;2281276;2281276;2281276;2281276;2281276;2281276;2281276;1595687;1595687;1595687;1595687;1595687;1595687;1595687;1595687;1595687;1595687;1595687;1595687
common equity;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;480877;480877;480877;480877;480877;480877;480877;480877;480877;480877;480877;480877;558927;558927;558927;558927;558927;558927;558927;558927;558927;558927;558927;558927;682604;682604;682604;682604;682604;682604;682604;682604;682604;682604;682604;682604;833540;833540;833540;833540;833540;833540;833540;833540;833540;833540;833540;833540;1108678;1108678;1108678;1108678;1108678;1108678;1108678;1108678;1108678;1108678;1108678;1108678;1373492;1373492;1373492;1373492;1373492;1373492;1373492;1373492;1373492;1373492;1373492;1373492;1604724;1604724;1604724;1604724;1604724;1604724;1604724;1604724;1604724;1604724;1604724;1604724;1791104;1791104;1791104;1791104;1791104;1791104;1791104;1791104;1791104;1791104;1791104;1791104;1769068;1769068;1769068;1769068;1769068;1769068;1769068;1769068;1769068;1769068;1769068;1769068;1871021;1871021;1871021;1871021;1871021;1871021;1871021;1871021;1871021;1871021;1871021;1871021;2188466;2188466;2188466;2188466;2188466;2188466;2188466;2188466;2188466;2188466;2188466;2188466
Turnover ratio;Financials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,31%;0,31%;0,51%;0,20%;0,27%;0,22%;0,28%;0,57%;0,54%;0,51%;0,27%;0,32%;0,40%;0,18%;0,31%;0,25%;0,70%;0,32%;0,07%;0,24%;0,43%;0,14%;0,15%;0,11%;0,41%;0,46%;0,25%;0,38%;0,34%;0,18%;0,32%;0,33%;0,17%;0,38%;0,18%;0,14%;0,16%;0,46%;0,21%;0,23%;0,46%;0,17%;0,10%;0,11%;0,20%;0,23%;0,47%;0,26%;0,10%;0,41%;0,26%;0,28%;0,17%;0,09%;0,19%;0,19%;0,25%;0,19%;0,32%;0,35%;0,40%;0,27%;0,25%;0,25%;0,59%;0,21%;0,65%;0,35%;0,60%;0,36%;0,17%;0,27%;0,26%;0,12%;0,12%;0,16%;0,14%;0,25%;0,13%;0,28%;0,21%;0,16%;0,29%;0,18%;0,14%;0,10%;0,15%;0,14%;0,18%;0,19%;0,06%
Return monthly;Financials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,37438305;0,309012876;0,055603881;0,076318458;0,149116608;0,132738827;-0,01904805;0,087357594;0,266977731;0,014797951;0,158688265;-0,04023234;-0,092737629;-0,020567654;0,126765266;0,081244444;0,063575578;-0,044238895;-0,2069012;0,058123725;-0,109733376;0,004005196;0,118885894;-0,239231683;-0,142199704;0,123000443;0,029321529;-0,067915691;-0,186021014;-0,107307217;0,08606815;-0,044052098;0,171066973;0,175034904;-0,017382503;-0,02001881;0,247463669;0,008425834;0,016420242;-0,02258837;-0,004936556;-0,000330736;-0,062713671;0,100874613;0,041789875;0,116065933;-0,052671896;-0,013649449;0,080668962;-0,032407829;0,070624392;0,074079499;0,005072543;-0,005046942;0,012654085;-0,050118496;-0,078818293;-0,062448063;0,098713151;-0,09157728;0,041441916;0,049267307;-0,044395618;0,094018709;0,031582887;-0,020680416;0,077457965;0,024571519;0,013010817;0,035269234;-0,1056;0,05427274;0,00827525;-0,06493372;-0,025473474;0,020769406;0,015197484;0,095961396;-0,12333325;-0,007276774;0,04697022;0,07575092;0,013424874;-0,055103634;0,135371412;-0,024930748;0,094135208;0,020925934;0,011401599;0,010463283
