Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;69723200;81139000;81139000;81139000;81139000;81139000;81139000;81139000;81139000;81139000;81139000;81139000;81139000;77735200;77735200;77735200;77735200;77735200;77735200;77735200;77735200;77735200;77735200;77735200;77735200;87826600;87826600;87826600;87826600;87826600;87826600;87826600;87826600;87826600;87826600;87826600;87826600;101112000;101112000;101112000;101112000;101112000;101112000;101112000;101112000;101112000;101112000;101112000;101112000;155442000;155442000;155442000;155442000;155442000;155442000;155442000;155442000;155442000;155442000;155442000;155442000;187197000;187197000;187197000;187197000;187197000;187197000;187197000;187197000;187197000;187197000;187197000;187197000;206921000;206921000;206921000;206921000;206921000;206921000;206921000;206921000;206921000;206921000;206921000;206921000;196764000;196764000;196764000;196764000;196764000;196764000;196764000;196764000;196764000;196764000;196764000;196764000;205451000;205451000;205451000;205451000;205451000;205451000;205451000;205451000;205451000;205451000;205451000;205451000;222468000;222468000;222468000;222468000;222468000;222468000;222468000;222468000;222468000;222468000;222468000;222468000;235658000;235658000;235658000;235658000;235658000;235658000;235658000;235658000;235658000;235658000;235658000;235658000;272823000;272823000;272823000;272823000;272823000;272823000;272823000;272823000;272823000;272823000;272823000;272823000;328929000;328929000;328929000;328929000;328929000;328929000;328929000;328929000;328929000;328929000;328929000;328929000
Excess return;Financials;;-0,144472151;-0,273521532;-0,143778927;-0,111251187;-0,165351513;-0,056355038;-0,150688292;-0,132403711;-0,227932477;-0,121280285;-0,057642129;-0,171349792;-0,127103678;-0,135433797;-0,206363852;0,057317741;-0,210972611;-0,236953733;-0,1341116;-0,15517972;-0,127318136;-0,094293092;-0,033176797;-0,217105118;-0,15422606;-0,121639616;-0,261424913;-0,158105171;-0,092643854;-0,144687009;-0,073891376;-0,120042984;-0,179902378;-0,031909306;-0,172709268;-0,058271984;-0,122937257;-0,142906347;-0,170799582;-0,101064984;-0,173736296;-0,187328343;-0,178923101;-0,067522126;-0,066358314;-0,146347953;-0,056757991;-0,07487901;-0,158147755;-0,139463512;-0,127104046;-0,174221573;-0,127627499;-0,187033764;-0,104527194;-0,103237626;-0,105069817;-0,130945747;0,0057619;-0,071618696;0,023665375;-0,127061499;-0,088372574;-0,146784314;-0,137270867;-0,216002766;-0,061889899;-0,172251411;-0,065272907;-0,116304186;-0,040018983;-0,05278911;-0,065867486;-0,167375106;-0,090523545;0,020888759;-0,138986501;-0,161975575;-0,100261259;-0,139183203;-0,131649753;-0,050459246;-0,165823997;-0,130214328;-0,305815482;-0,095658198;-0,175096784;-0,147902409;0,000513353;-0,116156092;-0,157099804;-0,174409493;-0,096775051;-0,078585691;-0,266573781;-0,085280217;-0,053710592;-0,149666568;-0,07992402;-0,195529801;-0,082615602;-0,116009109;-0,109094542;-0,019389063;-0,062259116;-0,123399366;-0,128271229;-0,078052274;-0,141235431;-0,058606602;-0,034565965;-0,062366616;-0,179188291;-0,064321553;-0,047066783;-0,187778123;-0,099066561;-0,057104289;-0,181625456;-0,087271315;-0,132420214;-0,069044295;-0,154827239;-0,114772711;-0,111973742;-0,143769067;-0,081468342;-0,076117698;-0,076112079;-0,10043981;-0,150351729;-0,114049565;-0,049386517;-0,071314689;-0,09742218;-0,117580253;-0,127971485;-0,103330094;-0,021056018;-0,101536036;-0,018478051;-0,086778067;-0,046557186;-0,047816776;-0,057847691;-0,087235059;-0,022807655;-0,10929421;-0,058845971;-0,16340736;-0,096312411;-0,160820663;-0,103976175;-0,066053757;-0,127873912;-0,013788286
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,9312;1,0015;0,9138;0,7762;0,7846;0,6878;0,6611;0,6493;0,6868;0,6037;0,6284;0,514;0,5083;0,4717;0,4734;0,4187;0,4204;0,4285;0,4062;0,3732;0,3613;0,3565;0,3774;0,3347;0,3444;0,3364;0,5753;0,577;0,5747;0,6005;0,6155;0,6119;0,5904;0,6294;0,6045;0,6928;0,6953;0,6978;0,7145;0,698;0,7085;0,7994;0,7955;0,8707;0,8787;0,8846;0,8719;0,8713;0,8814;0,9039;0,7907;0,8077;0,8496;0,8457;0,8202;0,8228;0,7564;0,6997;0,6517;0,6609;0,7479;0,7126;0,707;0,7439;0,7333;0,7186;0,6244;0,6014;0,5856;0,5515;0,5492;0,5722;0,5594;0,5863;0,5834;0,5446;0,5554;0,5876;0,5896;0,6012;0,6716;0,7049;0,7672;0,523;0,784;0,7607;0,7507;0,7738;0,8212;0,7952;0,7592;0,813;0,6395;0,557;0,523;0,4976;0,474;0,4951;0,4337;0,4203;0,4423;0,4373;0,4353;0,4478;0,4291;0,425;0,4171;0,4218;0,3735;0,3483;0,3518;0,3614;0,3542;0,3464;0,3659;0,4394;0,4389;0,5208;0,5249;0,5315;0,5815;0,6441;0,6652;0,6576;0,6845;0,6869;0,7349;0,711;0,6598;0,6582;0,6546;0,6414;0,6628;0,677;0,6684;0,6645;0,6135;0,6515;0,5457;0,536;0,5816;0,5169;0,5298;0,5431;0,5368;0,5198;0,488;0,51;0,529;0,581;0,5979;0,5816;0,6392;0,7209;0,7275;0,6846
VO monthly avg;Financials; 24.90 ; 67.81 ; 570.89 ; 593.83 ; 225.99 ; 52.08 ; 283.85 ; 81.86 ; 58.36 ; 56.27 ; 42.42 ; 100.98 ; 72.94 ; 52.17 ; 43.18 ; 40.63 ; 78.11 ; 41.03 ; 60.73 ; 47.98 ; 27.11 ; 48.34 ; 36.38 ; 16.73 ; 24.03 ; 25.91 ; 25.58 ; 32.83 ; 38.52 ; 33.56 ; 67.61 ; 22.20 ; 43.11 ; 36.71 ; 64.31 ; 34.72 ; 28.97 ; 65.32 ; 116.61 ; 65.41 ; 88.23 ; 72.83 ; 80.49 ; 59.74 ; 51.20 ; 91.13 ; 55.50 ; 47.40 ; 28.56 ; 56.63 ; 90.49 ; 67.19 ; 110.10 ; 68.03 ; 74.21 ; 126.89 ; 101.74 ; 142.83 ; 160.72 ; 152.35 ; 84.20 ; 107.28 ; 103.11 ; 98.93 ; 199.21 ; 186.44 ; 147.57 ; 75.51 ; 116.20 ; 52.36 ; 44.02 ; 20.54 ; 36.26 ; 20.57 ; 34.45 ; 103.89 ; 44.83 ; 48.54 ; 151.02 ; 129.67 ; 83.67 ; 100.33 ; 91.44 ; 68.80 ; 74.48 ; 66.52 ; 84.43 ; 51.07 ; 42.34 ; 115.11 ; 477.23 ; 17.07 ; 3.55 ; 0.92 ; 1.19 ; 65.00 ; 244.59 ; 378.84 ; 407.52 ; 465.93 ; 315.16 ; 486.49 ; 415.09 ; 385.29 ; 440.22 ; 382.47 ; 414.08 ; 286.44 ; 268.65 ; 243.29 ; 400.04 ; 415.20 ; 295.14 ; 506.21 ; 645.59 ; 249.36 ; 292.46 ; 454.71 ; 509.62 ; 291.12 ; 313.18 ; 281.44 ; 333.39 ; 546.35 ; 190.76 ; 214.16 ; 178.07 ; 220.51 ; 867.52 ; 499.15 ; 601.23 ; 355.22 ; 171.25 ; 317.99 ; 422.52 ; 355.96 ; 395.93 ; 339.12 ; 321.80 ; 210.04 ; 291.13 ; 374.98 ; 224.94 ; 242.58 ; 186.92 ; 212.55 ; 204.16 ; 595.92 ; 589.24 ; 417.98 ; 426.11 ; 177.23 ; 278.26 ; 218.30 ; 228.15 ; 296.48 ; 194.66 
Total assets;Financials;75882400;89402300;89402300;89402300;89402300;89402300;89402300;89402300;89402300;89402300;89402300;89402300;89402300;86263500;86263500;86263500;86263500;86263500;86263500;86263500;86263500;86263500;86263500;86263500;86263500;96559600;96559600;96559600;96559600;96559600;96559600;96559600;96559600;96559600;96559600;96559600;96559600;110153000;110153000;110153000;110153000;110153000;110153000;110153000;110153000;110153000;110153000;110153000;110153000;164846000;164846000;164846000;164846000;164846000;164846000;164846000;164846000;164846000;164846000;164846000;164846000;199634000;199634000;199634000;199634000;199634000;199634000;199634000;199634000;199634000;199634000;199634000;199634000;219776000;219776000;219776000;219776000;219776000;219776000;219776000;219776000;219776000;219776000;219776000;219776000;210815000;210815000;210815000;210815000;210815000;210815000;210815000;210815000;210815000;210815000;210815000;210815000;218460000;218460000;218460000;218460000;218460000;218460000;218460000;218460000;218460000;218460000;218460000;218460000;236847000;236847000;236847000;236847000;236847000;236847000;236847000;236847000;236847000;236847000;236847000;236847000;251941000;251941000;251941000;251941000;251941000;251941000;251941000;251941000;251941000;251941000;251941000;251941000;291334000;291334000;291334000;291334000;291334000;291334000;291334000;291334000;291334000;291334000;291334000;291334000;350285000;350285000;350285000;350285000;350285000;350285000;350285000;350285000;350285000;350285000;350285000;350285000
Net sales;Financials;20422500;22319100;22319100;22319100;22319100;22319100;22319100;22319100;22319100;22319100;22319100;22319100;22319100;22004500;22004500;22004500;22004500;22004500;22004500;22004500;22004500;22004500;22004500;22004500;22004500;23697200;23697200;23697200;23697200;23697200;23697200;23697200;23697200;23697200;23697200;23697200;23697200;20479000;20479000;20479000;20479000;20479000;20479000;20479000;20479000;20479000;20479000;20479000;20479000;50698000;50698000;50698000;50698000;50698000;50698000;50698000;50698000;50698000;50698000;50698000;50698000;30309000;30309000;30309000;30309000;30309000;30309000;30309000;30309000;30309000;30309000;30309000;30309000;50096000;50096000;50096000;50096000;50096000;50096000;50096000;50096000;50096000;50096000;50096000;50096000;22878000;22878000;22878000;22878000;22878000;22878000;22878000;22878000;22878000;22878000;22878000;22878000;44160000;44160000;44160000;44160000;44160000;44160000;44160000;44160000;44160000;44160000;44160000;44160000;51276000;51276000;51276000;51276000;51276000;51276000;51276000;51276000;51276000;51276000;51276000;51276000;48615000;48615000;48615000;48615000;48615000;48615000;48615000;48615000;48615000;48615000;48615000;48615000;75944000;75944000;75944000;75944000;75944000;75944000;75944000;75944000;75944000;75944000;75944000;75944000;85273000;85273000;85273000;85273000;85273000;85273000;85273000;85273000;85273000;85273000;85273000;85273000
common equity;Financials;3377100;4477600;4477600;4477600;4477600;4477600;4477600;4477600;4477600;4477600;4477600;4477600;4477600;4612100;4612100;4612100;4612100;4612100;4612100;4612100;4612100;4612100;4612100;4612100;4612100;4710200;4710200;4710200;4710200;4710200;4710200;4710200;4710200;4710200;4710200;4710200;4710200;4805000;4805000;4805000;4805000;4805000;4805000;4805000;4805000;4805000;4805000;4805000;4805000;4965000;4965000;4965000;4965000;4965000;4965000;4965000;4965000;4965000;4965000;4965000;4965000;5554000;5554000;5554000;5554000;5554000;5554000;5554000;5554000;5554000;5554000;5554000;5554000;5286000;5286000;5286000;5286000;5286000;5286000;5286000;5286000;5286000;5286000;5286000;5286000;11631000;11631000;11631000;11631000;11631000;11631000;11631000;11631000;11631000;11631000;11631000;11631000;10513000;10513000;10513000;10513000;10513000;10513000;10513000;10513000;10513000;10513000;10513000;10513000;11714000;11714000;11714000;11714000;11714000;11714000;11714000;11714000;11714000;11714000;11714000;11714000;13209000;13209000;13209000;13209000;13209000;13209000;13209000;13209000;13209000;13209000;13209000;13209000;15408000;15408000;15408000;15408000;15408000;15408000;15408000;15408000;15408000;15408000;15408000;15408000;17654000;17654000;17654000;17654000;17654000;17654000;17654000;17654000;17654000;17654000;17654000;17654000
Turnover ratio;Financials;0,05%;0,14%;1,16%;1,20%;0,46%;0,11%;0,58%;0,17%;0,12%;0,11%;0,09%;0,20%;0,15%;0,11%;0,09%;0,08%;0,16%;0,08%;0,12%;0,10%;0,05%;0,10%;0,07%;0,03%;0,05%;0,05%;0,05%;0,07%;0,08%;0,07%;0,14%;0,05%;0,09%;0,07%;0,13%;0,07%;0,06%;0,13%;0,24%;0,13%;0,18%;0,15%;0,16%;0,12%;0,10%;0,18%;0,11%;0,10%;0,06%;0,11%;0,18%;0,14%;0,22%;0,14%;0,15%;0,26%;0,21%;0,29%;0,33%;0,31%;0,17%;0,22%;0,21%;0,20%;0,41%;0,38%;0,30%;0,15%;0,24%;0,11%;0,09%;0,04%;0,07%;0,04%;0,07%;0,21%;0,09%;0,10%;0,31%;0,26%;0,17%;0,20%;0,19%;0,14%;0,15%;0,14%;0,17%;0,10%;0,09%;0,23%;0,97%;0,03%;0,01%;0,00%;0,00%;0,02%;0,09%;0,13%;0,14%;0,16%;0,11%;0,17%;0,15%;0,13%;0,15%;0,13%;0,14%;0,10%;0,09%;0,09%;0,14%;0,15%;0,10%;0,18%;0,23%;0,09%;0,10%;0,16%;0,18%;0,10%;0,11%;0,10%;0,12%;0,19%;0,07%;0,07%;0,06%;0,08%;0,30%;0,17%;0,21%;0,12%;0,06%;0,11%;0,15%;0,12%;0,14%;0,12%;0,11%;0,07%;0,10%;0,13%;0,08%;0,08%;0,07%;0,07%;0,07%;0,21%;0,21%;0,15%;0,15%;0,06%;0,10%;0,08%;0,08%;0,10%;0,07%
Return monthly;Financials;;0,042222349;-0,099152132;0,027221673;0,058678613;-0,004120113;0,093794262;-0,003782392;0,017764689;-0,082799377;0,023608915;0,077339871;-0,023926892;0,024513422;0,018890403;-0,047785752;0,201602941;-0,067777111;-0,094163133;0;-0,01971782;0,006941364;0,041383108;0,092709303;-0,090907918;-0,03333286;0,013104284;-0,126173913;-0,023999071;0,040987646;-0,011810509;0,059758324;0,013452216;-0,046150178;0,096774194;-0,036762868;0,076331916;0,017024143;-0,003492847;-0,030125582;0,043670516;-0,021274096;-0,032611843;-0,019469001;0,092435974;0,093971486;0,013181747;0,085033909;0,06144919;-0,021002055;-0,012749412;0,009981054;-0,037396773;0,009851601;-0,055461164;0,026309206;0,025315574;0,020111283;-0,009288647;0,1249986;0,049999004;0,142859175;-0,009720499;0,033193126;-0,026486414;-0,014399067;-0,090965566;0,061798301;-0,048678611;0,049871593;-0,001354586;0,074629617;0,06060309;0,047619414;-0,052270906;0,020536255;0,135778959;-0,016967701;-0,039130775;0,023664341;-0,014322403;-0,006591053;0,083424354;-0,047124997;0,005327672;-0,168141382;0,043885902;-0,031847384;0,004533191;0,157610953;0,023473508;-0,014680804;-0,045620993;0,029315949;0,037863309;-0,161974981;0,023931783;0,063080708;-0,036293468;0,03145488;-0,079364901;0,034484298;0,000164791;0,006166858;0,095394237;0,054265884;-0,006472066;-0,011247829;0,035928226;-0,031792531;0,048656798;0,072902235;0,046897984;-0,069565091;0,040780147;0,059865417;-0,080627423;0,012143839;0,058714411;-0,066790956;0,035713185;-0,005241914;0,059763305;-0,028998439;0,011250789;0,015300958;-0,015070367;0,041724658;0,048149702;0,043704521;0,01974999;-0,030643529;0,005056835;0,071714483;0,049544511;0,02119132;-0,001379753;-0,014626985;-0,002300994;0,080161982;0,000704764;0,081036649;0,013299333;0,051508114;0,051251624;0,038949709;0,008658941;0,069422345;-0,00416721;0,053557029;-0,04733966;0,022178389;-0,044801063;0,017390525;0,059828743;-0,005644112;-0,013788286
