Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1917286;1917286;1917286;1917286;1917286;1917286;1917286;1917286;1917286;1917286;1917286;1917286;1735193;1735193;1735193;1735193;1735193;1735193;1735193;1735193;1735193;1735193;1735193;1735193;1936526;1936526;1936526;1936526;1936526;1936526;1936526;1936526;1936526;1936526;1936526;1936526;1600717;1600717;1600717;1600717;1600717;1600717;1600717;1600717;1600717;1600717;1600717;1600717;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Financials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,015140738;-0,104479033;-0,096932058;-0,075388982;-0,075480511;-0,0973064;-0,063932792;-0,132248914;-0,031292803;-0,09365895;-0,090343722;-0,019250621;-0,111204698;-0,050197568;-0,128805917;-0,061667941;-0,078297626;-0,076462308;-0,073775173;-0,06081384;-0,049465531;-0,051973825;-0,072044181;-0,081929856;-0,10200778;-0,094010784;-0,094395449;-0,037934178;-0,080271374;-0,04942296;-0,05040073;-0,136936029;-0,12358682;-0,06338471;-0,103384281;-0,12287035;-0,137601784;-0,188677765;-0,097769885;-0,123348243;-0,238926537;-0,119600767;-0,12554377;-0,1172827;-0,149217832;-0,114336074;-0,085911601;-0,141635639;-0,11651145;-0,113108454;0,038651618;-0,106981621;-0,081231294;-0,077412909;-0,091269102;-0,123310597;-0,096783744;-0,12941814;-0,033392235;-0,077576807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,0524;-0,1262;0,3985;0,2435;0,246;0,3128;0,1932;0,1116;0,0699;0,0708;0,0066;0,0082;-0,0047;-0,021;-0,0246;-0,0311;-0,031;-0,0292;-0,0316;-0,039;-0,044;-0,0438;-0,0418;-0,0075;0,0121;0,0264;-0,0477;-0,0806;-0,0691;-0,1452;0,0197;0,1015;0,1599;0,2134;0,2154;0,2533;0,3824;0,401;0,4319;0,527;0,5256;0,52;0,5128;0,5029;0,4799;0,4818;0,4567;0,4529;0,4533;0,4822;0,4858;0,4987;0,512;0,531;0,5215;0,5657;0,5394;0,5367;0,5285;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Financials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 21.74 ; 5.87 ; 16.87 ; 9.49 ; 10.68 ; 27.62 ; 20.67 ; 16.08 ; 12.82 ; 16.16 ; 11.10 ; 55.33 ; 12.36 ; 34.92 ; 19.43 ; 20.30 ; 16.57 ; 6.34 ; 122.98 ; 5.78 ; 27.23 ; 11.08 ; 3.72 ; 37.64 ; 24.38 ; 95.53 ; 5.84 ; 66.91 ; 24.76 ; 6.48 ; 14.56 ; 14.18 ; 51.78 ; 50.89 ; 23.80 ; 72.76 ; 14.37 ; 12.17 ; 10.66 ; 4.60 ; 6.39 ; 2.70 ; 1.48 ; 12.46 ; 4.94 ; 0.04 ; 1.86 ; 2.66 ; 36.52 ; 6.11 ; 4.04 ; 71.97 ; 9.97 ; 41.76 ; 79.91 ; 48.75 ; 25.24 ; 7.03 ; 12.05 ; 5.17 ; 5.49 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2572124;2572124;2572124;2572124;2572124;2572124;2572124;2572124;2572124;2572124;2572124;2572124;2375535;2375535;2375535;2375535;2375535;2375535;2375535;2375535;2375535;2375535;2375535;2375535;2628988;2628988;2628988;2628988;2628988;2628988;2628988;2628988;2628988;2628988;2628988;2628988;2437270;2437270;2437270;2437270;2437270;2437270;2437270;2437270;2437270;2437270;2437270;2437270;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;182553;182553;182553;182553;182553;182553;182553;182553;182553;182553;182553;182553;250015;250015;250015;250015;250015;250015;250015;250015;250015;250015;250015;250015;322530;322530;322530;322530;322530;322530;322530;322530;322530;322530;322530;322530;397259;397259;397259;397259;397259;397259;397259;397259;397259;397259;397259;397259;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Financials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;654838;654838;654838;654838;654838;654838;654838;654838;654838;654838;654838;654838;640342;640342;640342;640342;640342;640342;640342;640342;640342;640342;640342;640342;692462;692462;692462;692462;692462;692462;692462;692462;692462;692462;692462;692462;539109;539109;539109;539109;539109;539109;539109;539109;539109;539109;539109;539109;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,09%;0,02%;0,07%;0,04%;0,04%;0,11%;0,08%;0,06%;0,05%;0,06%;0,04%;0,22%;0,05%;0,14%;0,08%;0,08%;0,07%;0,03%;0,49%;0,02%;0,11%;0,04%;0,01%;0,15%;0,10%;0,38%;0,02%;0,27%;0,10%;0,03%;0,06%;0,06%;0,21%;0,20%;0,10%;0,29%;0,06%;0,05%;0,04%;0,02%;0,03%;0,01%;0,01%;0,05%;0,02%;0,00%;0,01%;0,01%;0,15%;0,02%;0,02%;0,29%;0,04%;0,17%;0,32%;0,20%;0,10%;0,03%;0,05%;0,02%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-0,015140738;-0,033429633;0,009073442;0,021051518;0,020617489;0;0,022738808;-0,050918114;0,045910897;-0,01449855;-0,015827922;0,058865979;-0,025800798;0,034279432;-0,043675717;0,016772759;9,93739E-05;0,000298092;0,002384027;0,01327916;0,026112469;0,022016775;0,005222419;0,002597644;-0,01554548;-0,006297584;-0,014850549;0,037638022;0,000925326;0,02717944;0,03699037;-0,040791529;-0,02126312;0,04455949;0,010885919;8,75503E-05;-0,021710584;-0,072214765;0,017939815;0,000852757;-0,122313737;-0,013590767;-0,01388737;0;-0,032934132;0,000917326;0,031160499;-0,023552939;0,00079645;0,004320146;0,157007018;0,014186479;0,041674706;0,046490091;0,032035398;-0,000171497;0,022298456;-0,01090604;0,086853265;0,010223193;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
