Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;28316;36243;36243;36243;36243;36243;36243;36243;36243;36243;36243;36243;36243;30186;30186;30186;30186;30186;30186;30186;30186;30186;30186;30186;30186;28148;28148;28148;28148;28148;28148;28148;28148;28148;28148;28148;28148;19569;19569;19569;19569;19569;19569;19569;19569;19569;19569;19569;19569;26759;26759;26759;26759;26759;26759;26759;26759;26759;26759;26759;26759;30645;30645;30645;30645;30645;30645;30645;30645;30645;30645;30645;30645;40310;40310;40310;40310;40310;40310;40310;40310;40310;40800;40800;40800;40800;40800;40800;40800;40800;40800;40800;40800;40800;40779;40779;40779;40779;40779;40779;40779;40779;40779;40779;40779;40779;40054;40054;40054;40054;40054;40054;40054;40054;40054;40054;40054;40054;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Financials;;-0,1335099;-0,076293736;-0,1283118;-0,124469;-0,1359243;-0,1286285;-0,085900624;-0,088851583;-0,1324953;-0,08086572;-0,154042199;-0,186949483;-0,1348339;-0,042443501;-0,16801105;-0,143821491;-0,10333226;-0,1312616;-0,1226708;-0,142344368;-0,1239842;-0,330685001;-0,122629;-0,1251199;-0,24645265;-0,187983555;0,000895161;-0,195398771;-0,006986506;-0,031078297;-0,1210623;-0,129244146;-0,186663312;-0,11832;-0,103742539;-0,112547537;-0,007854727;-0,098577417;-0,102411251;-0,193805843;-0,1425019;-0,1452602;-0,127089589;0,008964615;-0,1493804;-0,196885987;-0,136215164;-0,1200742;-0,1163053;-0,1222222;-0,059696346;0,259986669;-0,055109789;-0,090648997;-0,037682212;-0,079743443;-0,030585306;-0,117018387;-0,077447285;-0,080732613;0,054468361;-0,191680357;-0,0990432;0,033496365;0,090763177;-0,193630331;0,023689712;-0,075341559;-0,188129513;0,014398361;-0,082506;-0,103513531;0,391361563;0,11781561;-0,370353335;0,217811255;-0,116937425;-0,237284266;-0,1015039;0,185219373;-0,186521783;-0,079206374;-0,145407015;-0,0943148;-0,072765124;-0,0999486;-0,167800892;-0,135224969;-0,043587406;-0,215281849;-0,208237988;-0,1235091;-0,146394467;-0,1174066;-0,1042586;0,108347926;-0,287695967;-0,162322336;-0,185454648;-0,21860989;-0,119538;-0,09881348;-0,1159292;-0,1179522;-0,1200467;-0,1202159;-0,176115579;-0,1208475;-0,09189841;-0,144885138;-0,1152676;-0,1141597;-0,1147766;-0,070867239;-0,191798688;-0,1016193;-0,1021699;-0,103362275;-0,1058381;-0,1007392;-0,067575148;-0,0788549;1,233342663;-0,171020275;-0,0734349;-0,048564271;-0,0703864;-0,078794;-0,0765923;-0,0769529;-0,0793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,2946;0,1573;0,1886;0,0986;0,063;0,2861;0,3195;0,3158;0,3262;0,4031;0,368;0,2394;0,2372;0,2053;0,2054;0,1842;0,1841;0,1829;0,2232;0,1916;0,1682;0,1934;0,2982;0,283;0,3273;0,3453;0,2866;0,2943;0,4139;0,4218;0,4227;0,4121;0,4225;0,425;0,44;0,517;0,5641;0,5445;0,5473;0,5575;0,5536;0,6413;0,6454;0,7539;0,7415;0,7108;0,6926;0,6926;0,6234;0,5731;0,7194;0,305;0,2007;0,1996;0,2341;0,1663;0,2221;0,2887;0,2946;0,2862;0,3824;0,4623;0,444;0,3864;0,2577;0,2136;0,0852;0,0761;0,1049;0,082;0,0834;0,062;-0,0097;-0,0198;-0,2277;0,1909;0,2127;0,3724;0,3711;0,2453;0,107;-0,0289;0,173;0,0053;0,1296;-0,0122;0,1222;0,1911;0,2129;0,394;0,5674;0,5879;0,5557;0,5342;0,5382;0,4922;0,548;0,5239;0,5052;0,4887;0,4811;0,476;0,4684;0,4584;0,4794;0,4809;0,4693;0,4779;0,4825;0,49;0,4821;0,4852;0,4319;0,4282;0,3516;0,3435;0,3511;0,3773;0,3801;0,3887;0,2284;0,2781;-0,1277;-0,1393;-0,2;-0,1677;-0,1561;-0,1272;-0,062;-0,0279;-0,0317;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Financials; 0.00 ; 1.25 ; 8.56 ; 7.02 ; 34.84 ; 0.45 ; 0.53 ; 0.13 ; 2.28 ; 0.13 ; 0.35 ; 0.05 ; 1.58 ; 0.01 ; 0.10 ; 0.28 ; 0.29 ; 3.19 ; 0.28 ; 0.20 ; 0.98 ; 0.00 ; 2.26 ; 0.37 ; 0.00 ; 0.52 ; 0.66 ; 2.05 ; 0.15 ; 0.61 ; 1.00 ; 0.00 ; 0.71 ; 2.44 ; 2.50 ; 9.45 ; 0.31 ; 7.66 ; 9.00 ; 0.45 ; 1.38 ; 0.07 ; 0.00 ; 1.48 ; 4.50 ; 0.00 ; 5.38 ; 1.74 ; 0.45 ; 0.00 ; 0.06 ; 2.53 ; 1.39 ; 0.48 ; 0.48 ; 2.08 ; 15.45 ; 2.62 ; 7.92 ; 1.48 ; 0.95 ; 0.51 ; 0.64 ; 2.83 ; 0.58 ; 3.45 ; 0.53 ; 10.83 ; 0.00 ; 0.97 ; 5.31 ; 0.00 ; 0.13 ; 0.54 ; 0.11 ; 0.30 ; 0.33 ; 0.20 ; 1.17 ; 1.05 ; 0.52 ; 23.63 ; 7.37 ; 1.83 ; 1.25 ; 1.67 ; 0.00 ; 2.05 ; 2.58 ; 0.92 ; 2.15 ; 2.00 ; 0.00 ; 1.34 ; 0.00 ; 0.00 ; 0.00 ; 0.26 ; 0.61 ; 0.48 ; 0.24 ; 0.00 ; 0.00 ; 0.00 ; 2.05 ; 0.00 ; 0.00 ; 1.50 ; 0.00 ; 0.00 ; 2.24 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.34 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 5.80 ; 4.71 ; 0.00 ; 0.17 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Financials;103507;108246;108246;108246;108246;108246;108246;108246;108246;108246;108246;108246;108246;93245;93245;93245;93245;93245;93245;93245;93245;93245;93245;93245;93245;88489;88489;88489;88489;88489;88489;88489;88489;88489;88489;88489;88489;90787;90787;90787;90787;90787;90787;90787;90787;90787;90787;90787;90787;109444;109444;109444;109444;109444;109444;109444;109444;109444;109444;109444;109444;144253;144253;144253;144253;144253;144253;144253;144253;144253;144253;144253;144253;158150;158150;158150;158150;158150;158150;158150;158150;158150;161745;161745;161745;161745;161745;161745;161745;161745;161745;161745;161745;161745;160841;160841;160841;160841;160841;160841;160841;160841;160841;160841;160841;160841;162555;162555;162555;162555;162555;162555;162555;162555;162555;162555;162555;162555;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Financials;18439;18177;18177;18177;18177;18177;18177;18177;18177;18177;18177;18177;18177;18769;18769;18769;18769;18769;18769;18769;18769;18769;18769;18769;18769;18105;18105;18105;18105;18105;18105;18105;18105;18105;18105;18105;18105;18634;18634;18634;18634;18634;18634;18634;18634;18634;18634;18634;18634;17969;17969;17969;17969;17969;17969;17969;17969;17969;17969;17969;17969;18216;18216;18216;18216;18216;18216;18216;18216;18216;18216;18216;18216;17977;17977;17977;17977;17977;17977;17977;17977;17977;19776;19776;19776;19776;19776;19776;19776;19776;19776;19776;19776;19776;21798;21798;21798;21798;21798;21798;21798;21798;21798;21798;21798;21798;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;22447;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Financials;75191;72004;72004;72004;72004;72004;72004;72004;72004;72004;72004;72004;72004;63059;63059;63059;63059;63059;63059;63059;63059;63059;63059;63059;63059;60340;60340;60340;60340;60340;60340;60340;60340;60340;60340;60340;60340;71218;71218;71218;71218;71218;71218;71218;71218;71218;71218;71218;71218;82684;82684;82684;82684;82684;82684;82684;82684;82684;82684;82684;82684;113608;113608;113608;113608;113608;113608;113608;113608;113608;113608;113608;113608;117839;117839;117839;117839;117839;117839;117839;117839;117839;120945;120945;120945;120945;120945;120945;120945;120945;120945;120945;120945;120945;120062;120062;120062;120062;120062;120062;120062;120062;120062;120062;120062;120062;122501;122501;122501;122501;122501;122501;122501;122501;122501;122501;122501;122501;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;0,00%;0,01%;0,07%;0,06%;0,30%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,01%;0,00%;0,02%;0,00%;0,00%;0,00%;0,01%;0,02%;0,00%;0,01%;0,01%;0,00%;0,01%;0,02%;0,02%;0,08%;0,00%;0,07%;0,08%;0,00%;0,01%;0,00%;0,00%;0,01%;0,04%;0,00%;0,05%;0,02%;0,00%;0,00%;0,00%;0,02%;0,01%;0,00%;0,00%;0,01%;0,09%;0,02%;0,05%;0,01%;0,01%;0,00%;0,00%;0,02%;0,00%;0,02%;0,00%;0,06%;0,00%;0,01%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,14%;0,04%;0,01%;0,01%;0,01%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;0;0,052388064;0;0;0;0;0,039994776;0,038599017;0;0,04761828;-0,036359999;-0,056605883;0;0,094996699;-0,02420645;-0,014423191;0,02439044;0;0;-0,019047768;0;-0,199998401;0;0;-0,12499875;-0,071427755;0,118336061;-0,071423071;0,115386894;0,089651803;0;-0,006326646;-0,065788312;0;0,021128461;0,013790763;0,122448773;0,030302483;0,029411249;-0,058829043;0;0;0,025006111;0,160279115;0;-0,048652187;-0,005681364;0;0;0;0,045718654;0,355930769;0,041665011;0,003999303;0,051794688;0,015148857;0,068702794;-0,017858587;0,018183315;0,017858587;0,157893261;-0,090908357;0;0,123831465;0,181819977;-0,102562731;0,114284012;0,017947141;-0,102563513;0,100002561;0;-0,025974631;0,466664163;0,18182051;-0,281576635;0,311111355;-0,008476225;-0,128204966;0;0,274510373;-0,107692483;0,017242626;-0,059323115;0;0,016216276;0;-0,061261592;-0,021112269;0,088234594;-0,087735649;-0,080000288;0;-0,021739867;0;0;0,222221926;-0,169090267;-0,044444736;-0,069766548;-0,10000059;0;0,01944572;0;0;0;0;-0,055557879;0;0,02647159;-0,029412838;0;0;0;0,033333561;-0,090908188;0;0;0,003334025;0;0;0,036545152;0;1,308966763;-0,100720275;0;0,024001429;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
