Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;6252329;6252329;6252329;6252329;6252329;7988915;7988915;7988915;7988915;7988915;7988915;7988915;7988915;7988915;7988915;7988915;7988915;6966498;6966498;6966498;6966498;6966498;6966498;6966498;6966498;6966498;6966498;6966498;6966498;7942518;7942518;7942518;7942518;7942518;7942518;7942518;7942518;7942518;7942518;7942518;7942518;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;0,11845204;-0,281308471;-0,22656012;-0,231535076;-0,145413766;0,139766231;-0,108393694;-0,186361809;-0,2754739;0,030375946;0,048762611;-0,189055994;-0,18616;-0,274897919;-0,286187544;0,086575955;-0,065932889;-0,193581321;-0,266847699;-0,094234677;-0,102464345;-0,225715764;-0,065934388;-0,217876096;-0,229196799;-0,197521549;-0,284754394;-0,190716534;0,117396398;-0,071470952;-0,093042125;-0,277813871;-0,206202384;-0,108194693;-0,094846632;-0,078274728;-0,153693352;-0,234022833;-0,167165339;-0,147969829;-0,12004329;-0,20732528;-0,113695857;-0,130937424;-0,188114828;-0,141522647;-0,127408334;0,099159804;-0,028151437;-0,181552577;-0,088013654;-0,104431023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;1,4305;1,4523;1,2993;1,2673;1,3618;1,2588;1,1327;1,1228;1,0765;1,0853;1,166;1,0292;1,0181;1,02;1,0171;0,9438;0,9413;0,9278;0,9015;0,8545;0,7891;0,7974;0,6592;0,6886;0,7203;0,7317;0,8914;0,8968;1,02;1,0974;1,0926;1,0662;1,018;0,9783;0,8928;1,0002;0,9844;1,0452;1,0595;1,0496;1,038;1,1056;1,1107;1,0856;1,0529;1,0817;1,0425;1,0398;1,0154;0,9788;0,8788;0,8517;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Consumer Goods; 2392.90 ; 5064.25 ; 8145.99 ; 6639.12 ; 2964.33 ; 7349.72 ; 9847.48 ; 3836.84 ; 1556.65 ; 3140.35 ; 2007.40 ; 2904.09 ; 3029.29 ; 1961.25 ; 2065.50 ; 2325.92 ; 3955.48 ; 3908.66 ; 2678.33 ; 1339.91 ; 2135.66 ; 2099.70 ; 4203.44 ; 2356.80 ; 1596.00 ; 4808.05 ; 2652.26 ; 2267.43 ; 2407.34 ; 2675.16 ; 7955.28 ; 1060.70 ; 1560.95 ; 3273.51 ; 3942.70 ; 7957.33 ; 2988.24 ; 4593.23 ; 1603.89 ; 1548.91 ; 1385.95 ; 2222.77 ; 4483.77 ; 2711.27 ; 853.13 ; 1554.90 ; 3116.57 ; 2491.58 ; 14187.96 ; 4937.09 ; 1822.37 ; 9177.70 ; 487.80 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Consumer Goods;7634841;7634841;7634841;7634841;7634841;9700228;9700228;9700228;9700228;9700228;9700228;9700228;9700228;9700228;9700228;9700228;9700228;9254029;9254029;9254029;9254029;9254029;9254029;9254029;9254029;9254029;9254029;9254029;9254029;10757828;10757828;10757828;10757828;10757828;10757828;10757828;10757828;10757828;10757828;10757828;10757828;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;35625872;35625872;35625872;35625872;35625872;43054358;43054358;43054358;43054358;43054358;43054358;43054358;43054358;43054358;43054358;43054358;43054358;51763644;51763644;51763644;51763644;51763644;51763644;51763644;51763644;51763644;51763644;51763644;51763644;51491789;51491789;51491789;51491789;51491789;51491789;51491789;51491789;51491789;51491789;51491789;51491789;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;1088930;1088930;1088930;1088930;1088930;1301016;1301016;1301016;1301016;1301016;1301016;1301016;1301016;1301016;1301016;1301016;1301016;1641610;1641610;1641610;1641610;1641610;1641610;1641610;1641610;1641610;1641610;1641610;1641610;2090920;2090920;2090920;2090920;2090920;2090920;2090920;2090920;2090920;2090920;2090920;2090920;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,18%;0,30%;0,48%;0,39%;0,18%;0,44%;0,58%;0,23%;0,09%;0,19%;0,12%;0,17%;0,18%;0,11%;0,12%;0,14%;0,23%;0,23%;0,16%;0,08%;0,12%;0,12%;0,24%;0,14%;0,09%;0,27%;0,15%;0,13%;0,14%;0,15%;0,45%;0,06%;0,09%;0,18%;0,22%;0,44%;0,16%;0,25%;0,09%;0,08%;0,08%;0,12%;0,25%;0,15%;0,05%;0,09%;0,17%;0,14%;0,78%;0,27%;0,10%;0,50%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Consumer Goods;;0,33354694;-0,082652571;-0,02462022;-0,025241676;0,051790634;0,319626331;0,068342706;-0,011642309;-0,1;0,209133946;0,216202211;-0,009515694;0;-0,086320619;-0,094528144;0,263677855;0,108718511;-0,019586821;-0,102414199;0,068178623;0,059571855;-0,072286164;0,082247412;-0,067997196;-0,083399699;-0,042863349;-0,129355994;-0,028556534;0,282332598;0,091462848;0,069228475;-0,117379871;-0,050469484;0,038651707;0,060465968;0,074542472;0,008154248;-0,072874333;-0,004340539;0,017524171;0,05170951;-0,03275118;0,059296943;0,039995276;-0,015367728;0,028754853;0,024999066;0,243930004;0,113712963;-0,049288177;0,051843446;-0,021131023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
