Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Technology;613262;613262;613262;613262;613262;613262;613262;789428;789428;789428;789428;789428;789428;789428;789428;789428;789428;789428;789428;871842;871842;871842;871842;871842;871842;871842;871842;871842;871842;871842;871842;879838;879838;879838;879838;879838;879838;879838;879838;879838;879838;879838;879838;1093625;1093625;1093625;1093625;1093625;1093625;1093625;1093625;1093625;1093625;1093625;1093625;1283822;1283822;1283822;1283822;1283822;1283822;1283822;1283822;1283822;1283822;1283822;1283822;1287070;1287070;1287070;1287070;1287070;1287070;1287070;1287070;1287070;1287070;1287070;1287070;1440322;1440322;1440322;1440322;1440322;1440322;1440322;1440322;1440322;1440322;1440322;1440322;1205013;1205013;1205013;1205013;1205013;1205013;1205013;1205013;1205013;1205013;1205013;1205013;1064792;1064792;1064792;1064792;1064792;1064792;1064792;1064792;1064792;1064792;1064792;1064792;932940;932940;932940;932940;932940;932940;932940;932940;932940;932940;932940;932940;1327375;1327375;1327375;1327375;1327375;1327375;1327375;1327375;1327375;1327375;1327375;1327375;1376921;1376921;1376921;1376921;1376921;1376921;1376921;1376921;1376921;1376921;1376921;1376921;NA;NA;NA;NA;NA;NA
Excess return;Technology;;0,066297576;-0,50929735;0,182371962;0,020087342;-0,262685784;-0,002676253;-0,080548704;0,096904609;-0,107149913;0,049354947;-0,016246954;-0,251115789;-0,196349516;-0,398956263;-0,113874737;0,233280973;-0,135600278;-0,083796456;-0,144879696;-0,000590092;-0,088722685;0,035706268;-0,101834088;-0,120691;-0,174546131;-0,075133302;-0,197475897;-0,215676023;0,058044857;-0,072210118;-0,151344646;0,099529621;-0,011647815;-0,051970507;-0,163348254;-0,106883855;-0,156681202;-0,074975126;-0,060508313;-0,1506386;-0,234453924;-0,1623206;-0,164395771;-0,131733592;-0,028230148;-0,102541161;-0,178035703;-0,012804295;-0,099057919;-0,150392659;-0,066726236;-0,181924133;-0,001937272;-0,14188759;0,006320958;-0,192756727;-0,192446091;-0,094056927;-0,112634878;-0,080905985;-0,003469151;-0,122270251;-0,050248234;-0,100496745;-0,1132454;-0,192293993;-0,186940167;-0,132886913;-0,067066436;-0,166352201;-0,125505707;-0,12862155;-0,065095561;0,00727903;-0,214363057;-0,037541387;-0,143661784;-0,142560823;-0,139060202;-0,11610088;-0,268425368;-0,073403196;-0,175534108;-0,090660142;-0,268263861;-0,315260175;-0,156133338;-0,1078631;-0,265449297;-0,300111329;-0,156170801;0,135088975;-0,049009287;-0,0919042;-0,387159461;0,111569255;-0,175480906;-0,510814078;-0,002256955;-0,372631524;-0,367684846;0,61338086;-0,144484895;0,261926127;0,04115238;-0,094393171;-0,145533533;-0,1073466;-0,1156421;0,220235116;-0,218924324;-0,006754052;-0,088456623;0,144178159;-0,153181378;-0,178956139;0,014504702;-0,101475038;-0,086701187;0,259413693;-0,034381538;-0,079564979;-0,023256093;-0,06494287;-0,10518299;-0,133216297;-0,078110556;-0,100703075;-0,018430932;-0,084078106;-0,070261569;-0,0993937;-0,08389314;-0,083153883;-0,086434996;-0,065383309;-0,176207532;-0,130899747;-0,115551605;-0,143951565;-0,078863262;-0,146260524;-0,099337524;-0,114635641;-0,05995696;0,073228753;-0,118752253;-0,136849137;-0,0978185;-0,15000926;-0,155519374;-0,14921236;-0,002948517;-0,104325506;-0,132385096;0,009710047
Risk premium;Technology;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Technology;1,2035;1,2001;0,7487;0,9965;1,0544;0,937;0,8058;0,8833;0,7308;0,8905;0,9151;0,6096;0,6123;0,4974;0,4768;0,3876;0,3877;0,4481;0,4481;0,5005;0,424;0,4115;0,3117;0,2078;0,257;0,2541;0,4574;0,4735;0,6182;0,6563;0,6256;0,617;0,5874;0,5863;0,5542;0,6923;0,6575;0,7905;0,7941;0,7992;0,8022;0,9246;0,9162;0,8425;0,8578;0,881;0,8187;0,8177;0,788;0,8018;0,6795;0,6834;0,5946;0,5916;0,6755;0,6886;0,5229;0,4683;0,4514;0,4557;0,5564;0,5948;0,5932;0,5988;0,564;0,5658;0,6094;0,5993;0,5672;0,6316;0,6319;0,6593;0,6637;0,65;0,6137;0,4199;0,4303;0,4555;0,33;0,3312;0,4284;0,5063;0,5868;0,2267;0,5188;0,1146;0,1294;0,1449;0,1137;0,299;0,3046;0,2383;0,1789;0,1727;0,1334;0,1317;0,1431;0,3705;0,5053;0,468;0,3097;0,192;0,2093;0,2809;0,3073;0,3212;0,3095;0,324;0,2682;0,4467;0,3594;0,3606;0,3419;0,3028;0,1979;0,2068;0,257;0,1902;0,1786;0,2949;-0,4736;-0,6399;-0,6168;-0,6467;0,1898;0,2445;0,4044;0,3134;0,3167;0,3196;0,3189;0,3527;0,3499;0,5108;0,5119;0,53;0,5945;0,7748;0,8865;0,8703;0,8194;0,7885;0,7689;0,3144;0,3312;0,2247;0,236;0,2857;0,2835;0,3495;0,3212;0,3118;0,4099;0,3972;0,4145;0,3965
VO monthly avg;Technology; 28.00 ; 156.77 ; 88.72 ; 356.65 ; 185.69 ; 129.32 ; 207.72 ; 185.03 ; 302.27 ; 268.75 ; 153.02 ; 117.85 ; 25.61 ; 27.26 ; 91.48 ; 40.14 ; 159.53 ; 286.21 ; 130.57 ; 327.64 ; 63.00 ; 162.79 ; 88.58 ; 169.37 ; 39.81 ; 103.97 ; 206.68 ; 278.10 ; 263.89 ; 236.45 ; 317.78 ; 135.85 ; 181.36 ; 284.95 ; 297.89 ; 293.90 ; 102.32 ; 311.64 ; 227.60 ; 401.85 ; 149.22 ; 391.00 ; 234.65 ; 264.80 ; 133.14 ; 226.16 ; 155.38 ; 300.38 ; 143.90 ; 176.50 ; 141.07 ; 109.59 ; 53.53 ; 105.53 ; 211.47 ; 285.51 ; 163.58 ; 408.25 ; 282.19 ; 346.97 ; 430.86 ; 336.34 ; 116.59 ; 366.82 ; 220.33 ; 124.78 ; 250.30 ; 178.15 ; 259.24 ; 289.19 ; 142.46 ; 134.52 ; 88.64 ; 192.48 ; 300.74 ; 245.62 ; 286.16 ; 287.00 ; 139.41 ; 127.70 ; 61.71 ; 85.81 ; 255.31 ; 84.29 ; 63.41 ; 115.20 ; 124.67 ; 162.06 ; 50.40 ; 50.35 ; 159.19 ; 138.95 ; 228.27 ; 148.40 ; 110.65 ; 69.16 ; 58.36 ; 179.37 ; 94.71 ; 513.59 ; 58.70 ; 120.26 ; 94.34 ; 39.45 ; 377.11 ; 232.17 ; 396.53 ; 103.76 ; 278.24 ; 204.66 ; 111.03 ; 288.24 ; 163.85 ; 82.25 ; 215.11 ; 186.38 ; 59.03 ; 262.00 ; 273.06 ; 236.40 ; 105.97 ; 43.21 ; 52.18 ; 133.61 ; 44.27 ; 64.17 ; 238.20 ; 211.31 ; 179.63 ; 227.50 ; 64.54 ; 96.46 ; 94.41 ; 88.10 ; 174.42 ; 177.32 ; 59.74 ; 112.30 ; 127.33 ; 97.85 ; 101.10 ; 181.07 ; 142.78 ; 77.77 ; 68.81 ; 25.10 ; 143.09 ; 23.64 ; 169.61 ; 18.51 ; 106.62 ; 57.74 ; 66.30 ; 155.84 ; 58.22 ; 25.24 ; 59.00 
Total assets;Technology;979229;979229;979229;979229;979229;979229;979229;1204902;1204902;1204902;1204902;1204902;1204902;1204902;1204902;1204902;1204902;1204902;1204902;1394667;1394667;1394667;1394667;1394667;1394667;1394667;1394667;1394667;1394667;1394667;1394667;1413582;1413582;1413582;1413582;1413582;1413582;1413582;1413582;1413582;1413582;1413582;1413582;1671438;1671438;1671438;1671438;1671438;1671438;1671438;1671438;1671438;1671438;1671438;1671438;1859239;1859239;1859239;1859239;1859239;1859239;1859239;1859239;1859239;1859239;1859239;1859239;1819178;1819178;1819178;1819178;1819178;1819178;1819178;1819178;1819178;1819178;1819178;1819178;2009146;2009146;2009146;2009146;2009146;2009146;2009146;2009146;2009146;2009146;2009146;2009146;1805705;1805705;1805705;1805705;1805705;1805705;1805705;1805705;1805705;1805705;1805705;1805705;1740178;1740178;1740178;1740178;1740178;1740178;1740178;1740178;1740178;1740178;1740178;1740178;1645614;1645614;1645614;1645614;1645614;1645614;1645614;1645614;1645614;1645614;1645614;1645614;2101533;2101533;2101533;2101533;2101533;2101533;2101533;2101533;2101533;2101533;2101533;2101533;2215832;2215832;2215832;2215832;2215832;2215832;2215832;2215832;2215832;2215832;2215832;2215832;NA;NA;NA;NA;NA;NA
Net sales;Technology;2127241;2127241;2127241;2127241;2127241;2127241;2127241;2825776;2825776;2825776;2825776;2825776;2825776;2825776;2825776;2825776;2825776;2825776;2825776;2975517;2975517;2975517;2975517;2975517;2975517;2975517;2975517;2975517;2975517;2975517;2975517;2683978;2683978;2683978;2683978;2683978;2683978;2683978;2683978;2683978;2683978;2683978;2683978;2942244;2942244;2942244;2942244;2942244;2942244;2942244;2942244;2942244;2942244;2942244;2942244;3056451;3056451;3056451;3056451;3056451;3056451;3056451;3056451;3056451;3056451;3056451;3056451;3354661;3354661;3354661;3354661;3354661;3354661;3354661;3354661;3354661;3354661;3354661;3354661;3408704;3408704;3408704;3408704;3408704;3408704;3408704;3408704;3408704;3408704;3408704;3408704;3481903;3481903;3481903;3481903;3481903;3481903;3481903;3481903;3481903;3481903;3481903;3481903;3409515;3409515;3409515;3409515;3409515;3409515;3409515;3409515;3409515;3409515;3409515;3409515;3506373;3506373;3506373;3506373;3506373;3506373;3506373;3506373;3506373;3506373;3506373;3506373;3502543;3502543;3502543;3502543;3502543;3502543;3502543;3502543;3502543;3502543;3502543;3502543;4072274;4072274;4072274;4072274;4072274;4072274;4072274;4072274;4072274;4072274;4072274;4072274;NA;NA;NA;NA;NA;NA
common equity;Technology;327053;327053;327053;327053;327053;327053;327053;363260;363260;363260;363260;363260;363260;363260;363260;363260;363260;363260;363260;457056;457056;457056;457056;457056;457056;457056;457056;457056;457056;457056;457056;467573;467573;467573;467573;467573;467573;467573;467573;467573;467573;467573;467573;493469;493469;493469;493469;493469;493469;493469;493469;493469;493469;493469;493469;501558;501558;501558;501558;501558;501558;501558;501558;501558;501558;501558;501558;521921;521921;521921;521921;521921;521921;521921;521921;521921;521921;521921;521921;549416;549416;549416;549416;549416;549416;549416;549416;549416;549416;549416;549416;582204;582204;582204;582204;582204;582204;582204;582204;582204;582204;582204;582204;650834;650834;650834;650834;650834;650834;650834;650834;650834;650834;650834;650834;693734;693734;693734;693734;693734;693734;693734;693734;693734;693734;693734;693734;755732;755732;755732;755732;755732;755732;755732;755732;755732;755732;755732;755732;826365;826365;826365;826365;826365;826365;826365;826365;826365;826365;826365;826365;NA;NA;NA;NA;NA;NA
Turnover ratio;Technology;0,03%;0,16%;0,09%;0,36%;0,19%;0,13%;0,21%;0,18%;0,30%;0,27%;0,15%;0,12%;0,03%;0,03%;0,09%;0,04%;0,16%;0,28%;0,13%;0,33%;0,07%;0,19%;0,10%;0,20%;0,05%;0,10%;0,19%;0,27%;0,26%;0,23%;0,30%;0,13%;0,17%;0,27%;0,29%;0,29%;0,10%;0,30%;2,20%;0,39%;0,14%;0,38%;0,23%;0,26%;0,13%;0,22%;0,15%;0,29%;0,14%;0,17%;0,14%;0,10%;0,05%;0,10%;0,20%;0,27%;0,16%;0,39%;0,27%;0,33%;0,40%;0,31%;0,11%;0,34%;0,20%;0,12%;0,23%;0,16%;0,24%;0,27%;0,13%;0,12%;0,08%;0,18%;0,28%;0,23%;0,26%;0,26%;0,13%;0,12%;0,06%;0,08%;0,23%;0,08%;0,06%;0,10%;0,11%;0,15%;0,05%;0,05%;0,14%;0,13%;0,21%;0,13%;0,10%;0,06%;0,05%;0,16%;0,09%;0,46%;0,05%;0,11%;0,09%;0,04%;0,34%;0,21%;0,36%;0,09%;0,25%;0,19%;0,10%;0,26%;0,15%;0,07%;0,20%;0,17%;0,05%;0,24%;0,25%;0,22%;0,10%;0,04%;0,05%;0,12%;0,04%;0,06%;0,22%;0,19%;0,16%;0,21%;0,06%;0,09%;0,09%;0,08%;0,16%;0,16%;0,05%;0,10%;0,12%;0,09%;0,09%;0,17%;0,13%;0,07%;0,06%;0,02%;0,13%;0,02%;0,16%;0,02%;0,10%;0,05%;0,06%;0,14%;0,05%;0,02%;0,05%
Return monthly;Technology;;0,265503876;-0,34532925;0,367251462;0,207014542;-0,085754784;0,156589147;0,081099196;0,249845009;0,056051587;0,212306247;0,124757846;-0,097140889;-0,043113316;-0,244417863;0,042744063;0,375506073;0,008830022;0,061633844;-0,002748196;0,138821908;0,049001815;0,167243368;0,016057312;0;-0,058837831;0,052182898;-0,068745397;-0,078829423;0,195191757;0,061302682;-0,017373646;0,232835821;0,119389085;0,073544093;-0,027433354;0,025338645;-0,010879702;0,069453174;0,086541287;0;-0,074104124;0;-0,006718271;0,026907808;0,131872852;0,053636939;-0,039620603;0,117639705;0,031655481;-0,030684159;0,062527964;-0,061164333;0,119533528;-0,01943109;0,128702758;-0,078914027;-0,081843191;0,014981273;-0,006325778;0,028647215;0,108303249;-0,012098651;0,062176166;0,009135255;0;-0,068201793;-0,063384267;-0,010473313;0,053124364;-0,046192501;-0,005369807;-0,00865845;0,052404439;0,12429213;-0,111159357;0,069467513;-0,029965284;-0,036070823;-0,032144602;-0,00656168;-0,155878468;0,049115204;-0,075502008;0,028174258;-0,171294061;-0,214857975;-0,052504638;0;-0,139612297;-0,189121529;-0,049957901;0,234859675;0,052870813;0;-0,305612361;0,199934555;-0,066539406;-0,392930178;0,112127045;-0,264820424;-0,266038846;0,71531676;-0,039738195;0,369036027;0,15113798;0,015755329;-0,034671533;0;0;0,327977316;-0,111506524;0,101735648;0,018419777;0,238695859;-0,060902978;-0,083265139;0,104887302;-0,007473238;0,013227513;0,315926893;0,011904762;-0,031523379;0,020401807;0,02991453;-0,00577949;-0,025339097;0,020033644;0,001949025;0,080053868;0,014962594;0,031258531;0;0,02673726;0,027845817;0,023705004;0,049620191;-0,055095132;-0,008400247;0,006727295;-0,026729365;0,037762238;-0,031119824;-0,015680324;-0,028520041;0,01824914;0,153246753;-0,040653153;-0,047188637;0;-0,05137366;-0,054025974;-0,04763866;0,098025083;0,001837994;-0,028305596;0,009710047
