Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;50231;50231;50231;50231;50231;50231;50231;57974;57974;57974;57974;57974;57974;57974;57974;57974;57974;57974;57974;102227;102227;102227;102227;102227;102227;102227;102227;102227;102227;102227;102227;130309;130309;130309;130309;130309;130309;130309;130309;130309;130309;130309;130309;85823;85823;85823;85823;85823;85823;85823;85823;85823;85823;85823;85823;165696;165696;165696;165696;165696;165696;165696;165696;165696;165696;165696;165696;169779;169779;169779;169779;169779;169779;169779;169779;169779;169779;169779;169779;211523;211523;211523;211523;211523;211523;211523;211523;211523;211523;211523;211523;266745;266745;266745;266745;266745;266745;266745;266745;266745;266745;266745;266745;353197;353197;353197;353197;353197;353197;353197;353197;353197;353197;353197;353197;328749;328749;328749;328749;328749;328749;328749;328749;328749;328749;328749;328749;357674;357674;357674;357674;357674;357674;357674;357674;357674;357674;357674;357674;385861;385861;385861;385861;385861;385861;385861;385861;385861;385861;385861;385861;NA;NA;NA;NA;NA;NA
Excess return;Financials;;-0,400779212;-0,461857694;-0,2850054;4,690983237;0,6853006;-0,0032734;-1,137831275;-0,2458969;0,4356688;-0,410278654;-0,1947438;-0,2080289;-0,2123869;-0,2152263;-0,2233106;-0,2089736;-0,2059624;-0,1971974;-0,1890917;-0,1914437;-0,1909784;-0,1809417;-0,203143;-0,2034667;-0,1991203;-0,1316758;-0,1322711;-0,1223629;0,15131199;-0,0963806;-0,0973806;-0,1330479;-0,1317047;-0,061826739;-0,125375;-0,397988787;-0,042957879;-0,553857931;-0,1307515;-0,1341137;-0,1561855;-0,759147533;-0,1588493;-0,2006246;1,293131868;-0,806240033;-0,1883426;-0,1880134;-0,1916596;-0,2076313;-0,2082877;-0,2012108;-0,2021171;-0,1953916;-0,2034376;-0,1952639;-0,2059912;-0,474700016;-0,566235216;0,093340598;-0,2048045;-0,2295188;2,613022027;-0,2317575;-0,2098622;-0,2250056;-0,2216973;-0,22998874;-0,12740803;0,0297237;-0,199448656;-0,30150349;-0,038259413;0,306543197;-0,1788352;-0,207165186;-0,184900758;0,285788494;-0,379208624;0,035846205;-0,029102181;-0,191146365;-0,1698361;-0,1860617;-0,344660767;0,044423686;-0,115585308;-0,270466233;-0,186587938;-0,1713829;-0,1352811;-0,195710002;-0,223301382;-0,150814386;-0,2674697;-0,299196088;-0,095674031;-0,350660768;0,120997267;-0,354756668;0,025239559;-0,073785457;-0,109532261;-0,1437444;-0,389726756;0,32399988;-0,422928991;0,041737485;-0,419340167;-0,1497443;-0,1521667;-0,510310364;0,207420323;-0,308678304;0,029219795;-0,318671604;0,011976195;-0,124469505;-0,1754594;-0,111567441;0,218805481;-0,303782343;-0,362842484;0,235432198;-0,200397261;-0,1773851;-0,290368134;-0,471215146;-0,252103606;0,367084031;0,197766521;-0,474193583;-0,045588745;-0,212121;-0,452431471;0,166683074;-0,265812704;-0,16253339;-0,348084498;-0,551777325;-0,03101459;0,02234422;-0,2525098;-0,162318283;-0,540347121;-0,082576926;-0,241666;-0,301854487;-0,134625094;-0,157915943;-0,380083805;0,032499718;-0,359953103;0,160647171;-0,345881265;0,304761905
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;1,3857;1,2365;-0,4723;2,5858;2,9162;3,1238;3,6218;3,4813;2,2063;1,9624;1,6709;1,4626;1,4703;1,4363;1,4401;1,4462;1,4472;1,4248;1,2698;1,2459;1,2499;1,2568;1,0959;1,561;1,5709;1,5781;0,5266;0,5297;0,3883;0,0387;0,0362;0,0362;0,5833;0,5969;0,6406;0,525;0,5496;0,5494;0,5456;0,5405;0,5399;0,8585;0,8627;0,8611;1,5242;1,6429;1,6102;1,6102;1,7018;1,7692;2,0751;1,9379;1,8716;1,8717;1,8332;1,9752;1,8153;1,9824;2,2971;2,4303;2,1292;2,0715;2,4876;2,603;2,5025;2,0994;2,2112;2,1571;1,6323;1,4157;1,418;1,3826;1,3685;1,2882;1,2532;1,6204;1,6376;1,1938;1,417;1,3109;1,649;1,206;1,1641;1,3347;1,5859;1,4007;0,6838;0,6071;0,5783;0,6528;0,6283;0,6997;0,7056;0,6887;0,686;0,7019;0,6885;0,7198;0,9147;0,8748;0,944;0,957;0,9232;0,9112;0,8888;1,0513;1,0223;1,07;1,0858;1,0345;1,0261;1,0709;0,948;0,9689;1,0997;1,2422;1,2988;1,5294;1,5085;1,4938;1,3409;1,2018;1,2592;1,2358;1,3002;1,2787;1,5077;1,6089;1,5393;1,8216;1,8517;1,9389;1,8147;2,0156;2,117;2,135;2,6096;2,56;2,5793;2,4719;2,6195;2,767;2,723;2,9946;3,2081;3,0941;3,0313;2,882;2,478;2,2011;1,8633;1,893;1,7419;1,1017;1,2363;0,9455
VO monthly avg;Financials; 0.00 ; 0.00 ; 5.64 ; 0.00 ; 0.24 ; 0.44 ; 0.01 ; 0.35 ; 0.00 ; 0.01 ; 0.01 ; 2.09 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 4.17 ; 0.68 ; 1.11 ; 0.00 ; 0.00 ; 3.18 ; 0.00 ; 0.10 ; 6.90 ; 3.74 ; 0.00 ; 0.00 ; 0.00 ; 0.10 ; 0.00 ; 0.00 ; 0.76 ; 0.01 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 2.36 ; 0.00 ; 0.00 ; 35.70 ; 0.75 ; 3.45 ; 0.00 ; 32.90 ; 11.87 ; 21.07 ; 53.46 ; 60.18 ; 12.05 ; 89.79 ; 58.64 ; 26.29 ; 35.22 ; 32.10 ; 18.22 ; 24.97 ; 11.60 ; 2.89 ; 8.37 ; 11.11 ; 6.68 ; 3.76 ; 6.86 ; 15.32 ; 3.55 ; 4.57 ; 6.71 ; 2.84 ; 2.63 ; 2.56 ; 0.98 ; 3.45 ; 4.09 ; 10.49 ; 1.79 ; 0.54 ; 5.88 ; 27.78 ; 7.38 ; 8.36 ; 0.34 ; 5.48 ; 7.82 ; 5.10 ; 1.82 ; 13.28 ; 9.24 ; 10.30 ; 0.12 ; 48.04 ; 30.37 ; 4.73 ; 6.78 ; 9.67 ; 205.74 ; 3.87 ; 51.10 ; 0.01 ; 3.21 ; 9.47 ; 6.92 ; 0.24 ; 0.00 ; 5.45 ; 15.03 ; 2.40 ; 2.25 ; 28.75 ; 22.28 ; 10.68 ; 13.06 ; 0.30 ; 0.33 ; 4.71 ; 1.85 ; 15.14 ; 18.87 ; 0.73 ; 2.58 ; 1.46 ; 3.58 ; 8.94 ; 0.68 ; 7.42 ; 3.53 ; 3.84 ; 2.28 ; 4.45 ; 1.90 ; 3.41 ; 5.35 ; 1.32 ; 1.04 
Total assets;Financials;55275;55275;55275;55275;55275;55275;55275;64782;64782;64782;64782;64782;64782;64782;64782;64782;64782;64782;64782;104914;104914;104914;104914;104914;104914;104914;104914;104914;104914;104914;104914;133651;133651;133651;133651;133651;133651;133651;133651;133651;133651;133651;133651;99962;99962;99962;99962;99962;99962;99962;99962;99962;99962;99962;99962;229213;229213;229213;229213;229213;229213;229213;229213;229213;229213;229213;229213;252576;252576;252576;252576;252576;252576;252576;252576;252576;252576;252576;252576;323090;323090;323090;323090;323090;323090;323090;323090;323090;323090;323090;323090;592944;592944;592944;592944;592944;592944;592944;592944;592944;592944;592944;592944;660351;660351;660351;660351;660351;660351;660351;660351;660351;660351;660351;660351;669238;669238;669238;669238;669238;669238;669238;669238;669238;669238;669238;669238;746043;746043;746043;746043;746043;746043;746043;746043;746043;746043;746043;746043;804694;804694;804694;804694;804694;804694;804694;804694;804694;804694;804694;804694;NA;NA;NA;NA;NA;NA
Net sales;Financials;19108;19108;19108;19108;19108;19108;19108;11154;11154;11154;11154;11154;11154;11154;11154;11154;11154;11154;11154;11115;11115;11115;11115;11115;11115;11115;11115;11115;11115;11115;11115;20026;20026;20026;20026;20026;20026;20026;20026;20026;20026;20026;20026;28221;28221;28221;28221;28221;28221;28221;28221;28221;28221;28221;28221;17675;17675;17675;17675;17675;17675;17675;17675;17675;17675;17675;17675;24827;24827;24827;24827;24827;24827;24827;24827;24827;24827;24827;24827;23810;23810;23810;23810;23810;23810;23810;23810;23810;23810;23810;23810;56574;56574;56574;56574;56574;56574;56574;56574;56574;56574;56574;56574;75080;75080;75080;75080;75080;75080;75080;75080;75080;75080;75080;75080;82043;82043;82043;82043;82043;82043;82043;82043;82043;82043;82043;82043;96146;96146;96146;96146;96146;96146;96146;96146;96146;96146;96146;96146;87199;87199;87199;87199;87199;87199;87199;87199;87199;87199;87199;87199;NA;NA;NA;NA;NA;NA
common equity;Financials;5044;5044;5044;5044;5044;5044;5044;6809;6809;6809;6809;6809;6809;6809;6809;6809;6809;6809;6809;2687;2687;2687;2687;2687;2687;2687;2687;2687;2687;2687;2687;3342;3342;3342;3342;3342;3342;3342;3342;3342;3342;3342;3342;14139;14139;14139;14139;14139;14139;14139;14139;14139;14139;14139;14139;63516;63516;63516;63516;63516;63516;63516;63516;63516;63516;63516;63516;82801;82801;82801;82801;82801;82801;82801;82801;82801;82801;82801;82801;111627;111627;111627;111627;111627;111627;111627;111627;111627;111627;111627;111627;326370;326370;326370;326370;326370;326370;326370;326370;326370;326370;326370;326370;307332;307332;307332;307332;307332;307332;307332;307332;307332;307332;307332;307332;340670;340670;340670;340670;340670;340670;340670;340670;340670;340670;340670;340670;388636;388636;388636;388636;388636;388636;388636;388636;388636;388636;388636;388636;419104;419104;419104;419104;419104;419104;419104;419104;419104;419104;419104;419104;NA;NA;NA;NA;NA;NA
Turnover ratio;Financials;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,08%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,02%;0,01%;0,01%;0,03%;0,03%;0,01%;0,05%;0,03%;0,01%;0,02%;0,02%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Financials;;-0,199279712;-0,374812594;0;4,995203837;1;0,3334;-0,812509375;0;0,6664;-0,199711954;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24955009;0;0;0;0;0,069131061;0;-0,272563987;0,087654321;-0,425085131;0;0;0;-0,600197433;0;0;1,501234568;-0,600197433;0;0;0;0;0;0;0;0;0;0;0;-0,249382716;-0,335526316;0,301980198;0;0;2,851711027;0;0;0;0;-0,04047384;0,04218107;0,1994077;-0,033744856;-0,13713799;0,119447187;0,463844797;0;-0,024096386;-0,024691358;0,460759494;-0,210571924;0,222283205;0,127525819;-0,032258065;0;0;-0,166666667;0,179753086;0,017161992;-0,133333333;-0,038461538;-0,04;0;-0,062757202;-0,088913282;-0,024096386;-0,15;-0,176470588;0,035273369;-0,206984668;0,261009667;-0,206984668;0,175080559;0,073126143;0,034923339;0;-0,233744856;0,47905478;-0,265068991;0,200592885;-0,266666667;0;0;-0,363636364;0,356261023;-0,157347204;0,186728395;-0,157347204;0,186728395;0,053315995;0;0,059259259;0,381118881;-0,137552743;-0,200587084;0,400244798;-0,035839161;0;-0,110607434;-0,291539246;-0,058992806;0,562691131;0,399217221;-0,282517483;0,159844055;0;-0,241176471;0,408637874;-0,032232704;0,06661251;-0,124904798;-0,321148825;0,21025641;0,26059322;0;0,105042017;-0,281368821;0,173544974;0;-0,073940487;0,079844206;0,037871957;-0,178974805;0,217989418;-0,214596003;0,318584071;-0,207214765;0,304761905
