Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;186440;186440;186440;186440;186440;186440;186440;186440;110667;110667;110667;110667;110667;110667;110667;110667;110667;110667;110667;110667;81591;81591;81591;81591;81591;81591;81591;81591;81591;81591;81591;81591;92972;92972;92972;92972;92972;92972;92972;92972;92972;92972;92972;92972;130484;130484;130484;130484;130484;130484;130484;130484;130484;130484;130484;130484;112326;112326;112326;112326;112326;112326;112326;112326;112326;112326;112326;112326;129457;129457;129457;129457;129457;129457;129457;129457;129457;129457;129457;129457;157782;157782;157782;157782;157782;157782;157782;157782;157782;157782;157782;157782;131778;131778;131778;131778;131778;131778;131778;131778;131778;131778;131778;131778;178970;178970;178970;178970;178970;178970;178970;178970;178970;178970;178970;178970;189798;189798;189798;189798;189798;189798;189798;189798;189798;189798;189798;189798;182904;182904;182904;182904;182904;182904;182904;182904;182904;182904;182904;182904;202823;202823;202823;202823;202823;202823;202823;202823;202823;202823;202823;202823;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,109389161;0,043039511;-0,015181062;0,537094646;0,175115311;-0,147656328;-0,215491723;-0,246272641;-0,224346004;0,002757544;-0,206938215;-0,078088682;0,048506987;0,03865689;-0,075952515;-0,017160253;-0,168952432;-0,100168055;0,211866616;-0,088123026;0,019384108;-0,19329951;-0,124844807;-0,228547269;-0,023582674;-0,154348813;-0,06017426;0,033580792;-0,049307822;0,050502135;-0,027618969;-0,126293267;-0,163071589;-0,055503774;-0,164403563;-0,051274809;-0,060036542;0,001664207;-0,15967192;-0,226684675;-0,005577646;-0,055597372;-0,04687681;-0,125681478;-0,059862681;-0,095748923;-0,114874227;-0,100142463;-0,1111512;-0,088013492;0,021203731;0,093361443;0,014586026;-0,083225949;-0,1089698;-0,119473715;-0,045520205;-0,123661415;-0,101884733;-0,119329474;-0,142149223;-0,161580229;-0,033487189;-0,169389103;0,024896112;-0,096705566;-0,188491998;-0,083764925;-0,201395596;-0,126340917;-0,14535912;-0,188329999;-0,237827945;-0,28134855;-0,270193481;0,037920492;-0,1091537;-0,070541288;-0,078557495;-0,239450307;-0,222181352;-0,26142471;0,035848585;0,036827651;-0,1203329;-0,034486237;-0,199050416;-0,111853021;-0,056676885;-0,08364943;-0,247810665;-0,287335831;-0,091406328;0,044509677;-0,147123558;-0,1143564;-0,1033601;-0,1022934;-0,143241895;0,152436074;-0,170542602;-0,137495373;-0,120408977;-0,085749479;-0,183853449;-0,054880442;-0,089328249;-0,1222538;-0,113100642;-0,159400385;-0,11315756;-0,131031647;-0,167713059;-0,159395425;0,039307148;-0,137763361;-0,1100392;-0,101446498;-0,140116148;-0,122274744;-0,203184003;-0,1064618;-0,089330287;-0,076893487;-0,0982417;-0,010188319;-0,014409367;-0,089161572;-0,061750071;0,032956875;0,007341085;-0,135944356;-0,095314476;0,055350337;-0,140251553;0,12259584;-0,207117332;-0,044775734
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;;;;;;;;;;;;;;;;;;;;0,6576;0,6582;1,081;1,0818;1,1593;1,3751;1,5073;1,6702;1,6385;0,4331;0,4411;0,4675;0,4812;0,503;0,4175;0,4181;0,3549;0,4365;0,4355;0,4296;0,4785;0,4768;0,523;0,5244;0,4777;0,4722;0,5906;0,5686;0,5673;0,5285;0,4352;0,3921;0,4165;0,5653;0,5654;0,498;0,4577;0,3473;0,4707;0,4544;0,4441;0,3733;0,4876;0,4905;0,4066;0,4308;0,3315;0,4056;0,4024;0,37;0,4354;0,4323;0,4645;0,4846;0,5146;0,4839;0,699;0,6977;0,697;0,7322;0,7461;0,9942;0,7329;0,5217;0,4889;0,625;0,5447;0,6257;0,6083;0,5981;0,6577;0,7532;0,7913;0,7935;0,5957;0,5678;0,5699;0,5503;0,6157;0,4745;0,4475;0,5518;0,526;0,5129;0,5283;0,5254;0,5129;0,5496;0,5713;0,5822;0,5605;0,5646;0,5599;0,5589;0,5545;0,5128;0,3827;0,3618;0,553;0,5648;0,5487;0,4591;0,6088;0,6282;0,6124;0,5841;0,5784;0,6326;0,6192;0,5907;0,4958;0,491;0,4964;0,5006;0,4949;0,4958;0,5284;0,5305;0,5362;0,5496;0,5494;0,6486;0,4454;0,4488;0,5459;0,6199;0,5775;0,554;0,3993;0,5397;0,5535;0,5471;0,5762;0,5584;0,8635;0,9248;0,7274
VO monthly avg;Consumer Goods; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 225.57 ; 121.38 ; 78.56 ; 44.50 ; 105.03 ; 67.99 ; 40.31 ; 49.60 ; 34.65 ; 35.39 ; 193.62 ; 32.30 ; 26.31 ; 29.87 ; 20.89 ; 22.22 ; 22.37 ; 11.37 ; 49.34 ; 30.22 ; 41.12 ; 18.55 ; 15.45 ; 24.59 ; 9.10 ; 53.90 ; 55.89 ; 23.90 ; 57.23 ; 46.18 ; 41.66 ; 62.09 ; 20.23 ; 29.36 ; 29.10 ; 14.10 ; 31.94 ; 50.76 ; 11.66 ; 7.46 ; 35.19 ; 12.52 ; 77.02 ; 25.56 ; 9.19 ; 36.14 ; 7.87 ; 51.42 ; 25.38 ; 56.35 ; 20.68 ; 17.94 ; 34.04 ; 26.56 ; 15.43 ; 21.05 ; 41.75 ; 166.56 ; 24.80 ; 35.83 ; 32.45 ; 13.57 ; 21.92 ; 4.46 ; 10.35 ; 29.48 ; 26.73 ; 38.58 ; 12.46 ; 23.11 ; 7.60 ; 38.22 ; 76.01 ; 27.55 ; 3.71 ; 6.53 ; 14.25 ; 10.41 ; 8.54 ; 29.57 ; 17.68 ; 29.08 ; 16.10 ; 9.27 ; 229.28 ; 24.70 ; 13.21 ; 25.69 ; 32.50 ; 13.65 ; 22.95 ; 34.71 ; 16.84 ; 215.92 ; 130.75 ; 134.00 ; 10.27 ; 35.95 ; 9.66 ; 8.41 ; 49.28 ; 10.57 ; 1.71 ; 65.27 ; 5.81 ; 7.65 ; 13.04 ; 10.04 ; 9.60 ; 22.11 ; 6.22 ; 5.59 ; 19.05 ; 20.34 ; 43.16 ; 190.57 ; 11.09 ; 4.62 ; 12.41 ; 23.53 ; 6.56 ; 56.75 ; 7.43 ; 29.84 ; 35.49 ; 35.42 ; 42.94 ; 44.22 ; 11.13 ; 25.69 ; 35.82 ; 43.04 ; 88.28 ; 36.80 ; 184.63 ; 134.99 ; 47.31 ; 33.02 ; 13.35 
Total assets;Consumer Goods;220380;220380;220380;220380;220380;220380;220380;220380;184705;184705;184705;184705;184705;184705;184705;184705;184705;184705;184705;184705;195506;195506;195506;195506;195506;195506;195506;195506;195506;195506;195506;195506;229396;229396;229396;229396;229396;229396;229396;229396;229396;229396;229396;229396;290895;290895;290895;290895;290895;290895;290895;290895;290895;290895;290895;290895;331902;331902;331902;331902;331902;331902;331902;331902;331902;331902;331902;331902;425286;425286;425286;425286;425286;425286;425286;425286;425286;425286;425286;425286;504892;504892;504892;504892;504892;504892;504892;504892;504892;504892;504892;504892;495758;495758;495758;495758;495758;495758;495758;495758;495758;495758;495758;495758;573652;573652;573652;573652;573652;573652;573652;573652;573652;573652;573652;573652;600589;600589;600589;600589;600589;600589;600589;600589;600589;600589;600589;600589;586785;586785;586785;586785;586785;586785;586785;586785;586785;586785;586785;586785;635168;635168;635168;635168;635168;635168;635168;635168;635168;635168;635168;635168;NA;NA;NA;NA;NA
Net sales;Consumer Goods;287466;287466;287466;287466;287466;287466;287466;287466;312015;312015;312015;312015;312015;312015;312015;312015;312015;312015;312015;312015;359720;359720;359720;359720;359720;359720;359720;359720;359720;359720;359720;359720;376177;376177;376177;376177;376177;376177;376177;376177;376177;376177;376177;376177;415661;415661;415661;415661;415661;415661;415661;415661;415661;415661;415661;415661;447848;447848;447848;447848;447848;447848;447848;447848;447848;447848;447848;447848;501779;501779;501779;501779;501779;501779;501779;501779;501779;501779;501779;501779;547458;547458;547458;547458;547458;547458;547458;547458;547458;547458;547458;547458;562335;562335;562335;562335;562335;562335;562335;562335;562335;562335;562335;562335;625868;625868;625868;625868;625868;625868;625868;625868;625868;625868;625868;625868;666322;666322;666322;666322;666322;666322;666322;666322;666322;666322;666322;666322;668362;668362;668362;668362;668362;668362;668362;668362;668362;668362;668362;668362;707853;707853;707853;707853;707853;707853;707853;707853;707853;707853;707853;707853;NA;NA;NA;NA;NA
common equity;Consumer Goods;33940;33940;33940;33940;33940;33940;33940;33940;74038;74038;74038;74038;74038;74038;74038;74038;74038;74038;74038;74038;113915;113915;113915;113915;113915;113915;113915;113915;113915;113915;113915;113915;136424;136424;136424;136424;136424;136424;136424;136424;136424;136424;136424;136424;160411;160411;160411;160411;160411;160411;160411;160411;160411;160411;160411;160411;219576;219576;219576;219576;219576;219576;219576;219576;219576;219576;219576;219576;295829;295829;295829;295829;295829;295829;295829;295829;295829;295829;295829;295829;347110;347110;347110;347110;347110;347110;347110;347110;347110;347110;347110;347110;363980;363980;363980;363980;363980;363980;363980;363980;363980;363980;363980;363980;376059;376059;376059;376059;376059;376059;376059;376059;376059;376059;376059;376059;387766;387766;387766;387766;387766;387766;387766;387766;387766;387766;387766;387766;403675;403675;403675;403675;403675;403675;403675;403675;403675;403675;403675;403675;432037;432037;432037;432037;432037;432037;432037;432037;432037;432037;432037;432037;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,32%;0,17%;0,11%;0,06%;0,15%;0,10%;0,06%;0,07%;0,05%;0,05%;0,28%;0,05%;0,04%;0,04%;0,03%;0,03%;0,03%;0,02%;0,07%;0,04%;0,06%;0,03%;0,02%;0,04%;0,01%;0,08%;0,08%;0,03%;0,08%;0,07%;0,06%;0,09%;0,03%;0,04%;0,04%;0,02%;0,04%;0,07%;0,02%;0,01%;0,05%;0,02%;0,11%;0,04%;0,01%;0,05%;0,01%;0,07%;0,03%;0,08%;0,03%;0,02%;0,05%;0,04%;0,02%;0,03%;0,06%;0,22%;0,03%;0,05%;0,04%;0,02%;0,03%;0,01%;0,01%;0,04%;0,03%;0,05%;0,02%;0,03%;0,01%;0,05%;0,10%;0,04%;0,00%;0,01%;0,02%;0,01%;0,01%;0,04%;0,02%;0,04%;0,02%;0,01%;0,30%;0,03%;0,02%;0,03%;0,04%;0,02%;0,03%;0,05%;0,02%;0,28%;0,17%;0,17%;0,01%;0,05%;0,01%;0,01%;0,06%;0,01%;0,00%;0,08%;0,01%;0,01%;0,02%;0,01%;0,01%;0,03%;0,01%;0,01%;0,02%;0,03%;0,06%;0,25%;0,01%;0,01%;0,02%;0,03%;0,01%;0,07%;0,01%;0,04%;0,05%;0,05%;0,06%;0,06%;0,01%;0,03%;0,05%;0,06%;0,11%;0,05%;0,24%;0,18%;0,06%;0,04%;0,02%
Return monthly;Consumer Goods;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,109389161;0,197206111;0,164721938;0,717148046;0,352951211;0,043474972;-0,020831823;-0,042550041;-0,022220504;0,127942844;-0,083348915;0,045463818;0,173922587;0,16664589;0,044449985;0,099780047;-0,054293732;0,018131445;0,335303116;0,033341774;0,146229608;-0,06316111;0,010204193;-0,090910069;0,111112426;-0,020000213;0,08163354;0,174002592;0,073332078;0,164597635;0,079998631;-0,024690967;-0,050632089;0,063410126;-0,044583363;0,059999191;0,047798558;0,104444107;-0,04891782;-0,117457475;0,100000654;0,042420528;0,05814199;-0,021979978;0,040453119;0,005491477;-0,016389727;0,011110337;0;0,021976508;0,129033931;0,200946343;0,122449526;0,025453851;0;-0,010638015;0,075266795;0,000193685;0,027026267;0,012499126;-0,009094923;-0,016395629;0,093335511;-0,050972003;0,141446812;0,028819434;-0,064425898;0,047904175;-0,068572696;0,012039383;0,00307598;-0,049078399;-0,096776045;-0,14285805;-0,141664381;0,157191892;0;0,043477612;0,045831605;-0,123506807;-0,109088852;-0,13836131;0,158536585;0,157890351;0;0,086363963;-0,076987716;0,013421779;0,069765015;0,04347917;-0,124999165;-0,166666031;0,028567372;0,166670377;-0,024390058;0;0;0;-0,030002895;0,270768474;-0,054624502;-0,022222073;0,004545423;0,040727121;-0,060872249;0,064817858;0,031110951;0;0,004308958;-0,039486285;-0,00357216;-0,021148647;-0,057139859;-0,050507625;0,148935848;-0,027777961;0;0,009525002;-0,034035548;-0,020999944;-0,101121803;0;0,005679913;0,018080913;0;0,094115381;0,086023133;0,010890428;0,023505829;0,138757975;0,118011585;-0,023077056;0,022836124;0,166279537;-0,009901053;0,26090824;-0,082191132;-0,044775734
