Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;2830900;2830900;2830900;3653200;3653200;3653200;3653200;3653200;3653200;3653200;3653200;3653200;3653200;3653200;3653200;4258200;4258200;4258200;4258200;4258200;4258200;4258200;4258200;4258200;4258200;4258200;4258200;4774600;4774600;4774600;4774600;4774600;4774600;4774600;4774600;4774600;4774600;4774600;4774600;5037500;5037500;5037500;5037500;5037500;5037500;5037500;5037500;5037500;5037500;5037500;5037500;5637600;5637600;5637600;5637600;5637600;5637600;5637600;5637600;5637600;5637600;5637600;5637600;6626400;6626400;6626400;6626400;6626400;6626400;6626400;6626400;6626400;6626400;6626400;6626400;7726500;7726500;7726500;7726500;7726500;7726500;7726500;7726500;7726500;7726500;7726500;7726500;8780500;8780500;8780500;8780500;8780500;8780500;8780500;8780500;8780500;8780500;8780500;8780500;8956100;8956100;8956100;8956100;8956100;8956100;8956100;8956100;8956100;8956100;8956100;8956100;9570900;9570900;9570900;9570900;9570900;9570900;9570900;9570900;9570900;9570900;9570900;9570900;9297700;9297700;9297700;9297700;9297700;9297700;9297700;9297700;9297700;9297700;9297700;9297700;10430700;10430700;10430700;10430700;10430700;10430700;10430700;10430700;10430700;10430700;10430700;10430700;11189900;11189900;11189900;11189900;11189900;11189900;11189900;11189900;11189900;11189900
Excess return;Consumer Goods;;-0,238406224;-0,239715819;-0,169038819;-0,277993148;-0,171589366;-0,098248574;-0,106751177;-0,1248052;-0,302540707;0,067241216;-0,103526202;-0,187667641;-0,174456509;-0,219666877;-0,183324218;0,167549706;-0,05789904;-0,189214158;-0,160201013;-0,138181081;-0,105680797;-0,116953792;-0,066807268;-0,198056046;-0,189163685;-0,140224399;-0,164119441;-0,05597173;-0,099287197;-0,08438192;-0,038608946;-0,115301393;-0,152639875;-0,098962715;-0,097129006;0,03737564;-0,193437994;-0,080463223;-0,11349796;-0,148845448;-0,17874571;-0,082379832;-0,102550949;-0,093206019;-0,089646343;-0,043495267;-0,068407087;-0,120075338;-0,082787887;-0,142074519;-0,144193608;-0,121085317;-0,03170297;-0,076031996;-0,055387067;-0,129899794;-0,044422307;-0,15839263;-0,152625293;-0,028062272;-0,043505194;-0,139729234;-0,124141405;-0,072106027;-0,262759662;-0,052612715;-0,143120235;-0,09247084;-0,191350976;-0,089956676;-0,077089538;-0,093784867;-0,120960839;-0,162307183;-0,098948702;-0,121060977;-0,129809287;-0,140544235;-0,196488467;-0,176412315;-0,079551281;-0,12505827;-0,134469291;-0,118483531;-0,294691382;-0,172443463;-0,224442636;-0,115072093;-0,152355524;-0,184179878;-0,060664544;-0,098534377;-0,117681434;-0,056394984;-0,060796384;0,020244581;-0,155314513;-0,21814489;-0,160149555;-0,0835123;0,009006131;-0,13274368;-0,031881323;-0,074848778;-0,065893619;-0,102390801;-0,145130195;-0,072348246;-0,154855389;-0,118207699;-0,05595095;-0,151303453;-0,110915144;-0,055474073;-0,070605809;-0,141644278;-0,149350125;-0,062107691;-0,104896393;-0,091882181;-0,252683621;-0,05250522;-0,144291315;-0,202798547;-0,108071067;-0,143654566;-0,133119859;-0,202931579;-0,161903377;-0,038274137;-0,02830716;-0,044430429;-0,139548715;-0,173198078;-0,105826375;-0,082697327;-0,111095629;-0,111088256;-0,144239946;-0,064169566;-0,105693601;-0,158714121;-0,156569337;0,000808272;-0,07817391;-0,118863754;-0,14824311;-0,104547792;-0,146455724;-0,116229734;-0,154889544;-0,089259199;-0,011148525;0,039673969;-0,066436991;0,055725452
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,8613;0,8988;0,8479;0,6792;0,5819;0,5073;0,4722;0,4698;0,5809;0,5975;0,5811;0,4437;0,4478;0,4668;0,4574;0,4892;0,4875;0,5119;0,5054;0,4797;0,4672;0,4653;0,4544;0,4465;0,4672;0,4653;0,5988;0,589;0,5807;0,6027;0,6221;0,6206;0,4614;0,4546;0,4589;0,6093;0,5706;0,6166;0,6242;0,6274;0,615;0,6109;0,614;0,6383;0,6454;0,6307;0,5978;0,5982;0,5551;0,52;0,5032;0,5426;0,642;0,641;0,6252;0,6093;0,6343;0,7089;0,6434;0,6751;0,7318;0,7556;0,729;0,7324;0,8093;0,8476;0,8517;0,8553;0,8582;0,9257;0,9241;0,9221;0,9302;0,9639;0,9646;1,0866;1,0781;1,0665;1,0775;1,0823;1,1164;1,13;1,0284;0,8603;1,0436;0,7974;0,8736;0,7825;0,7795;0,8222;0,6247;0,6029;0,5114;0,4289;0,4199;0,4254;0,4368;0,5071;0,4247;0,4315;0,5103;0,5209;0,5558;0,5625;0,5494;0,5476;0,5444;0,5567;0,5141;0,5731;0,5649;0,5652;0,5416;0,5382;0,5833;0,6345;0,5923;0,7113;0,7117;0,7081;0,6758;0,7997;0,804;0,8071;0,6925;0,7144;0,6614;0,6735;0,6925;0,7601;0,7677;0,716;0,6661;0,6292;0,6185;0,62;0,64;0,6722;0,6359;0,6476;0,7687;0,69;0,6676;0,7157;0,6237;0,5881;0,5945;0,6191;0,4937;0,4866;0,4201;0,4222;0,4287;0,3477;0,3236;0,4548
VO monthly avg;Consumer Goods; 59.20 ; 472.72 ; 412.93 ; 566.86 ; 460.32 ; 871.30 ; 1055.64 ; 343.20 ; 828.66 ; 960.12 ; 756.42 ; 687.62 ; 730.00 ; 723.35 ; 898.72 ; 668.37 ; 858.52 ; 519.92 ; 1059.78 ; 919.85 ; 623.73 ; 404.25 ; 589.07 ; 500.75 ; 506.07 ; 752.33 ; 652.86 ; 379.26 ; 590.94 ; 528.07 ; 527.85 ; 572.12 ; 545.59 ; 309.50 ; 460.41 ; 853.30 ; 316.33 ; 909.47 ; 447.92 ; 332.16 ; 429.74 ; 755.37 ; 644.33 ; 559.98 ; 342.57 ; 367.59 ; 490.93 ; 635.89 ; 516.82 ; 501.99 ; 558.84 ; 530.92 ; 428.80 ; 471.24 ; 300.77 ; 696.23 ; 567.26 ; 476.39 ; 736.63 ; 587.67 ; 602.31 ; 465.52 ; 965.30 ; 1077.86 ; 930.88 ; 1025.64 ; 1315.75 ; 791.38 ; 1104.72 ; 824.01 ; 1424.40 ; 747.19 ; 716.75 ; 909.71 ; 1026.46 ; 1109.58 ; 1058.58 ; 1023.91 ; 985.80 ; 1390.22 ; 677.70 ; 753.32 ; 637.89 ; 712.89 ; 390.31 ; 1109.69 ; 1149.94 ; 917.02 ; 868.46 ; 1187.17 ; 613.59 ; 675.25 ; 1254.67 ; 1064.25 ; 1141.30 ; 935.84 ; 852.15 ; 835.76 ; 881.03 ; 1283.46 ; 1494.70 ; 674.22 ; 683.69 ; 674.56 ; 710.63 ; 765.35 ; 1188.62 ; 793.39 ; 622.93 ; 893.79 ; 1025.71 ; 1023.47 ; 792.11 ; 1019.28 ; 995.02 ; 892.66 ; 1433.17 ; 1124.79 ; 1443.83 ; 1472.17 ; 748.95 ; 1661.45 ; 2373.03 ; 919.18 ; 1117.85 ; 724.26 ; 1626.65 ; 597.84 ; 970.85 ; 894.84 ; 1300.11 ; 494.49 ; 1004.57 ; 721.97 ; 1090.13 ; 810.40 ; 1272.75 ; 592.20 ; 677.84 ; 1099.65 ; 717.52 ; 493.10 ; 1497.08 ; 647.27 ; 669.34 ; 1296.82 ; 1479.81 ; 397.53 ; 571.67 ; 701.09 ; 967.72 ; 663.07 ; 496.78 ; 591.73 ; 954.78 ; 620.57 ; 455.49 
Total assets;Consumer Goods;3567900;3567900;3567900;4751400;4751400;4751400;4751400;4751400;4751400;4751400;4751400;4751400;4751400;4751400;4751400;5185800;5185800;5185800;5185800;5185800;5185800;5185800;5185800;5185800;5185800;5185800;5185800;5901800;5901800;5901800;5901800;5901800;5901800;5901800;5901800;5901800;5901800;5901800;5901800;6111800;6111800;6111800;6111800;6111800;6111800;6111800;6111800;6111800;6111800;6111800;6111800;6499600;6499600;6499600;6499600;6499600;6499600;6499600;6499600;6499600;6499600;6499600;6499600;7639100;7639100;7639100;7639100;7639100;7639100;7639100;7639100;7639100;7639100;7639100;7639100;9158900;9158900;9158900;9158900;9158900;9158900;9158900;9158900;9158900;9158900;9158900;9158900;10475400;10475400;10475400;10475400;10475400;10475400;10475400;10475400;10475400;10475400;10475400;10475400;11100700;11100700;11100700;11100700;11100700;11100700;11100700;11100700;11100700;11100700;11100700;11100700;11729700;11729700;11729700;11729700;11729700;11729700;11729700;11729700;11729700;11729700;11729700;11729700;11701800;11701800;11701800;11701800;11701800;11701800;11701800;11701800;11701800;11701800;11701800;11701800;12846700;12846700;12846700;12846700;12846700;12846700;12846700;12846700;12846700;12846700;12846700;12846700;13892500;13892500;13892500;13892500;13892500;13892500;13892500;13892500;13892500;13892500
Net sales;Consumer Goods;15126100;15126100;15126100;18817500;18817500;18817500;18817500;18817500;18817500;18817500;18817500;18817500;18817500;18817500;18817500;26194200;26194200;26194200;26194200;26194200;26194200;26194200;26194200;26194200;26194200;26194200;26194200;29276100;29276100;29276100;29276100;29276100;29276100;29276100;29276100;29276100;29276100;29276100;29276100;31885000;31885000;31885000;31885000;31885000;31885000;31885000;31885000;31885000;31885000;31885000;31885000;35078400;35078400;35078400;35078400;35078400;35078400;35078400;35078400;35078400;35078400;35078400;35078400;39337100;39337100;39337100;39337100;39337100;39337100;39337100;39337100;39337100;39337100;39337100;39337100;45380700;45380700;45380700;45380700;45380700;45380700;45380700;45380700;45380700;45380700;45380700;45380700;49862100;49862100;49862100;49862100;49862100;49862100;49862100;49862100;49862100;49862100;49862100;49862100;54734500;54734500;54734500;54734500;54734500;54734500;54734500;54734500;54734500;54734500;54734500;54734500;51945800;51945800;51945800;51945800;51945800;51945800;51945800;51945800;51945800;51945800;51945800;51945800;55330500;55330500;55330500;55330500;55330500;55330500;55330500;55330500;55330500;55330500;55330500;55330500;59271300;59271300;59271300;59271300;59271300;59271300;59271300;59271300;59271300;59271300;59271300;59271300;63117000;63117000;63117000;63117000;63117000;63117000;63117000;63117000;63117000;63117000
common equity;Consumer Goods;717400;717400;717400;1098200;1098200;1098200;1098200;1098200;1098200;1098200;1098200;1098200;1098200;1098200;1098200;927600;927600;927600;927600;927600;927600;927600;927600;927600;927600;927600;927600;1127200;1127200;1127200;1127200;1127200;1127200;1127200;1127200;1127200;1127200;1127200;1127200;1074300;1074300;1074300;1074300;1074300;1074300;1074300;1074300;1074300;1074300;1074300;1074300;862000;862000;862000;862000;862000;862000;862000;862000;862000;862000;862000;862000;1012700;1012700;1012700;1012700;1012700;1012700;1012700;1012700;1012700;1012700;1012700;1012700;1432400;1432400;1432400;1432400;1432400;1432400;1432400;1432400;1432400;1432400;1432400;1432400;1694900;1694900;1694900;1694900;1694900;1694900;1694900;1694900;1694900;1694900;1694900;1694900;2144600;2144600;2144600;2144600;2144600;2144600;2144600;2144600;2144600;2144600;2144600;2144600;2158800;2158800;2158800;2158800;2158800;2158800;2158800;2158800;2158800;2158800;2158800;2158800;2404100;2404100;2404100;2404100;2404100;2404100;2404100;2404100;2404100;2404100;2404100;2404100;2416000;2416000;2416000;2416000;2416000;2416000;2416000;2416000;2416000;2416000;2416000;2416000;2702600;2702600;2702600;2702600;2702600;2702600;2702600;2702600;2702600;2702600
Turnover ratio;Consumer Goods;0,01%;0,09%;0,08%;0,11%;0,09%;0,17%;0,21%;0,07%;0,16%;0,19%;0,15%;0,14%;0,14%;0,14%;0,18%;0,13%;0,17%;0,10%;0,21%;0,19%;0,13%;0,08%;0,12%;0,10%;0,10%;0,16%;0,14%;0,08%;0,12%;0,11%;0,11%;0,12%;0,11%;0,06%;0,10%;0,18%;0,07%;0,19%;0,08%;0,06%;0,08%;0,14%;0,13%;0,12%;0,07%;0,08%;0,10%;0,13%;0,11%;0,10%;0,11%;0,11%;0,09%;0,10%;0,06%;0,14%;0,12%;0,10%;0,15%;0,12%;0,12%;0,10%;0,20%;0,22%;0,19%;0,21%;0,27%;0,16%;0,23%;0,17%;0,29%;0,15%;0,15%;0,19%;0,21%;0,23%;0,22%;0,21%;0,20%;0,29%;0,14%;0,15%;0,13%;0,15%;0,08%;0,22%;0,23%;0,18%;0,17%;0,23%;0,12%;0,13%;0,25%;0,21%;0,23%;0,18%;0,17%;0,17%;0,17%;0,25%;0,30%;0,13%;0,14%;0,13%;0,14%;0,15%;0,23%;0,16%;0,12%;0,18%;0,21%;0,21%;0,16%;0,21%;0,21%;0,19%;0,30%;0,23%;0,30%;0,31%;0,16%;0,35%;0,49%;0,19%;0,23%;0,15%;0,34%;0,12%;0,20%;0,19%;0,27%;0,10%;0,21%;0,15%;0,23%;0,17%;0,26%;0,12%;0,14%;0,23%;0,15%;0,10%;0,31%;0,13%;0,14%;0,27%;0,31%;0,08%;0,12%;0,15%;0,20%;0,14%;0,10%;0,12%;0,20%;0,13%;0,09%
Return monthly;Consumer Goods;;-0,058181824;-0,069498119;-0,004149219;-0,120833448;-0,021729466;0,040000026;0,028846223;0,0186915;-0,157798207;0,209150516;0,027026898;-0,044056241;-0,023148109;-0,066350677;-0,020304618;0,316062206;0,09055066;-0,040173958;-0,019379913;0,003952519;0,035433103;0,023573408;0,066122232;-0,064122446;-0,060149785;-0,003999999;-0,028112441;0,07851237;0,034482903;0,04891038;0,095588854;0,010066807;-0,029900075;0,020547985;0,033556894;0,16412344;-0,058592194;0,053261377;0,02272824;-0,010000448;-0,03815901;0,060902168;0,042261951;0,052054181;0,054687757;0,098766133;0,056179513;-0,004304038;0,030172113;-0,033472919;-0,023809808;0,002660683;0,09288003;0,043255604;0,061998833;-0,009038894;0,081338393;-0,03725843;-0,032493993;0,092541128;0,078397606;-0,021002234;-0,003300205;0,052979873;-0,131760862;0,086744385;-0,003436335;0,04827576;-0,052631876;0,048611624;0,059602762;0,042967733;0,016314861;-0,023187383;0,046257098;0,026759323;0,022380213;0,013038265;-0,042253567;-0,023529115;0,072288719;0,02528093;0,005479609;0,033413269;-0,154705182;-0,025156663;-0,080645136;0,034736407;0,006443076;-0,053023778;0,068518156;0,022183823;0,000339266;0,053558716;0,039253816;0,127112981;-0,037767213;-0,10533879;-0,048065055;0,0369366;0,131372831;-0,00897828;0,090606177;0,047513422;0,058355181;0,022556399;-0,019608095;0,050490054;-0,031250089;0,002481001;0,06435665;-0,030232653;0,010791456;0,063323827;0,048617691;-0,024829378;-0,026138225;0,065479409;0,021063907;0,037043219;-0,115702521;0,08504678;-0,009044015;-0,076271047;0,020936133;-0,019586366;-0,012289359;-0,076604079;-0,035667077;0,089040963;0,09610084;0,074883871;-0,021459115;-0,055482578;0,009983625;0,035172673;0,003552971;-0,004376556;-0,035991146;0,049858534;0,004726399;-0,049955321;-0,047630237;0,105351372;0,02292639;-0,016260254;-0,04913981;-0,001644692;-0,039999924;-0,011363434;-0,046440944;0,013498901;0,086706575;0,140110769;0,041315409;0,055725452
