Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;99285;99285;99285;99285;99285;99285;99285;99285;99285;99285;99285;99285;344645;344645;344645;344645;344645;344645;344645;344645;344645;344645;344645;344645;457368;457368;457368;457368;457368;457368;457368;457368;457368;457368;457368;457368;416104;416104;416104;416104;416104;416104;416104;416104;416104;416104;416104;416104;516608;516608;516608;516608;516608;516608;516608;516608;516608;516608;516608;516608;482933;482933;482933;482933;482933;482933;482933;482933;482933;482933;482933;482933;521498;521498;521498;521498;521498;521498;521498;521498;521498;521498;521498;521498;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,204222034;0,071802913;-0,250634078;-0,272666504;-0,364413545;-0,188568819;-0,231622476;-0,141905432;-0,3784082;-0,125570255;-0,274176471;-0,029128562;-0,3364059;-0,49340543;-0,259738288;-0,164430295;-0,080991027;-0,302125199;-0,332754444;0,022164006;-0,106739387;0,035736235;-0,172466895;-0,0980972;-0,027426675;-0,077046601;-0,246811805;-0,103705848;-0,254409796;-0,291117347;-0,11737041;-0,149787225;-0,12157291;-0,003009599;-0,18670798;-0,086115177;-0,102984505;-0,0957406;-0,255108317;-0,077363891;-0,258770633;-0,360427647;-0,024865001;-0,053270201;-0,028806376;0,03998689;0,11997131;-0,27747727;-0,157914296;0,057897971;-0,064334511;-0,006612079;-0,104986503;-0,0856107;0,058297311;-0,144813321;-0,220446749;-0,178203896;-0,203432269;-0,175502711;-0,0869084;-0,177893484;-0,021158703;0,163893438;-0,078559913;-0,135061921;-0,082086407;-0,179934433;-0,1100531;-0,056316767;-0,155235443;-0,130260125;-0,016140209;-0,1024276;-0,19967592;-0,019849418
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;134,8458;2,6774;2,4617;2,9076;1,1428;1,1991;1,1626;1,0151;0,9214;0,9848;0,986;1,0415;1,2493;1,2167;1,2117;1,1739;1,1898;0,9216;0,9589;0,9324;0,9007;0,8377;0,8428;0,6944;0,7157;0,7106;0,7337;0,7023;0,7438;0,7442;0,7348;0,7841;0,7523;0,65;0,5425;0,5344;0,1794;0,2062;0,2194;0,1074;0,2543;0,2276;0,2431;0,2687;0,1801;0,0436;0,0852;0,1586;0,366;0,3701;0,3056;0,2037;0,1747;0,1089;0,0888;0,197;0,2808;0,4487;0,4299;0,4476;0,3168;0,3527;0,4817;0,3326;0,5217;0,5423;0,6407;0,5657;0,5437;0,5813;0,5764;0,5623;0,2913;0,3552;0,4718
VO monthly avg;Industrials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 1489.79 ; 1277.28 ; 946.09 ; 231.80 ; 322.88 ; 1017.76 ; 135.85 ; 56.61 ; 157.02 ; 253.80 ; 237.48 ; 2218.87 ; 295.62 ; 28.19 ; 146.29 ; 210.38 ; 186.35 ; 135.95 ; 1804.14 ; 144.96 ; 308.86 ; 114.34 ; 433.57 ; 466.29 ; 126.45 ; 554.76 ; 262.01 ; 371.49 ; 37.83 ; 161.74 ; 381.62 ; 309.12 ; 252.70 ; 203.22 ; 267.60 ; 199.22 ; 111.60 ; 575.28 ; 66.34 ; 285.01 ; 88.46 ; 533.75 ; 512.05 ; 128.69 ; 446.42 ; 425.56 ; 209.61 ; 537.39 ; 295.61 ; 1756.67 ; 560.49 ; 3018.11 ; 1267.52 ; 144.31 ; 890.76 ; 149.67 ; 108.29 ; 69.48 ; 62.33 ; 70.39 ; 89.98 ; 95.05 ; 489.77 ; 386.40 ; 180.54 ; 62.79 ; 136.92 ; 141.50 ; 27.84 ; 560.14 ; 92.49 ; 59.42 ; 161.22 ; 111.72 ; 211.37 ; 112.93 ; 167.33 
Total assets;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;178878;178878;178878;178878;178878;178878;178878;178878;178878;178878;178878;178878;485937;485937;485937;485937;485937;485937;485937;485937;485937;485937;485937;485937;691982;691982;691982;691982;691982;691982;691982;691982;691982;691982;691982;691982;726359;726359;726359;726359;726359;726359;726359;726359;726359;726359;726359;726359;851506;851506;851506;851506;851506;851506;851506;851506;851506;851506;851506;851506;807522;807522;807522;807522;807522;807522;807522;807522;807522;807522;807522;807522;863930;863930;863930;863930;863930;863930;863930;863930;863930;863930;863930;863930;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;245636;245636;245636;245636;245636;245636;245636;245636;245636;245636;245636;245636;368496;368496;368496;368496;368496;368496;368496;368496;368496;368496;368496;368496;702745;702745;702745;702745;702745;702745;702745;702745;702745;702745;702745;702745;748778;748778;748778;748778;748778;748778;748778;748778;748778;748778;748778;748778;1069665;1069665;1069665;1069665;1069665;1069665;1069665;1069665;1069665;1069665;1069665;1069665;965794;965794;965794;965794;965794;965794;965794;965794;965794;965794;965794;965794;1027244;1027244;1027244;1027244;1027244;1027244;1027244;1027244;1027244;1027244;1027244;1027244;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;79593;79593;79593;79593;79593;79593;79593;79593;79593;79593;79593;79593;141293;141293;141293;141293;141293;141293;141293;141293;141293;141293;141293;141293;234614;234614;234614;234614;234614;234614;234614;234614;234614;234614;234614;234614;310255;310255;310255;310255;310255;310255;310255;310255;310255;310255;310255;310255;334898;334898;334898;334898;334898;334898;334898;334898;334898;334898;334898;334898;324589;324589;324589;324589;324589;324589;324589;324589;324589;324589;324589;324589;342432;342432;342432;342432;342432;342432;342432;342432;342432;342432;342432;342432;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,41%;0,35%;0,26%;0,06%;0,09%;0,28%;0,04%;0,02%;0,04%;0,07%;0,07%;0,61%;0,08%;0,01%;0,04%;0,06%;0,05%;0,04%;0,50%;0,04%;0,09%;0,03%;0,12%;0,13%;0,03%;0,15%;0,07%;0,10%;0,01%;0,04%;0,11%;0,09%;0,07%;0,06%;0,07%;0,05%;0,03%;0,16%;0,02%;0,08%;0,02%;0,15%;0,14%;0,04%;0,12%;0,12%;0,06%;0,15%;0,08%;0,48%;0,15%;0,83%;0,35%;0,04%;0,25%;0,04%;0,03%;0,02%;0,02%;0,02%;0,02%;0,03%;0,14%;0,11%;0,05%;0,02%;0,04%;0,04%;0,01%;0,15%;0,03%;0,02%;0,04%;0,03%;0,06%;0,03%;0,05%
Return monthly;Industrials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,204222034;0,326029113;-0,009796978;-0,003337704;-0,202667145;-0,020775519;-0,063878676;0,022745868;-0,21336;0,028272145;-0,120858471;0,124985938;-0,1667;-0,33325333;-0,110151188;-0,011124595;0,079566373;-0,158014399;-0,187443744;0,169205206;0,039554713;0,177261335;-0,032320495;0,0334;0,107412425;0,058371199;-0,110138705;0,030989052;-0,120050396;-0,159132747;0,01362199;-0,013438925;0,01362199;0,119990401;-0,07328048;0,027052023;-0,013282305;0;-0,159936117;0,015752309;-0,156149733;-0,259188847;0,074850299;0,046557899;0,066539924;0,12513369;0,20373891;-0,18478547;-0,056506296;0,160164271;0,034218289;0,083571021;-0,015530403;0;0,140641711;-0,054852321;-0,130456349;-0,083285796;-0,108898569;-0,081703911;0;-0,088973384;0,073038397;0,250097238;0,018357187;-0,035747021;0,018377693;-0,072495333;0;0,058705133;-0,037072243;-0,019085225;0,078161691;0;-0,09085252;-0,019849418
