Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;27227;27227;27227;27227;27227;27227;27227;26711;26711;26711;26711;26711;26711;26711;26711;26711;26711;26711;26711;40689;40689;40689;40689;40689;40689;40689;40689;40689;40689;40689;40689;29924;29924;29924;29924;29924;29924;29924;29924;29924;29924;29924;29924;24815;24815;24815;24815;24815;24815;24815;24815;24815;24815;24815;24815;24095;24095;24095;24095;24095;24095;24095;24095;24095;24095;24095;24095;28361;28361;28361;28361;28361;28361;28361;28361;28361;28361;28361;28361;36034;36034;36034;36034;36034;36034;36034;36034;36034;36034;36034;36034;43221;43221;43221;43221;43221;43221;43221;43221;43221;43221;43221;43221;50209;50209;50209;50209;50209;50209;50209;50209;50209;50209;50209;50209;56120;56120;56120;56120;56120;56120;56120;56120;56120;56120;56120;56120;44115;44115;44115;44115;44115;44115;44115;44115;44115;44115;44115;44115;47379;47379;47379;47379;47379;47379;47379;47379;47379;47379;47379;47379;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;-0,082444851;-0,191696344;-0,083922434;-0,1461221;-0,1470564;-0,297788573;0,081745529;-0,131332451;-0,090802704;-0,1224045;-0,1101285;-0,116583055;-0,193354807;-0,236613696;-0,133712;0,0807762;-0,075809047;0,033572444;-0,249103007;-0,1236935;-0,043451215;-0,1214319;0,162765687;-0,166763114;-0,149980841;0,002843296;-0,1166975;-0,373779705;-0,088627235;-0,086973386;-0,150519374;0,02856551;-0,02751515;-0,1192902;-0,0718945;-0,178279735;-0,098795243;-0,002662644;-0,017520845;-0,211896989;-0,1288939;-0,1311734;-0,1251884;-0,255301042;-0,1245521;-0,100608833;0,050619257;-0,0993157;-0,004089394;-0,0974002;-0,029665228;-0,030466742;0,125888534;-0,241292177;-0,0984418;-0,0993023;-0,0975682;-0,016643397;0,018648803;-0,063599855;-0,0985865;-0,124195922;-0,0931905;-0,0932331;-0,0954227;-0,1118135;-0,1113213;-0,1130896;-0,1033635;-0,089073649;-0,1010532;-0,067059922;-0,0994757;0,024059053;-0,0885688;-0,212375;0,047091168;-0,0954776;-0,106781542;-0,22808573;0,23023513;-0,1185683;-0,1268512;-0,09844492;-0,1199522;-0,124128;-0,1250487;-0,168969266;-0,354881405;-0,1168173;-0,1165512;-0,0743628;0,344141933;-0,0768787;-0,0664271;-0,038460458;-0,0818515;-0,0813376;-0,180163148;-0,0821071;-0,138640139;-0,025650583;-0,0843725;0,033013635;-0,0809993;-0,0816914;-0,043493086;-0,3279445;-0,0698978;0,009386488;0,066053709;0,00118687;-0,131211284;-0,078837;0,057610739;-0,054754227;-0,0981883;-0,1031935;-0,145094746;-0,060097744;0,146370704;-0,1044203;-0,1018069;-0,1090324;-0,1143408;-0,207964469;-0,111412;-0,0994769;0,182415207;-0,066953345;-0,075180282;-0,069781359;-0,0940236;-0,0953757;-0,0940939;-0,061450691;-0,0835203;-0,068879314;-0,064048;-0,040668752;-0,07811497;0,052619249;-0,160069869;-0,041776631;0,037106141;-0,0799613;-0,240669834;0,144031695;-0,0937928;-0,274209534;-0,0980032;-0,1034511;-0,381417583;-0,1037128;-0,1033928;0
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,7795;0,4805;0,3952;0,2851;0,4067;0,4628;0,3152;0,3214;0,2827;0,2704;0,2715;0,1195;0,1262;0,0759;0,079;0,024;0,0226;-0,0592;0,1077;0,2144;0,1745;0,1748;0,1513;0,2086;0,2325;0,2028;0,2467;0,2825;0,3185;0,3822;0,3679;0,4128;0,423;0,4051;0,4554;0,4411;0,4323;0,4921;0,4834;0,5069;0,5047;0,4253;0,4218;0,3268;0,3217;0,3167;0,3335;0,3336;0,2939;0,3617;0,3254;0,1185;0,2952;0,2854;0,2942;0,3086;0,2921;0,2614;0,3076;0,2793;0,2874;0,3855;0,3749;0,2935;0,3037;0,2829;0,4145;0,4051;0,4192;0,3645;0,3652;0,3564;0,3829;0,3639;0,3865;0,1876;0,1385;0,145;0,1552;0,2299;0,4133;0,5075;0,5241;0,6524;0,6173;0,4794;0,506;0,4849;0,4082;0,4073;0,3971;0,4024;-0,2244;-0,1043;-0,1051;-0,1083;-0,0935;-0,0595;-0,0748;-0,0752;-0,0983;-0,1026;-0,0679;-0,0425;-0,1532;-0,1389;-0,1422;-0,1898;-0,1985;-0,2794;-0,1876;-0,184;-0,112;-0,1046;-0,051;0,3339;0,3287;0,3141;0,3245;0,3217;0,1605;0,2703;0,2781;0,2763;0,4148;0,4816;0,5501;0,524;0,2663;0,3053;0,3056;0,4156;0,3654;0,2472;0,2639;0,2753;0,2113;0,1781;-0,0553;-0,054;-0,0947;-0,0287;-0,0799;-0,1007;0,1807;0,2084;0,2351;0,0172;0,0463;0,2856;0,2591;0,2564;0,4397;0,3844;0,3756;0,3856
VO monthly avg;Consumer Goods; 0.00 ; 0.09 ; 0.01 ; 0.09 ; 0.00 ; 0.08 ; 0.04 ; 0.11 ; 0.12 ; 0.05 ; 0.05 ; 0.01 ; 2.85 ; 0.03 ; 0.03 ; 0.13 ; 0.07 ; 0.28 ; 0.17 ; 0.05 ; 0.00 ; 0.21 ; 0.00 ; 0.71 ; 0.93 ; 0.32 ; 0.01 ; 0.00 ; 0.02 ; 0.00 ; 0.43 ; 0.22 ; 0.14 ; 0.03 ; 0.57 ; 0.00 ; 0.02 ; 0.09 ; 1.17 ; 1.42 ; 0.07 ; 0.00 ; 0.00 ; 0.10 ; 1.62 ; 0.00 ; 0.18 ; 0.32 ; 0.07 ; 0.25 ; 0.16 ; 0.15 ; 0.15 ; 0.02 ; 0.10 ; 0.15 ; 0.00 ; 0.24 ; 1.02 ; 2.14 ; 0.00 ; 0.00 ; 0.48 ; 0.00 ; 0.69 ; 0.34 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.23 ; 0.00 ; 0.03 ; 0.87 ; 0.39 ; 0.00 ; 1.04 ; 0.03 ; 0.00 ; 0.00 ; 0.01 ; 13.43 ; 0.00 ; 0.00 ; 0.11 ; 0.00 ; 0.00 ; 0.00 ; 0.01 ; 0.24 ; 0.13 ; 0.00 ; 0.12 ; 0.10 ; 0.41 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.02 ; 0.00 ; 0.11 ; 0.04 ; 6.72 ; 0.58 ; 0.00 ; 0.00 ; 0.02 ; 0.02 ; 0.00 ; 0.06 ; 0.04 ; 0.05 ; 0.01 ; 0.00 ; 0.24 ; 0.41 ; 0.43 ; 0.03 ; 0.00 ; 0.00 ; 0.47 ; 0.16 ; 0.00 ; 0.01 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.25 ; 0.01 ; 0.07 ; 0.03 ; 0.06 ; 0.00 ; 0.00 ; 0.04 ; 0.00 ; 0.30 ; 0.00 ; 0.01 ; 0.52 ; 0.04 ; 0.00 ; 0.01 ; 0.03 ; 0.00 ; 0.01 ; 0.09 ; 0.00 ; 0.00 ; 0.00 ; 0.01 ; 0.01 ; 0.15 ; 0.00 ; 0.00 
Total assets;Consumer Goods;187537;187537;187537;187537;187537;187537;187537;189975;189975;189975;189975;189975;189975;189975;189975;189975;189975;189975;189975;214108;214108;214108;214108;214108;214108;214108;214108;214108;214108;214108;214108;203602;203602;203602;203602;203602;203602;203602;203602;203602;203602;203602;203602;165202;165202;165202;165202;165202;165202;165202;165202;165202;165202;165202;165202;173545;173545;173545;173545;173545;173545;173545;173545;173545;173545;173545;173545;188828;188828;188828;188828;188828;188828;188828;188828;188828;188828;188828;188828;230006;230006;230006;230006;230006;230006;230006;230006;230006;230006;230006;230006;255735;255735;255735;255735;255735;255735;255735;255735;255735;255735;255735;255735;286075;286075;286075;286075;286075;286075;286075;286075;286075;286075;286075;286075;324233;324233;324233;324233;324233;324233;324233;324233;324233;324233;324233;324233;325653;325653;325653;325653;325653;325653;325653;325653;325653;325653;325653;325653;307132;307132;307132;307132;307132;307132;307132;307132;307132;307132;307132;307132;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;281133;281133;281133;281133;281133;281133;281133;331347;331347;331347;331347;331347;331347;331347;331347;331347;331347;331347;331347;354764;354764;354764;354764;354764;354764;354764;354764;354764;354764;354764;354764;373612;373612;373612;373612;373612;373612;373612;373612;373612;373612;373612;373612;312569;312569;312569;312569;312569;312569;312569;312569;312569;312569;312569;312569;317570;317570;317570;317570;317570;317570;317570;317570;317570;317570;317570;317570;390594;390594;390594;390594;390594;390594;390594;390594;390594;390594;390594;390594;454126;454126;454126;454126;454126;454126;454126;454126;454126;454126;454126;454126;491023;491023;491023;491023;491023;491023;491023;491023;491023;491023;491023;491023;480850;480850;480850;480850;480850;480850;480850;480850;480850;480850;480850;480850;508078;508078;508078;508078;508078;508078;508078;508078;508078;508078;508078;508078;530593;530593;530593;530593;530593;530593;530593;530593;530593;530593;530593;530593;474438;474438;474438;474438;474438;474438;474438;474438;474438;474438;474438;474438;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;160030;160030;160030;160030;160030;160030;160030;162984;162984;162984;162984;162984;162984;162984;162984;162984;162984;162984;162984;173139;173139;173139;173139;173139;173139;173139;173139;173139;173139;173139;173139;173398;173398;173398;173398;173398;173398;173398;173398;173398;173398;173398;173398;140107;140107;140107;140107;140107;140107;140107;140107;140107;140107;140107;140107;149170;149170;149170;149170;149170;149170;149170;149170;149170;149170;149170;149170;160187;160187;160187;160187;160187;160187;160187;160187;160187;160187;160187;160187;193692;193692;193692;193692;193692;193692;193692;193692;193692;193692;193692;193692;212234;212234;212234;212234;212234;212234;212234;212234;212234;212234;212234;212234;235586;235586;235586;235586;235586;235586;235586;235586;235586;235586;235586;235586;267833;267833;267833;267833;267833;267833;267833;267833;267833;267833;267833;267833;281258;281258;281258;281258;281258;281258;281258;281258;281258;281258;281258;281258;259473;259473;259473;259473;259473;259473;259473;259473;259473;259473;259473;259473;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,10%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,02%;0,03%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,04%;0,05%;0,00%;0,00%;0,00%;0,00%;0,06%;0,00%;0,01%;0,01%;0,00%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,01%;0,04%;0,07%;0,00%;0,00%;0,02%;0,00%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,03%;0,01%;0,00%;0,04%;0,00%;0,00%;0,00%;0,00%;0,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,23%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%
Return monthly;Consumer Goods;;0,071426649;-0,049998744;0,056138866;0;0;-0,169430973;0,207993729;-0,006622351;0,033332496;0;0;0,006767545;-0,066673107;-0,107136696;0;0,2;0,036661353;0,157557544;-0,124995807;0;0,079361185;0;0,280707487;-0,047615614;-0,037504441;0,116885396;0;-0,255814205;0,031251365;0,030304314;-0,029412974;0,15151451;0,09210615;0;0,0481948;-0,060244835;0,028207057;0,122191556;0,111113855;-0,080000889;0;0;0;-0,130433942;0;0,025001667;0,158536057;0;0,098897706;0;0,064000272;0,071430858;0,228068734;-0,142857577;0;0;0;0,083335403;0,113844703;0,029006345;0;-0,027777222;0;0;0;0;0;0;0;0,014283951;0;0,035212778;0;0,126758553;0;-0,1237495;0,141226168;0;-0,006247842;-0,11949783;0,34285763;0;0;0,02659498;0;0;0;-0,042552666;-0,222221505;0;0;0;0,428571033;0;0;0,034999042;0;0;-0,100000748;0;-0,055553939;0,058821717;0;0,111112035;0;0;0,034999514;-0,25;0;0,082667688;0,139161709;0,08108087;-0,050001084;0;0,157896439;0,045453873;0;0;-0,043477646;0,036363756;0,249999604;0;0;0;0;-0,090908169;0;0;0,279999107;0,031249455;0,030302518;0,030588841;0;0;0;0,029411209;0;-0,005713214;0;0,018965148;-0,01297307;0,114285549;-0,102563969;0,034857469;0,114285341;0;-0,179486234;0,218748595;0;-0,179486234;0;0;-0,281250383;0;0;0
