Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9356;9356;9356;9356;9356;9356;9356;9356;9356;9356;9356;9356;6950;6950;6950;6950;6950;6950;6950;6950;6950;6950;6950;6950;14241;14241;14241;14241;14241;14241;14241;14241;14241;14241;14241;14241;126045;126045;126045;126045;126045;126045;126045;126045;126045;126045;126045;126045;126045;126045;126045;126045;4924;4924;4924;4924;4924;4924;4924;4924;4924;4924;4924;4924;982;982;982;982;982;982;982;982;982;982;982;982;354025;354025;354025;354025;354025;354025;354025;354025;354025;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,157361602;-0,24445057;0,308809906;-0,068933465;-0,0445592;-0,313846352;-0,079920918;0,043015962;-0,198029908;-0,337450251;0,112216444;0,12311936;-0,120968306;-0,180712115;-0,140679606;-0,1135093;-0,081150993;-0,26104144;-0,106115082;-0,017015744;0,039669965;-0,084452705;-0,32124954;-0,210889196;-0,083906562;-0,012102526;-0,1245592;-0,156081823;-0,092539061;-0,277268509;-0,146466826;-0,1342248;-0,341389386;-0,145816171;0,032144537;0,139881073;-0,099758632;-0,151744359;-0,136391271;-0,084236689;0,424933253;-0,160044681;0,134560809;-0,092185422;-0,279221832;-0,16337008;-0,100636009;-0,116050354;-0,145715089;-0,10691376;-0,053271954;0,085332553
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1,155;-2,1449;-2,1188;-0,9307;-0,6816;-0,0327;-0,3388;0,0354;0,3238;0,9733;0,5226;0,4883;0,4625;0,4663;0,4748;0,4311;0,3946;0,3854;0,3965;0,3246;0,3032;0,4292;0,4561;0,3958;0,6987;0,6989;0,7184;0,7205;0,7711;0,7713;0,7973;0,8996;0,7772;0,8521;0,9254;1,0674;1,0841;1,0779;1,2075;1,6314;1,7145;1,6656;1,6407;1,082;1,0809;0,8631;0,8552;0,8546;0,8152;0,7785;0,7798
VO monthly avg;Industrials; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 3.72 ; 6.33 ; 3.89 ; 16.55 ; 10.01 ; 12.08 ; 11.26 ; 18.36 ; 1.03 ; 3.83 ; 14.40 ; 13.51 ; 20.27 ; 26.07 ; 19.33 ; 87.80 ; 263.05 ; 12.46 ; 15.17 ; 49.39 ; 141.45 ; 181.93 ; 92.84 ; 212.87 ; 13.38 ; 129.69 ; 49.05 ; 90.75 ; 81.70 ; 14.54 ; 28.51 ; 56.77 ; 33.37 ; 22.82 ; 18.33 ; 23.38 ; 53.19 ; 16.34 ; 32.87 ; 172.43 ; 108.84 ; 157.47 ; 187.29 ; 151.78 ; 90.20 ; 85.72 ; 39.70 ; 198.67 ; 97.62 ; 137.32 ; 100.73 ; 108.20 ; 152.68 
Total assets;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;45697;45697;45697;45697;45697;45697;45697;45697;45697;45697;45697;45697;153979;153979;153979;153979;153979;153979;153979;153979;153979;153979;153979;153979;527181;527181;527181;527181;527181;527181;527181;527181;527181;527181;527181;527181;612590;612590;612590;612590;612590;612590;612590;612590;612590;612590;612590;612590;612590;612590;612590;612590;751709;751709;751709;751709;751709;751709;751709;751709;751709;751709;751709;751709;673605;673605;673605;673605;673605;673605;673605;673605;673605;673605;673605;673605;1094550;1094550;1094550;1094550;1094550;1094550;1094550;1094550;1094550;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;31482;31482;31482;31482;31482;31482;31482;31482;31482;31482;31482;31482;9729;9729;9729;9729;9729;9729;9729;9729;9729;9729;9729;9729;15386;15386;15386;15386;15386;15386;15386;15386;15386;15386;15386;15386;4636;4636;4636;4636;4636;4636;4636;4636;4636;4636;4636;4636;4636;4636;4636;4636;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37195;37195;37195;37195;37195;37195;37195;37195;37195;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;36321;36321;36321;36321;36321;36321;36321;36321;36321;36321;36321;36321;126270;126270;126270;126270;126270;126270;126270;126270;126270;126270;126270;126270;429336;429336;429336;429336;429336;429336;429336;429336;429336;429336;429336;429336;406415;406415;406415;406415;406415;406415;406415;406415;406415;406415;406415;406415;406415;406415;406415;406415;746784;746784;746784;746784;746784;746784;746784;746784;746784;746784;746784;746784;672623;672623;672623;672623;672623;672623;672623;672623;672623;672623;672623;672623;740525;740525;740525;740525;740525;740525;740525;740525;740525;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,00%;0,00%;0,00%;0,01%;0,01%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,01%;0,01%;0,02%;0,01%;0,06%;0,17%;0,01%;0,01%;0,03%;0,09%;0,11%;0,06%;0,13%;0,01%;0,08%;0,03%;0,05%;0,05%;0,01%;0,02%;0,03%;0,02%;0,01%;0,01%;0,01%;0,03%;0,01%;0,02%;0,10%;0,06%;0,09%;0,10%;0,08%;0,05%;0,05%;0,02%;0,11%;0,05%;0,07%;0,05%;0,06%;0,08%
Return monthly;Industrials;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-0,157361602;-0,28892927;0,265775506;-0,037117565;0;-0,230806452;-0,016565318;0,132196162;-0,089830508;-0,194082351;0,224390244;0,23338226;-0,013430806;-0,068585215;-0,029417206;0;0,030308807;-0,14986124;0,003264418;0,086334056;0,142771565;0,024986895;-0,21411524;-0,103253796;0,038461538;0,110878174;0;-0,033340323;0,034490239;-0,149926609;-0,019486926;0;-0,220125786;-0,025483871;0,157894737;0,272727273;0,035489668;-0,017136659;0,003531229;0,083791511;0,596996753;0,010038119;0,298024909;0,047780578;-0,135325132;-0,03059478;0,035091591;0,013539446;-0,018407489;0,02218174;0,074955446;0,085332553
