Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;4224471;4224471;4224471;4224471;4224471;4224471;4224471;4422593;4422593;4422593;4422593;4422593;4422593;4422593;4422593;4422593;4422593;4422593;4422593;4912106;4912106;4912106;4912106;4912106;4912106;4912106;4912106;4912106;4912106;4912106;4912106;5595524;5595524;5595524;5595524;5595524;5595524;5595524;5595524;5595524;5595524;5595524;5595524;6075859;6075859;6075859;6075859;6075859;6075859;6075859;6075859;6075859;6075859;6075859;6075859;6637434;6637434;6637434;6637434;6637434;6637434;6637434;6637434;6637434;6637434;6637434;6637434;7935655;7935655;7935655;7935655;7935655;7935655;7935655;7935655;7935655;7935655;7935655;7935655;9784206;9784206;9784206;9784206;9784206;9784206;9784206;9784206;9784206;9784206;9784206;9784206;11429616;11429616;11429616;11429616;11429616;11429616;11429616;11429616;11429616;11429616;11429616;11429616;11728383;11728383;11728383;11728383;11728383;11728383;11728383;11728383;11728383;11728383;11728383;11728383;13233850;13233850;13233850;13233850;13233850;13233850;13233850;13233850;13233850;13233850;13233850;13233850;17684156;17684156;17684156;17684156;17684156;17684156;17684156;17684156;17684156;17684156;17684156;17684156;17811620;17811620;17811620;17811620;17811620;17811620;17811620;17811620;17811620;17811620;17811620;17811620;NA;NA;NA;NA;NA;NA
Excess return;Consumer Goods;;-0,191231283;-0,269804272;-0,205073628;-0,2676663;-0,190205829;-0,172436756;-0,193069497;-0,034773484;-0,123730702;-0,066460482;-0,11053073;-0,225615957;-0,11223012;-0,109010017;-0,196588876;-0,001011798;-0,060065052;-0,193078117;-0,197160378;-0,224902225;-0,14703004;-0,109374709;0,031555448;-0,221829438;-0,1286107;-0,221043403;-0,247663989;-0,139629319;-0,172266113;0,074181934;-0,092834082;-0,069763058;0,014074458;-0,13927489;0,061803558;-0,070021207;-0,162761836;-0,084771258;-0,038388307;-0,159155985;-0,171613994;-0,111356431;-0,126701665;-0,122041237;-0,023487049;-0,00307389;0,0458582;-0,146408962;-0,065578617;-0,023249419;-0,100041134;-0,092429315;-0,095598642;-0,062477684;-0,019309685;-0,099135478;-0,026940611;-0,212998483;-0,045461236;-0,028958977;-0,068931725;-0,087061213;0,016198992;0,004118054;-0,140077693;-0,117782678;-0,180394931;-0,12130231;-0,124536701;-0,031742283;-0,181851863;-0,123702843;-0,090687863;-0,112967778;-0,097351555;0,004984867;-0,096357422;-0,171610808;-0,181616108;-0,063210706;-0,083305856;0,001035696;-0,1388905;-0,094584254;-0,352909927;-0,004242274;-0,232240395;-0,040530291;-0,20566599;-0,210578803;-0,076189394;-0,053432373;-0,094061679;-0,015150948;-0,236853329;0,05127735;-0,102252186;-0,211044091;-0,094592805;-0,119109551;-0,043740778;-0,137051008;-0,089581686;-0,107673953;-0,03357363;-0,094672735;-0,159725987;-0,07040248;-0,043886917;-0,036718627;-0,1261563;-0,022483977;-0,119655278;-0,048419509;-0,002353663;-0,118569387;-0,002877437;-0,117958528;-0,14255438;-0,087847522;-0,229689504;-0,041114233;-0,034031041;-0,119705006;-0,155611562;-0,095819441;-0,091760761;-0,05795737;-0,066023481;-0,088250402;0,059460232;-0,112552844;-0,162400174;-0,071550862;-0,105797958;-0,128119219;-0,086838625;-0,008761954;-0,024760958;-0,055342141;-0,089938716;-0,040155593;-0,021985203;-0,018276317;-0,256879209;-0,062446932;-0,011841139;-0,164785369;-0,06042955;-0,041911543;-0,19787037;-0,126265808;-0,053481763;0,011576332;-0,126588;-0,082875837
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;0,7544;0,7725;0,7488;0,7691;0,7729;0,7472;0,7692;0,798;0,7308;0,6798;0,6632;0,4817;0,4743;0,4772;0,4811;0,4679;0,4661;0,4933;0,5188;0,4519;0,4546;0,4505;0,4484;0,4412;0,4376;0,4589;0,6043;0,6046;0,522;0,4769;0,48;0,4597;0,4208;0,394;0,3807;0,4925;0,4727;0,4653;0,4647;0,4742;0,4613;0,3666;0,3646;0,3849;0,4117;0,3927;0,4073;0,4081;0,3924;0,3216;0,0996;0,1202;0,3055;0,3056;0,3427;0,4069;0,4394;0,6065;0,6751;0,7032;0,7142;0,7243;0,759;0,7425;0,7337;0,7407;0,828;0,8141;0,8109;0,8305;0,8333;0,8129;0,8164;0,8123;0,7881;0,9795;0,9692;0,9888;0,998;0,9578;1,0032;0,9266;0,9134;0,8435;1,1333;1,209;1,2108;1,2305;1,2074;1,2151;0,9368;0,9515;0,7708;0,6166;0,6219;0,6613;0,6575;0,7135;0,6385;0,6338;0,6397;0,6497;0,6237;0,6174;0,5919;0,5863;0,5759;0,5937;0,5169;0,4346;0,3796;0,3515;0,3522;0,3469;0,4079;0,4175;0,4465;0,5658;0,5701;0,5659;0,5436;0,5908;0,5737;0,5723;0,5429;0,5386;0,5636;0,5567;0,5458;0,5287;0,5406;0,5501;0,5262;0,6123;0,6158;0,6128;0,5871;0,6347;0,5611;0,5634;0,4762;0,4992;0,5178;0,5551;0,2878;0,2665;0,2774;0,3598;0,3723;0,3281;0,2567;0,2466;0,2596;0,2787;0,3114;0,3237
VO monthly avg;Consumer Goods; 129.70 ; 426.52 ; 281.13 ; 230.82 ; 262.22 ; 1099.50 ; 1109.08 ; 698.70 ; 1229.66 ; 823.87 ; 472.87 ; 569.19 ; 1041.09 ; 889.00 ; 1101.66 ; 650.13 ; 902.94 ; 845.05 ; 1236.05 ; 623.81 ; 940.87 ; 2137.77 ; 858.66 ; 678.81 ; 866.50 ; 1168.90 ; 496.06 ; 712.21 ; 567.10 ; 793.41 ; 1769.00 ; 973.83 ; 1390.39 ; 1290.42 ; 617.84 ; 786.83 ; 1059.45 ; 927.85 ; 1581.92 ; 657.42 ; 459.44 ; 812.14 ; 1320.96 ; 597.25 ; 696.70 ; 459.80 ; 674.13 ; 1186.71 ; 1008.25 ; 563.70 ; 1182.68 ; 878.11 ; 1053.90 ; 890.21 ; 1048.27 ; 779.26 ; 541.41 ; 566.07 ; 521.23 ; 675.11 ; 535.54 ; 715.99 ; 830.07 ; 995.44 ; 1296.47 ; 574.30 ; 1153.73 ; 1120.71 ; 1692.17 ; 1681.58 ; 1048.32 ; 1704.59 ; 789.28 ; 909.43 ; 496.67 ; 725.90 ; 401.16 ; 1465.00 ; 928.08 ; 779.42 ; 940.14 ; 987.44 ; 1088.83 ; 970.36 ; 520.01 ; 1179.12 ; 1635.72 ; 1040.70 ; 866.75 ; 663.70 ; 1051.90 ; 986.23 ; 965.49 ; 1992.20 ; 2284.88 ; 1678.43 ; 1471.36 ; 1543.52 ; 1086.17 ; 2052.13 ; 1680.13 ; 2173.23 ; 1797.89 ; 2027.57 ; 2356.04 ; 1609.55 ; 2172.61 ; 1823.87 ; 1524.37 ; 2608.83 ; 3436.87 ; 2092.74 ; 1562.69 ; 2034.25 ; 1670.20 ; 1565.77 ; 1827.36 ; 2723.51 ; 2320.53 ; 1735.35 ; 891.79 ; 3286.04 ; 2264.70 ; 1304.49 ; 1479.89 ; 1305.38 ; 1934.54 ; 2204.54 ; 1679.01 ; 1750.89 ; 1833.98 ; 1435.22 ; 2379.77 ; 1571.66 ; 1261.10 ; 2814.51 ; 1559.08 ; 1318.90 ; 1629.14 ; 1204.24 ; 1840.33 ; 1476.24 ; 1271.00 ; 1059.63 ; 917.66 ; 2103.57 ; 2100.66 ; 1726.92 ; 1772.36 ; 1643.50 ; 1886.56 ; 1758.90 ; 1768.18 ; 1704.50 ; 1288.86 ; 1137.29 ; 1557.94 
Total assets;Consumer Goods;6061108;6061108;6061108;6061108;6061108;6061108;6061108;6215803;6215803;6215803;6215803;6215803;6215803;6215803;6215803;6215803;6215803;6215803;6215803;6829699;6829699;6829699;6829699;6829699;6829699;6829699;6829699;6829699;6829699;6829699;6829699;7729134;7729134;7729134;7729134;7729134;7729134;7729134;7729134;7729134;7729134;7729134;7729134;8212810;8212810;8212810;8212810;8212810;8212810;8212810;8212810;8212810;8212810;8212810;8212810;9711186;9711186;9711186;9711186;9711186;9711186;9711186;9711186;9711186;9711186;9711186;9711186;11626924;11626924;11626924;11626924;11626924;11626924;11626924;11626924;11626924;11626924;11626924;11626924;14605669;14605669;14605669;14605669;14605669;14605669;14605669;14605669;14605669;14605669;14605669;14605669;16461537;16461537;16461537;16461537;16461537;16461537;16461537;16461537;16461537;16461537;16461537;16461537;17703020;17703020;17703020;17703020;17703020;17703020;17703020;17703020;17703020;17703020;17703020;17703020;20377300;20377300;20377300;20377300;20377300;20377300;20377300;20377300;20377300;20377300;20377300;20377300;30491873;30491873;30491873;30491873;30491873;30491873;30491873;30491873;30491873;30491873;30491873;30491873;33063890;33063890;33063890;33063890;33063890;33063890;33063890;33063890;33063890;33063890;33063890;33063890;NA;NA;NA;NA;NA;NA
Net sales;Consumer Goods;19472470;19472470;19472470;19472470;19472470;19472470;19472470;21984955;21984955;21984955;21984955;21984955;21984955;21984955;21984955;21984955;21984955;21984955;21984955;24824516;24824516;24824516;24824516;24824516;24824516;24824516;24824516;24824516;24824516;24824516;24824516;26641233;26641233;26641233;26641233;26641233;26641233;26641233;26641233;26641233;26641233;26641233;26641233;29812886;29812886;29812886;29812886;29812886;29812886;29812886;29812886;29812886;29812886;29812886;29812886;33511287;33511287;33511287;33511287;33511287;33511287;33511287;33511287;33511287;33511287;33511287;33511287;38949845;38949845;38949845;38949845;38949845;38949845;38949845;38949845;38949845;38949845;38949845;38949845;47651548;47651548;47651548;47651548;47651548;47651548;47651548;47651548;47651548;47651548;47651548;47651548;59318559;59318559;59318559;59318559;59318559;59318559;59318559;59318559;59318559;59318559;59318559;59318559;67402440;67402440;67402440;67402440;67402440;67402440;67402440;67402440;67402440;67402440;67402440;67402440;72297777;72297777;72297777;72297777;72297777;72297777;72297777;72297777;72297777;72297777;72297777;72297777;82730587;82730587;82730587;82730587;82730587;82730587;82730587;82730587;82730587;82730587;82730587;82730587;92747314;92747314;92747314;92747314;92747314;92747314;92747314;92747314;92747314;92747314;92747314;92747314;NA;NA;NA;NA;NA;NA
common equity;Consumer Goods;1422373;1422373;1422373;1422373;1422373;1422373;1422373;1459181;1459181;1459181;1459181;1459181;1459181;1459181;1459181;1459181;1459181;1459181;1459181;1736075;1736075;1736075;1736075;1736075;1736075;1736075;1736075;1736075;1736075;1736075;1736075;2095326;2095326;2095326;2095326;2095326;2095326;2095326;2095326;2095326;2095326;2095326;2095326;2095833;2095833;2095833;2095833;2095833;2095833;2095833;2095833;2095833;2095833;2095833;2095833;3024006;3024006;3024006;3024006;3024006;3024006;3024006;3024006;3024006;3024006;3024006;3024006;3638904;3638904;3638904;3638904;3638904;3638904;3638904;3638904;3638904;3638904;3638904;3638904;4758379;4758379;4758379;4758379;4758379;4758379;4758379;4758379;4758379;4758379;4758379;4758379;4959723;4959723;4959723;4959723;4959723;4959723;4959723;4959723;4959723;4959723;4959723;4959723;5904555;5904555;5904555;5904555;5904555;5904555;5904555;5904555;5904555;5904555;5904555;5904555;7084423;7084423;7084423;7084423;7084423;7084423;7084423;7084423;7084423;7084423;7084423;7084423;12744765;12744765;12744765;12744765;12744765;12744765;12744765;12744765;12744765;12744765;12744765;12744765;15184076;15184076;15184076;15184076;15184076;15184076;15184076;15184076;15184076;15184076;15184076;15184076;NA;NA;NA;NA;NA;NA
Turnover ratio;Consumer Goods;0,02%;0,05%;0,03%;0,03%;0,03%;0,13%;0,13%;0,08%;0,14%;0,10%;0,05%;0,07%;0,12%;0,10%;0,13%;0,08%;0,10%;0,10%;0,14%;0,07%;0,11%;0,25%;0,10%;0,12%;0,16%;0,22%;0,09%;0,13%;0,10%;0,15%;0,33%;0,18%;0,26%;0,24%;0,11%;0,14%;0,19%;0,17%;0,29%;0,12%;0,08%;0,15%;0,24%;0,11%;0,13%;0,08%;0,12%;0,22%;0,19%;0,10%;0,22%;0,16%;0,19%;0,16%;0,19%;0,14%;0,10%;0,10%;0,10%;0,12%;0,10%;0,13%;0,15%;0,18%;0,24%;0,11%;0,21%;0,21%;0,31%;0,31%;0,19%;0,31%;0,15%;0,17%;0,09%;0,13%;0,07%;0,27%;0,17%;0,14%;0,17%;0,18%;0,20%;0,18%;0,10%;0,22%;0,30%;0,19%;0,16%;0,12%;0,19%;0,18%;0,18%;0,37%;0,42%;0,31%;0,27%;0,28%;0,20%;0,38%;0,31%;0,40%;0,33%;0,37%;0,43%;0,30%;0,40%;0,34%;0,28%;0,48%;0,63%;0,39%;0,29%;0,37%;0,31%;0,29%;0,34%;0,50%;0,43%;0,32%;0,16%;0,60%;0,42%;0,24%;0,27%;0,24%;0,36%;0,41%;0,31%;0,32%;0,34%;0,26%;0,44%;0,29%;0,23%;0,49%;0,27%;0,23%;0,29%;0,21%;0,32%;0,26%;0,22%;0,19%;0,16%;0,37%;0,37%;0,30%;0,31%;0,29%;0,33%;0,31%;0,31%;0,30%;0,23%;0,20%;0,27%
Return monthly;Consumer Goods;;-0,018963783;-0,105829872;-0,034520328;-0,0984736;-0,025232229;-0,015477156;-0,036795497;0,118166916;0,026196698;0,080621118;0,02241637;-0,080335057;0,03973348;0,045799283;-0,034911176;0,146152502;0,087212848;-0,043193717;-0,058090678;-0,083562425;-0,00684854;0,030774491;0,164151048;-0,089760638;0;-0,084472503;-0,110674189;-0,008843319;-0,046421413;0,198521934;0,031227018;0,053047342;0,132996458;-0,02469079;0,185131058;0,050558893;-0,037447936;0,038904842;0,088186293;-0,029994085;-0,046418194;0,016213369;0,002147035;0,008495863;0,105853051;0,12718601;0,1584685;-0,040887762;0,034882183;0,059925381;-0,006268534;0,010117185;0,007854158;0,039012416;0,085325015;0,009446722;0,092368889;-0,089867183;0,076440364;0,090535623;0,050999175;0,033555787;0,137676492;0,124441154;-0,015813593;0,020081322;-0,043306631;0,01646439;0,008184799;0,101105617;-0,052039163;0,005880357;0,037037037;0,015032522;0,041106945;0,145944467;0,050936978;-0,023036808;-0,035224708;0,082540894;0,055719944;0,144129896;0;0,062963646;-0,186992927;0,164288126;-0,060218895;0,136235909;-0,02211469;-0,059760403;0,074955106;0,083628027;0,035784121;0,107528752;-0,121941429;0,17204985;0,028298314;-0,084768591;0,030236595;0,009491549;0,086740322;-0,009007908;0,036364514;0,017365747;0,09311327;0,032258965;-0,031872887;0,05261222;0,070992883;0,072296173;-0,0193118;0,086654623;-0,010000578;0,059328191;0,103198837;-0,010939887;0,111167963;0,000707772;-0,02555268;0,032749278;-0,105869104;0,081928867;0,086423859;-0,002602306;-0,037679762;0,022087359;0,021711339;0,05912803;0,045634619;0,024757398;0,173416532;-0,002052244;-0,045375274;0,045994538;0,009558442;-0,013581919;0,025447475;0,093237346;0,078183242;0,040258459;0,008460884;0,059165807;0,076836097;0,065105083;-0,176039709;0,020179268;0,070926261;-0,069530469;0,03604075;0,052660557;-0,10048457;-0,034161008;0,040026337;0,111244532;-0,0270949;-0,082875837
