Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Financials;262293000;363707000;363707000;363707000;363707000;363707000;363707000;363707000;363707000;363707000;363707000;363707000;363707000;357393000;357393000;357393000;357393000;357393000;357393000;357393000;357393000;357393000;357393000;357393000;357393000;504896000;504896000;504896000;504896000;504896000;504896000;504896000;504896000;504896000;504896000;504896000;504896000;576466000;576466000;576466000;576466000;576466000;576466000;576466000;576466000;576466000;576466000;576466000;576466000;715146000;715146000;715146000;715146000;715146000;715146000;715146000;715146000;715146000;715146000;715146000;715146000;913168000;913168000;913168000;913168000;913168000;913168000;913168000;913168000;913168000;913168000;913168000;913168000;1113155000;1113155000;1113155000;1113155000;1113155000;1113155000;1113155000;1113155000;1113155000;1113155000;1113155000;1113155000;1403025000;1403025000;1403025000;1403025000;1403025000;1403025000;1403025000;1403025000;1403025000;1403025000;1403025000;1403025000;1239086000;1239086000;1239086000;1239086000;1239086000;1239086000;1239086000;1239086000;1239086000;1239086000;1239086000;1239086000;1231944000;1231944000;1231944000;1231944000;1231944000;1231944000;1231944000;1231944000;1231944000;1231944000;1231944000;1231944000;1373856000;1373856000;1373856000;1373856000;1373856000;1373856000;1373856000;1373856000;1373856000;1373856000;1373856000;1373856000;1412864000;1412864000;1412864000;1412864000;1412864000;1412864000;1412864000;1412864000;1412864000;1412864000;1412864000;1412864000;1536745000;1536745000;1536745000;1536745000;1536745000;1536745000;1536745000;1536745000;1536745000;1536745000;1536745000;1536745000
Excess return;Financials;;-0,158682197;-0,210518634;-0,206340665;-0,068391878;-0,129226023;-0,124170165;-0,193491455;-0,159936582;-0,251239335;-0,152180726;-0,206414327;-0,093843739;-0,293601185;-0,168170309;-0,101744257;0,044496499;-0,17481746;-0,222099693;-0,272554;-0,145676009;-0,138180446;-0,129961241;-0,058338038;-0,208258297;-0,149614172;-0,181505588;-0,196759295;-0,031919633;-0,037127814;-0,118960365;-0,104534164;-0,168229697;-0,150768893;-0,093984267;-0,037552692;-0,075192289;-0,110890336;-0,147328736;-0,103030965;-0,168943618;-0,098398725;-0,123401377;-0,149157183;-0,11498223;-0,004496509;-0,093826329;0,01953872;-0,065583847;-0,138159718;-0,126080719;-0,152860065;-0,130902245;-0,105611991;-0,079609547;-0,029191085;-0,137520614;-0,09849816;-0,135975287;-0,1342937;-0,014693981;-0,04281475;-0,159703286;-0,049884042;-0,098118679;-0,22386784;-0,15587739;-0,150047199;-0,122123201;-0,114485415;-0,022229777;-0,116276465;-0,058668549;-0,084325761;-0,118757853;-0,077279025;-0,090101459;-0,202413088;-0,215545069;-0,110197558;-0,128379139;-0,188774625;0,012322857;-0,271615453;-0,215084264;-0,255858619;0,007448818;-0,260236253;-0,117264751;-0,244933423;-0,209477412;0,064183534;-0,124054245;-0,06462446;-0,296573137;0,017379166;-0,156919495;-0,268816217;-0,214379586;0,123431447;-0,094211588;-0,1320183;-0,05617411;-0,077499299;-0,053000277;-0,150021668;-0,119909299;-0,155128317;-0,063147158;-0,06187263;-0,13857453;-0,059181686;-0,107018803;-0,210200586;-0,165499825;-0,035356317;-0,222367742;-0,060561106;-0,210868032;-0,152440679;-0,086674755;-0,152427756;-0,181266665;-0,086345698;-0,122183285;-0,142542137;-0,162599262;-0,158120696;-0,112518539;-0,190724157;-0,080825959;-0,12511162;-0,136509238;-0,053746303;-0,106368577;-0,103504811;-0,103448533;-0,134919659;-0,145705017;-0,08412836;-0,138148424;-0,145620982;-0,101166247;-0,133418735;0,015914577;-0,133721318;-0,118560645;-0,09830351;-0,151205749;-0,121631819;-0,124271762;-0,133334051;-0,079259116;-0,047141893;-0,058417175;-0,173066912;0,072689597
Risk premium;Financials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Financials;0,926;0,9732;0,9297;0,9693;0,9805;0,945;0,9082;0,8913;0,9119;0,8982;0,7955;0,7262;0,745;0,7159;0,7223;0,6794;0,68;0,6958;0,7358;0,7106;0,692;0,6885;0,7014;0,6908;0,6827;0,687;0,6816;0,67;0,6902;0,6941;0,6954;0,6869;0,669;0,6661;0,7532;0,77;0,7514;0,7711;0,7617;0,7701;0,7768;0,6809;0,6764;0,6703;0,7161;0,7101;0,7301;0,7298;0,7313;0,6812;0,6484;0,7148;0,6554;0,6561;0,6899;0,6948;0,6293;0,6676;0,6976;0,7393;0,7446;0,7942;0,8025;0,7693;0,847;0,8843;0,9044;0,8961;0,8597;0,8503;0,8502;0,8733;0,8632;0,8793;0,8819;1,0034;1,0253;1,0686;1,0129;0,9969;1,099;1,2244;1,2936;1,2858;1,3028;0,9745;1,0078;0,9709;0,9401;0,9725;0,569;0,5709;0,4072;0,5657;0,5768;0,5363;0,5749;0,5942;0,7161;0,7225;0,6928;0,6741;0,6758;0,6859;0,6587;0,6541;0,636;0,6387;0,5939;0,6592;0,6461;0,6496;0,6785;0,6848;0,8421;1,0256;1,0133;0,9254;0,9325;0,9333;0,8639;0,701;0,6878;0,6906;0,8463;0,8476;0,8812;0,8494;0,8728;0,8866;0,8868;0,857;0,9632;0,9597;0,942;0,9483;0,8943;0,8902;0,7731;0,763;0,7325;0,7829;0,7695;0,8138;0,7843;0,8108;0,8233;0,8653;0,7486;0,6935;0,6742;0,6791;0,6288;0,6312;0,6682;0,6364
VO monthly avg;Financials; 467.70 ; 1476.61 ; 1724.53 ; 1853.31 ; 1365.62 ; 2153.11 ; 1954.36 ; 1652.03 ; 1636.00 ; 2287.21 ; 1900.14 ; 2984.59 ; 3809.09 ; 2824.41 ; 2368.19 ; 3321.25 ; 2871.00 ; 2727.38 ; 2724.27 ; 2837.85 ; 2359.60 ; 2279.12 ; 2454.13 ; 3741.78 ; 2823.23 ; 2816.40 ; 4234.69 ; 6492.16 ; 3799.64 ; 2934.68 ; 7090.84 ; 2425.51 ; 2408.53 ; 3127.89 ; 2974.76 ; 3286.27 ; 2738.15 ; 4877.09 ; 3141.16 ; 2980.00 ; 2685.32 ; 3716.58 ; 2706.19 ; 2688.15 ; 3973.23 ; 4747.67 ; 3251.68 ; 3803.96 ; 2211.03 ; 3966.77 ; 2899.15 ; 3028.87 ; 2958.44 ; 2763.99 ; 2843.90 ; 3691.86 ; 3080.66 ; 4094.64 ; 3931.60 ; 2807.86 ; 4322.75 ; 4218.24 ; 3738.19 ; 4117.15 ; 4022.20 ; 4927.08 ; 7179.24 ; 3951.80 ; 3496.90 ; 3919.22 ; 3109.64 ; 2962.94 ; 3245.41 ; 4450.83 ; 3558.43 ; 4074.70 ; 2666.58 ; 3654.50 ; 4713.74 ; 4150.76 ; 4001.72 ; 3595.51 ; 6023.89 ; 5034.39 ; 3237.46 ; 4308.73 ; 5530.38 ; 5239.21 ; 3999.91 ; 4401.65 ; 6761.81 ; 6202.39 ; 4176.73 ; 5226.18 ; 8141.76 ; 4906.16 ; 3430.74 ; 4696.37 ; 6245.99 ; 10091.10 ; 5635.36 ; 5904.18 ; 4385.74 ; 4866.30 ; 6120.89 ; 4895.94 ; 5501.25 ; 5032.40 ; 3434.70 ; 4554.18 ; 3817.33 ; 4715.97 ; 3110.82 ; 5379.19 ; 3607.18 ; 4255.71 ; 5121.09 ; 4974.09 ; 4530.46 ; 5529.04 ; 3287.55 ; 3661.02 ; 5286.53 ; 3517.39 ; 3431.48 ; 2735.79 ; 4056.76 ; 2849.84 ; 4666.36 ; 4183.03 ; 3308.99 ; 3231.30 ; 2811.79 ; 4181.15 ; 3430.14 ; 4130.41 ; 4516.73 ; 3628.06 ; 4098.54 ; 2380.42 ; 2322.68 ; 3883.81 ; 2602.03 ; 2490.21 ; 3058.93 ; 2240.90 ; 2534.68 ; 4011.39 ; 4061.24 ; 4156.25 ; 5128.82 ; 3056.29 ; 3508.04 ; 3512.91 ; 2793.26 ; 2477.91 ; 2135.15 
Total assets;Financials;284220000;395726000;395726000;395726000;395726000;395726000;395726000;395726000;395726000;395726000;395726000;395726000;395726000;389453000;389453000;389453000;389453000;389453000;389453000;389453000;389453000;389453000;389453000;389453000;389453000;539984000;539984000;539984000;539984000;539984000;539984000;539984000;539984000;539984000;539984000;539984000;539984000;615030000;615030000;615030000;615030000;615030000;615030000;615030000;615030000;615030000;615030000;615030000;615030000;755110000;755110000;755110000;755110000;755110000;755110000;755110000;755110000;755110000;755110000;755110000;755110000;968412000;968412000;968412000;968412000;968412000;968412000;968412000;968412000;968412000;968412000;968412000;968412000;1181591000;1181591000;1181591000;1181591000;1181591000;1181591000;1181591000;1181591000;1181591000;1181591000;1181591000;1181591000;1502526000;1502526000;1502526000;1502526000;1502526000;1502526000;1502526000;1502526000;1502526000;1502526000;1502526000;1502526000;1338455000;1338455000;1338455000;1338455000;1338455000;1338455000;1338455000;1338455000;1338455000;1338455000;1338455000;1338455000;1335142000;1335142000;1335142000;1335142000;1335142000;1335142000;1335142000;1335142000;1335142000;1335142000;1335142000;1335142000;1491389000;1491389000;1491389000;1491389000;1491389000;1491389000;1491389000;1491389000;1491389000;1491389000;1491389000;1491389000;1543037000;1543037000;1543037000;1543037000;1543037000;1543037000;1543037000;1543037000;1543037000;1543037000;1543037000;1543037000;1689393000;1689393000;1689393000;1689393000;1689393000;1689393000;1689393000;1689393000;1689393000;1689393000;1689393000;1689393000
Net sales;Financials;30054000;35734000;35734000;35734000;35734000;35734000;35734000;35734000;35734000;35734000;35734000;35734000;35734000;44034000;44034000;44034000;44034000;44034000;44034000;44034000;44034000;44034000;44034000;44034000;44034000;51770000;51770000;51770000;51770000;51770000;51770000;51770000;51770000;51770000;51770000;51770000;51770000;52949000;52949000;52949000;52949000;52949000;52949000;52949000;52949000;52949000;52949000;52949000;52949000;106379000;106379000;106379000;106379000;106379000;106379000;106379000;106379000;106379000;106379000;106379000;106379000;129210000;129210000;129210000;129210000;129210000;129210000;129210000;129210000;129210000;129210000;129210000;129210000;140365000;140365000;140365000;140365000;140365000;140365000;140365000;140365000;140365000;140365000;140365000;140365000;157804000;157804000;157804000;157804000;157804000;157804000;157804000;157804000;157804000;157804000;157804000;157804000;160625000;160625000;160625000;160625000;160625000;160625000;160625000;160625000;160625000;160625000;160625000;160625000;147002000;147002000;147002000;147002000;147002000;147002000;147002000;147002000;147002000;147002000;147002000;147002000;142553000;142553000;142553000;142553000;142553000;142553000;142553000;142553000;142553000;142553000;142553000;142553000;181902000;181902000;181902000;181902000;181902000;181902000;181902000;181902000;181902000;181902000;181902000;181902000;142134000;142134000;142134000;142134000;142134000;142134000;142134000;142134000;142134000;142134000;142134000;142134000
common equity;Financials;17526000;26038000;26038000;26038000;26038000;26038000;26038000;26038000;26038000;26038000;26038000;26038000;26038000;26054000;26054000;26054000;26054000;26054000;26054000;26054000;26054000;26054000;26054000;26054000;26054000;28659000;28659000;28659000;28659000;28659000;28659000;28659000;28659000;28659000;28659000;28659000;28659000;29087000;29087000;29087000;29087000;29087000;29087000;29087000;29087000;29087000;29087000;29087000;29087000;32931000;32931000;32931000;32931000;32931000;32931000;32931000;32931000;32931000;32931000;32931000;32931000;43326000;43326000;43326000;43326000;43326000;43326000;43326000;43326000;43326000;43326000;43326000;43326000;53671000;53671000;53671000;53671000;53671000;53671000;53671000;53671000;53671000;53671000;53671000;53671000;81953000;81953000;81953000;81953000;81953000;81953000;81953000;81953000;81953000;81953000;81953000;81953000;84022000;84022000;84022000;84022000;84022000;84022000;84022000;84022000;84022000;84022000;84022000;84022000;87073000;87073000;87073000;87073000;87073000;87073000;87073000;87073000;87073000;87073000;87073000;87073000;99042000;99042000;99042000;99042000;99042000;99042000;99042000;99042000;99042000;99042000;99042000;99042000;110370000;110370000;110370000;110370000;110370000;110370000;110370000;110370000;110370000;110370000;110370000;110370000;128936000;128936000;128936000;128936000;128936000;128936000;128936000;128936000;128936000;128936000;128936000;128936000
Turnover ratio;Financials;0,03%;0,10%;0,12%;0,13%;0,10%;0,15%;0,14%;0,12%;0,11%;0,16%;0,14%;0,23%;0,29%;0,21%;0,18%;0,25%;0,22%;0,21%;0,21%;0,21%;0,18%;0,17%;0,18%;0,28%;0,21%;0,21%;0,32%;0,49%;0,29%;0,22%;0,53%;0,18%;0,18%;0,23%;0,22%;0,25%;0,20%;0,36%;0,23%;0,22%;0,20%;0,28%;0,20%;0,20%;0,30%;0,35%;0,24%;0,28%;0,16%;0,29%;0,21%;0,22%;0,22%;0,20%;0,21%;0,27%;0,23%;0,30%;0,29%;0,21%;0,32%;0,31%;0,28%;0,30%;0,30%;0,36%;0,53%;0,29%;0,26%;0,29%;0,23%;0,22%;0,24%;0,33%;0,26%;0,30%;0,19%;0,27%;0,34%;0,30%;0,29%;0,26%;0,44%;0,37%;0,24%;0,31%;0,40%;0,34%;0,26%;0,29%;0,44%;0,41%;0,27%;0,34%;0,53%;0,32%;0,22%;0,31%;0,41%;0,66%;0,36%;0,38%;0,28%;0,31%;0,39%;0,31%;0,35%;0,32%;0,22%;0,29%;0,24%;0,30%;0,19%;0,34%;0,23%;0,27%;0,32%;0,31%;0,29%;0,35%;0,21%;0,23%;0,33%;0,22%;0,22%;0,17%;0,26%;0,18%;0,29%;0,26%;0,21%;0,20%;0,18%;0,26%;0,22%;0,26%;0,28%;0,23%;0,26%;0,15%;0,15%;0,24%;0,16%;0,16%;0,19%;0,14%;0,16%;0,25%;0,25%;0,26%;0,32%;0,19%;0,22%;0,22%;0,17%;0,15%;0,13%
Return monthly;Financials;;0,026229403;-0,035147534;-0,023174765;0,113879622;0,048208977;0,041546435;-0,031339555;0,004413118;-0,087552735;0,003235774;-0,058063727;0,068491261;-0,126599485;0,001834591;0,073257943;0,205136499;-0,01478206;-0,058544293;-0,1171862;0,010619991;0,016995054;0,026126959;0,089982362;-0,060748197;-0,006633172;-0,040064788;-0,055649295;0,109462967;0,102400486;0,018949835;0,033840536;-0,029782697;-0,014704593;0,044067333;0,103257308;0,062945911;0,033688964;-0,004941636;0,042185335;-0,019905218;0,046597975;0,023811823;-0,002328283;0,03473207;0,144839791;0,056769971;0,15241612;0,061288053;-0,015044118;-0,008331519;-0,021627665;-0,006312045;0,019922309;0,043754153;0,093581315;-0,016974714;0,02466064;-0,011426487;-0,0101178;0,106715819;0,08151985;-0,036345786;0,073281858;0,029342321;-0,09055694;-0,01320019;-0,007792899;0,018717899;0,019483485;0,111682823;0,017341435;0,073863051;0,047620139;0,015151847;0,062685175;0,054392441;-0,050091288;-0,066032369;0,038657142;0,023407861;-0,030987425;0,179369657;-0,104860053;-0,046857864;-0,104715119;0,163190218;-0,104569553;0,042661549;-0,076665923;-0,081830412;0,191350234;-0,009900645;0,06201464;-0,176734737;0,124416066;-0,041350795;-0,145781617;-0,083215286;0,253848947;0,037734812;0;0,07515129;0,052762401;0,076247823;-0,019063368;0,010808701;-0,024440217;0,064718542;0,06715697;-0,01277023;0,066443114;0,022676697;-0,079258186;-0,030397525;0,108506483;-0,079029842;0,076139094;-0,069370532;-0,012292779;0,054100945;-0,021664756;-0,051035265;0,041562102;0,014033615;-0,005143337;-0,024683662;-0,026208496;0,025167861;-0,056518357;0,053992441;0,00817938;0,001522362;0,085164797;0,031727423;0,032988089;0,030442367;-0,006537059;-0,030349717;0,03139064;-0,026400924;-0,029348282;0,014012253;-0,018299335;0,130575477;-0,018590918;-0,001542745;0,01631039;-0,032243949;-0,002141319;-0,003397162;-0,008700751;0,036105284;0,068573707;0,063729425;-0,053873712;0,072689597
