Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Industrials;8441;15295;15295;15295;15295;15295;15295;15295;15295;15295;15295;15295;15295;23740;23740;23740;23740;23740;23740;23740;23740;23740;23740;23740;23740;29497;29497;29497;29497;29497;29497;29497;29497;29497;29497;29497;29497;34758;34758;34758;34758;34758;34758;34758;34758;34758;34758;34758;34758;31270;31270;31270;31270;31270;31270;31270;31270;31270;31270;31270;31270;27428;27428;27428;27428;27428;27428;27428;27428;27428;27428;27428;27428;27603;27603;27603;27603;27603;27603;27603;27603;27603;27603;27603;27603;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Excess return;Industrials;;0,316632086;-0,332302786;-0,049233743;-0,297667497;-0,241549981;-0,376399524;-0,1606462;-0,067341658;-0,1458324;-0,726309464;-0,1460889;-0,1656866;-0,370989993;0,075962589;0,411893015;-0,549153756;-0,1162;0;0;0;0;0,8801431;0,905227534;0,04827268;-0,228311214;-0,1361803;-0,634384228;0,069999827;-0,1244524;-0,1157972;-0,364932307;-0,1325376;-0,140594;0,187403773;-0,1538951;-0,1441295;-0,228015378;0,132916054;-0,1385887;0,071365424;-0,10779697;-0,057238095;-0,1588871;-0,206324631;-0,147629;0,575923802;0,371725269;-0,1310992;-0,068162875;-0,047411865;-0,279627658;0,018860936;-0,0925097;-0,194835115;-0,0917386;-0,198823536;-0,098405365;-0,0723848;-0,0678854;-0,0449467;-0,463901622;0,33682171;-0,0332271;0,121232482;-0,191550385;-0,202685682;0,566883039;-0,156386871;0,405895161;-0,123124915;-0,2206652;-0,047836711;0,068238576;-0,044185137;0,356529344;-0,000772;-0,071963125;-0,0071516;0,036171493;0,131458343;0,0371348;-0,261425236;-0,0541555;-0,212752171;-0,288882839;-0,097414429;-0,289265482;-0,1285523;-0,138059;-0,1160298;0,117588845;-0,343873916;-0,159621838;-0,1165309;0,328530356;-0,1181895;-0,418219119;0,087887102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Risk premium;Industrials;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Industrials;1,1605;0,9501;0,7758;0,9577;0,9464;0,9033;0,8517;0,8674;0,8137;0,6148;0,5978;0,6903;0,7982;0,7819;0,7821;0,8928;0,8924;;;;;0,1211;0,1263;-0,1558;-0,0446;-0,0285;0,5981;0,5624;0,5102;0,4548;0,3444;0,3155;0,5752;0,738;0,877;0,9777;0,8465;0,7739;0,7197;0,6649;0,679;1,0253;1,0121;0,8617;0,8201;0,683;0,8959;0,8965;0,7984;0,7611;0,131;0,1845;0,1419;0,1319;0,2372;0,2022;0,1083;-0,1226;-0,1304;-0,1542;-0,4691;-0,7345;-0,7309;-0,6583;-0,4552;-0,4587;-0,7884;-0,8357;-0,8783;-0,9157;-0,9082;-0,9196;-0,9226;-0,937;-0,9605;-1,3001;-1,256;-1,1591;-1,2468;-1,2645;-1,4538;-1,8696;-1,537;-0,5015;0,0248;0,4403;0,6288;0,4462;0,4421;0,493;0,3846;0,4959;0,4695;0,4271;0,5243;0,5248;0,6165;0,4692;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
VO monthly avg;Industrials; 0.00 ; 5.02 ; 3.05 ; 4.25 ; 3.55 ; 8.43 ; 1.42 ; 0.20 ; 0.45 ; 0.00 ; 1.86 ; 1.19 ; 0.50 ; 0.09 ; 0.85 ; 3.41 ; 1.71 ; 0.09 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 5.49 ; 16.27 ; 0.50 ; 2.82 ; 0.70 ; 0.40 ; 2.75 ; 2.77 ; 19.84 ; 0.46 ; 0.10 ; 1.24 ; 1.16 ; 2.26 ; 0.11 ; 2.40 ; 5.37 ; 0.00 ; 0.71 ; 1.54 ; 0.48 ; 1.42 ; 1.64 ; 0.00 ; 10.74 ; 22.80 ; 2.27 ; 9.57 ; 0.47 ; 1.51 ; 0.11 ; 0.24 ; 7.07 ; 1.60 ; 1.57 ; 0.24 ; 0.00 ; 1.52 ; 0.10 ; 4.88 ; 0.68 ; 11.63 ; 10.91 ; 3.95 ; 1.93 ; 10.20 ; 10.58 ; 16.93 ; 2.04 ; 1.61 ; 1.86 ; 2.27 ; 4.03 ; 8.08 ; 12.41 ; 11.73 ; 8.27 ; 3.68 ; 6.83 ; 3.18 ; 1.95 ; 0.29 ; 14.07 ; 4.00 ; 0.25 ; 0.05 ; 4.57 ; 2.11 ; 4.54 ; 0.34 ; 3.97 ; 2.88 ; 0.00 ; 0.17 ; 0.00 ; 10.38 ; 0.64 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 
Total assets;Industrials;22928;18906;18906;18906;18906;18906;18906;18906;18906;18906;18906;18906;18906;24859;24859;24859;24859;24859;24859;24859;24859;24859;24859;24859;24859;30967;30967;30967;30967;30967;30967;30967;30967;30967;30967;30967;30967;38628;38628;38628;38628;38628;38628;38628;38628;38628;38628;38628;38628;38107;38107;38107;38107;38107;38107;38107;38107;38107;38107;38107;38107;38316;38316;38316;38316;38316;38316;38316;38316;38316;38316;38316;38316;41021;41021;41021;41021;41021;41021;41021;41021;41021;41021;41021;41021;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Net sales;Industrials;53748;44444;44444;44444;44444;44444;44444;44444;44444;44444;44444;44444;44444;37991;37991;37991;37991;37991;37991;37991;37991;37991;37991;37991;37991;39820;39820;39820;39820;39820;39820;39820;39820;39820;39820;39820;39820;47838;47838;47838;47838;47838;47838;47838;47838;47838;47838;47838;47838;53152;53152;53152;53152;53152;53152;53152;53152;53152;53152;53152;53152;56534;56534;56534;56534;56534;56534;56534;56534;56534;56534;56534;56534;51233;51233;51233;51233;51233;51233;51233;51233;51233;51233;51233;51233;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
common equity;Industrials;14487;3611;3611;3611;3611;3611;3611;3611;3611;3611;3611;3611;3611;1119;1119;1119;1119;1119;1119;1119;1119;1119;1119;1119;1119;1470;1470;1470;1470;1470;1470;1470;1470;1470;1470;1470;1470;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870;3870;6837;6837;6837;6837;6837;6837;6837;6837;6837;6837;6837;6837;10888;10888;10888;10888;10888;10888;10888;10888;10888;10888;10888;10888;13418;13418;13418;13418;13418;13418;13418;13418;13418;13418;13418;13418;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Turnover ratio;Industrials;0,00%;0,01%;0,01%;0,01%;0,01%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,00%;0,01%;0,00%;0,00%;0,01%;0,01%;0,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,05%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,02%;0,02%;0,01%;0,00%;0,02%;0,02%;0,03%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,02%;0,02%;0,02%;0,01%;0,01%;0,01%;0,00%;0,00%;0,03%;0,01%;0,00%;0,00%;0,01%;0,00%;0,01%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Industrials;;0,500088386;-0,166627386;0,133201357;-0,117544297;-0,066742081;-0,214242424;0;0,090821442;0;-0,583348064;0;0;-0,199830293;0,249734889;0,600339415;-0,375132556;0;0;0;0;0;1;1,000212134;0,14996288;-0,130406714;0;-0,500053028;0,200042427;0;0;-0,249955807;0;0;0,333254773;0;0;-0,083259678;0,272657154;0;0,214242424;0,05889693;0,111124205;0;-0,050058331;0;0,736965502;0,515104769;0;0,059986425;0,037741135;-0,181804158;0,111100636;0;-0,099991515;0;-0,111100636;-0,025029165;0;0;0;-0,435875122;0,36357501;0;0,166654882;-0,142848485;-0,166654882;0,600033939;-0,125039771;0,428606061;-0,099991515;-0,2;-0,027810511;0,085757576;-0,026346637;0,351373044;0;-0,059986425;0;0,042557993;0,122418943;0;-0,272706236;0;-0,125039771;-0,171393939;0,034449971;-0,166654882;0;0;0;0,240030545;-0,225795416;-0,041714538;0;0,434842756;0;-0,303059519;0,173937102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
