Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9581;9581;9581;9581;9581;9581;9581;9581;9581;9581;9581;9581;24821;24821;24821;24821;24821;24821;24821;24821;24821;24821;24821;24821;3563;3563;3563;3563;3563;3563;3563;3563;3563;3563;3563;3563;41719;41719;41719;41719;41719;41719;41719;41719;41719;41719;41719;41719;34690;34690;34690;34690;34690;34690;34690;34690;34690;34690;34690;34690;53564;53564;53564;53564;53564;53564;53564;53564;53564;53564;53564;53564;45929;45929;45929;45929;45929;45929;45929;45929;45929;45929;45929;45929;63723;63723;63723;63723;63723;63723;63723;63723;63723;63723;63723;63723;72533;72533;72533;72533;72533;72533;72533;72533;72533;72533;72533;72533;60902;60902;60902;60902;60902;60902;60902;60902;60902;60902;60902;60902;112667;112667;112667;112667;112667;112667;112667;112667;112667;112667;112667;112667;41565;41565;41565;41565;41565;41565;41565;41565;41565;41565
Excess return;Consumer Goods;;-0,2186166;0,092536762;0,438393396;-0,1570904;-0,528406073;0,058212192;-0,1372543;-0,1345696;-0,3162533;0,209262184;0,939897173;-0,2152109;-0,2182081;-0,5530568;-0,2205134;-0,306211464;-0,093633667;-0,2224604;-0,68691574;-0,1844003;-0,382849312;-0,1771428;-0,924531587;-0,1733023;-0,1679101;-0,1983298;-0,1982258;-0,1887523;-0,1903504;-0,2283089;1,755152276;0,0919306;0,007210662;0,200223784;-0,2160761;-0,2141036;-0,089753027;0,023333441;0,173751996;0,056024285;0,019244333;-0,067536759;-0,1836524;-0,307718901;0,175399608;-0,2190306;0,004488125;-0,1600603;-0,731420079;0,8290599;-0,2193757;-0,9026508;0,095699143;-0,5258574;-0,322117965;-0,143883752;-0,146908421;-0,141133936;-0,1694414;-0,169025203;-0,064827008;-0,059493859;-0,181372993;-0,209703443;-0,2225501;-0,411763961;-0,662802565;-0,098338917;-0,279923077;-0,307572949;-0,191044691;-0,214986506;-0,189635891;-0,231432214;-0,233742151;-0,180620435;-0,12610733;-0,236755195;-0,222261718;-0,315507623;0,069940633;-0,338498753;-0,440417235;-0,141418926;-0,268948328;-0,258784675;-0,325004379;-0,364599546;-0,236500979;-0,155561507;-0,1185798;-0,1232445;-0,288271129;-0,1105396;-0,12785462;-0,136093437;0,073242079;-0,203710604;-0,1104465;-0,16632172;0,344939781;-0,041057333;-0,173960033;-0,087716599;-0,215261666;-0,222025567;-0,057810205;-0,097776874;0,292276233;-0,024481506;-0,153669465;0,246223006;0,200840834;-0,173831378;-0,215242169;0,105307657;-0,035978043;-0,07621786;-0,04260963;0,099147709;0,03785035;-0,126296934;-0,005681476;-0,0261748;0,125219286;-0,084754116;-0,060965719;-0,109280369;-0,017294857;-0,193638283;-0,062632809;0,007897743;-0,166635376;-0,146174938;0,096726169;-0,0914658;0,004503915;-0,064257859;-0,062977009;-0,253287222;-0,0409814;-0,0455887;0,134664616;-0,07919743;0,008578295;0,077726046;-0,151367852;-0,0508966;-0,079873163;-0,116633166;-0,0630949;-0,162202261;-0,105370506;-0,111085415;-0,122425268;0,014644351
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;1,591;1,5082;0,6276;0,6309;0,5808;0,5621;0,536;0,4961;0,4392;0,6691;1,3714;1,5833;1,5843;1,5287;1,5136;1,4018;1,4005;1,409;1,6708;1,2066;1,1381;1,1392;1,0356;1,1128;1,0921;1,0827;1,5846;1,5766;1,4421;1,5008;2,1303;2,2819;2,3138;2,3423;1,7482;1,9647;1,9572;2,1587;2,1084;2,0487;2,0599;1,603;1,576;1,2548;1,3195;1,3256;1,2862;1,2885;1,2581;1,4662;1,4927;2,1139;2,9516;2,9204;1,7898;1,9832;1,7556;1,5084;1,6118;1,4578;1,4523;1,5865;1,5283;1,8108;1,8412;2,0627;2,4764;2,4989;2,3929;2,3888;2,3869;2,4037;2,2525;1,8751;1,9199;0,7301;0,7097;0,7506;0,8962;0,956;1,0872;1,2083;1,4681;1,1061;1,0667;0,9726;0,9882;1,0054;1,0029;0,9167;0,552;0,4346;0,5515;0,4463;0,4292;0,3915;0,3128;0,3277;0,4011;0,4055;0,7632;0,7459;0,698;0,7131;0,6951;0,6594;0,6303;0,6469;0,5233;0,6517;0,5739;0,6279;0,571;0,5923;0,4693;0,1809;0,1766;0,0381;0,0372;0,0833;-0,2023;-0,1885;-0,1777;-0,1877;-0,9004;-0,7401;-0,7026;-0,6572;-0,576;-0,653;-0,6592;-0,6319;-0,4823;-0,514;-0,5512;-0,4962;-0,2992;-0,4018;-0,1607;-0,2153;-0,4326;-0,4122;-0,3351;-0,7131;-0,5826;-0,6447;-0,6032;-0,5036;-0,3318;-0,2741;-0,2832;-0,2977;-0,3041;-0,1773;-0,1484;0,0197
VO monthly avg;Consumer Goods; 0.00 ; 0.00 ; 0.05 ; 0.18 ; 0.00 ; 0.14 ; 0.02 ; 0.02 ; 0.07 ; 0.02 ; 0.03 ; 0.08 ; 0.00 ; 0.00 ; 1.11 ; 0.22 ; 0.01 ; 0.18 ; 0.00 ; 0.80 ; 0.01 ; 0.30 ; 0.00 ; 0.01 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.01 ; 0.03 ; 0.31 ; 0.66 ; 0.05 ; 0.69 ; 0.63 ; 2.19 ; 4.15 ; 1.23 ; 1.35 ; 0.71 ; 0.44 ; 0.95 ; 1.15 ; 0.56 ; 0.29 ; 0.00 ; 0.03 ; 0.01 ; 0.45 ; 0.68 ; 0.50 ; 1.63 ; 292.46 ; 395.44 ; 184.13 ; 126.06 ; 118.57 ; 126.41 ; 101.13 ; 94.45 ; 118.05 ; 74.38 ; 198.69 ; 224.38 ; 450.39 ; 288.37 ; 111.92 ; 292.06 ; 225.45 ; 87.42 ; 123.24 ; 316.82 ; 51.36 ; 70.28 ; 346.95 ; 258.63 ; 138.00 ; 351.52 ; 270.80 ; 130.76 ; 337.54 ; 38.98 ; 66.90 ; 44.30 ; 46.35 ; 29.55 ; 50.50 ; 48.14 ; 50.11 ; 46.66 ; 99.52 ; 200.71 ; 50.99 ; 3.33 ; 8.25 ; 7.89 ; 9.30 ; 15.14 ; 311.69 ; 81.18 ; 117.85 ; 9.21 ; 26.73 ; 3.68 ; 59.57 ; 80.72 ; 58.17 ; 53.49 ; 5.23 ; 49.79 ; 83.91 ; 10.23 ; 11.03 ; 104.57 ; 446.21 ; 61.24 ; 68.03 ; 308.60 ; 62.34 ; 34.34 ; 33.68 ; 23.16 ; 108.13 ; 122.80 ; 66.92 ; 132.90 ; 20.79 ; 82.18 ; 92.09 ; 31.09 ; 64.60 ; 105.50 ; 137.21 ; 131.02 ; 68.32 ; 97.28 ; 30.71 ; 182.49 ; 110.94 ; 30.65 ; 119.92 ; 15.61 ; 22.67 ; 22.85 ; 86.09 ; 25.93 ; 20.79 ; 22.00 ; 23.28 ; 10.16 ; 12.44 ; 16.82 ; 7.25 ; 5.64 
Total assets;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25955;25955;25955;25955;25955;25955;25955;25955;25955;25955;25955;25955;27473;27473;27473;27473;27473;27473;27473;27473;27473;27473;27473;27473;8510;8510;8510;8510;8510;8510;8510;8510;8510;8510;8510;8510;113861;113861;113861;113861;113861;113861;113861;113861;113861;113861;113861;113861;95994;95994;95994;95994;95994;95994;95994;95994;95994;95994;95994;95994;102154;102154;102154;102154;102154;102154;102154;102154;102154;102154;102154;102154;104129;104129;104129;104129;104129;104129;104129;104129;104129;104129;104129;104129;135113;135113;135113;135113;135113;135113;135113;135113;135113;135113;135113;135113;168530;168530;168530;168530;168530;168530;168530;168530;168530;168530;168530;168530;153148;153148;153148;153148;153148;153148;153148;153148;153148;153148;153148;153148;200116;200116;200116;200116;200116;200116;200116;200116;200116;200116;200116;200116;156743;156743;156743;156743;156743;156743;156743;156743;156743;156743
Net sales;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9057;9057;9057;9057;9057;9057;9057;9057;9057;9057;9057;9057;9998;9998;9998;9998;9998;9998;9998;9998;9998;9998;9998;9998;2785;2785;2785;2785;2785;2785;2785;2785;2785;2785;2785;2785;322175;322175;322175;322175;322175;322175;322175;322175;322175;322175;322175;322175;290258;290258;290258;290258;290258;290258;290258;290258;290258;290258;290258;290258;253031;253031;253031;253031;253031;253031;253031;253031;253031;253031;253031;253031;252511;252511;252511;252511;252511;252511;252511;252511;252511;252511;252511;252511;347511;347511;347511;347511;347511;347511;347511;347511;347511;347511;347511;347511;461654;461654;461654;461654;461654;461654;461654;461654;461654;461654;461654;461654;451150;451150;451150;451150;451150;451150;451150;451150;451150;451150;451150;451150;454091;454091;454091;454091;454091;454091;454091;454091;454091;454091;454091;454091;430473;430473;430473;430473;430473;430473;430473;430473;430473;430473
common equity;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;16374;16374;16374;16374;16374;16374;16374;16374;16374;16374;16374;16374;2652;2652;2652;2652;2652;2652;2652;2652;2652;2652;2652;2652;4948;4948;4948;4948;4948;4948;4948;4948;4948;4948;4948;4948;72141;72141;72141;72141;72141;72141;72141;72141;72141;72141;72141;72141;61305;61305;61305;61305;61305;61305;61305;61305;61305;61305;61305;61305;48590;48590;48590;48590;48590;48590;48590;48590;48590;48590;48590;48590;44919;44919;44919;44919;44919;44919;44919;44919;44919;44919;44919;44919;56899;56899;56899;56899;56899;56899;56899;56899;56899;56899;56899;56899;80626;80626;80626;80626;80626;80626;80626;80626;80626;80626;80626;80626;92246;92246;92246;92246;92246;92246;92246;92246;92246;92246;92246;92246;87449;87449;87449;87449;87449;87449;87449;87449;87449;87449;87449;87449;115177;115177;115177;115177;115177;115177;115177;115177;115177;115177
Turnover ratio;Consumer Goods;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,26%;0,35%;0,16%;0,11%;0,10%;0,11%;0,09%;0,08%;0,10%;0,07%;0,17%;0,20%;0,39%;0,25%;0,10%;0,26%;0,20%;0,08%;0,11%;0,28%;0,04%;0,06%;0,30%;0,23%;0,12%;0,31%;0,24%;0,11%;0,30%;0,03%;0,06%;0,04%;0,04%;0,03%;0,04%;0,04%;0,04%;0,04%;0,09%;0,18%;0,04%;0,00%;0,01%;0,01%;0,01%;0,01%;0,27%;0,07%;0,10%;0,01%;0,02%;0,00%;0,05%;0,07%;0,05%;0,05%;0,00%;0,04%;0,07%;0,01%;0,01%;0,09%;0,39%;0,05%;0,06%;0,27%;0,05%;0,03%;0,03%;0,02%;0,09%;0,11%;0,06%;0,12%;0,02%;0,07%;0,08%;0,03%;0,06%;0,09%;0,12%;0,11%;0,06%;0,09%;0,03%;0,16%;0,10%;0,03%;0,10%;0,01%;0,02%;0,02%;0,08%;0,02%;0,02%;0,02%;0,02%;0,01%;0,01%;0,01%;0,01%;0,00%
Return monthly;Consumer Goods;;0;0,248875562;0,600240096;0;-0,375093773;0,200480192;0;0;-0,167;0,400960384;1,142245073;0;0;-0,3332;0;-0,100179964;0,111333333;0;-0,50029994;0;-0,199279712;0;-0,749625187;0;0;0;0;0;0;0;1,994011976;0,334;0,248875562;0,400960384;0;0;0,142245073;0,250562641;0,399520096;0,285897985;0,222333333;0,136351241;0;-0,119990401;0,363512408;-0,0334;0,172563625;0;-0,558849479;1;0;-0,6334;0,363884343;-0,3332;-0,118176365;0,047619048;0,029220779;0,041009464;0;-0,003030303;0,109422492;0,109589041;0,007407407;-0,019607843;-0,015;-0,170050761;-0,419571865;0,139093783;-0,049028677;-0,076848249;0,038988409;0,005070994;0,005045409;-0,032128514;-0,110995851;-0,056009335;0,00618047;-0,094594595;-0,075983718;-0,164464023;0,226713533;-0,160458453;-0,284982935;0,011933174;-0,117924528;-0,104278075;-0,167164179;-0,200716846;-0,071748879;-0,028985507;0;0;-0,169154229;0;-0,02994012;-0,037037037;0,179487179;-0,092391304;0;-0,02994012;0,481481481;0,091666667;-0,041984733;0,043824701;-0,083969466;-0,091666667;0,073394495;0,025641026;0,420833333;0,096774194;-0,029411765;0,369146006;0,325955734;-0,062215478;-0,124595469;0,195933457;0,044822257;0,00887574;0,04398827;0,172752809;0,11257485;-0,050592034;0,066893424;0;0,162592986;-0,046617916;-0,023969319;-0,062868369;0,019916143;-0,156217883;-0,023142509;0,054862843;-0,120567376;-0,102150538;0,142215569;-0,0327654;0,051490515;-0,007731959;-0,009090909;-0,214941022;0;0;0,153589316;-0,05065123;0,032012195;0,104874446;-0,122994652;0;-0,021341463;-0,056074766;0;-0,105610561;-0,040590406;-0,040384615;-0,042084168;0,014644351
