Name;;2000-12-31;2001-01-31;2001-02-28;2001-03-30;2001-04-30;2001-05-31;2001-06-29;2001-07-31;2001-08-31;2001-09-28;2001-10-31;2001-11-30;2001-12-31;2002-01-31;2002-02-28;2002-03-29;2002-04-30;2002-05-31;2002-06-28;2002-07-31;2002-08-30;2002-09-30;2002-10-31;2002-11-29;2002-12-31;2003-01-31;2003-02-28;2003-03-31;2003-04-30;2003-05-30;2003-06-30;2003-07-31;2003-08-29;2003-09-30;2003-10-31;2003-11-28;2003-12-31;2004-01-30;2004-02-27;2004-03-31;2004-04-30;2004-05-31;2004-06-30;2004-07-30;2004-08-31;2004-09-30;2004-10-29;2004-11-30;2004-12-31;2005-01-31;2005-02-28;2005-03-31;2005-04-29;2005-05-31;2005-06-30;2005-07-29;2005-08-31;2005-09-30;2005-10-31;2005-11-30;2005-12-30;2006-01-31;2006-02-28;2006-03-31;2006-04-28;2006-05-31;2006-06-30;2006-07-31;2006-08-31;2006-09-29;2006-10-31;2006-11-30;2006-12-29;2007-01-31;2007-02-28;2007-03-30;2007-04-30;2007-05-31;2007-06-29;2007-07-31;2007-08-31;2007-09-28;2007-10-31;2007-11-30;2007-12-31;2008-01-31;2008-02-29;2008-03-31;2008-04-30;2008-05-30;2008-06-30;2008-07-31;2008-08-29;2008-09-30;2008-10-31;2008-11-28;2008-12-31;2009-01-30;2009-02-27;2009-03-31;2009-04-30;2009-05-29;2009-06-30;2009-07-31;2009-08-31;2009-09-30;2009-10-30;2009-11-30;2009-12-31;2010-01-29;2010-02-26;2010-03-31;2010-04-30;2010-05-31;2010-06-30;2010-07-30;2010-08-31;2010-09-30;2010-10-29;2010-11-30;2010-12-31;2011-01-31;2011-02-28;2011-03-31;2011-04-29;2011-05-31;2011-06-30;2011-07-29;2011-08-31;2011-09-30;2011-10-31;2011-11-30;2011-12-30;2012-01-31;2012-02-29;2012-03-30;2012-04-30;2012-05-31;2012-06-29;2012-07-31;2012-08-31;2012-09-28;2012-10-31;2012-11-30;2012-12-31;2013-01-31;2013-02-28;2013-03-29;2013-04-30;2013-05-31;2013-06-28;2013-07-31;2013-08-30;2013-09-30;2013-10-31;2013-11-29;2013-12-31
total liabilities;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;206376;206376;206376;206376;206376;206376;206376;206376;206376;206376;206376;206376;263137;263137;263137;263137;263137;263137;263137;263137;263137;263137;263137;263137;234172;234172;234172;234172;234172;234172;234172;234172;234172;234172;234172;234172;222317;222317;222317;222317;222317;222317;222317;222317;222317;222317;222317;222317;397817;397817;397817;397817;397817;397817;397817;397817;397817;397817;397817;397817;407339;407339;407339;407339;407339;407339;407339;407339;407339;407339;407339;407339;510447;510447;510447;510447;510447;510447;510447;510447;510447;510447;510447;510447;591064;591064;591064;591064;591064;591064;591064;591064;591064;591064
Excess return;Consumer Goods;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,14784;-0,07709496;-0,1943133;-0,229452541;0,161012454;-0,376567017;-0,146397047;-0,134493159;-0,215263128;-0,009386547;-0,090530314;-0,0522945;-0,1536024;-0,171645456;-0,160077078;-0,333816452;-0,037102095;-0,1315928;-0,16311078;-0,1318954;-0,043203989;-0,273385636;-0,439468205;0,222888633;-0,134355;-0,329116707;-0,1456141;-0,036805527;-0,1264283;-0,149244834;-0,303529235;-0,283858188;0,078400376;-0,21096223;-0,110437;-0,0973717;-0,282475325;0,122124288;-0,230616661;0,066567421;-0,0890603;0,218861982;0,095271553;0,232345408
Risk premium;Consumer Goods;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3;6,3
Beta adj;Consumer Goods;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,1181;0,2462;0,2391;1,3207;1,1147;1,0848;1,0702;1,0617;1,1292;1,0919;1,1118;1,1015;1,1048;1,0887;1,146;0,963;0,8396;0,8356;0,8174;0,8658;0,8519;0,984;1,0885;1,0506;0,985;1,2239;1,2407;0,8164;0,9441;0,8582;0,7688;0,8722;0,845;0,8724;0,799;0,4059;0,1054;-0,0362;-0,003;0,1228;0,2081;0,0868;0,0364
VO monthly avg;Consumer Goods; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 0.00 ; 1.99 ; 1.15 ; 0.88 ; 0.50 ; 0.30 ; 0.61 ; 0.08 ; 0.15 ; 0.12 ; 0.48 ; 0.17 ; 0.93 ; 1.07 ; 6.55 ; 4.79 ; 0.89 ; 6.66 ; 0.00 ; 0.60 ; 0.15 ; 0.00 ; 0.23 ; 0.23 ; 0.77 ; 0.20 ; 0.00 ; 1.29 ; 0.10 ; 0.18 ; 0.01 ; 0.04 ; 75.96 ; 0.00 ; 848.55 ; 0.02 ; 1.01 ; 0.00 ; 0.01 ; 1.29 ; 0.11 ; 0.22 ; 0.00 ; 0.02 ; 0.73 ; 1.10 
Total assets;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;261057;261057;261057;261057;261057;261057;261057;261057;261057;261057;261057;261057;348454;348454;348454;348454;348454;348454;348454;348454;348454;348454;348454;348454;330689;330689;330689;330689;330689;330689;330689;330689;330689;330689;330689;330689;320286;320286;320286;320286;320286;320286;320286;320286;320286;320286;320286;320286;730766;730766;730766;730766;730766;730766;730766;730766;730766;730766;730766;730766;738551;738551;738551;738551;738551;738551;738551;738551;738551;738551;738551;738551;887359;887359;887359;887359;887359;887359;887359;887359;887359;887359;887359;887359;1047698;1047698;1047698;1047698;1047698;1047698;1047698;1047698;1047698;1047698
Net sales;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;728246;728246;728246;728246;728246;728246;728246;728246;728246;728246;728246;728246;844797;844797;844797;844797;844797;844797;844797;844797;844797;844797;844797;844797;1099071;1099071;1099071;1099071;1099071;1099071;1099071;1099071;1099071;1099071;1099071;1099071;890695;890695;890695;890695;890695;890695;890695;890695;890695;890695;890695;890695;948607;948607;948607;948607;948607;948607;948607;948607;948607;948607;948607;948607;1066243;1066243;1066243;1066243;1066243;1066243;1066243;1066243;1066243;1066243;1066243;1066243;1308783;1308783;1308783;1308783;1308783;1308783;1308783;1308783;1308783;1308783;1308783;1308783;1637996;1637996;1637996;1637996;1637996;1637996;1637996;1637996;1637996;1637996
common equity;Consumer Goods;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;53209;53209;53209;53209;53209;53209;53209;53209;53209;53209;53209;53209;83273;83273;83273;83273;83273;83273;83273;83273;83273;83273;83273;83273;98676;98676;98676;98676;98676;98676;98676;98676;98676;98676;98676;98676;98293;98293;98293;98293;98293;98293;98293;98293;98293;98293;98293;98293;350368;350368;350368;350368;350368;350368;350368;350368;350368;350368;350368;350368;334845;334845;334845;334845;334845;334845;334845;334845;334845;334845;334845;334845;385020;385020;385020;385020;385020;385020;385020;385020;385020;385020;385020;385020;466069;466069;466069;466069;466069;466069;466069;466069;466069;466069
Turnover ratio;Consumer Goods;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,37%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
Return monthly;Consumer Goods;;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;  ;-0,14784;0,02046564;-0,1;-0,066748441;0,309638554;-0,225474617;0,002375553;0,018743941;-0,057523528;0,146303153;0,063913086;0,1;0;-0,020657356;-0,009479078;-0,190447452;0,094142705;0;-0,03231458;0;0,088915711;-0,132643636;-0,294142705;0,366626433;0;-0,185361007;0;0,080227673;0;-0,028478234;-0,191244835;-0,163659588;0,195685376;-0,09085103;0;0;-0,200035125;0,198243688;-0,148955661;0,150053821;0;0,304380382;0,176664753;0,232345408
